Tom Thumb
'nothing,': TPHOG/KW-BG
'went': WEPBT
'away': WA*EU
'for': TPOR
'a': AEU
'light.': HRAOEUT/TP-PL
'By': KPA/PWEU
'the': -T
'time': TAOEUPL
'she': SHE
'came': KAEUPL
'back,': PWABG/KW-BG
'Tom': TOPL
'had': H
'slipped': SHREUPD
'off': OF
'into': TPHAO
'the': -T
'barn;': PWARPB/STPH*FPLT
'and': SKP
'when': WHEPB
'she': SHE
'had': H
'looked': HRAOBGD
'about': PW
'and': SKP
'searched': SEFRPBD
'every': EF
'hole': HOEL
'and': SKP
'corner,': KRORPB/KW-BG
'and': SKP
'found': TPOUPBD
'nobody,': TPHOEB/KW-BG
'she': SHE
'went': WEPBT
'to': TO
'bed,': PWED/KW-BG
'thinking': THEUG
'she': SHE
'must': PHUFT
'have': SR
'been': PW-PB
'dreaming': TKRAOEPLG
'with': W
'her': HER
'eyes': AO*EUS
'open.': OEP/TP-PL
'The': KPA/-T
'little': HREUL
'man': PHAPB
'crawled': KRAULD
'about': PW
'in': TPH
'the': -T
'hay-loft,': HA*EU/H-PB/HRO*FT/KW-BG
'and': SKP
'at': AT
'last': HRAFT
'found': TPOUPBD
'a': AEU
'snug': STPHUG
'place': PHRAEUS
'to': TO
'finish': TP*EURB
'his': HEUS
'night's': TPHAOEUT/AES
'rest': REFT
'in;': TPH/STPH*FPLT
'so': SO
'he': HE
'laid': HRAEUD
'himself': HEUPLS
'down,': TKOUPB/KW-BG
'meaning': PHAOEPBG
'to': TO
'sleep': SHRAOEP
'till': TEUL
'daylight,': TKAEULT/KW-BG
'and': SKP
'then': THEPB
'find': TPAOEUPBD
'his': HEUS
'way': WAEU
'home': HOEPL
'to': TO
'his': HEUS
'father': TPAER
'and': SKP
'mother.': PHOER/TP-PL
'But': KPA/PWUT
'alas!': A/HRAS/SKHRAPL
'how': HOU
'woefully': WOE/TPHREU
'he': HE
'was': WAS
'undone!': UPB/TKOPB/SKHRAPL
'what': WHA
'crosses': KROFS
'and': SKP
'sorrows': SROE/-S
'happen': HAP
'to': TO
'us': US
'all': AUL
'in': TPH
'this': TH
'world!': WORLD/SKHRAPL
'The': KPA/-T
'cook': KAOBG
'got': TKPWOT
'up': UP
'early,': ERL/KW-BG
'before': PW-FR
'daybreak,': TKAEU/PWRAEBG/KW-BG
'to': TO
'feed': TPAOED
'the': -T
'cows;': KOUS/STPH*FPLT
'and': SKP
'going': TKPW-G
'straight': STRAEUT
'to': TO
'the': -T
'hay-loft,': HA*EU/H-PB/HRO*FT/KW-BG
'carried': KAERD
'away': WA*EU
'a': AEU
'large': HRARPBLG
'bundle': PWUPBLD
'of': -F
'hay,': HA*EU/KW-BG
'with': W
'the': -T
'little': HREUL
'man': PHAPB
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'it,': T/KW-BG
'fast': TPAFT
'asleep.': A/SHRAOEP/TP-PL
'He': KPA/HE
'still,': STEUL/KW-BG
'however,': HOUF/KW-BG
'slept': SHREPT
'on,': OPB/KW-BG
'and': SKP
'did': TK
'not': TPHOT
'awake': A/WAEUBG
'till': TEUL
'he': HE
'found': TPOUPBD
'himself': HEUPLS
'in': TPH
'the': -T
'mouth': PHO*UT
'of': -F
'the': -T
'cow;': KOU/STPH*FPLT
'for': TPOR
'the': -T
'cook': KAOBG
'had': H
'put': PUT
'the': -T
'hay': HA*EU
'into': TPHAO
'the': -T
'cow's': KOU/AES
'rick,': HRO*ER/REUBG/KW-BG
'and': SKP
'the': -T
'cow': KOU
'had': H
'taken': TAEPB
'Tom': TOPL
'up': UP
'in': TPH
'a': AEU
'mouthful': PHO*UT/-FL
'of': -F
'it.': T/TP-PL
''Good': A*E/KPA*/TKPWAOD
'lack-a-day!'': HRABG/H-PB/AEU/H-PB/TKAEU/SKHRAPL/AE
'said': SED
'he,': HE/KW-BG
''how': A*E/HOU
'came': KAEUPL
'I': EU
'to': TO
'tumble': TUPL/-BL
'into': TPHAO
'the': -T
'mill?'': PHEUL/H-F/AE
'But': KPA/PWUT
'he': HE
'soon': SAOPB
'found': TPOUPBD
'out': OUT
'where': W-R
'he': HE
'really': R-L
'was;': WAS/STPH*FPLT
'and': SKP
'was': WAS
'forced': TPOFRD
'to': TO
'have': SR
'all': AUL
'his': HEUS
'wits': WEUT/-S
'about': PW
'him,': HEUPL/KW-BG
'that': THA
'he': HE
'might': PHAOEUT
'not': TPHOT
'get': TKPWET
'between': TWAOEPB
'the': -T
'cow's': KOU/AES
'teeth,': TAO*ET/KW-BG
'and': SKP
'so': SO
'be': -B
'crushed': KRURBD
'to': TO
'death.': TK*T/TP-PL
'At': KPA/AT
'last': HRAFT
'down': TKOUPB
'he': HE
'went': WEPBT
'into': TPHAO
'her': HER
'stomach.': STUPL/TP-PL
''It': A*E/KPA*/T
'is': S
'rather': RAER
'dark,'': TKARBG/KW-BG/AE
'said': SED
'he;': HE/STPH*FPLT
''they': A*E/THE
'forgot': TPAURGT
'to': TO
'build': PWEULD
'windows': WOEUPBDZ
'in': TPH
'this': TH
'room': RAOPL
'to': TO
'let': HRET
'the': -T
'sun': SUPB
'in;': TPH/STPH*FPLT
'a': AEU
'candle': KA*PBLD
'would': WO
'be': -B
'no': TPHO
'bad': PWAD
'thing.'': THEUPBG/TP-PL/AE
'Though': KPA/THOE
'he': HE
'made': PHAED
'the': -T
'best': PWEFT
'of': -F
'his': HEUS
'bad': PWAD
'luck,': HRUBG/KW-BG
'he': HE
'did': TK
'not': TPHOT
'like': HRAOEUBG
'his': HEUS
'quarters': KWART/ERS
'at': AT
'all;': AUL/STPH*FPLT
'and': SKP
'the': -T
'worst': WOFRT
'of': -F
'it': T
'was,': WAS/KW-BG
'that': THA
'more': PHOR
'and': SKP
'more': PHOR
'hay': HA*EU
'was': WAS
'always': AULS
'coming': KO*G
'down,': TKOUPB/KW-BG
'and': SKP
'the': -T
'space': SPAEUS
'left': HREFT
'for': TPOR
'him': HEUPL
'became': PWAEUPL
'smaller': SPHAURL
'and': SKP
'smaller.': SPHAURL/TP-PL
'At': KPA/AT
'last': HRAFT
'he': HE
'cried': KRAOEUD
'out': OUT
'as': AS
'loud': HROUD
'as': AS
'he': HE
'could,': KO/KW-BG
''Don't': KPA/A*E/TKOEPBT
'bring': PWREU
'me': PHE
'any': TPHEU
'more': PHOR
'hay!': HA*EU/SKHRAPL
'Don't': KPA/TKOEPBT
'bring': PWREU
'me': PHE
'any': TPHEU
'more': PHOR
'hay!'': HA*EU/SKHRAPL/AE
'The': KPA/-T
'maid': PHAEUD
'happened': HAPD
'to': TO
'be': -B
'just': SKWRUFT
'then': THEPB
'milking': PHEUL/K-G
'the': -T
'cow;': KOU/STPH*FPLT
'and': SKP
'hearing': HAERG
'someone': SPH-PB
'speak,': SPAOEBG/KW-BG
'but': PWUT
'seeing': SAOEG
'nobody,': TPHOEB/KW-BG
'and': SKP
'yet': KWRET
'being': -BG
'quite': KWAOEUT
'sure': SHUR
'it': T
'was': WAS
'the': -T
'same': SAEUPL
'voice': SROEUS
'that': THA
'she': SHE
'had': H
'heard': HAERD
'in': TPH
'the': -T
'night,': TPHAOEUT/KW-BG
'she': SHE
'was': WAS
'so': SO
'frightened': TPRAOEUFPBD
'that': THA
'she': SHE
'fell': TPEL
'off': OF
'her': HER
'stool,': STOL/KW-BG
'and': SKP
'overset': AUFR/SET
'the': -T
'milk-pail.': PH*EULG/H-PB/PAEUL/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'she': SHE
'could': KO
'pick': PEUBG
'herself': H*ERS
'up': UP
'out': OUT
'of': -F
'the': -T
'dirt,': TKEURT/KW-BG
'she': SHE
'ran': RAPB
'off': OF
'as': AS
'fast': TPAFT
'as': AS
'she': SHE
'could': KO
'to': TO
'her': HER
'master': PHAFRT
'the': -T
'parson,': PAR/SOPB/KW-BG
'and': SKP
'said,': SED/KW-BG
''Sir,': A*E/KPA*/SEUR/KW-BG
'sir,': SEUR/KW-BG
'the': -T
'cow': KOU
'is': S
'talking!'': TAUG/SKHRAPL/AE
'But': KPA/PWUT
'the': -T
'parson': PAR/SOPB
'said,': SED/KW-BG
''Woman,': A*E/KPA*/WOPL/KW-BG
'thou': THO*U
'art': ART
'surely': SHURL
'mad!'': PHAD/SKHRAPL/AE
'However,': KPA/HOUF/KW-BG
'he': HE
'went': WEPBT
'with': W
'her': HER
'into': TPHAO
'the': -T
'cow-house,': KOU/H-PB/HOUS/KW-BG
'to': TO
'try': TREU
'and': SKP
'see': SAOE
'what': WHA
'was': WAS
'the': -T
'matter.': PHAERT/TP-PL
'Scarcely': KPA/SKAEURS/HREU
'had': H
'they': THE
'set': SET
'foot': TPAOT
'on': OPB
'the': -T
'threshold,': THRERBLD/KW-BG
'when': WHEPB
'Tom': TOPL
'called': KAULD
'out,': OUT/KW-BG
''Don't': KPA/A*E/TKOEPBT
'bring': PWREU
'me': PHE
'any': TPHEU
'more': PHOR
'hay!'': HA*EU/SKHRAPL/AE
'Then': KPA/THEPB
'the': -T
'parson': PAR/SOPB
'himself': HEUPLS
'was': WAS
'frightened;': TPRAOEUFPBD/STPH*FPLT
'and': SKP
'thinking': THEUG
'the': -T
'cow': KOU
'was': WAS
'surely': SHURL
'bewitched,': PWE/WEUFP/-D/KW-BG
'told': TOLD
'his': HEUS
'man': PHAPB
'to': TO
'kill': KEUL
'her': HER
'on': OPB
'the': -T
'spot.': SPOT/TP-PL
'So': KPA/SO
'the': -T
'cow': KOU
'was': WAS
'killed,': KEULD/KW-BG
'and': SKP
'cut': KUT
'up;': UP/STPH*FPLT
'and': SKP
'the': -T
'stomach,': STOPL/ARBGS
'in': TPH
'which': WEU
'Tom': TOPL
'lay,': HRAEU/KW-BG
'was': WAS
'thrown': THROEPB
'out': OUT
'upon': POPB
'a': AEU
'dunghill.': TK*/*U/TPH*/TKPW*/H*/*EU/HR*/HR*/TP-PL
'Tom': TOPL
'soon': SAOPB
'set': SET
'himself': HEUPLS
'to': TO
'work': WORBG
'to': TO
'get': TKPWET
'out,': OUT/KW-BG
'which': WEU
'was': WAS
'not': TPHOT
'a': AEU
'very': SRE
'easy': EZ
'task;': TAFBG/STPH*FPLT
'but': PWUT
'at': AT
'last,': HRAFT/KW-BG
'just': SKWRUFT
'as': AS
'he': HE
'had': H
'made': PHAED
'room': RAOPL
'to': TO
'get': TKPWET
'his': HEUS
'head': HED
'out,': OUT/KW-BG
'fresh': TPRERB
'ill-luck': EUL/H-PB/HRUBG
'befell': PWE/TPEL
'him.': HEUPL/TP-PL
'A': KPA/AEU
'hungry': HUPBG/REU
'wolf': WOFL
'sprang': SPRAPBG
'out,': OUT/KW-BG
'and': SKP
'swallowed': SWALD
'up': UP
'the': -T
'whole': WHOEL
'stomach,': STOPL/ARBGS
'with': W
'Tom': TOPL
'in': TPH
'it,': T/KW-BG
'at': AT
'one': WUPB
'gulp,': TKPWUL/*P/KW-BG
'and': SKP
'ran': RAPB
'away.': WA*EU/TP-PL
'Tom,': TOPL/KW-BG
'however,': HOUF/KW-BG
'was': WAS
'still': STEUL
'not': TPHOT
'disheartened;': TKEUS/HART/*EPB/-D/STPH*FPLT
'and': SKP
'thinking': THEUG
'the': -T
'wolf': WOFL
'would': WO
'not': TPHOT
'dislike': TKEUS/HRAOEUBG
'having': SR-G
'some': SOPL
'chat': KHAT
'with': W
'him': HEUPL
'as': AS
'he': HE
'was': WAS
'going': TKPW-G
'along,': HRAOPBG/KW-BG
'he': HE
'called': KAULD
'out,': OUT/KW-BG
''My': A*E/KPA*/PHEU
'good': TKPWAOD
'friend,': TPREPBD/KW-BG
'I': EU
'can': K
'show': SHOE
'you': U
'a': AEU
'famous': TPAEUPLS
'treat.'': TRAOET/TP-PL/AE
''Where's': A*E/KPA*/W-R/AES
'that?'': THA/H-F/AE
'said': SED
'the': -T
'wolf.': WOFL/TP-PL
''In': A*E/KPA*/TPH
'such': SUFP
'and': SKP
'such': SUFP
'a': AEU
'house,'': HOUS/KW-BG/AE
'said': SED
'Tom,': TOPL/KW-BG
'describing': SKREUG
'his': HEUS
'own': OEPB
'father's': TPAER/AES
'house.': HOUS/TP-PL
''You': A*E/KPA*/U
'can': K
'crawl': KRAUL
'through': THRU
'the': -T
'drain': TKRAEUPB
'into': TPHAO
'the': -T
'kitchen': K-FP
'and': SKP
'then': THEPB
'into': TPHAO
'the': -T
'pantry,': PAPBT/REU/KW-BG
'and': SKP
'there': THR
'you': U
'will': HR
'find': TPAOEUPBD
'cakes,': KAEUBG/-S/KW-BG
'ham,': HAPL/KW-BG
'beef,': PWAOEF/KW-BG
'cold': KOELD
'chicken,': KH*EUPB/KW-BG
'roast': ROEFT
'pig,': PEUG/KW-BG
'apple-dumplings,': A*EPL/H-PB/TKUFRP/-LGS/KW-BG
'and': SKP
'everything': EFRG
'that': THA
'your': KWROUR
'heart': HART
'can': K
'wish.'': WEURB/TP-PL/AE
'The': KPA/-T
'wolf': WOFL
'did': TK
'not': TPHOT
'want': WAPBT
'to': TO
'be': -B
'asked': SK-D
'twice;': TWAOEUS/STPH*FPLT
'so': SO
'that': THA
'very': SRE
'night': TPHAOEUT
'he': HE
'went': WEPBT
'to': TO
'the': -T
'house': HOUS
'and': SKP
'crawled': KRAULD
'through': THRU
'the': -T
'drain': TKRAEUPB
'into': TPHAO
'the': -T
'kitchen,': K-FP/KW-BG
'and': SKP
'then': THEPB
'into': TPHAO
'the': -T
'pantry,': PAPBT/REU/KW-BG
'and': SKP
'ate': AEUT
'and': SKP
'drank': TKRA*PBG
'there': THR
'to': TO
'his': HEUS
'heart's': HART/AES
'content.': KAUPBT/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'he': HE
'had': H
'had': H
'enough': TPHUF
'he': HE
'wanted': WAPBTD
'to': TO
'get': TKPWET
'away;': WA*EU/STPH*FPLT
'but': PWUT
'he': HE
'had': H
'eaten': AOET/EPB
'so': SO
'much': PHUFP
'that': THA
'he': HE
'could': KO
'not': TPHOT
'go': TKPW
'out': OUT
'by': PWEU
'the': -T
'same': SAEUPL
'way': WAEU
'he': HE
'came': KAEUPL
'in.': TPH/TP-PL
'This': KPA/TH
'was': WAS
'just': SKWRUFT
'what': WHA
'Tom': TOPL
'had': H
'reckoned': REBG/OPBD
'upon;': POPB/STPH*FPLT
'and': SKP
'now': TPHOU
'he': HE
'began': TKPWAPB
'to': TO
'set': SET
'up': UP
'a': AEU
'great': TKPWRAET
'shout,': SHOUT/KW-BG
'making': PHAEUG
'all': AUL
'the': -T
'noise': TPHOEUS
'he': HE
'could.': KO/TP-PL
''Will': A*E/W*EUL
'you': U
'be': -B
'easy?'': EZ/H-F/AE
'said': SED
'the': -T
'wolf;': WOFL/STPH*FPLT
''you'll': A*E/U/AE/HR*/HR*
'awaken': A/WA*EUPB
'everybody': EFRB
'in': TPH
'the': -T
'house': HOUS
'if': TP
'you': U
'make': PHAEUBG
'such': SUFP
'a': AEU
'clatter.'': KHRAT/ER/TP-PL/AE
''What's': A*E/KPA*/WHA/AES
'that': THA
'to': TO
'me?'': PHE/H-F/AE
'said': SED
'the': -T
'little': HREUL
'man;': PHAPB/STPH*FPLT
''you': A*E/U
'have': SR
'had': H
'your': KWROUR
'frolic,': TPROL/EUBG/KW-BG
'now': TPHOU
'I've': AOEUF
'a': AEU
'mind': PHAOEUPBD
'to': TO
'be': -B
'merry': PHER/REU
'myself';': PHAO*EUS/AE/STPH*FPLT
'and': SKP
'he': HE
'began,': TKPWAPB/KW-BG
'singing': SEUPBG/-G
'and': SKP
'shouting': SHOUGT
'as': AS
'loud': HROUD
'as': AS
'he': HE
'could.': KO/TP-PL
'The': KPA/-T
'woodman': HRO*ER/KPA/WAOD/TK-LS/PHAPB
'and': SKP
'his': HEUS
'wife,': WAOEUF/KW-BG
'being': -BG
'awakened': A/WAEUBG/-PBD
'by': PWEU
'the': -T
'noise,': TPHOEUS/KW-BG
'peeped': PAOEPD
'through': THRU
'a': AEU
'crack': KRABG
'in': TPH
'the': -T
'door;': TKAOR/STPH*FPLT
'but': PWUT
'when': WHEPB
'they': THE
'saw': SAU
'a': AEU
'wolf': WOFL
'was': WAS
'there,': THR-RBGS
'you': U
'may': PHAEU
'well': WEL
'suppose': SPOS
'that': THA
'they': THE
'were': WR
'sadly': SAD/HREU
'frightened;': TPRAOEUFPBD/STPH*FPLT
'and': SKP
'the': -T
'woodman': HRO*ER/KPA/WAOD/TK-LS/PHAPB
'ran': RAPB
'for': TPOR
'his': HEUS
'axe,': ABGS/KW-BG
'and': SKP
'gave': TKPWAEUF
'his': HEUS
'wife': WAOEUF
'a': AEU
'scythe.': SKRAOEUT/TP-PL
''Do': A*E/KPA*/TKO
'you': U
'stay': STAEU
'behind,'': HEUPBD/KW-BG/AE
'said': SED
'the': -T
'woodman,': HRO*ER/KPA/WAOD/TK-LS/PHAPB/KW-BG
''and': A*E/SKP
'when': WHEPB
'I': EU
'have': SR
'knocked': TPHOBGD
'him': HEUPL
'on': OPB
'the': -T
'head': HED
'you': U
'must': PHUFT
'rip': REUP
'him': HEUPL
'up': UP
'with': W
'the': -T
'scythe.'': SKRAOEUT/TP-PL/AE
'Tom': TOPL
'heard': HAERD
'all': AUL
'this,': TH/KW-BG
'and': SKP
'cried': KRAOEUD
'out,': OUT/KW-BG
''Father,': A*E/KPA*/TPAER/KW-BG
'father!': TPAER/SKHRAPL
'I': EU
'am': APL
'here,': HAOERBGS
'the': -T
'wolf': WOFL
'has': HAS
'swallowed': SWALD
'me.'': PHE/TP-PL/AE
'And': AFPBD
'his': HEUS
'father': TPAER
'said,': SED/KW-BG
''Heaven': A*E/KPA*/HEFPB
'be': -B
'praised!': PRA*EUFD/SKHRAPL
'we': WE
'have': SR
'found': TPOUPBD
'our': OUR
'dear': TKAER
'child': KHAOEULD
'again';': TKPWEPB/AE/STPH*FPLT
'and': SKP
'he': HE
'told': TOLD
'his': HEUS
'wife': WAOEUF
'not': TPHOT
'to': TO
'use': AOUS
'the': -T
'scythe': SKRAOEUT
'for': TPOR
'fear': TPAOER
'she': SHE
'should': SHO
'hurt': HURT
'him.': HEUPL/TP-PL
'Then': KPA/THEPB
'he': HE
'aimed': AEUPLD
'a': AEU
'great': TKPWRAET
'blow,': PWHROE/KW-BG
'and': SKP
'struck': STRUBG
'the': -T
'wolf': WOFL
'on': OPB
'the': -T
'head,': HED/KW-BG
'and': SKP
'killed': KEULD
'him': HEUPL
'on': OPB
'the': -T
'spot!': SPOT/SKHRAPL
'and': SKP
'when': WHEPB
'he': HE
'was': WAS
'dead': TKED
'they': THE
'cut': KUT
'open': OEP
'his': HEUS
'body,': PWO*ED/KW-BG
'and': SKP
'set': SET
'Tommy': TOPL/PHEU
'free.': TPRAOE/TP-PL
''Ah!'': A*E/KPA*/HA*E/SKHRAPL/AE
'said': SED
'the': -T
'father,': TPAER/KW-BG
''what': A*E/WHA
'fears': TPAOERZ
'we': WE
'have': SR
'had': H
'for': TPOR
'you!'': U/SKHRAPL/AE
''Yes,': A*E/KPA*/KWRE/KW-BG
'father,'': TPAER/KW-BG/AE
'answered': AEPBS/-D
'he;': HE/STPH*FPLT
''I': A*E/EU
'have': SR
'travelled': TRAFL/*LD
'all': AUL
'over': OEFR
'the': -T
'world,': WORLD/KW-BG
'I': EU
'think,': THEU/KW-BG
'in': TPH
'one': WUPB
'way': WAEU
'or': OR
'other,': OER/KW-BG
'since': SEUPBS
'we': WE
'parted;': PARTD/STPH*FPLT
'and': SKP
'now': TPHOU
'I': EU
'am': APL
'very': SRE
'glad': TKPWHRAD
'to': TO
'come': KOPL
'home': HOEPL
'and': SKP
'get': TKPWET
'fresh': TPRERB
'air': AEUR
'again.'': TKPWEPB/TP-PL/AE
''Why,': A*E/KPA*/KWR/KW-BG
'where': W-R
'have': SR
'you': U
'been?'': PW-PB/H-F/AE
'said': SED
'his': HEUS
'father.': TPAER/TP-PL
''I': A*E/EU
'have': SR
'been': PW-PB
'in': TPH
'a': AEU
'mouse-hole--and': PHOUS/H-PB/HOEL/H-PB/H-PB/SKP
'in': TPH
'a': AEU
'snail-shell--and': STPHAEUL/H-PB/SHEL/H-PB/H-PB/SKP
'down': TKOUPB
'a': AEU
'cow's': KOU/AES
'throat--and': THROET/H-PB/H-PB/SKP
'in': TPH
'the': -T
'wolf's': WOFL/AES
'belly;': PWEL/HREU/STPH*FPLT
'and': SKP
'yet': KWRET
'here': HAOER
'I': EU
'am': APL
'again,': STKPWERPBGS
'safe': SAEUF
'and': SKP
'sound.'': SOUPBD/TP-PL/AE
''Well,'': A*E/KPA*/WEL/KW-BG/AE
'said': SED
'they,': THE/KW-BG
''you': A*E/U
'are': R
'come': KOPL
'back,': PWABG/KW-BG
'and': SKP
'we': WE
'will': HR
'not': TPHOT
'sell': SEL
'you': U
'again': TKPWEPB
'for': TPOR
'all': AUL
'the': -T
'riches': REUFPS
'in': TPH
'the': -T
'world.'': WORLD/TP-PL/AE
'Then': KPA/THEPB
'they': THE
'hugged': HUGD
'and': SKP
'kissed': K*EUFD
'their': THAEUR
'dear': TKAER
'little': HREUL
'son,': SOPB/KW-BG
'and': SKP
'gave': TKPWAEUF
'him': HEUPL
'plenty': PHREPBT
'to': TO
'eat': AOET
'and': SKP
'drink,': TKREU/KW-BG
'for': TPOR
'he': HE
'was': WAS
'very': SRE
'hungry;': HUPBG/REU/STPH*FPLT
'and': SKP
'then': THEPB
'they': THE
'fetched': TPEFP/-D
'new': TPHU
'clothes': KHRO*ETS
'for': TPOR
'him,': HEUPL/KW-BG
'for': TPOR
'his': HEUS
'old': OLD
'ones': WUPBZ
'had': H
'been': PW-PB
'quite': KWAOEUT
'spoiled': SPOEULD
'on': OPB
'his': HEUS
'journey.': SKWRURPB/TP-PL
'So': KPA/SO
'Master': KPA/PHAFRT
'Thumb': KPA/THUPL
'stayed': STAEUD
'at': AT
'home': HOEPL
'with': W
'his': HEUS
'father': TPAER
'and': SKP
'mother,': PHOER/KW-BG
'in': TPH
'peace;': PAES/STPH*FPLT
'for': TPOR
'though': THOE
'he': HE
'had': H
'been': PW-PB
'so': SO
'great': TKPWRAET
'a': AEU
'traveller,': TRA*FL/HRER/KW-BG
'and': SKP
'had': H
'done': TKOPB
'and': SKP
'seen': SAOEPB
'so': SO
'many': PHAEPB
'fine': TPAOEUPB
'things,': THEUPBGS/KW-BG
'and': SKP
'was': WAS
'fond': TPOPBD
'enough': TPHUF
'of': -F
'telling': TELG
'the': -T
'whole': WHOEL
'story,': STOER/KW-BG
'he': HE
'always': AULS
'agreed': TKPWRAED
'that,': THARBGS
'after': AF
'all,': AUL/KW-BG
'there's': THR-S
'no': TPHO
'place': PHRAEUS
'like': HRAOEUBG
'HOME!': *URP/HOEPL/SKHRAPL
