King Grisly-Beard
'loved': HROFD
'you.': U/TP-PL
'I': EU
'am': APL
'also': HR-S
'the': -T
'soldier': SHRERPBLG
'that': THA
'overset': AUFR/SET
'your': KWROUR
'stall.': STAUL/TP-PL
'I': EU
'have': SR
'done': TKOPB
'all': AUL
'this': TH
'only': OEPBL
'to': TO
'cure': KAOUR
'you': U
'of': -F
'your': KWROUR
'silly': SHREU
'pride,': PRAOEUD/KW-BG
'and': SKP
'to': TO
'show': SHOE
'you': U
'the': -T
'folly': TPOL/HREU
'of': -F
'your': KWROUR
'ill-treatment': EUL/H-PB/TRAOEPLT
'of': -F
'me.': PHE/TP-PL
'Now': KPA/TPHOU
'all': AUL
'is': S
'over:': OEFR/STPH-FPLT
'you': U
'have': SR
'learnt': HRERPBT
'wisdom,': WEUZ/TKOPL/KW-BG
'and': SKP
'it': T
'is': S
'time': TAOEUPL
'to': TO
'hold': HOLD
'our': OUR
'marriage': PHAERPBLG
'feast.'': TPAOEFT/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'chamberlains': KHAEURPL/TK-LS/HRAEUPB/-S
'came': KAEUPL
'and': SKP
'brought': PWRAUT
'her': HER
'the': -T
'most': PHOFT
'beautiful': PWAOUFL
'robes;': ROEB/-S/STPH*FPLT
'and': SKP
'her': HER
'father': TPAER
'and': SKP
'his': HEUS
'whole': WHOEL
'court': KORT
'were': WR
'there': THR
'already,': HR-R/KW-BG
'and': SKP
'welcomed': W-BGD
'her': HER
'home': HOEPL
'on': OPB
'her': HER
'marriage.': PHAERPBLG/TP-PL
'Joy': KPA/SKWROEU
'was': WAS
'in': TPH
'every': EF
'face': TPAEUS
'and': SKP
'every': EF
'heart.': HART/TP-PL
'The': KPA/-T
'feast': TPAOEFT
'was': WAS
'grand;': TKPWRAPBD/STPH*FPLT
'they': THE
'danced': TKAPBS/-D
'and': SKP
'sang;': SAPBG/STPH*FPLT
'all': AUL
'were': WR
'merry;': PHER/REU/STPH*FPLT
'and': SKP
'I': EU
'only': OEPBL
'wish': WEURB
'that': THA
'you': U
'and': SKP
'I': EU
'had': H
'been': PW-PB
'of': -F
'the': -T
'party.': PAERT/TP-PL
