Homophones

'premiere': PRE/PHAOER
'presence': PREPBS
'presents': PREPBTS
'pride': PRAOEUD
'pried': PRAOEU/-D
'prier': PRAOEU/*ER
'prior': PROEUR
'pries': PRAOEU/-S
'prize': PRAOEUZ
'prince': PREUPBS
'prints': PREUPBTS
'principal': PRAL
'principle': PREUPB
'profit': PROFT
'prophet': PRO*FT
'rack': RABG
'wrack': WRABG
'raid': RAEUD
'rayed': RAEU/-D
'rail': RAEUL
'rale': RA*EL
'rain': RAEUPB
'reign': RAEPB
'rein': RA*EPB
'raise': RAEUZ
'rays': RA*ES
'raze': RAEZ
'rap': RAP
'wrap': WRAP
'rapt': RAPT
'wrapped': WRAPD
'wrapt': W*/R*/A*/P*/T*
're-cover': R*E/KOFR
'recover': ROFR
're-lay': R*E/HRAEU
'relay': RE/HRAEU
'read': RAED
'red': RED
'read': RAED
'reed': RAOED
'real': RAEL
'reel': RAOEL
'riel': R*/*EU/*E/HR*
'recede': RE/SAOED
'reseed': RE/SAO*ED
'reek': RAOEBG
'wreak': WRAOEBG
'residence': R*EPBS
'residents': REPBLTS
'rest': REFT
'wrest': WREFT
'retch': REFP
'wretch': WREFP
'rhyme': RAOEUPL
'rime': REUPL/SKWR*E
'right': RAOEUT
'rite': RAO*EUT
'Wright': WRAOEUGT
'write': WREU
'ring': REUPBG
'wring': WREUPBG
'ringer': REUPBG/*ER
'wringer': WREUPBG/*ER
'rise': RAOEUZ
'ryes': RAOEU/-S
'road': RAOD
'rode': ROED
'rowed': ROE/-D
'roe': HRO*ER/RO*E
'row': ROE
'roil': RO*EUL
'royal': ROEUL
'role': ROEL
'roll': ROL
'roomer': RAOPL/*ER
'rumor': RAOURPL
'rumour': RAOURPL/A*U
'root': RAOT
'route': ROUT
'rose': ROEZ
'rows': ROES
'rote': ROET
'wrote': WRO
'rude': RAOUD
'rued': RAO/-D
'rues': RAO/-S
'ruse': RAOUZ
'rung': RUPBG
'wrung': WRUPBG
'rye': RAOEU
'wry': WRAOEU
'sail': SAEUL
'sale': SAEL
'scene': SAEPB
'seen': SAOEPB
'sea': SAE
'see': SAOE
'seam': SAEPL
'seem': SAOEPL
'sear': SAER
'seer': SAOER
'seas': SAES
'sees': SAO*ES
'seize': SAOEZ
'sects': SEBGT/-S
'sex': S-BGS
'sew': SWE
'so': SO
'sow': SOE
'shake': SHAEUBG
'sheik': SHE/SKWREU/*BG
'shear': SHAER
'sheer': SHAOER
'shoe': SHAOU
'shoo': SHAO
'sic': S*EUBG
'sick': SEUBG
'sics': S*EUBG/-S
'six': SEUBGS
'side': SAOEUD
'sighed': SAOEU/-D
'sighs': SAOEU/-S
'size': SAOEUZ
'sign': SAOEUPB
'sine': SAO*EUPB
'slay': SHRAEU
'sleigh': SHRA*EU
'sleight': SHRAO*EUGT
'slight': SHRAOEUT
'slew': SHRAO*U
'slough': SHROF
'soar': SAOR
'sore': SOR
'soared': SAORD
'sword': SOERD
'sold': SOELD
'soled': SOL/-D
'sole': SOEL
'soul': SOUL
'some': SOPL
'sum': SUPL
'son': SOPB
'sun': SUPB
'stair': STAEUR
'stare': STAER
'stake': STAEUBG
'steak': STAEBG
'stationary': STAEUGS/AER
'stationery': STAEUGS/REU
'steal': STAEL
'steel': STAOEL
'step': STEP
'steppe': STEP/*P/SKWR*E
'storey': STOER/A*U
'story': STOER
'straight': STRAEUT
'strait': STRA*EUT
'suite': SWAO*ET
'sweet': SWAOET
'summary': SUPL/REU
'summery': SUPL/ER/REU
'tacked': TABGD
'tact': TABGT
'tacks': TABG/-S
'tax': TABGS
'tail': TAEUL
'tale': TAEL
'taper': TAEURP
'tapir': T*/A*/P*/*EU/R*
'tarry': TAEUR/REU
'terry': HRO*ER/T*ER/REU
'taught': TAUT
'taut': TA*UT
'tea': TAE
'tee': TAOE
'team': TAEPL
'teem': TAO*EPL
'tears': TAERS
'tiers': TAOERS
'teas': TAES
'tease': TAOES
'tees': TAOEZ
'tense': TEPBS
'tents': TEPBT/-S
'than': THAPB
'then': THEPB
'there': THR
'their': THAEUR
'they're': THER
'threw': THRAOU
'through': THRU
'throne': THRO*EPB
'thrown': THROEPB
'thyme': THAOEUPL
'time': TAOEUPL
'tide': TAOEUD
'tied': TAO*EUD
'tier': TAOER
'tire': TAOEUR
'tighten': TAOEUT/*EPB
'titan': TAOEUT/TAPB
'to': TO
'too': TAO
'two': TWO
'toad': TAOD
'toed': TO/-D
'towed': TOE/-D
'toe': TO*E
'tow': TOE
'told': TOLD
'tolled': TOL/-D
'tracked': TRABGD
'tract': TRABGT
'tray': TRAEU
'trey': TRA*EU
'udder': UD/*ER
'utter': UT/ER
'vain': SRA*EUPB
'vane': SRAEPB
'vein': SRAEUPB
'vale': SRAEL
'veil': SRAEUL
'vial': SRAO*EUL
'vile': SRAOEUL
'vice': SRAOEUS
'vise': SRAOEUZ
'wade': WAEUD
'weighed': WA*ED
'wail': WAEUL
'whale': WHAEUL
'waist': WAEUFT
'waste': WAEFT
'wait': WAEUT
'weight': WAET
'waive': WAEUF
'wave': WAF
'waiver': WAEUFR
'waver': WAFR
'wale': W*/KWRA/*L
'whale': WHAEUL
'war': WAR
'wore': WOR
'ward': WARD
'warred': WAR/-D
'ware': WAEUR
'wear': WAER
'where': W-R
'warn': WARPB
