The Bishop of Borglum and His Warriors

'singing': SEUPBG/-G
'brings': PWREUS
'up': UP
'strange': STRAEUPBG
'thoughts': THAUTS
'in': TPH
'the': -T
'hearers—thoughts': HAER/*ERS/EPL/TKA*RB/THAUTS
'of': -F
'the': -T
'old': OLD
'times': TAOEUPLS
'into': TPHAO
'which': WEU
'we': WE
'are': R
'carried': KAERD
'back.': PWABG/TP-PL
'On': KPA/OPB
'the': -T
'coast': KOEFT
'a': AEU
'ship': SHEUP
'is': S
'stranded;': STRAPBD/-D/STPH*FPLT
'and': SKP
'the': -T
'bishop's': PWEURB/OP/AES
'warriors': WAR/KWRORS
'are': R
'there,': THR-RBGS
'and': SKP
'spare': SPAEUR
'not': TPHOT
'those': THOZ
'whom': WHOPL
'the': -T
'sea': SAE
'has': HAS
'spared.': SPAEURD/TP-PL
'The': KPA/-T
'sea': SAE
'washes': WARBS
'away': WA*EU
'the': -T
'blood': PWHRAOD
'that': THA
'has': HAS
'flowed': TPHROED
'from': TPR
'the': -T
'cloven': KHROEFPB
'skulls.': SKULS/TP-PL
'The': KPA/-T
'stranded': STRAPBD/-D
'goods': TKPWAODZ
'belong': PWHROPBG
'to': TO
'the': -T
'bishop,': PWEURB/OP/KW-BG
'and': SKP
'there': THR
'is': S
'a': AEU
'store': STOR
'of': -F
'goods': TKPWAODZ
'here.': HAOER/TP-PL
'The': KPA/-T
'sea': SAE
'casts': KAFT/-S
'up': UP
'tubs': TUBS
'and': SKP
'barrels': PWARLS
'filled': TPEULD
'with': W
'costly': KOFT/HREU
'wine': WAOEUPB
'for': TPOR
'the': -T
'convent': KOPB/SREPBT
'cellar,': SEL/AR/KW-BG
'and': SKP
'in': TPH
'the': -T
'convent': KOPB/SREPBT
'is': S
'already': HR-R
'good': TKPWAOD
'store': STOR
'of': -F
'beer': PWAOER
'and': SKP
'mead.': PHAO*ED/TP-PL
'There': KPA/THR
'is': S
'plenty': PHREPBT
'in': TPH
'the': -T
'kitchen—dead': K-FP/EPL/TKA*RB/TKED
'game': TKPWAEUPL
'and': SKP
'poultry,': POL/TREU/KW-BG
'hams': HAPL/-S
'and': SKP
'sausages;': SAUFPBLG/-S/STPH*FPLT
'and': SKP
'fat': TPAT
'fish': TPEURB
'swim': SWEUPL
'in': TPH
'the': -T
'ponds': POPBDZ
'without.': WOUT/TP-PL
'The': KPA/-T
'Bishop': KPA/PWEURB/OP
'of': -F
'Borglum': PW*P/O*/R*/TKPW*/HR*/*UPL
'is': S
'a': AEU
'mighty': PHAOEUT/KWREU
'lord.': HRORD/TP-PL
'He': KPA/HE
'has': HAS
'great': TKPWRAET
'possessions,': POE/SEGS/-S/KW-BG
'but': PWUT
'still': STEUL
'he': HE
'longs': HROPBG/-S
'for': TPOR
'more—everything': PHOR/EPL/TKA*RB/EFRG
'must': PHUFT
'bow': PWOE
'before': PW-FR
'the': -T
'mighty': PHAOEUT/KWREU
'Olaf': O*P/HR*/A*/TP*
'Glob.': KPA/TKPWHROB/TP-PL
'His': KPA/HEUS
'rich': REUFP
'cousin': KUZ
'at': AT
'Thyland': KPA/THAO*EU/HRA*PBD
'is': S
'dead,': TKED/KW-BG
'and': SKP
'his': HEUS
'widow': WO*EUD
'is': S
'to': TO
'have': SR
'the': -T
'rich': REUFP
'inheritance.': EUPB/HER/TAPBS/TP-PL
'But': KPA/PWUT
'how': HOU
'comes': KOPLS
'it': T
'that': THA
'one': WUPB
'relation': RELGS
'is': S
'always': AULS
'harder': HARD/*ER
'towards': TORDZ
'another': TPHOER
'than': THAPB
'even': AOEPB
'strangers': STRAEURPBGS
'would': WO
'be?': -B/H-F
'The': KPA/-T
'widow's': WO*EUD/AES
'husband': HUS
'had': H
'possessed': POS/ES/-D
'all': AUL
'Thyland,': KPA/THAO*EU/HRA*PBD/KW-BG
'with': W
'the': -T
'exception': KPEPGS
'of': -F
'the': -T
'church': KHUFRPB
'property.': PROT/TP-PL
'Her': KPA/HER
'son': SOPB
'was': WAS
'not': TPHOT
'at': AT
'home.': HOEPL/TP-PL
'In': KPA/TPH
'his': HEUS
'boyhood': PWOEU/HAOD
'he': HE
'had': H
'already': HR-R
'started': STARTD
'on': OPB
'a': AEU
'journey,': SKWRURPB/KW-BG
'for': TPOR
'his': HEUS
'desire': STKAOEUR
'was': WAS
'to': TO
'see': SAOE
'foreign': TPOERPB
'lands': HRAPBDZ
'and': SKP
'strange': STRAEUPBG
'people.': PAOEPL/TP-PL
'For': KPA/TPOR
'years': KWRAOERS
'there': THR
'had': H
'been': PW-PB
'no': TPHO
'news': TPHUS
'of': -F
'him.': HEUPL/TP-PL
'Perhaps': KPA/PRAPS
'he': HE
'had': H
'been': PW-PB
'long': HROPBG
'laid': HRAEUD
'in': TPH
'the': -T
'grave,': TKPWRAEUF/KW-BG
'and': SKP
'would': WO
'never': TPHEFR
'come': KOPL
'back': PWABG
'to': TO
'his': HEUS
'home,': HOEPL/KW-BG
'to': TO
'rule': RAOUL
'where': W-R
'his': HEUS
'mother': PHOER
'then': THEPB
'ruled.': RAOULD/TP-PL
'"What': KW-GS/KPA*/WHA
'has': HAS
'a': AEU
'woman': WOPL
'to': TO
'do': TKO
'with': W
'rule?"': RAOUL/H-F/KR-GS
'said': SED
'the': -T
'bishop.': PWEURB/OP/TP-PL
'He': KPA/HE
'summoned': SPHUPBD
'the': -T
'widow': WO*EUD
'before': PW-FR
'a': AEU
'law': HRAU
'court;': KORT/STPH*FPLT
'but': PWUT
'what': WHA
'did': TK
'he': HE
'gain': TKPWAEUPB
'thereby?': THR-B/H-F
'The': KPA/-T
'widow': WO*EUD
'had': H
'never': TPHEFR
'been': PW-PB
'disobedient': TKEUS/OE/PWAOEPBT
'to': TO
'the': -T
'law,': HRAU/KW-BG
'and': SKP
'was': WAS
'strong': STROPBG
'in': TPH
'her': HER
'just': SKWRUFT
'rights.': RAOEUTS/TP-PL
'Bishop': KPA/PWEURB/OP
'Olaf': O*P/HR*/A*/TP*
'of': -F
'Borglum,': PW*P/O*/R*/TKPW*/HR*/*UPL/KW-BG
'what': WHA
'dost': TK*/O*/S*/T*
'thou': THO*U
'purpose?': PURP/H-F
'What': KPA/WHA
'writest': WREUT/TK-LS/EFT
'thou': THO*U
'on': OPB
'yonder': KWROPBD/ER
'smooth': SPHAO*T
'parchment,': PAFRPB/*PLT/KW-BG
'sealing': SAELG
'it': T
'with': W
'thy': THAO*EU
'seal,': SAOEL/KW-BG
'and': SKP
'intrusting': EUPB/TRUFT/-G
'it': T
'to': TO
'the': -T
'horsemen': HORS/PH*EPB
'and': SKP
'servants,': SER/SRAPBTS/KW-BG
'who': WHO
'ride': RAOEUD
'away,': WA*EU/KW-BG
'far': TPAR
'away,': WA*EU/KW-BG
'to': TO
'the': -T
'city': STEU
'of': -F
'the': -T
'Pope?': PO*EP/H-F
'It': KPA/T
'is': S
'the': -T
'time': TAOEUPL
'of': -F
'falling': TPAULG
'leaves': HREFS
'and': SKP
'of': -F
'stranded': STRAPBD/-D
'ships,': SHEUPS/KW-BG
'and': SKP
'soon': SAOPB
'icy': AOEU/SEU
'winter': WEURPBT
'will': HR
'come.': KOPL/TP-PL
'Twice': KPA/TWAOEUS
'had': H
'icy': AOEU/SEU
'winter': WEURPBT
'returned': RURPBD
'before': PW-FR
'the': -T
'bishop': PWEURB/OP
'welcomed': W-BGD
'the': -T
'horsemen': HORS/PH*EPB
'and': SKP
'servants': SER/SRAPBTS
'back': PWABG
'to': TO
'their': THAEUR
'home.': HOEPL/TP-PL
'They': KPA/THE
'came': KAEUPL
'from': TPR
'Rome': RO*EPL
'with': W
'a': AEU
'papal': PAEU/PAL
'decree—a': TKE/KRAOE/EPL/TKA*RB/AEU
'ban,': PWAPB/KW-BG
'or': OR
'bull,': PWUL/KW-BG
'against': TKPWEPBS
'the': -T
'widow': WO*EUD
'who': WHO
'had': H
'dared': TKAEURD
'to': TO
'offend': OFPBD
'the': -T
'pious': PAOEU/OUS
'bishop.': PWEURB/OP/TP-PL
'"Cursed': KW-GS/KPA*/KURS/-D
'be': -B
'she': SHE
'and': SKP
'all': AUL
'that': THA
'belongs': PWHROPBGS
'to': TO
'her.': HER/TP-PL
'Let': KPA/HRET
'her': HER
'be': -B
'expelled': EBGS/PELD
'from': TPR
'the': -T
'congregation': KOPBG/TKPWAEUGS
'and': SKP
'the': -T
'Church.': KH*UFRPB/TP-PL
'Let': KPA/HRET
'no': TPHO
'man': PHAPB
'stretch': STREFP
'forth': TPO*RT
'a': AEU
'helping': HEPG
'hand': HAPBD
'to': TO
'her,': HER/KW-BG
'and': SKP
'let': HRET
'friends': TPREPBDZ
'and': SKP
'relations': RELGS/-S
'avoid': A/SROEUD
'her': HER
'as': AS
'a': AEU
'plague': PHRA*EUG
'and': SKP
'a': AEU
'pestilence!"': PEFT/HREPBS/SKHRAPL/KR-GS
'"What': KW-GS/KPA*/WHA
'will': HR
'not': TPHOT
'bend': PWEPBD
'must': PHUFT
'break,"': PWRAEBG/KW-BG/KR-GS
'said': SED
'the': -T
'Bishop': KPA/PWEURB/OP
'of': -F
'Borglum': PW*P/O*/R*/TKPW*/HR*/*UPL
'And': AFPBD
'all': AUL
'forsake': TPAUR/SAEUBG
'the': -T
'widow;': WO*EUD/STPH*FPLT
'but': PWUT
'she': SHE
'holds': HOLDZ
'fast': TPAFT
'to': TO
'her': HER
'God.': TKPWO*D/TP-PL
'He': KPA/HE
