The Swineherd
'the': -T
'ladies': HRAEUDZ
'were': WR
'so': SO
'busily': PWEUZ/HREU
'engaged': EPB/TKPWAEUPBLGD
'in': TPH
'counting': KOUPBGT
'the': -T
'kisses,': KEUS/-S/KW-BG
'that': THA
'all': AUL
'should': SHO
'be': -B
'fair,': TPAEUR/KW-BG
'that': THA
'they': THE
'did': TK
'not': TPHOT
'notice': TPH-TS
'the': -T
'emperor.': EPL/ROR/TP-PL
'He': KPA/HE
'raised': RA*EUFD
'himself': HEUPLS
'on': OPB
'tiptoe.': TEUP/TOE/TP-PL
'"What': KW-GS/KPA*/WHA
'does': TKOS
'this': TH
'mean?"': PHAOEPB/H-F/KR-GS
'he': HE
'said,': SED/KW-BG
'when': WHEPB
'he': HE
'saw': SAU
'that': THA
'his': HEUS
'daughter': TKAUR
'was': WAS
'kissing': KEUFG
'the': -T
'swineherd,': SWAOEUPB/TK-LS/H*ERD/KW-BG
'and': SKP
'then': THEPB
'hit': HEUT
'their': THAEUR
'heads': HEDZ
'with': W
'his': HEUS
'shoe': SHAOU
'just': SKWRUFT
'as': AS
'the': -T
'swineherd': SWAOEUPB/TK-LS/H*ERD
'received': SAOEFD
'the': -T
'sixty-eighth': SEUBGT/H-PB/A*ET
'kiss.': KEUS/TP-PL
'"Go': KW-GS/KPA*/TKPW
'out': OUT
'of': -F
'my': PHEU
'sight,"': SAOEUT/KW-BG/KR-GS
'said': SED
'the': -T
'emperor,': EPL/ROR/KW-BG
'for': TPOR
'he': HE
'was': WAS
'very': SRE
'angry;': APBG/REU/STPH*FPLT
'and': SKP
'both': PWO*T
'the': -T
'princess': PREUPB/SES
'and': SKP
'the': -T
'swineherd': SWAOEUPB/TK-LS/H*ERD
'were': WR
'banished': PWAPB/EURBD
'from': TPR
'the': -T
'empire.': EPL/PAOEUR/TP-PL
'There': KPA/THR
'she': SHE
'stood': STAOD
'and': SKP
'cried,': KRAOEUD/KW-BG
'the': -T
'swineherd': SWAOEUPB/TK-LS/H*ERD
'scolded': SKOLD/-D
'her,': HER/KW-BG
'and': SKP
'the': -T
'rain': RAEUPB
'came': KAEUPL
'down': TKOUPB
'in': TPH
'torrents.': TAUR/REPBTS/TP-PL
'"Alas,': KW-GS/KPA*/A/HRAS/KW-BG
'unfortunate': TPHORPBT
'creature': KRAOEFP
'that': THA
'I': EU
'am!"': APL/SKHRAPL/KR-GS
'said': SED
'the': -T
'princess,': PREUPB/SES/KW-BG
'"I': KW-GS/EU
'wish': WEURB
'I': EU
'had': H
'accepted': SEPD
'the': -T
'prince.': PREUPBS/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'how': HOU
'wretched': WREFPD
'I': EU
'am!"': APL/SKHRAPL/KR-GS
'The': KPA/-T
'swineherd': SWAOEUPB/TK-LS/H*ERD
'went': WEPBT
'behind': HEUPBD
'a': AEU
'tree,': TRAOE/KW-BG
'wiped': WAOEUPD
'his': HEUS
'face,': TPAEUS/KW-BG
'threw': THRAOU
'off': OF
'his': HEUS
'poor': PAOR
'attire': A/TAOEUR
'and': SKP
'stepped': STEPD
'forth': TPO*RT
'in': TPH
'his': HEUS
'princely': PREUPBS/HREU
'garments;': TKPWARPLTS/STPH*FPLT
'he': HE
'looked': HRAOBGD
'so': SO
'beautiful': PWAOUFL
'that': THA
'the': -T
'princess': PREUPB/SES
'could': KO
'not': TPHOT
'help': HEP
'bowing': PWOUG
'to': TO
'him.': HEUPL/TP-PL
'"I': KW-GS/EU
'have': SR
'now': TPHOU
'learnt': HRERPBT
'to': TO
'despise': STKPAOEUZ
'you,"': U/KW-BG/KR-GS
'he': HE
'said.': SED/TP-PL
'"You': KW-GS/KPA*/U
'refused': RAO*UFD
'an': APB
'honest': HOPBS
'prince;': PREUPBS/STPH*FPLT
'you': U
'did': TK
'not': TPHOT
'appreciate': PRAOERB
'the': -T
'rose': ROEZ
'and': SKP
'the': -T
'nightingale;': TPHAOEUT/-G/TKPWAEL/STPH*FPLT
'but': PWUT
'you': U
'did': TK
'not': TPHOT
'mind': PHAOEUPBD
'kissing': KEUFG
'a': AEU
'swineherd': SWAOEUPB/TK-LS/H*ERD
'for': TPOR
'his': HEUS
'toys;': TOEUS/STPH*FPLT
'you': U
'have': SR
'no': TPHO
'one': WUPB
'but': PWUT
'yourself': KWRO*URS
'to': TO
'blame!"': PWHRAEUPL/SKHRAPL/KR-GS
'And': AFPBD
'then': THEPB
'he': HE
'returned': RURPBD
'into': TPHAO
'his': HEUS
'kingdom': KEUPBG/TKOPL
'and': SKP
'left': HREFT
'her': HER
'behind.': HEUPBD/TP-PL
'She': KPA/SHE
'could': KO
'now': TPHOU
'sing': SEUPBG
'at': AT
'her': HER
'leisure:': HR*ERB/STPH-FPLT
'"A': KW-GS/KPA*/AEU
'jolly': SKWROL/HREU
'old': OLD
'sow': SOE
'once': WUPBS
'lived': HREUFD
'in': TPH
'a': AEU
'sty,': STAOEU/KW-BG
'Three': KPA/THRAOE
'little': HREUL
'piggies': PEUG/KWREU/-S
'has': HAS
'she,"': SHE/KW-BG/KR-GS
'&c.': SP-PBD/KR*/TP-PL
