Top 10000 Project Gutenberg words

'friends': TPREPBDZ
'held': HELD
'free': TPRAOE
'war': WAR
'during': TKURG
'several': SEFRL
'business': PWEUS
'whether': WHR
'er': *E/R*
'manner': PHAERPB
'second': SEBGD
'reason': R-PB
'replied': RE/PHRAOEUD
'united': AOUPBTD
'call': KAUL
'general': SKWREPBL
'why': KWR
'behind': HEUPBD
'became': PWAEUPL
'John': SKWROPB
'become': PW-BG
'dead': TKED
'earth': *ERT
'boy': PWOEU
'lost': HRO*S
'forth': TPO*RT
'thousand': THOUD
'looking': HRAOG
'I'll': AOEUL
'family': TPAEPL
'soul': SOUL
'feel': TPAOEL
'coming': KO*G
'England': TKPWHRAEPBD
'spirit': SPEURT
'question': KWE
'care': KAEUR
'truth': TRAO*UT
'ground': TKPWROUPBD
'really': R-L
'rest': REFT
'mean': PHAOEPB
'different': TKEUFRT
'making': PHAEUG
'possible': POB
'fell': TPEL
'towards': TORDZ
'human': HAOUPL
'kept': KEPT
'short': SHORT
'town': TOUPB
'following': TPOLG
'need': TPHAOED
'cause': KAUS
'met': PHET
'evening': AOEPBG
'returned': RURPBD
'five': TPAOEUF
'strong': STROPBG
'able': ABL
'French': TPREFRPB
'live': HREUF
'lady': HRA*ED
'subject': SUBT
'Sn': S*P/TPH*
'answer': AEPBS
'sea': SAE
'fear': TPAOER
'understand': URPBD
'hard': HARD
'terms': TERPLS
'doubt': TKOUT
'around': ARPBD
'ask': SK
'arms': ARPLS
'turn': TURPB
'sense': SEPBS
'seems': SAOEPLS
'black': PWHRABG
'bring': PWREU
'followed': TPOLD
'beautiful': PWAOUFL
'close': KHROES
'dark': TKARBG
'hold': HOLD
'character': KRAR
'sort': SORT
'sight': SAOEUT
'ten': TEPB
'show': SHOE
'party': PAERT
'fine': TPAOEUPB
'ye': KWR*/SKWRE
'ready': R-D
'story': STOER
'common': KPHOPB
'book': PWAOBG
'electronic': TRO*PBG
'talk': TAUBG
'account': K-T
'mark': PHARBG
'interest': TR
'written': WREUPB
'can't': K-PBT
'bed': PWED
'necessary': TPHES
'age': AEUPBLG
'else': ELS
'force': TPORS
'idea': KWR-D
'longer': HRORPBG
'art': ART
'spoke': SPOEBG
'across': KRAOS
'brother': PWROER
'early': ERL
'ought': OT
'sometimes': STAOEUPLS
'line': HRAOEUPB
'saying': SAEUG
'table': TAEUBL
'appeared': A/PAOERD
'river': REUFR
'continued': T-PBD
'eye': AOEU
'ety': *E/T*/KWR*
'sun': SUPB
'information': TPH-FGS
'later': HRAEURT
'everything': EFRG
'reached': RAOEFPD
'suddenly': SULD
'past': PAFT
'hours': HOURS
'strange': STRAEUPBG
'deep': TKAOEP
'change': KHAEUPBG
'miles': PHAOEULS
'feeling': TPAOELG
'act': ABGT
'meet': PHAOET
'paid': PAEUD
'further': TPURT
'purpose': PURP
'happy': HAEP
'added': AD/-D
'seem': SAOEPL
'taking': TAEUG
'blood': PWHRAOD
'rose': ROEZ
'south': SOUT
'beyond': KWROPBD
'cold': KOELD
'neither': TPHAOERT
'forward': TPAORD
'view': SRAOU
'I've': AOEUF
'position': POGS
'sound': SOUPBD
'none': TPHOPB
'entered': SPWR-D
'clear': KHRAOER
'road': RAOD
'late': HRAEUT
'stand': STAPBD
'suppose': SPOS
'la': HRA
'daughter': TKAUR
'real': RAEL
'nearly': TPHAOERL
'mine': PHAOEUPB
'laws': HRAUS
'knowledge': TPHOPBLG
'comes': KOPLS
'toward': TORD
'bad': PWAD
'cut': KUT
'copy': KO*EP
'husband': HUS
'six': SEUBGS
'France': TPRAPBS
'living': HREUFG
'peace': PAES
'didn't': TK-PBT
'low': HROE
'north': TPHORT
'remember': RER
'effect': EFBGT
'natural': TPHARL
'pretty': PREUT
'fall': TPAUL
'fair': TPAEUR
'service': S-FS
'below': PWHRO
'except': KPEPT
'American': PHERPB
'hair': HAEUR
'London': HROPBD/OPB
'laid': HRAEUD
'pass': PAS
'led': HRED
'copyright': KPRAOEUT
'doing': TK*G
'army': AERPL
'run': RUPB
'horse': HORS
'future': TPAOURT
'opened': OEPD
'pleasure': PHRERB
'history': HEUFRT
'west': WEFT
'pay': PAEU
'red': RED
'an'': APB/AE
'4': #H
'hath': HA*T
'note': TPHOET
'although': HR*T
'wanted': WAPBTD
'gold': TKPWOELD
'makes': PHAEUBGS
'desire': STKAOEUR
'play': PHRAEU
'master': PHAFRT
'office': OFS
'tried': TRAOEUD
'front': TPROPBT
'big': PWEUG
'Dr.': TKR-FPLT
'lived': HREUFD
'certainly': SERPBL
'wind': WEUPBD
'receive': SAOEF
'attention': TAEPBGS
'government': TKPWOFT
'unto': UPB/TO
'church': KHUFRPB
'strength': STREPBG
'length': HREPBG
'company': K-P
'placed': PHRAEUFD
'paper': PAEUP
'letters': HRERTS
'probably': PROBL
'glad': TKPWHRAD
'important': PORPB
'especially': EPS
'greater': TKPWRAERT
'yourself': KWRO*URS
'fellow': TP*EL
'bear': PWAER
'opinion': P-PB
'window': WOEUPBD
'ran': RAPB
'faith': TPA*EUT
'ago': AG
'agreement': TKPWRAOEPLT
'charge': KHARPBLG
'beauty': PWAOUT
'lips': HREUPS
'remained': RE/PHAEUPBD
'arm': ARPL
'latter': HRART
'duty': TKAOUT
'send': SEPBD
'distance': STKAPBS
'silence': SHREPBS
'foot': TPAOT
'wild': WAOEULD
'object': OBT
'die': TKAOEU
'save': SAF
'gentleman': SKWRA*PL
'trees': TRAOES
'green': TKPWRAOEPB
'trouble': TRUBL
'smile': SPHAOEUL
'books': PWAOBGS
'wrong': WROPBG
'various': SRAEURS
'sleep': SHRAOEP
'persons': PERPBS
'blockquote': PWHROBG/TK-LS/KWOET
'happened': HAPD
'particular': PHRAR
'drew': TKRAOU
'minutes': PHEUPBS
'hardly': HA*RLD
'walked': WAUBGD
'chief': KHAOEF
'chance': KHAPBS
'according': KORG
'beginning': TKPWEUPB/-G
'action': A*BGS
'deal': TKAOEL
'loved': HROFD
'visit': SREUFT
'thinking': THEUG
'follow': TPOL
'standing': STAPBG
'knows': TPHOEZ
'try': TREU
'presence': PREPBS
'heavy': HOEUF
'sweet': SWAOET
'plain': PHRAEUPB
'donations': TKOEPBGS/-S
'immediately': PHAOELD
'wrote': WRO
'mouth': PHO*UT
'rich': REUFP
'thoughts': THAUTS
'months': PHO*PBTS
'u': *U
'won't': WOEPBT
'afraid': A/TPRAEUD
'Paris': PA*EURS
'single': SEUPBLG
'joy': SKWROEU
'enemy': TPHAEPL
'broken': PWROEPB
'unless': TPH-LS
'states': STAEUTS
'ship': SHEUP
'condition': K-PB
'carry': KAER
'exclaimed': SKHRAEUPLD
'including': KHRUG
'filled': TPEULD
'seeing': SAOEG
'influence': WEPBS
'write': WREU
'boys': PWOEUS
'appear': A/PAOER
'outside': OUDZ
'secret': SKRET
'parts': PARTS
'please': PHRES
'appearance': PAOERPBS
'evil': AOEFL
'march': PHAFRPB
'George': SKWRORPBLG
'whatever': WHAF
'slowly': SHROEL
'tears': TAERS
'horses': HORSZ
'places': PHRAEUFS
'caught': KAUT
'stay': STAEU
'instead': STPHED
'struck': STRUBG
'blue': PWHRU
'York': KWRORBG
'impossible': EUPL/POB
'period': PAOERD
'sister': ST-R
'battle': PWA*LT
'school': SKAOL
'Mary': PHA*ER
'raised': RA*EUFD
'occasion': KWAEUGS
'married': PHAERD
'man's': PHAPB/AES
'former': TPRORPL
'food': TPAOD
'youth': KWRAO*UT
'learned': HRERPBD
'merely': PHAOERL
'reach': RAOEFP
'system': S-PL
'twenty': TWEPBT
'dinner': TKEURPB
'quiet': KWAO*EUT
'easily': AOELS
'moved': PHOFD
'afterwards': A*FRDZ
'giving': TKPWEUFG
'walk': WAUBG
'stopped': STOPD
'laughed': HRAFD
'language': HRAPBLG
'expression': EBGS/PREGS
'week': WAOEBG
'hall': HAUL
'danger': TKAEUPBLG
'property': PROT
'wonder': WOPBD
'usual': AOURB
'figure': TPEUG
'born': PWORPB
'court': KORT
'generally': SKWRERPBL
'grew': TKPWRAOU
'showed': SHOED
'getting': TKPWEGT
'ancient': AEURBT
'respect': R-PT
'third': THEURD
'worth': WO*RT
'simple': S*EUPL
'tree': TRAOE
'leaving': HREFG
'remain': RAEUPL
'society': SOET
'fight': TPAOEUT
'wall': WAUL
'result': RULT
'heaven': HEFPB
'William': WOEUPL
'started': STARTD
'command': KPHAPBD
'tone': TOEPB
'regard': RARD
'expected': KP-PTD
'mere': PHAOER
'month': PHO*PBT
'beside': PWE/SAOEUD
'silent': SHREPBT
'perfect': P-F
'experience': SPAOERPBS
'street': STRAOET
'writing': WREUG
'goes': TKPW-S
'circumstances': SEURBGS
'entirely': SPWAOEURL
'fresh': TPRERB
'duke': TKAOUBG
'covered': KOFRD
'bound': PWOUPBD
'east': AOEFT
'wood': WAOD
'stone': STOEPB
'quickly': KWEULG
'notice': TPH-TS
'bright': PWRAOEUT
'Christ': KRAOEUFT
'boat': PWOET
'noble': TPHOEBL
'meant': PHEPBT
'somewhat': SWHA
'sudden': SUD
'value': SRAOUL
'c.': KR*/TP-PL
'direction': TKREBGS
'chair': KHAEUR
'due': TKAOU
'support': SPOR
'Tom': TOPL
'date': TKAEUT
'waiting': WAEUGT
'Christian': KREUGS
'village': SREULG
'lives': HREUFS
'reading': RAEGD
'agree': TKPWRAE
'lines': HRAOEUPBS
'considered': KR-D
'field': TPAOELD
'observed': OEBD
'scarcely': SKAEURS/HREU
'wished': WEURBD
'wait': WAEUT
'greatest': TKPWRAET/EFT
