The Juniper-Tree
'cheerfully': KHAOER/TPHREU
'to': TO
'the': -T
'table': TAEUBL
'and': SKP
'ate.': AEUT/TP-PL
'The': KPA/-T
'bird': PWEURD
'flew': TPHRAOU
'away': WA*EU
'and': SKP
'alighted': A/HRAOEUTD
'on': OPB
'the': -T
'house': HOUS
'of': -F
'a': AEU
'goldsmith': TKPWOELD/SPH*EUT
'and': SKP
'began': TKPWAPB
'to': TO
'sing:': SEUPBG/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'The': KPA/-T
'goldsmith': TKPWOELD/SPH*EUT
'was': WAS
'in': TPH
'his': HEUS
'workshop': WO*P
'making': PHAEUG
'a': AEU
'gold': TKPWOELD
'chain,': KHAEUPB/KW-BG
'when': WHEPB
'he': HE
'heard': HAERD
'the': -T
'song': SOPBG
'of': -F
'the': -T
'bird': PWEURD
'on': OPB
'his': HEUS
'roof.': RAOF/TP-PL
'He': KPA/HE
'thought': THAUT
'it': T
'so': SO
'beautiful': PWAOUFL
'that': THA
'he': HE
'got': TKPWOT
'up': UP
'and': SKP
'ran': RAPB
'out,': OUT/KW-BG
'and': SKP
'as': AS
'he': HE
'crossed': KROFD
'the': -T
'threshold': THRERBLD
'he': HE
'lost': HRO*S
'one': WUPB
'of': -F
'his': HEUS
'slippers.': SHREUP/*ERS/TP-PL
'But': KPA/PWUT
'he': HE
'ran': RAPB
'on': OPB
'into': TPHAO
'the': -T
'middle': PH*EULD
'of': -F
'the': -T
'street,': STRAOET/KW-BG
'with': W
'a': AEU
'slipper': SHREUP/ER
'on': OPB
'one': WUPB
'foot': TPAOT
'and': SKP
'a': AEU
'sock': SOBG
'on': OPB
'the': -T
'other;': OER/STPH*FPLT
'he': HE
'still': STEUL
'had': H
'on': OPB
'his': HEUS
'apron,': AEUP/ROPB/KW-BG
'and': SKP
'still': STEUL
'held': HELD
'the': -T
'gold': TKPWOELD
'chain': KHAEUPB
'and': SKP
'the': -T
'pincers': PEPBS/*ER/-S
'in': TPH
'his': HEUS
'hands,': HAPBDZ/KW-BG
'and': SKP
'so': SO
'he': HE
'stood': STAOD
'gazing': TKPWAEUFG
'up': UP
'at': AT
'the': -T
'bird,': PWEURD/KW-BG
'while': WHAOEUL
'the': -T
'sun': SUPB
'came': KAEUPL
'shining': SHAOEUPBG
'brightly': PWRAOEULT
'down': TKOUPB
'on': OPB
'the': -T
'street.': STRAOET/TP-PL
''Bird,'': A*E/KPA*/PWEURD/KW-BG/AE
'he': HE
'said,': SED/KW-BG
''how': A*E/HOU
'beautifully': PWAOUFL/HREU
'you': U
'sing!': SEUPBG/SKHRAPL
'Sing': KPA/SEUPBG
'me': PHE
'that': THA
'song': SOPBG
'again.'': TKPWEPB/TP-PL/AE
''Nay,'': A*E/KPA*/TPHAEU/KW-BG/AE
'said': SED
'the': -T
'bird,': PWEURD/KW-BG
''I': A*E/EU
'do': TKO
'not': TPHOT
'sing': SEUPBG
'twice': TWAOEUS
'for': TPOR
'nothing.': TPHOG/TP-PL
'Give': KPA/TKPWEUF
'that': THA
'gold': TKPWOELD
'chain,': KHAEUPB/KW-BG
'and': SKP
'I': EU
'will': HR
'sing': SEUPBG
'it': T
'you': U
'again.'': TKPWEPB/TP-PL/AE
''Here': A*E/KPA*/HAOER
'is': S
'the': -T
'chain,': KHAEUPB/KW-BG
'take': TAEUBG
'it,'': T/KW-BG/AE
'said': SED
'the': -T
'goldsmith.': TKPWOELD/SPH*EUT/TP-PL
''Only': A*E/KPA*/OEPBL
'sing': SEUPBG
'me': PHE
'that': THA
'again.'': TKPWEPB/TP-PL/AE
'The': KPA/-T
'bird': PWEURD
'flew': TPHRAOU
'down': TKOUPB
'and': SKP
'took': TAOBG
'the': -T
'gold': TKPWOELD
'chain': KHAEUPB
'in': TPH
'his': HEUS
'right': RAOEUT
'claw,': KHRAU/KW-BG
'and': SKP
'then': THEPB
'he': HE
'alighted': A/HRAOEUTD
'again': TKPWEPB
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'goldsmith': TKPWOELD/SPH*EUT
'and': SKP
'sang:': SAPBG/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'Then': KPA/THEPB
'he': HE
'flew': TPHRAOU
'away,': WA*EU/KW-BG
'and': SKP
'settled': SELTD
'on': OPB
'the': -T
'roof': RAOF
'of': -F
'a': AEU
'shoemaker's': SHAOU/PHA*EURBG/AES
'house': HOUS
'and': SKP
'sang:': SAPBG/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'The': KPA/-T
'shoemaker': SHAOU/PHA*EURBG
'heard': HAERD
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'jumped': SKWR*UPLD
'up': UP
'and': SKP
'ran': RAPB
'out': OUT
'in': TPH
'his': HEUS
'shirt-sleeves,': SHEURT/H-PB/SHRAOEFS/KW-BG
'and': SKP
'stood': STAOD
'looking': HRAOG
'up': UP
'at': AT
'the': -T
'bird': PWEURD
'on': OPB
'the': -T
'roof': RAOF
'with': W
'his': HEUS
'hand': HAPBD
'over': OEFR
'his': HEUS
'eyes': AO*EUS
'to': TO
'keep': KAOEP
'himself': HEUPLS
'from': TPR
'being': -BG
'blinded': PWHRAOEUPBD/-D
'by': PWEU
'the': -T
'sun.': SUPB/TP-PL
''Bird,'': A*E/KPA*/PWEURD/KW-BG/AE
'he': HE
'said,': SED/KW-BG
''how': A*E/HOU
'beautifully': PWAOUFL/HREU
'you': U
'sing!'': SEUPBG/SKHRAPL/AE
'Then': KPA/THEPB
'he': HE
'called': KAULD
'through': THRU
'the': -T
'door': TKAOR
'to': TO
'his': HEUS
'wife:': WAOEUF/STPH-FPLT
''Wife,': A*E/KPA*/WAOEUF/KW-BG
'come': KOPL
'out;': OUT/STPH*FPLT
'here': HAOER
'is': S
'a': AEU
'bird,': PWEURD/KW-BG
'come': KOPL
'and': SKP
'look': HRAOBG
'at': AT
'it': T
'and': SKP
'hear': HAER
'how': HOU
'beautifully': PWAOUFL/HREU
'it': T
'sings.'': SEUPBGS/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'called': KAULD
'his': HEUS
'daughter': TKAUR
'and': SKP
'the': -T
'children,': KHEURPB/KW-BG
'then': THEPB
'the': -T
'apprentices,': A/PREPB/TEUS/-S/KW-BG
'girls': TKPWEURLS
'and': SKP
'boys,': PWOEUS/KW-BG
'and': SKP
'they': THE
'all': AUL
'ran': RAPB
'up': UP
'the': -T
'street': STRAOET
'to': TO
'look': HRAOBG
'at': AT
'the': -T
'bird,': PWEURD/KW-BG
'and': SKP
'saw': SAU
'how': HOU
'splendid': SPHREPB/TKEUD
'it': T
'was': WAS
'with': W
'its': EUTS
'red': RED
'and': SKP
'green': TKPWRAOEPB
'feathers,': TP*ET/ERS/KW-BG
'and': SKP
'its': EUTS
'neck': TPHEBG
'like': HRAOEUBG
'burnished': PWURPB/EURB/-D
'gold,': TKPWOELD/KW-BG
'and': SKP
'eyes': AO*EUS
'like': HRAOEUBG
'two': TWO
'bright': PWRAOEUT
'stars': STARS
'in': TPH
'its': EUTS
'head.': HED/TP-PL
''Bird,'': A*E/KPA*/PWEURD/KW-BG/AE
'said': SED
'the': -T
'shoemaker,': SHAOU/PHA*EURBG/KW-BG
''sing': A*E/SEUPBG
'me': PHE
'that': THA
'song': SOPBG
'again.'': TKPWEPB/TP-PL/AE
''Nay,'': A*E/KPA*/TPHAEU/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'bird,': PWEURD/KW-BG
''I': A*E/EU
'do': TKO
'not': TPHOT
'sing': SEUPBG
'twice': TWAOEUS
'for': TPOR
'nothing;': TPHOG/STPH*FPLT
'you': U
'must': PHUFT
'give': TKPWEUF
'me': PHE
'something.'': S-G/TP-PL/AE
''Wife,'': A*E/KPA*/WAOEUF/KW-BG/AE
'said': SED
'the': -T
'man,': PHAPB/KW-BG
''go': A*E/TKPW
'into': TPHAO
'the': -T
'garret;': TKPWAEUR/RET/STPH*FPLT
'on': OPB
'the': -T
'upper': AOURP
'shelf': SHEFL
'you': U
'will': HR
'see': SAOE
'a': AEU
'pair': PAEUR
'of': -F
'red': RED
'shoes;': SHAOUS/STPH*FPLT
'bring': PWREU
'them': THEPL
'to': TO
'me.'': PHE/TP-PL/AE
'The': KPA/-T
'wife': WAOEUF
'went': WEPBT
'in': TPH
'and': SKP
'fetched': TPEFP/-D
'the': -T
'shoes.': SHAOUS/TP-PL
''There,': A*E/KPA*/THR/KW-BG
'bird,'': PWEURD/KW-BG/AE
'said': SED
'the': -T
'shoemaker,': SHAOU/PHA*EURBG/KW-BG
''now': A*E/TPHOU
'sing': SEUPBG
'me': PHE
'that': THA
'song': SOPBG
'again.'': TKPWEPB/TP-PL/AE
'The': KPA/-T
'bird': PWEURD
'flew': TPHRAOU
'down': TKOUPB
'and': SKP
'took': TAOBG
'the': -T
'red': RED
'shoes': SHAOUS
'in': TPH
'his': HEUS
'left': HREFT
'claw,': KHRAU/KW-BG
'and': SKP
'then': THEPB
'he': HE
'went': WEPBT
'back': PWABG
'to': TO
'the': -T
'roof': RAOF
'and': SKP
'sang:': SAPBG/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'When': KPA/WHEPB
'he': HE
'had': H
'finished,': TP*EURBD/KW-BG
'he': HE
'flew': TPHRAOU
'away.': WA*EU/TP-PL
'He': KPA/HE
'had': H
'the': -T
'chain': KHAEUPB
'in': TPH
'his': HEUS
'right': RAOEUT
'claw': KHRAU
'and': SKP
'the': -T
'shoes': SHAOUS
'in': TPH
'his': HEUS
'left,': HREFT/KW-BG
'and': SKP
'he': HE
'flew': TPHRAOU
'right': RAOEUT
'away': WA*EU
'to': TO
'a': AEU
'mill,': PHEUL/KW-BG
'and': SKP
'the': -T
'mill': PHEUL
'went': WEPBT
''Click': A*E/KPA*/KHREUBG
'clack,': KHRABG/KW-BG
'click': KHREUBG
'clack,': KHRABG/KW-BG
'click': KHREUBG
'clack.'': KHRABG/TP-PL/AE
'Inside': KPA/TPH-DZ
'the': -T
'mill': PHEUL
'were': WR
'twenty': TWEPBT
'of': -F
'the': -T
'miller's': HRO*ER/PHEUL/HRER/AES
'men': PHEPB
'hewing': HAO*U/-G
'a': AEU
'stone,': STOEPB/KW-BG
'and': SKP
'as': AS
'they': THE
'went': WEPBT
''Hick': A*E/KPA*/HEUBG
'hack,': HABG/KW-BG
'hick': HEUBG
'hack,': HABG/KW-BG
'hick': HEUBG
'hack,'': HABG/KW-BG/AE
'the': -T
'mill': PHEUL
'went': WEPBT
''Click': A*E/KPA*/KHREUBG
'clack,': KHRABG/KW-BG
'click': KHREUBG
'clack,': KHRABG/KW-BG
'click': KHREUBG
'clack.'': KHRABG/TP-PL/AE
'The': KPA/-T
'bird': PWEURD
'settled': SELTD
'on': OPB
'a': AEU
'lime-tree': HRAOEUPL/H-PB/TRAOE
'in': TPH
'front': TPROPBT
'of': -F
'the': -T
'mill': PHEUL
'and': SKP
'sang:': SAPBG/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'then': THEPB
'one': WUPB
'of': -F
'the': -T
'men': PHEPB
'left': HREFT
'off,': OF/KW-BG
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'two': TWO
'more': PHOR
'men': PHEPB
'left': HREFT
'off': OF
'and': SKP
'listened,': HREUFPBD/KW-BG
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'then': THEPB
'four': TPOUR
'more': PHOR
'left': HREFT
'off,': OF/KW-BG
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'now': TPHOU
'there': THR
'were': WR
'only': OEPBL
'eight': AET
'at': AT
'work,': WORBG/KW-BG
'Underneath': KPA/UPBD/TPHAO*ET
'And': AFPBD
'now': TPHOU
'only': OEPBL
'five,': TPAOEUF/KW-BG
'the': -T
'juniper-tree.': SKWRUPB/PER/H-PB/TRAOE/TP-PL
'And': AFPBD
'now': TPHOU
'only': OEPBL
'one,': WUPB/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'then': THEPB
'he': HE
'looked': HRAOBGD
'up': UP
'and': SKP
'the': -T
'last': HRAFT
'one': WUPB
'had': H
'left': HREFT
'off': OF
'work.': WORBG/TP-PL
''Bird,'': A*E/KPA*/PWEURD/KW-BG/AE
'he': HE
'said,': SED/KW-BG
''what': A*E/WHA
'a': AEU
'beautiful': PWAOUFL
'song': SOPBG
'that': THA
'is': S
'you': U
'sing!': SEUPBG/SKHRAPL
'Let': KPA/HRET
'me': PHE
'hear': HAER
'it': T
'too;': TAO/STPH*FPLT
'sing': SEUPBG
'it': T
'again.'': TKPWEPB/TP-PL/AE
''Nay,'': A*E/KPA*/TPHAEU/KW-BG/AE
'answered': AEPBS/-D
'the': -T
'bird,': PWEURD/KW-BG
''I': A*E/EU
'do': TKO
'not': TPHOT
'sing': SEUPBG
'twice': TWAOEUS
'for': TPOR
'nothing;': TPHOG/STPH*FPLT
'give': TKPWEUF
'me': PHE
'that': THA
'millstone,': PHEUL/STOEPB/KW-BG
'and': SKP
'I': EU
'will': HR
'sing': SEUPBG
'it': T
'again.'': TKPWEPB/TP-PL/AE
''If': A*E/KPA*/TP
'it': T
'belonged': PWHROPBGD
'to': TO
'me': PHE
'alone,'': A/HROEPB/KW-BG/AE
'said': SED
'the': -T
'man,': PHAPB/KW-BG
''you': A*E/U
'should': SHO
'have': SR
'it.'': T/TP-PL/AE
''Yes,': A*E/KPA*/KWRE/KW-BG
'yes,'': KWRE/KW-BG/AE
'said': SED
'the': -T
'others:': OERS/STPH-FPLT
''if': A*E/TP
'he': HE
'will': HR
'sing': SEUPBG
'again,': STKPWERPBGS
'he': HE
'can': K
'have': SR
'it.'': T/TP-PL/AE
'The': KPA/-T
'bird': PWEURD
'came': KAEUPL
'down,': TKOUPB/KW-BG
'and': SKP
'all': AUL
'the': -T
'twenty': TWEPBT
'millers': PHEUL/*ERS
'set': SET
'to': TO
'and': SKP
'lifted': HREUFTD
'up': UP
'the': -T
'stone': STOEPB
'with': W
'a': AEU
'beam;': PWAEPL/STPH*FPLT
'then': THEPB
'the': -T
'bird': PWEURD
'put': PUT
'his': HEUS
'head': HED
'through': THRU
'the': -T
'hole': HOEL
'and': SKP
'took': TAOBG
'the': -T
'stone': STOEPB
'round': ROUPBD
'his': HEUS
'neck': TPHEBG
'like': HRAOEUBG
'a': AEU
'collar,': KHRAR/KW-BG
'and': SKP
'flew': TPHRAOU
'back': PWABG
'with': W
'it': T
'to': TO
'the': -T
'tree': TRAOE
'and': SKP
'sang--': SAPBG/H-PB/H-PB
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'She': KPA/SHE
'laid': HRAEUD
'her': HER
'kerchief': K*/*E/R*/KR*/H*/*EU/*E/TP*
'over': OEFR
'me,': PHE/KW-BG
'And': AFPBD
'took': TAOBG
'my': PHEU
'bones': PWOEPBS
'that': THA
'they': THE
'might': PHAOEUT
'lie': HRAOEU
'Underneath': KPA/UPBD/TPHAO*ET
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'Kywitt,': K*P/KWR*/W*/*EU/T*/T*/KW-BG
'what': WHA
'a': AEU
'beautiful': PWAOUFL
'bird': PWEURD
'am': APL
'I!'': EU/SKHRAPL/AE
'And': AFPBD
'when': WHEPB
'he': HE
'had': H
'finished': TP*EURBD
'his': HEUS
'song,': SOPBG/KW-BG
'he': HE
'spread': SPRED
'his': HEUS
'wings,': WEUPBGS/KW-BG
'and': SKP
'with': W
'the': -T
'chain': KHAEUPB
'in': TPH
'his': HEUS
'right': RAOEUT
'claw,': KHRAU/KW-BG
'the': -T
'shoes': SHAOUS
'in': TPH
'his': HEUS
'left,': HREFT/KW-BG
'and': SKP
'the': -T
'millstone': PHEUL/STOEPB
'round': ROUPBD
'his': HEUS
'neck,': TPHEBG/KW-BG
'he': HE
'flew': TPHRAOU
'right': RAOEUT
'away': WA*EU
'to': TO
'his': HEUS
'father's': TPAER/AES
'house.': HOUS/TP-PL
'The': KPA/-T
'father,': TPAER/KW-BG
'the': -T
'mother,': PHOER/KW-BG
'and': SKP
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'were': WR
'having': SR-G
'their': THAEUR
'dinner.': TKEURPB/TP-PL
''How': A*E/KPA*/HOU
'lighthearted': HR*/*EU/TKPW*/H*/T*/H*/*E/A*/R*/T*/-D
'I': EU
'feel,'': TPAOEL/KW-BG/AE
'said': SED
'the': -T
'father,': TPAER/KW-BG
''so': A*E/SO
'pleased': PHREFD
'and': SKP
'cheerful.'': KHAOER/-FL/TP-PL/AE
''And': A*E/AFPBD
'I,'': EU/KW-BG/AE
'said': SED
'the': -T
'mother,': PHOER/KW-BG
''I': A*E/EU
'feel': TPAOEL
'so': SO
'uneasy,': UPB/EZ/KW-BG
'as': AS
'if': TP
'a': AEU
'heavy': HOEUF
'thunderstorm': THUPBD/STORPL
'were': WR
'coming.'': KO*G/TP-PL/AE
'But': KPA/PWUT
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'sat': SAT
'and': SKP
'wept': WEPT
'and': SKP
'wept.': WEPT/TP-PL
'Then': KPA/THEPB
'the': -T
'bird': PWEURD
'came': KAEUPL
'flying': TPHRAOEUG
'towards': TORDZ
'the': -T
'house': HOUS
'and': SKP
'settled': SELTD
'on': OPB
'the': -T
'roof.': RAOF/TP-PL
''I': A*E/EU
'do': TKO
'feel': TPAOEL
'so': SO
'happy,'': HAEP/KW-BG/AE
'said': SED
'the': -T
'father,': TPAER/KW-BG
''and': A*E/SKP
'how': HOU
'beautifully': PWAOUFL/HREU
'the': -T
'sun': SUPB
'shines;': SHAOEUPBS/STPH*FPLT
'I': EU
'feel': TPAOEL
'just': SKWRUFT
'as': AS
'if': TP
'I': EU
'were': WR
'going': TKPW-G
'to': TO
'see': SAOE
'an': APB
'old': OLD
'friend': TPREPBD
'again.'': TKPWEPB/TP-PL/AE
''Ah!'': A*E/KPA*/HA*E/SKHRAPL/AE
'said': SED
'the': -T
'wife,': WAOEUF/KW-BG
''and': A*E/SKP
'I': EU
'am': APL
'so': SO
'full': TPUL
'of': -F
'distress': STKRES
'and': SKP
'uneasiness': UPB/EZ/-PBS
'that': THA
'my': PHEU
'teeth': TAO*ET
'chatter,': KHAT/ER/KW-BG
'and': SKP
'I': EU
'feel': TPAOEL
'as': AS
'if': TP
'there': THR
'were': WR
'a': AEU
'fire': TPAOEUR
'in': TPH
'my': PHEU
'veins,'': SRAEUPBS/KW-BG/AE
'and': SKP
'she': SHE
'tore': TO*R
'open': OEP
'her': HER
'dress;': TKRES/STPH*FPLT
'and': SKP
'all': AUL
'the': -T
'while': WHAOEUL
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'sat': SAT
'in': TPH
'the': -T
'corner': KRORPB
'and': SKP
'wept,': WEPT/KW-BG
'and': SKP
'the': -T
'plate': PHRAET
'on': OPB
'her': HER
'knees': TPHAOEZ
'was': WAS
'wet': WET
'with': W
'her': HER
'tears.': TAERS/TP-PL
'The': KPA/-T
'bird': PWEURD
'now': TPHOU
'flew': TPHRAOU
'to': TO
'the': -T
'juniper-tree': SKWRUPB/PER/H-PB/TRAOE
'and': SKP
'began': TKPWAPB
'singing:': SEUPBG/-G/STPH-FPLT
''My': A*E/KPA*/PHEU
'mother': PHOER
'killed': KEULD
'her': HER
'little': HREUL
'son;': SOPB/STPH*FPLT
'the': -T
'mother': PHOER
'shut': SHUT
'her': HER
'eyes': AO*EUS
'and': SKP
'her': HER
'ears,': AOERS/KW-BG
'that': THA
'she': SHE
'might': PHAOEUT
'see': SAOE
'and': SKP
'hear': HAER
'nothing,': TPHOG/KW-BG
'but': PWUT
'there': THR
'was': WAS
'a': AEU
'roaring': RAORG
'sound': SOUPBD
'in': TPH
'her': HER
'ears': AOERS
'like': HRAOEUBG
'that': THA
'of': -F
'a': AEU
'violent': SRAOEUPBLT
'storm,': STORPL/KW-BG
'and': SKP
'in': TPH
'her': HER
'eyes': AO*EUS
'a': AEU
'burning': PWURPBG
'and': SKP
'flashing': TPHRARBG
'like': HRAOEUBG
'lightning:': HRAOEUT/TPHEUPBG/STPH-FPLT
'My': KPA/PHEU
'father': TPAER
'grieved': TKPWRAOEF/-D
'when': WHEPB
'I': EU
'was': WAS
'gone;': TKPWOPB/STPH*FPLT
''Look,': A*E/KPA*/HRAOBG/KW-BG
'mother,'': PHOER/KW-BG/AE
'said': SED
'the': -T
'man,': PHAPB/KW-BG
''at': A*E/AT
'the': -T
'beautiful': PWAOUFL
'bird': PWEURD
'that': THA
'is': S
'singing': SEUPBG/-G
'so': SO
'magnificently;': PHAFG/SEPBT/HREU/STPH*FPLT
'and': SKP
'how': HOU
'warm': WARPL
'and': SKP
'bright': PWRAOEUT
'the': -T
'sun': SUPB
'is,': S-RBGS
'and': SKP
'what': WHA
'a': AEU
'delicious': TKHREUGS
'scent': SKEPBT
'of': -F
'spice': SPAOEUS
'in': TPH
'the': -T
'air!'': AEUR/SKHRAPL/AE
'My': KPA/PHEU
'sister': ST-R
'loved': HROFD
'me': PHE
'best': PWEFT
'of': -F
'all;': AUL/STPH*FPLT
'then': THEPB
'little': HREUL
'Marleen': PHAR/HRAOE/*PB
'laid': HRAEUD
'her': HER
'head': HED
'down': TKOUPB
'on': OPB
'her': HER
'knees': TPHAOEZ
'and': SKP
'sobbed.': SOBD/TP-PL
''I': A*E/EU
'must': PHUFT
'go': TKPW
'outside': OUDZ
'and': SKP
'see': SAOE
'the': -T
'bird': PWEURD
'nearer,'': TPHAOER/*ER/KW-BG/AE
'said': SED
'the': -T
'man.': PHAPB/TP-PL
''Ah,': A*E/KPA*/HA*E/KW-BG
'do': TKO
'not': TPHOT
'go!'': TKPW/SKHRAPL/AE
'cried': KRAOEUD
'the': -T
'wife.': WAOEUF/TP-PL
''I': A*E/EU
'feel': TPAOEL
'as': AS
'if': TP
'the': -T
'whole': WHOEL
'house': HOUS
'were': WR
'in': TPH
'flames!'': TPHRAEUPLS/SKHRAPL/AE
'But': KPA/PWUT
'the': -T
'man': PHAPB
'went': WEPBT
'out': OUT
'and': SKP
'looked': HRAOBGD
'at': AT
'the': -T
'bird.': PWEURD/TP-PL
'She': KPA/SHE
'laid': HRAEUD
'her': HER
