In the Nursery

'half': HAF
'of': -F
'an': APB
'unfortunate': TPHORPBT
'attachment.': A/TAPLT/TP-PL
'And': AFPBD
'here': HAOER
'we': WE
'have': SR
'the': -T
'nut-cracker's': TPHUT/H-PB/KRABG/*ER/AES
'boots,': PWAOTS/KW-BG
'with': W
'spurs': SPURS
'to': TO
'them.': THEPL/TP-PL
'Row,': KPA/ROE/KW-BG
'dow,': TK*/O*/W*/KW-BG
'dow!': TK*/O*/W*/SKHRAPL
'how': HOU
'they': THE
'can': K
'stamp': STAFRP
'and': SKP
'strut!': STRUT/SKHRAPL
'They': KPA/THE
'shall': SHAL
'represent': REPT
'the': -T
'unwelcome': UPB/W*ELG
'wooer,': WAO/*ER/KW-BG
'whom': WHOPL
'the': -T
'lady': HRA*ED
'does': TKOS
'not': TPHOT
'like.': HRAOEUBG/TP-PL
'What': KPA/WHA
'kind': KEUPBD
'of': -F
'a': AEU
'play': PHRAEU
'will': HR
'you': U
'have': SR
'now?': TPHOU/H-F
'Shall': KPA/SHAL
'it': T
'be': -B
'a': AEU
'tragedy,': TRAPBLG/KW-BG
'or': OR
'a': AEU
'domestic': PHEFBG
'drama?"': TKRA/PHA/H-F/KR-GS
'"A': KW-GS/KPA*/AEU
'domestic': PHEFBG
'drama,': TKRA/PHA/KW-BG
'please,"': PHRES/KW-BG/KR-GS
'said': SED
'little': HREUL
'Anna,': APB/TPHA/KW-BG
'"for': KW-GS/TPOR
'the': -T
'others': OERS
'are': R
'so': SO
'fond': TPOPBD
'of': -F
'that.': THA/TP-PL
'Do': KPA/TKO
'you': U
'know': TPHOE
'one?"': WUPB/H-F/KR-GS
'"I': KW-GS/EU
'know': TPHOE
'a': AEU
'hundred,"': HUPBD/KW-BG/KR-GS
'said': SED
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"Those': KW-GS/KPA*/THOZ
'that': THA
'are': R
'most': PHOFT
'in': TPH
'favor': TPAEUFR
'are': R
'from': TPR
'the': -T
'French,': TPREFRPB/KW-BG
'but': PWUT
'they': THE
'are': R
'not': TPHOT
'good': TKPWAOD
'for': TPOR
'little': HREUL
'girls.': TKPWEURLS/TP-PL
'In': KPA/TPH
'the': -T
'meantime,': PHAOEPB/TAO*EUPL/KW-BG
'we': WE
'may': PHAE
'take': TAEUBG
'one': WUPB
'of': -F
'the': -T
'prettiest,': PRET/KWREFT/KW-BG
'for': TPOR
'inside': TPH-DZ
'they're': THER
'all': AUL
'very': SRE
'much': PHUFP
'alike.': A/HRAOEUBG/TP-PL
'Now': KPA/TPHOU
'I': EU
'shake': SHAEUBG
'the': -T
'pen!': PEPB/SKHRAPL
'Cock-a-lorum!': KPA/KOBG/H-PB/AEU/H-PB/HR*/O*R/*UPL/SKHRAPL
'So': KPA/SO
'now,': TPHOURBGS
'here's': HAOERS
'the': -T
'play,': PHRAEU/KW-BG
'brin-bran-span': PW*/R*/*EUPB/H-PB/PWRAPB/H-PB/SPAPB
'new!': TPHU/SKHRAPL
'Now': KPA/TPHOU
'listen': HREUFPB
'to': TO
'the': -T
'play-bill."': PHRAEU/H-PB/PWEUL/TP-PL/KR-GS
'And': AFPBD
'grandpapa': TKPWRAPBD/TK-LS/HRO*ER/PA/PA
'took': TAOBG
'a': AEU
'newspaper,': TPHAOUP/KW-BG
'and': SKP
'read': RAED
'as': AS
'if': TP
'he': HE
'were': WR
'reading': RAEGD
'from': TPR
'it:': T/STPH-FPLT
'THE': *URP/-T
'PIPE-HEAD': *URP/PAOEUP/H-PB/*URP/HED
'AND': *URP/SKP
'THE': *URP/-T
'GOOD': *URP/TKPWAOD
'HEAD': *URP/HED
'A': KPA/AEU
'Family': KPA/TPAEPL
'Drama': KPA/TKRA/PHA
'in': TPH
'One': KPA/WUPB
'Act': A*BGT
'CHARACTERS': *URP/KRARS
'MR.': *URP/PHR-FPLT
'PIPE-HEAD,': *URP/PAOEUP/H-PB/*URP/HED/KW-BG
'a': AEU
'father.': TPAER/TP-PL
'MR.': *URP/PHR-FPLT
'WAISTCOAT,': *URP/WA*EUS/KOET/KW-BG
'a': AEU
'lover.': HRUFR/TP-PL
'MISS': *URP/PHEUS
'GLOVE,': *URP/TKPWHROF/KW-BG
'a': AEU
'daughter.': TKAUR/TP-PL
'MR.': *URP/PHR-FPLT
'DE': *URP/TK*E
'BOOTS,': *URP/PWAOTS/KW-BG
'a': AEU
'suitor.': SAOU/TOR/TP-PL
'"And': KW-GS/AFPBD
'now': TPHOU
'we're': WAOER
'going': TKPW-G
'to': TO
'begin.': TKPWEUPB/TP-PL
'The': KPA/-T
'curtain': KUR/TAPB
'rises.': RAOEUZ/-Z/TP-PL
'We': KPA/WE
'have': SR
'no': TPHO
'curtain,': KUR/TAPB/KW-BG
'so': SO
'it': T
'has': HAS
'risen': REUFPB
'already.': HR-R/TP-PL
'All': KPA/AUL
'the': -T
'characters': KRARS
'are': R
'there,': THR-RBGS
'and': SKP
'so': SO
'we': WE
'have': SR
'them': THEPL
'at': AT
'hand.': HAPBD/TP-PL
'Now': KPA/TPHOU
'I': EU
'speak': SPAOEBG
'as': AS
'Papa': PA/PA
'Pipe-head!': KPA/PAOEUP/H-PB/HED/SKHRAPL
'He's': KPA/HAOES
'angry': APBG/REU
'to-day.': TO/H-PB/TKAEU/TP-PL
'One': KPA/WUPB
'can': K
'see': SAOE
'that': THA
'he's': HAOES
'a': AEU
'colored': KHRORD
'meerschaum.': PHAOER/SHAUPL/TP-PL
'"'Snik,': KW-GS/AE/S*P/TPH*/SKWREU/*BG/KW-BG
'snak,': HRO*ER/S*P/TPH*/KWRA/*BG/KW-BG
'snurre,': S*/TPH*/*U/R*/R*/SKWR*E/KW-BG
'bassellurre!': PW*/A*/S*/S*/*E/HR*/HR*/*U/R*/R*/SKWR*E/SKHRAPL
'I'm': AOEUPL
'master': PHAFRT
'of': -F
'this': TH
'house!': HOUS/SKHRAPL
'I'm': AOEUPL
'the': -T
'father': TPAER
'of': -F
'my': PHEU
'daughter!': TKAUR/SKHRAPL
'Will': W*EUL
'you': U
'hear': HAER
'what': WHA
'I': EU
'have': SR
'to': TO
'say?': SAEU/H-F
'Mr.': PHR-FPLT
'de': TK*E
'Boots': KPA/PWAOTS
'is': S
'a': AEU
'person': PERPB
'in': TPH
'whom': WHOPL
'one': WUPB
'may': PHAE
'see': SAOE
'one's': W*UPBS
'face;': TPAEUS/STPH*FPLT
'his': HEUS
'upper': AOURP
'part': PART
'is': S
'of': -F
'morocco,': HRO*ER/PHORBG/KOE/KW-BG
'and': SKP
'he': HE
'has': HAS
'spurs': SPURS
'into': TPHAO
'the': -T
'bargain.': PWAR/TKPWAEUPB/TP-PL
'Snikke,': S*P/TPH*/SKWREU/*BG/*BG/SKWR*E/KW-BG
'snakke,': HRO*ER/S*P/TPH*/KWRA/*BG/*BG/SKWR*E/KW-BG
'snak!': HRO*ER/S*P/TPH*/KWRA/*BG/SKHRAPL
'He': KPA/HE
'shall': SHAL
'have': SR
'my': PHEU
'daughter!"': TKAUR/SKHRAPL/KR-GS
'"Now': KW-GS/KPA*/TPHOU
'listen': HREUFPB
'to': TO
'what': WHA
'the': -T
'Waistcoat': KPA/WA*EUS/KOET
'says,': SEZ/KW-BG
'little': HREUL
'Anna,"': APB/TPHA/KW-BG/KR-GS
'said': SED
'grandpapa.': TKPWRAPBD/TK-LS/HRO*ER/PA/PA/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'the': -T
'Waistcoat's': KPA/WA*EUS/KOET/AES
'speaking.': SPAOEG/TP-PL
'The': KPA/-T
'Waistcoat': KPA/WA*EUS/KOET
'has': HAS
'a': AEU
'laydown': HRAEU/SKWROUPB
'collar,': KHRAR/KW-BG
'and': SKP
'is': S
'very': SRE
'modest;': PHOD/EFT/STPH*FPLT
'but': PWUT
'he': HE
'knows': TPHOEZ
'his': HEUS
'own': OEPB
'value,': SRAOUL/KW-BG
'and': SKP
'has': HAS
'quite': KWAOEUT
'a': AEU
'right': RAOEUT
'to': TO
'say': SAEU
'what': WHA
'he': HE
'says:': SEZ/STPH-FPLT
'"'I': KW-GS/AE/EU
'haven't': SR-PB
'a': AEU
'spot': SPOT
'on': OPB
'me!': PHE/SKHRAPL
'Goodness': KPA/TKPWAOD/-PBS
'of': -F
'material': TAOERL
'ought': OT
'to': TO
'be': -B
'appreciated.': PRAOERBD/TP-PL
'I': EU
'am': APL
'of': -F
'real': RAEL
'silk,': S*EULG/KW-BG
'and': SKP
'have': SR
'strings': STREUPBGS
'to': TO
'me.'': PHE/TP-PL/AE
'"'—On': KW-GS/AE/EPL/TKA*RB/KPA*/OPB
'the': -T
'wedding': WEGD
'day,': TKAEU/KW-BG
'but': PWUT
'no': TPHO
'longer;': HRORPBG/STPH*FPLT
'you': U
'don't': TKOEPBT
'keep': KAOEP
'your': KWROUR
'color': KROR
'in': TPH
'the': -T
'wash.'': WARB/TP-PL/AE
'This': KPA/TH
'is': S
'Mr.': PHR-FPLT
'Pipe-head': KPA/PAOEUP/H*ED
'who': WHO
'is': S
'speaking.': SPAOEG/TP-PL
''Mr.': A*E/PHR-FPLT
'de': TK*E
'Boots': KPA/PWAOTS
'is': S
'water-tight,': WAUR/H-PB/TAOEUT/KW-BG
'of': -F
'strong': STROPBG
'leather,': HRE/THER/KW-BG
'and': SKP
'yet': KWRET
'very': SRE
'delicate;': TKEL/KAT/STPH*FPLT
'he': HE
'can': K
'creak,': KRAEBG/KW-BG
'and': SKP
'clank': KHRA*PBG
'with': W
'his': HEUS
'spurs,': SPURS/KW-BG
'and': SKP
'has': HAS
'an': APB
'Italian': TA*PBL
'physiognomy-'"': TPEUS/KWROG/PHEU/H-PB/AE/KR-GS
'"But': KW-GS/KPA*/PWUT
'they': THE
'ought': OT
'to': TO
'speak': SPAOEBG
'in': TPH
'verses,"': SRERSZ/KW-BG/KR-GS
'said': SED
'Anna,': APB/TPHA/KW-BG
'"for': KW-GS/TPOR
'I've': AOEUF
'heard': HAERD
'that's': THATS
'the': -T
'most': PHOFT
