The Shadow
'however,': HOUF/KW-BG
'very': SRE
'well': WEL
'dressed,': TKREFD/KW-BG
'and': SKP
'looked': HRAOBGD
'like': HRAOEUBG
'a': AEU
'gentleman.': SKWRA*PL/TP-PL
'"To': KW-GS/KPA*/TO
'whom': WHOPL
'have': SR
'I': EU
'the': -T
'honor': HO*RPB
'of': -F
'speaking?"': SPAOEG/H-F/KR-GS
'said': SED
'he.': HE/TP-PL
'"Ah,': KW-GS/KPA*/AERBGS
'I': EU
'hoped': HOEPD
'you': U
'would': WO
'recognise': REZ/A*U
'me,"': PHE/KW-BG/KR-GS
'said': SED
'the': -T
'elegant': EL/TKPWAPBT
'stranger;': STRAEURPBG/STPH*FPLT
'"I': KW-GS/EU
'have': SR
'gained': TKPWAEUPBD
'so': SO
'much': PHUFP
'that': THA
'I': EU
'have': SR
'a': AEU
'body': PWO*ED
'of': -F
'flesh,': TPHRERB/KW-BG
'and': SKP
'clothes': KHRO*ETS
'to': TO
'wear.': WAER/TP-PL
'You': KPA/U
'never': TPHEFR
'expected': KP-PTD
'to': TO
'see': SAOE
'me': PHE
'in': TPH
'such': SUFP
'a': AEU
'condition.': K-PB/TP-PL
'Do': KPA/TKO
'you': U
'not': TPHOT
'recognise': REZ/A*U
'your': KWROUR
'old': OLD
'shadow?': SHOEUD/H-F
'Ah,': KPA/AERBGS
'you': U
'never': TPHEFR
'expected': KP-PTD
'that': THA
'I': EU
'should': SHO
'return': RURPB
'to': TO
'you': U
'again.': TKPWEPB/TP-PL
'All': KPA/AUL
'has': HAS
'been': PW-PB
'prosperous': PROFP/ROUS
'with': W
'me': PHE
'since': SEUPBS
'I': EU
'was': WAS
'with': W
'you': U
'last;': HRAFT/STPH*FPLT
'I': EU
'have': SR
'become': PW-BG
'rich': REUFP
'in': TPH
'every': EF
'way,': WAEU/KW-BG
'and,': SKP/KW-BG
'were': WR
'I': EU
'inclined': EUPB/KHRAOEUPBD
'to': TO
'purchase': PUFP
'my': PHEU
'freedom': TPRAOEPLD
'from': TPR
'service,': S-FS/KW-BG
'I': EU
'could': KO
'easily': AOELS
'do': TKO
'so."': SO/TP-PL/KR-GS
'And': AFPBD
'as': AS
'he': HE
'spoke': SPOEBG
'he': HE
'rattled': RA*LTD
'between': TWAOEPB
'his': HEUS
'fingers': TPEURPBGS
'a': AEU
'number': TPHUPL
'of': -F
'costly': KOFT/HREU
'trinkets': TREUPB/KETS
'which': WEU
'hung': HUPBG
'to': TO
'a': AEU
'thick': THEUBG
'gold': TKPWOELD
'watch-chain': WAFP/H-PB/KHAEUPB
'he': HE
'wore': WOR
'round': ROUPBD
'his': HEUS
'neck.': TPHEBG/TP-PL
'Diamond': KPA/TKAOEUPLD
'rings': REUPBGS
'sparkled': SPAR/K-LD
'on': OPB
'his': HEUS
'fingers,': TPEURPBGS/KW-BG
'and': SKP
'it': T
'was': WAS
'all': AUL
'real.': RAEL/TP-PL
'"I': KW-GS/EU
'cannot': SK-PBT
'recover': ROFR
'from': TPR
'my': PHEU
'astonishment,"': AS/TOPB/SH-PLT/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"What': KW-GS/KPA*/WHA
'does': TKOS
'all': AUL
'this': TH
'mean?"': PHAOEPB/H-F/KR-GS
'"Something': KW-GS/KPA*/S-G
'rather': RAER
'unusual,"': TPHAOURB/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"but': KW-GS/PWUT
'you': U
'are': R
'yourself': KWRO*URS
'an': APB
'uncommon': UPB/KPHOPB
'man,': PHAPB/KW-BG
'and': SKP
'you': U
'know': TPHOE
'very': SRE
'well': WEL
'that': THA
'I': EU
'have': SR
'followed': TPOLD
'in': TPH
'your': KWROUR
'footsteps': TPAOT/STEPS
'ever': -FR
'since': SEUPBS
'your': KWROUR
'childhood.': KHAOEULD/H*D/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'you': U
'found': TPOUPBD
'that': THA
'I': EU
'have': SR
'travelled': TRAFL/*LD
'enough': TPHUF
'to': TO
'be': -B
'trusted': TRUFTD
'alone,': A/HROEPB/KW-BG
'I': EU
'went': WEPBT
'my': PHEU
'own': OEPB
'way,': WAEU/KW-BG
'and': SKP
'I': EU
'am': APL
'now': TPHOU
'in': TPH
'the': -T
'most': PHOFT
'brilliant': PWREULT
'circumstances.': SEURBGS/TP-PL
'But': KPA/PWUT
'I': EU
'felt': TPELT
'a': AEU
'kind': KEUPBD
'of': -F
'longing': HROPBG/-G
'to': TO
'see': SAOE
'you': U
'once': WUPBS
'more': PHOR
'before': PW-FR
'you': U
'die,': TKAOEU/KW-BG
'and': SKP
'I': EU
'wanted': WAPBTD
'to': TO
'see': SAOE
'this': TH
'place': PHRAEUS
'again,': STKPWERPBGS
'for': TPOR
'there': THR
'is': S
'always': AULS
'a': AEU
'clinging': KHREUPBG/-G
'to': TO
'the': -T
'land': HRAPBD
'of': -F
'one's': W*UPBS
'birth.': PW*EURT/TP-PL
'I': EU
'know': TPHOE
'that': THA
'you': U
'have': SR
'now': TPHOU
'another': TPHOER
'shadow;': SHOEUD/STPH*FPLT
'do': TKO
'I': EU
'owe': OE
'you': U
'anything?': TPHEUG/H-F
'If': KPA/TP
'so,': SO/KW-BG
'have': SR
'the': -T
'goodness': TKPWAOD/-PBS
'to': TO
'say': SAEU
'what': WHA
'it': T
'is."': S/TP-PL/KR-GS
'"No!': KW-GS/KPA*/TPHO/SKHRAPL
'Is': KPA/S
'it': T
'really': R-L
'you?"': U/H-F/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'this': TH
'is': S
'most': PHOFT
'remarkable;': RARBG/-BL/STPH*FPLT
'I': EU
'never': TPHEFR
'supposed': SPOED
'it': T
'possible': POB
'that': THA
'a': AEU
'man's': PHAPB/AES
'old': OLD
'shadow': SHOEUD
'could': KO
'become': PW-BG
'a': AEU
'human': HAOUPL
'being."': -BG/TP-PL/KR-GS
'"Just': KW-GS/KPA*/SKWRUFT
'tell': TEL
'me': PHE
'what': WHA
'I': EU
'owe': OE
'you,"': U/KW-BG/KR-GS
'said': SED
'the': -T
'shadow,': SHOEUD/KW-BG
'"for': KW-GS/TPOR
'I': EU
'do': TKO
'not': TPHOT
'like': HRAOEUBG
'to': TO
'be': -B
'in': TPH
'debt': TKET
'to': TO
'any': TPHEU
'man."': PHAPB/TP-PL/KR-GS
'"How': KW-GS/KPA*/HOU
'can': K
'you': U
'talk': TAUBG
'in': TPH
'that': THA
'manner?"': PHAERPB/H-F/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"What': KW-GS/KPA*/WHA
'question': KWE
'of': -F
'debt': TKET
'can': K
'there': THR
'be': -B
'between': TWAOEPB
'us?': US/H-F
'You': KPA/U
'are': R
'as': AS
'free': TPRAOE
'as': AS
'any': TPHEU
'one.': WUPB/TP-PL
'I': EU
'rejoice': RE/SKWROEUS
'exceedingly': EBGS/AOED/TKPWHREU
'to': TO
'hear': HAER
'of': -F
'your': KWROUR
'good': TKPWAOD
'fortune.': TP-RPB/TP-PL
'Sit': KPA/SEUT
'down,': TKOUPB/KW-BG
'old': OLD
'friend,': TPREPBD/KW-BG
'and': SKP
'tell': TEL
'me': PHE
'a': AEU
'little': HREUL
'of': -F
'how': HOU
'it': T
'happened,': HAPD/KW-BG
'and': SKP
'what': WHA
'you': U
'saw': SAU
'in': TPH
'the': -T
'house': HOUS
'opposite': OP/SEUT
'to': TO
'me': PHE
'while': WHAOEUL
'we': WE
'were': WR
'in': TPH
'those': THOZ
'hot': HOT
'climates."': KHRAOEUPLTS/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'I': EU
'will': HR
'tell': TEL
'you': U
'all': AUL
'about': PW
'it,"': T/KW-BG/KR-GS
'said': SED
'the': -T
'shadow,': SHOEUD/KW-BG
'sitting': SEUGT
'down;': TKOUPB/STPH*FPLT
'"but': KW-GS/PWUT
'then': THEPB
'you': U
'must': PHUFT
'promise': PROPLS
'me': PHE
'never': TPHEFR
'to': TO
'tell': TEL
'in': TPH
'this': TH
'city,': STEU/KW-BG
'wherever': W-FR
'you': U
'may': PHAE
'meet': PHAOET
'me,': PHE/KW-BG
'that': THA
'I': EU
'have': SR
'been': PW-PB
'your': KWROUR
'shadow.': SHOEUD/TP-PL
'I': EU
'am': APL
'thinking': THEUG
'of': -F
'being': -BG
'married,': PHAERD/KW-BG
'for': TPOR
'I': EU
'have': SR
'more': PHOR
'than': THAPB
'sufficient': SUF
'to': TO
'support': SPOR
'a': AEU
'family."': TPAEPL/TP-PL/KR-GS
'"Make': KW-GS/KPA*/PHAEUBG
'yourself': KWRO*URS
'quite': KWAOEUT
'easy,"': EZ/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man;': PHAPB/STPH*FPLT
'"I': KW-GS/EU
'will': HR
'tell': TEL
'no': TPHO
'one': WUPB
'who': WHO
'you': U
'really': R-L
'are.': R/TP-PL
'Here': KPA/HAOER
'is': S
'my': PHEU
'hand,—I': HAPBD/KW-BG/EPL/TKA*RB/EU
'promise,': PROPLS/KW-BG
'and': SKP
'a': AEU
'word': WORD
'is': S
'sufficient': SUF
'between': TWAOEPB
'man': PHAPB
'and': SKP
'man."': PHAPB/TP-PL/KR-GS
'"Between': KW-GS/KPA*/TWAOEPB
'man': PHAPB
'and': SKP
'a': AEU
'shadow,"': SHOEUD/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'for': TPOR
'he': HE
'could': KO
'not': TPHOT
'help': HEP
'saying': SAEUG
'so.': SO/TP-PL
'It': KPA/T
'was': WAS
'really': R-L
'most': PHOFT
'remarkable': RARBG/-BL
'how': HOU
'very': SRE
'much': PHUFP
'he': HE
'had': H
'become': PW-BG
'a': AEU
'man': PHAPB
'in': TPH
'appearance.': PAOERPBS/TP-PL
'He': KPA/HE
'was': WAS
'dressed': TKREFD
'in': TPH
'a': AEU
'suit': SAOUT
'of': -F
'the': -T
'very': SRE
'finest': TPAOEUPB/EFT
'black': PWHRABG
'cloth,': KHRO*T/KW-BG
'polished': POL/EURBD
'boots,': PWAOTS/KW-BG
'and': SKP
'an': APB
'opera': OP/RA
'crush': KRURB
'hat,': HAT/KW-BG
'which': WEU
'could': KO
'be': -B
'folded': TPOELD/-D
'together': TOGT
'so': SO
'that': THA
'nothing': TPHOG
'could': KO
'be': -B
'seen': SAOEPB
'but': PWUT
'the': -T
'crown': KROUPB
'and': SKP
'the': -T
'rim,': REUPL/KW-BG
'besides': PW-DZ
'the': -T
'trinkets,': TREUPB/KETS/KW-BG
'the': -T
'gold': TKPWOELD
'chain,': KHAEUPB/KW-BG
'and': SKP
'the': -T
'diamond': TKAOEUPLD
'rings': REUPBGS
'already': HR-R
'spoken': SPOEPB
'of.': -F/TP-PL
'The': KPA/-T
'shadow': SHOEUD
'was,': WAS/KW-BG
'in': TPH
'fact,': TPABGT/KW-BG
'very': SRE
'well': WEL
'dressed,': TKREFD/KW-BG
'and': SKP
'this': TH
'made': PHAED
'a': AEU
'man': PHAPB
'of': -F
'him.': HEUPL/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'I': EU
'will': HR
'relate': RELT
'to': TO
'you': U
'what': WHA
'you': U
'wish': WEURB
'to': TO
'know,"': TPHOE/KW-BG/KR-GS
'said': SED
'the': -T
'shadow,': SHOEUD/KW-BG
'placing': PHRAEUFG
'his': HEUS
'foot': TPAOT
'with': W
'the': -T
'polished': POL/EURBD
'leather': HRE/THER
'boot': PWAOT
'as': AS
'firmly': TPEURPL/HREU
'as': AS
'possible': POB
'on': OPB
'the': -T
'arm': ARPL
'of': -F
'the': -T
'new': TPHU
'shadow': SHOEUD
'of': -F
'the': -T
'learned': HRERPBD
'man,': PHAPB/KW-BG
'which': WEU
'lay': HRAEU
'at': AT
'his': HEUS
'feet': TPAOET
'like': HRAOEUBG
'a': AEU
'poodle': PAOD/*L
'dog.': TKOG/TP-PL
'This': KPA/TH
'was': WAS
'done,': TKOPB/KW-BG
'it': T
'might': PHAOEUT
'be': -B
'from': TPR
'pride,': PRAOEUD/KW-BG
'or': OR
'perhaps': PRAPS
'that': THA
'the': -T
'new': TPHU
'shadow': SHOEUD
'might': PHAOEUT
'cling': KHREUPBG
'to': TO
'him,': HEUPL/KW-BG
'but': PWUT
'the': -T
'prostrate': PROS/TRAEUT
'shadow': SHOEUD
'remained': RE/PHAEUPBD
'quite': KWAOEUT
'quiet': KWAO*EUT
'and': SKP
'at': AT
'rest,': REFT/KW-BG
'in': TPH
'order': ORD
'that': THA
'it': T
'might': PHAOEUT
'listen,': HREUFPB/KW-BG
'for': TPOR
'it': T
'wanted': WAPBTD
'to': TO
'know': TPHOE
'how': HOU
'a': AEU
'shadow': SHOEUD
'could': KO
'be': -B
'sent': SEPBT
'away': WA*EU
'by': PWEU
'its': EUTS
'master,': PHAFRT/KW-BG
'and': SKP
'become': PW-BG
'a': AEU
'man': PHAPB
'itself.': T/SEFL/TP-PL
'"Do': KW-GS/KPA*/TKO
'you': U
'know,"': TPHOE/KW-BG/KR-GS
'said': SED
'the': -T
'shadow,': SHOEUD/KW-BG
'"that': KW-GS/THA
'in': TPH
'the': -T
'house': HOUS
'opposite': OP/SEUT
'to': TO
'you': U
'lived': HREUFD
'the': -T
'most': PHOFT
'glorious': TKPWHRORS
'creature': KRAOEFP
'in': TPH
'the': -T
'world?': STPWHORLD
'It': KPA/T
'was': WAS
'poetry.': POEURT/TP-PL
'I': EU
'remained': RE/PHAEUPBD
'there': THR
'three': THRAOE
'weeks,': WAOEBGS/KW-BG
'and': SKP
'it': T
'was': WAS
'more': PHOR
'like': HRAOEUBG
'three': THRAOE
'thousand': THOUD
'years,': KWRAOERS/KW-BG
'for': TPOR
'I': EU
'read': RAED
'all': AUL
'that': THA
'has': HAS
'ever': -FR
'been': PW-PB
'written': WREUPB
'in': TPH
'poetry': POEURT
'or': OR
'prose;': PROES/STPH*FPLT
'and': SKP
'I': EU
'may': PHAE
'say,': SAEU/KW-BG
'in': TPH
'truth,': TRAO*UT/KW-BG
'that': THA
'I': EU
'saw': SAU
'and': SKP
'learnt': HRERPBT
'everything."': EFRG/TP-PL/KR-GS
'"Poetry!"': KW-GS/KPA*/POEURT/SKHRAPL/KR-GS
'exclaimed': SKHRAEUPLD
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'she': SHE
'lives': HREUFS
'as': AS
'a': AEU
'hermit': HERPLT
'in': TPH
'great': TKPWRAET
'cities.': STEUS/TP-PL
'Poetry!': KPA/POEURT/SKHRAPL
'Well,': KPA/WEL/KW-BG
'I': EU
'saw': SAU
'her': HER
'once': WUPBS
'for': TPOR
'a': AEU
'very': SRE
'short': SHORT
'moment,': PHOEPLT/KW-BG
'while': WHAOEUL
'sleep': SHRAOEP
'weighed': WA*ED
'down': TKOUPB
'my': PHEU
'eyelids.': AOEULDZ/TP-PL
'She': KPA/SHE
'flashed': TPHRARBD
'upon': POPB
'me': PHE
'from': TPR
'the': -T
'balcony': PWAL/KOEPB
'like': HRAOEUBG
'the': -T
'radiant': RAEUD/KWRAPBT
'aurora': AU/ROR/KWRA
'borealis,': PWOR/A*L/EUS/KW-BG
'surrounded': SROUPBD/-D
'with': W
'flowers': TPHRO*URS
'like': HRAOEUBG
'flames': TPHRAEUPLS
'of': -F
'fire.': TPAOEUR/TP-PL
'Tell': KPA/TEL
'me,': PHE/KW-BG
'you': U
'were': WR
'on': OPB
'the': -T
'balcony': PWAL/KOEPB
'that': THA
'evening;': AOEPBG/STPH*FPLT
'you': U
'went': WEPBT
'through': THRU
'the': -T
'door,': TKAORBGS
'and': SKP
'what': WHA
'did': TK
'you': U
'see?"': SAOE/H-F/KR-GS
'"I': KW-GS/EU
'found': TPOUPBD
'myself': PHAO*EUS
'in': TPH
'an': APB
'ante-room,"': APB/TAOE/H-PB/RAOPL/KW-BG/KR-GS
'said': SED
'the': -T
'shadow.': SHOEUD/TP-PL
'"You': KW-GS/KPA*/U
'still': STEUL
'sat': SAT
'opposite': OP/SEUT
'to': TO
'me,': PHE/KW-BG
'looking': HRAOG
'into': TPHAO
'the': -T
'room.': RAOPL/TP-PL
'There': KPA/THR
'was': WAS
'no': TPHO
'light,': HRAOEUT/KW-BG
'or': OR
'at': AT
'least': HRAOEFT
'it': T
'seemed': SAOEPLD
'in': TPH
'partial': PARBL
'darkness,': TKARBG/-PBS/KW-BG
'for': TPOR
'the': -T
'door': TKAOR
'of': -F
'a': AEU
'whole': WHOEL
'suite': SWAO*ET
'of': -F
'rooms': RAOPLS
'stood': STAOD
'open,': OEP/KW-BG
'and': SKP
'they': THE
'were': WR
'brilliantly': PWREULT/HREU
'lighted.': HRAOEUTD/TP-PL
'The': KPA/-T
'blaze': PWHRAEUZ
'of': -F
'light': HRAOEUT
'would': WO
'have': SR
'killed': KEULD
'me,': PHE/KW-BG
'had': H
'I': EU
'approached': A/PROEFPD
'too': TAO
'near': TPHAOER
'the': -T
'maiden': PHAEUD/*EPB
'myself,': PHAO*EUS/KW-BG
'but': PWUT
'I': EU
'was': WAS
'cautious,': KAURBS/KW-BG
'and': SKP
'took': TAOBG
'time,': TAOEUPL/KW-BG
'which': WEU
'is': S
'what': WHA
'every': EF
'one': WUPB
'ought': OT
'to': TO
'do."': TKO/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'what': WHA
'didst': TK*/*EU/TK*/S*/T*
'thou': THO*U
'see?"': SAOE/H-F/KR-GS
'asked': SK-D
'the': -T
'learned': HRERPBD
'man.': PHAPB/TP-PL
'"I': KW-GS/EU
'saw': SAU
'everything,': EFRG/KW-BG
'as': AS
'you': U
'shall': SHAL
'hear.': HAER/TP-PL
'But—it': KPA/PWUT/EPL/TKA*RB/T
'really': R-L
'is': S
'not': TPHOT
'pride': PRAOEUD
'on': OPB
'my': PHEU
'part,': PART/KW-BG
'as': AS
'a': AEU
'free': TPRAOE
'man': PHAPB
'and': SKP
'possessing': PESZ/-G
'the': -T
'knowledge': TPHOPBLG
'that': THA
'I': EU
'do,': TKORBGS
'besides': PW-DZ
'my': PHEU
'position,': POGS/KW-BG
'not': TPHOT
'to': TO
'speak': SPAOEBG
'of': -F
'my': PHEU
'wealth—I': W*ELT/EPL/TKA*RB/EU
'wish': WEURB
'you': U
'would': WO
'say': SAEU
'you': U
'to': TO
'me': PHE
'instead': STPHED
'of': -F
'thou."': THO*U/TP-PL/KR-GS
'"I': KW-GS/EU
'beg': PWEG
'your': KWROUR
'pardon,"': PARD/KW-BG/KR-GS
'said': SED
'the': -T
'learned': HRERPBD
'man;': PHAPB/STPH*FPLT
'"it': KW-GS/T
'is': S
'an': APB
'old': OLD
'habit,': HABT/KW-BG
'which': WEU
'it': T
'is': S
'difficult': TKEUFL
'to': TO
'break.': PWRAEBG/TP-PL
'You': KPA/U
'are': R
'quite': KWAOEUT
'right;': RAOEUT/STPH*FPLT
'I': EU
'will': HR
'try': TREU
'to': TO
'think': THEU
'of': -F
'it.': T/TP-PL
'But': KPA/PWUT
'now': TPHOU
'tell': TEL
'me': PHE
'everything': EFRG
'that': THA
'you': U
'saw."': SAU/TP-PL/KR-GS
'"Everything,"': KW-GS/KPA*/EFRG/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"for': KW-GS/TPOR
'I': EU
'saw': SAU
'and': SKP
'know': TPHOE
'everything."': EFRG/TP-PL/KR-GS
'"What': KW-GS/KPA*/WHA
'was': WAS
'the': -T
'appearance': PAOERPBS
'of': -F
'the': -T
'inner': EURPB
'rooms?"': RAOPLS/H-F/KR-GS
'asked': SK-D
'the': -T
'scholar.': SKHRAR/TP-PL
'"Was': KW-GS/KPA*/WAS
'it': T
'there': THR
'like': HRAOEUBG
'a': AEU
'cool': KAOL
'grove,': TKPWROEF/KW-BG
'or': OR
'like': HRAOEUBG
'a': AEU
'holy': HOEUL
'temple?': TEFRPL/H-F
'Were': KPA/WR
'the': -T
'chambers': KHAEURPLS
'like': HRAOEUBG
'a': AEU
'starry': STAR/REU
'sky': SKAOEU
'seen': SAOEPB
'from': TPR
'the': -T
'top': TOP
'of': -F
'a': AEU
'high': HAOEU
'mountain?"': PHOUPB/TAEUPB/H-F/KR-GS
'"It': KW-GS/KPA*/T
'was': WAS
'all': AUL
'that': THA
'you': U
'describe,"': SKREU/KW-BG/KR-GS
'said': SED
'the': -T
'shadow;': SHOEUD/STPH*FPLT
'"but': KW-GS/PWUT
'I': EU
'did': TK
'not': TPHOT
'go': TKPW
'quite': KWAOEUT
'in—I': TPH/EPL/TKA*RB/EU
'remained': RE/PHAEUPBD
'in': TPH
'the': -T
'twilight': TWAOEULGT
'of': -F
'the': -T
'ante-room—but': APB/TAOE/H-PB/RAOPL/EPL/TKA*RB/PWUT
'I': EU
'was': WAS
'in': TPH
'a': AEU
'very': SRE
'good': TKPWAOD
'position,—I': POGS/KW-BG/EPL/TKA*RB/EU
'could': KO
'see': SAOE
'and': SKP
'hear': HAER
'all': AUL
'that': THA
'was': WAS
'going': TKPW-G
'on': OPB
'in': TPH
'the': -T
'court': KORT
'of': -F
'poetry."': POEURT/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'what': WHA
'did': TK
'you': U
'see?': SAOE/H-F
'Did': KPA/TK
'the': -T
'gods': TKPWODZ
'of': -F
'ancient': AEURBT
'times': TAOEUPLS
'pass': PAS
'through': THRU
'the': -T
'rooms?': RAOPLS/H-F
'Did': KPA/TK
'old': OLD
'heroes': HOEURS
'fight': TPAOEUT
'their': THAEUR
'battles': PWAT/-LS
'over': OEFR
'again?': TKPWEPB/H-F
'Were': KPA/WR
'there': THR
'lovely': HROFL
'children': KHEURPB
'at': AT
'play,': PHRAEU/KW-BG
'who': WHO
'related': RAELTD
'their': THAEUR
'dreams?"': TKRAOEPLS/H-F/KR-GS
'"I': KW-GS/EU
'tell': TEL
'you': U
'I': EU
'have': SR
'been': PW-PB
'there,': THR-RBGS
'and': SKP
'therefore': TH-FR
'you': U
'may': PHAE
'be': -B
'sure': SHUR
'that': THA
'I': EU
'saw': SAU
'everything': EFRG
'that': THA
'was': WAS
'to': TO
'be': -B
'seen.': SAOEPB/TP-PL
'If': KPA/TP
'you': U
'had': H
'gone': TKPWOPB
'there,': THR-RBGS
'you': U
'would': WO
'not': TPHOT
'have': SR
'remained': RE/PHAEUPBD
'a': AEU
'human': HAOUPL
'being,': -BG/KW-BG
'whereas': WRAS
'I': EU
'became': PWAEUPL
'one;': WUPB/STPH*FPLT
'and': SKP
'at': AT
'the': -T
'same': SAEUPL
'moment': PHOEPLT
'I': EU
'became': PWAEUPL
'aware': A/WAEUR
'of': -F
'my': PHEU
'inner': EURPB
'being,': -BG/KW-BG
'my': PHEU
'inborn': EUPB/PWORPB
'affinity': A/TPEUPBT
'to': TO
'the': -T
'nature': TPHAEURT
'of': -F
'poetry.': POEURT/TP-PL
'It': KPA/T
'is': S
'true': TRAOU
'I': EU
'did': TK
'not': TPHOT
'think': THEU
'much': PHUFP
'about': PW
'it': T
'while': WHAOEUL
'I': EU
'was': WAS
'with': W
'you,': U/KW-BG
'but': PWUT
'you': U
'will': HR
'remember': RER
'that': THA
'I': EU
'was': WAS
'always': AULS
'much': PHUFP
'larger': HRAERPBLG
'at': AT
'sunrise': SUPB/RAOEUS
'and': SKP
'sunset,': SAUPB/SET/KW-BG
'and': SKP
'in': TPH
'the': -T
'moonlight': PHAOLGT
'even': AOEPB
'more': PHOR
'visible': SREUBL
'than': THAPB
'yourself,': KWRO*URS/KW-BG
'but': PWUT
'I': EU
'did': TK
'not': TPHOT
'then': THEPB
'understand': URPBD
'my': PHEU
'inner': EURPB
'existence.': KPEUFS/TP-PL
'In': KPA/TPH
'the': -T
'ante-room': APB/TAOE/H-PB/RAOPL
'it': T
'was': WAS
'revealed': RE/SRAOELD
'to': TO
'me.': PHE/TP-PL
'I': EU
'became': PWAEUPL
'a': AEU
'man;': PHAPB/STPH*FPLT
'I': EU
'came': KAEUPL
'out': OUT
'in': TPH
'full': TPUL
'maturity.': PHAOURT/TP-PL
'But': KPA/PWUT
'you': U
'had': H
'left': HREFT
'the': -T
'warm': WARPL
'countries.': KUPBTS/TP-PL
'As': KPA/AS
'a': AEU
'man,': PHAPB/KW-BG
'I': EU
'felt': TPELT
'ashamed': A/SHAEUPLD
'to': TO
'go': TKPW
'about': PW
'without': WOUT
'boots': PWAOTS
'or': OR
'clothes,': KHRO*ETS/KW-BG
'and': SKP
'that': THA
'exterior': EBGS/KWROR
'finish': TP*EURB
'by': PWEU
'which': WEU
'man': PHAPB
'is': S
'known.': TPHOEPB/TP-PL
'So': KPA/SO
'I': EU
'went': WEPBT
'my': PHEU
'own': OEPB
'way;': WAEU/STPH*FPLT
'I': EU
'can': K
'tell': TEL
'you,': U/KW-BG
'for': TPOR
'you': U
'will': HR
'not': TPHOT
'put': PUT
'it': T
'in': TPH
'a': AEU
'book.': PWAOBG/TP-PL
'I': EU
'hid': HEUD
'myself': PHAO*EUS
'under': TPH-PB
'the': -T
'cloak': KHROEBG
'of': -F
'a': AEU
'cake': KAEUBG
'woman,': WOPL/KW-BG
'but': PWUT
'she': SHE
'little': HREUL
'thought': THAUT
'who': WHO
'she': SHE
'concealed.': KAUPB/SAOELD/TP-PL
'It': KPA/T
'was': WAS
'not': TPHOT
'till': TEUL
'evening': AOEPBG
'that': THA
'I': EU
'ventured': SRERPBTD
'out.': OUT/TP-PL
'I': EU
'ran': RAPB
'about': PW
'the': -T
'streets': STRAOETS
'in': TPH
'the': -T
'moonlight.': PHAOLGT/TP-PL
'I': EU
'drew': TKRAOU
'myself': PHAO*EUS
'up': UP
'to': TO
'my': PHEU
'full': TPUL
'height': HAOEUT
'upon': POPB
'the': -T
'walls,': WAULS/KW-BG
'which': WEU
'tickled': TEUBG/-LD
'my': PHEU
'back': PWABG
'very': SRE
'pleasantly.': PHRES/APBT/HREU/TP-PL
'I': EU
'ran': RAPB
'here': HAOER
'and': SKP
'there,': THR-RBGS
'looked': HRAOBGD
'through': THRU
'the': -T
'highest': HAOEU/EFT
'windows': WOEUPBDZ
'into': TPHAO
'the': -T
'rooms,': RAOPLS/KW-BG
'and': SKP
'over': OEFR
'the': -T
'roofs.': RAOFS/TP-PL
'I': EU
'looked': HRAOBGD
'in,': TPH/KW-BG
'and': SKP
'saw': SAU
'what': WHA
'nobody': TPHOEB
'else': ELS
'could': KO
'see,': SAOERBGS
'or': OR
'indeed': TPHAOEPBD
'ought': OT
'to': TO
'see;': SAOE/STPH*FPLT
'in': TPH
'fact,': TPABGT/KW-BG
'it': T
'is': S
'a': AEU
'bad': PWAD
'world,': WORLD/KW-BG
'and': SKP
'I': EU
'would': WO
'not': TPHOT
'care': KAEUR
'to': TO
'be': -B
'a': AEU
'man,': PHAPB/KW-BG
'but': PWUT
'that': THA
'men': PHEPB
'are': R
'of': -F
'some': SOPL
'importance.': PORPBS/TP-PL
'I': EU
'saw': SAU
'the': -T
'most': PHOFT
'miserable': PHEUZ/-BL
'things': THEUPBGS
'going': TKPW-G
'on': OPB
'between': TWAOEPB
'husbands': HUZ/-Z
'and': SKP
'wives,': WAOEUFS/KW-BG
'parents': PARPBTS
'and': SKP
'children,—sweet,': KHEURPB/KW-BG/EPL/TKA*RB/SWAOET/KW-BG
'incomparable': EUPB/KPARBL
'children.': KHEURPB/TP-PL
'I': EU
'have': SR
'seen': SAOEPB
'what': WHA
'no': TPHO
'human': HAOUPL
'being': -BG
'has': HAS
'the': -T
