The Pink
'all,': AUL/KW-BG
'until': TPH-L
'flames': TPHRAEUPLS
'burst': PWUFRT
'forth': TPO*RT
'from': TPR
'its': EUTS
'throat.': THROET/TP-PL
'On': KPA/OPB
'this': TH
'the': -T
'huntsman': HUPBTS/PHA*PB
'asked': SK-D
'the': -T
'king': KEUPBG
'if': TP
'he': HE
'would': WO
'like': HRAOEUBG
'to': TO
'see': SAOE
'the': -T
'dog': TKOG
'in': TPH
'his': HEUS
'true': TRAOU
'shape,': SHAEUP/KW-BG
'and': SKP
'wished': WEURBD
'him': HEUPL
'back': PWABG
'into': TPHAO
'the': -T
'form': TPORPL
'of': -F
'the': -T
'cook,': KAOBG/KW-BG
'in': TPH
'the': -T
'which': WEU
'he': HE
'stood': STAOD
'immediately,': PHAOELD/KW-BG
'with': W
'his': HEUS
'white': WHAOEUT
'apron,': AEUP/ROPB/KW-BG
'and': SKP
'his': HEUS
'knife': TPHAOEUF
'by': PWEU
'his': HEUS
'side.': SAOEUD/TP-PL
'When': KPA/WHEPB
'the': -T
'king': KEUPBG
'saw': SAU
'him': HEUPL
'he': HE
'fell': TPEL
'into': TPHAO
'a': AEU
'passion,': PAGS/KW-BG
'and': SKP
'ordered': ORD/-D
'him': HEUPL
'to': TO
'be': -B
'cast': KAFT
'into': TPHAO
'the': -T
'deepest': TKAOEP/EFT
'dungeon.': TKUPBGS/TP-PL
'Then': KPA/THEPB
'the': -T
'huntsman': HUPBTS/PHA*PB
'spoke': SPOEBG
'further': TPURT
'and': SKP
'said:': SED/STPH-FPLT
''Father,': A*E/KPA*/TPAER/KW-BG
'will': HR
'you': U
'see': SAOE
'the': -T
'maiden': PHAEUD/*EPB
'who': WHO
'brought': PWRAUT
'me': PHE
'up': UP
'so': SO
'tenderly': TERPBD/HREU
'and': SKP
'who': WHO
'was': WAS
'afterwards': A*FRDZ
'to': TO
'murder': PHURD
'me,': PHE/KW-BG
'but': PWUT
'did': TK
'not': TPHOT
'do': TKO
'it,': T/KW-BG
'though': THOE
'her': HER
'own': OEPB
'life': HRAOEUF
'depended': TKPEPBD/-D
'on': OPB
'it?'': T/H-F/AE
'The': KPA/-T
'king': KEUPBG
'replied:': RE/PHRAOEUD/STPH-FPLT
''Yes,': A*E/KPA*/KWRE/KW-BG
'I': EU
'would': WO
'like': HRAOEUBG
'to': TO
'see': SAOE
'her.'': HER/TP-PL/AE
'The': KPA/-T
'son': SOPB
'said:': SED/STPH-FPLT
''Most': A*E/KPA*/PHOFT
'gracious': TKPWRAEURBS
'father,': TPAER/KW-BG
'I': EU
'will': HR
'show': SHOE
'her': HER
'to': TO
'you': U
'in': TPH
'the': -T
'form': TPORPL
'of': -F
'a': AEU
'beautiful': PWAOUFL
'flower,'': TPHRO*UR/KW-BG/AE
'and': SKP
'he': HE
'thrust': THRUFT
'his': HEUS
'hand': HAPBD
'into': TPHAO
'his': HEUS
'pocket': POBGT
'and': SKP
'brought': PWRAUT
'forth': TPO*RT
'the': -T
'pink,': P*EUPBG/KW-BG
'and': SKP
'placed': PHRAEUFD
'it': T
'on': OPB
'the': -T
'royal': ROEUL
'table,': TAEUBL/KW-BG
'and': SKP
'it': T
'was': WAS
'so': SO
'beautiful': PWAOUFL
'that': THA
'the': -T
'king': KEUPBG
'had': H
'never': TPHEFR
'seen': SAOEPB
'one': WUPB
'to': TO
'equal': KWAL
'it.': T/TP-PL
'Then': KPA/THEPB
'the': -T
'son': SOPB
'said:': SED/STPH-FPLT
''Now': A*E/KPA*/TPHOU
'will': HR
'I': EU
'show': SHOE
'her': HER
'to': TO
'you': U
'in': TPH
'her': HER
'own': OEPB
'form,'': TPORPL/KW-BG/AE
'and': SKP
'wished': WEURBD
'that': THA
'she': SHE
'might': PHAOEUT
'become': PW-BG
'a': AEU
'maiden,': PHAEUD/*EPB/KW-BG
'and': SKP
'she': SHE
'stood': STAOD
'there': THR
'looking': HRAOG
'so': SO
'beautiful': PWAOUFL
'that': THA
'no': TPHO
'painter': PA*EURPBT
'could': KO
'have': SR
'made': PHAED
'her': HER
'look': HRAOBG
'more': PHOR
'so.': SO/TP-PL
'And': AFPBD
'the': -T
'king': KEUPBG
'sent': SEPBT
'two': TWO
'waiting-maids': WAEUGT/H-PB/PHAEUDZ
'and': SKP
'two': TWO
'attendants': A/TEPBD/APBTS
'into': TPHAO
'the': -T
'tower,': TOUR/KW-BG
'to': TO
'fetch': TPEFP
'the': -T
'queen': KWAOEPB
'and': SKP
'bring': PWREU
'her': HER
'to': TO
'the': -T
'royal': ROEUL
'table.': TAEUBL/TP-PL
'But': KPA/PWUT
'when': WHEPB
'she': SHE
'was': WAS
'led': HRED
'in': TPH
'she': SHE
'ate': AEUT
'nothing,': TPHOG/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''The': A*E/KPA*/-T
'gracious': TKPWRAEURBS
'and': SKP
'merciful': PHERS/-FL
'God': TKPWO*D
'who': WHO
'has': HAS
'supported': SPORD
'me': PHE
'in': TPH
'the': -T
'tower,': TOUR/KW-BG
'will': HR
'soon': SAOPB
'set': SET
'me': PHE
'free.'': TPRAOE/TP-PL/AE
'She': KPA/SHE
'lived': HREUFD
'three': THRAOE
'days': TKAEUS
'more,': PHOR/KW-BG
'and': SKP
'then': THEPB
'died': TKAOEUD
'happily,': HAP/HREU/KW-BG
'and': SKP
'when': WHEPB
'she': SHE
'was': WAS
'buried,': PWUR/EUD/KW-BG
'the': -T
'two': TWO
'white': WHAOEUT
'doves': TKOFS
'which': WEU
'had': H
'brought': PWRAUT
'her': HER
'food': TPAOD
'to': TO
'the': -T
'tower,': TOUR/KW-BG
'and': SKP
'were': WR
'angels': APB/SKWREL/-S
'of': -F
'heaven,': HEFPB/KW-BG
'followed': TPOLD
'her': HER
'body': PWO*ED
'and': SKP
'seated': SAOETD
'themselves': TH*EPLS
'on': OPB
'her': HER
'grave.': TKPWRAEUF/TP-PL
'The': KPA/-T
'aged': AEUGD
'king': KEUPBG
'ordered': ORD/-D
'the': -T
'cook': KAOBG
'to': TO
'be': -B
'torn': TORPB
'in': TPH
'four': TPOUR
'pieces,': PAOEFS/KW-BG
'but': PWUT
'grief': TKPWRAOEF
'consumed': KAOUPLD
'the': -T
'king's': KEUPBG/AES
'own': OEPB
'heart,': HART/KW-BG
'and': SKP
'he': HE
'soon': SAOPB
'died.': TKAOEUD/TP-PL
'His': KPA/HEUS
'son': SOPB
'married': PHAERD
'the': -T
'beautiful': PWAOUFL
'maiden': PHAEUD/*EPB
'whom': WHOPL
'he': HE
'had': H
'brought': PWRAUT
'with': W
'him': HEUPL
'as': AS
'a': AEU
'flower': TPHRO*UR
'in': TPH
'his': HEUS
'pocket,': POBGT/KW-BG
'and': SKP
'whether': WHR
'they': THE
'are': R
'still': STEUL
'alive': A/HRAOEUF
'or': OR
'not,': TPHOT/KW-BG
'is': S
'known': TPHOEPB
'to': TO
'God.': TKPWO*D/TP-PL
