Jack the Dullard

'flowers,': TPHRO*URS/KW-BG
'and': SKP
'with': W
'arabesques,': AEUR/PWEFBG/-S/KW-BG
'for': TPOR
'he': HE
'was': WAS
'a': AEU
'tasty,': TAEUS/TEU/KW-BG
'light-fingered': HRAOEUT/H-PB/TPEUPBG/ERD
'fellow.': TP*EL/TP-PL
'"I': KW-GS/EU
'shall': SHAL
'win': WEUPB
'the': -T
'Princess!"': KPA/PREUPB/SES/SKHRAPL/KR-GS
'So': KPA/SO
'cried': KRAOEUD
'both': PWO*T
'of': -F
'them.': THEPL/TP-PL
'Therefore': KPA/TH-FR
'their': THAEUR
'old': OLD
'papa': HRO*ER/PA/PA
'gave': TKPWAEUF
'to': TO
'each': AOEFP
'of': -F
'them': THEPL
'a': AEU
'handsome': HAPBD/SO*PL
'horse.': HORS/TP-PL
'The': KPA/-T
'youth': KWRAO*UT
'who': WHO
'knew': TPHAOU
'the': -T
'dictionary': TKEUBGS/AER
'and': SKP
'newspaper': TPHAOUP
'by': PWEU
'heart': HART
'had': H
'a': AEU
'black': PWHRABG
'horse,': HORS/KW-BG
'and': SKP
'he': HE
'who': WHO
'knew': TPHAOU
'all': AUL
'about': PW
'the': -T
'corporation': KORPGS
'laws': HRAUS
'received': SAOEFD
'a': AEU
'milk-white': PH*EULG/H-PB/WHAOEUT
'steed.': STAOED/TP-PL
'Then': KPA/THEPB
'they': THE
'rubbed': RUBD
'the': -T
'corners': KRORPB/-S
'of': -F
'their': THAEUR
'mouths': PHO*UT/-S
'with': W
'fish-oil,': TPEURB/H-PB/OEUL/KW-BG
'so': SO
'that': THA
'they': THE
'might': PHAOEUT
'become': PW-BG
'very': SRE
'smooth': SPHAO*T
'and': SKP
'glib.': TKPWHREUB/TP-PL
'All': KPA/AUL
'the': -T
'servants': SER/SRAPBTS
'stood': STAOD
'below': PWHRO
'in': TPH
'the': -T
'courtyard,': KORT/KWRARD/KW-BG
'and': SKP
'looked': HRAOBGD
'on': OPB
'while': WHAOEUL
'they': THE
'mounted': PHOUPBTD
'their': THAEUR
'horses;': HORSZ/STPH*FPLT
'and': SKP
'just': SKWRUFT
'by': PWEU
'chance': KHAPBS
'the': -T
'third': THEURD
'son': SOPB
'came': KAEUPL
'up.': UP/TP-PL
'For': KPA/TPOR
'the': -T
'proprietor': PRO/PRAOEU/TOR
'had': H
'really': R-L
'three': THRAOE
'sons,': SOPBS/KW-BG
