The Psyche
'shape': SHAEUP
'of': -F
'beauty,': PWAOUT/KW-BG
'and': SKP
'became': PWAEUPL
'converted': KWERTD
'into': TPHAO
'the': -T
'Psyche,': KPA/SAOEUBG/KW-BG
'fair': TPAEUR
'and': SKP
'glorious—a': TKPWHRORS/EPL/TKA*RB/AEU
'divine': TKWAOEUPB
'being': -BG
'in': TPH
'human': HAOUPL
'shape.': SHAEUP/TP-PL
'The': KPA/-T
'heavy': HOEUF
'stone': STOEPB
'appeared': A/PAOERD
'as': AS
'a': AEU
'gliding,': TKPWHRAOEUD/-G/KW-BG
'dancing,': TKAPBS/-G/KW-BG
'airy': AEUR/REU
'Psyche,': KPA/SAOEUBG/KW-BG
'with': W
'the': -T
'heavenly': HEFPBL
'innocent': TPH-PBT
'smile—the': SPHAOEUL/EPL/TKA*RB/-T
'smile': SPHAOEUL
'that': THA
'had': H
'mirrored': PHEUR/ORD
'itself': T/SEFL
'in': TPH
'the': -T
'soul': SOUL
'of': -F
'the': -T
'young': KWRUPBG
'artist.': TR-FT/TP-PL
'The': KPA/-T
'Star': KPA/STAR
'of': -F
'the': -T
'roseate': ROEZ/A*T
'dawn': TKAUPB
'beheld': PWE/HELD
'and': SKP
'understood': *URPBD
'what': WHA
'was': WAS
'stirring': STEURG
'within': W-PB
'the': -T
'young': KWRUPBG
'man,': PHAPB/KW-BG
'and': SKP
'could': KO
'read': RAED
'the': -T
'meaning': PHAOEPBG
'of': -F
'the': -T
'changing': KHAPBG/-G
'color': KROR
'of': -F
'his': HEUS
'cheek,': KHAOEBG/KW-BG
'of': -F
'the': -T
'light': HRAOEUT
'that': THA
'flashed': TPHRARBD
'from': TPR
'his': HEUS
'eye,': AOEU/KW-BG
'as': AS
'he': HE
'stood': STAOD
'busily': PWEUZ/HREU
'working,': WOG/KW-BG
'reproducing': RE/PROU/-G
'what': WHA
'had': H
'been': PW-PB
'put': PUT
'into': TPHAO
'his': HEUS
'soul': SOUL
'from': TPR
'above.': PWOF/TP-PL
'"Thou': KW-GS/KPA*/THO*U
'art': ART
'a': AEU
'master': PHAFRT
'like': HRAOEUBG
'those': THOZ
'masters': PHAFT/ERS
'among': PHOPBG
'the': -T
'ancient': AEURBT
'Greeks,"': TKPWRAOEBGS/KW-BG/KR-GS
'exclaimed': SKHRAEUPLD
'his': HEUS
'delighted': TKHRAOEUTD
'friends;': TPREPBDZ/STPH*FPLT
'"soon': KW-GS/SAOPB
'shall': SHAL
'the': -T
'whole': WHOEL
'world': WORLD
'admire': AD/PHAOEUR
'thy': THAO*EU
'Psyche."': KPA/SAOEUBG/TP-PL/KR-GS
'"My': KW-GS/KPA*/PHEU
'Psyche!"': KPA/SAOEUBG/SKHRAPL/KR-GS
'he': HE
'repeated.': RE/PAOETD/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'mine.': PHAOEUPB/TP-PL
'She': KPA/SHE
'must': PHUFT
'be': -B
'mine.': PHAOEUPB/TP-PL
'I,': EU/KW-BG
'too,': TAO/KW-BG
'am': APL
'an': APB
'artist,': TR-FT/KW-BG
'like': HRAOEUBG
'those': THOZ
'great': TKPWRAET
'men': PHEPB
'who': WHO
'are': R
'gone.': TKPWOPB/TP-PL
'Providence': KPA/PROF/TKEPBS
'has': HAS
'granted': TKPWRAPBTD
'me': PHE
'the': -T
'boon,': PWAOPB/KW-BG
'and': SKP
'has': HAS
'made': PHAED
'me': PHE
'the': -T
'equal': KWAL
'of': -F
'that': THA
'lady': HRA*ED
'of': -F
'noble': TPHOEBL
'birth."': PW*EURT/TP-PL/KR-GS
'And': AFPBD
'he': HE
'knelt': TPHELT
'down': TKOUPB
'and': SKP
'breathed': PWRAO*ETD
'a': AEU
'prayer': PRAEUR
'of': -F
'thankfulnesss': THAPB/K-FL/-PBS/-S
'to': TO
'Heaven,': KPA/HEFPB/KW-BG
'and': SKP
'then': THEPB
'he': HE
'forgot': TPAURGT
'Heaven': KPA/HEFPB
'for': TPOR
'her': HER
'sake—for': SAEUBG/EPL/TKA*RB/TPOR
'the': -T
'sake': SAEUBG
'of': -F
'her': HER
'picture': P*EUFP
'in': TPH
'stone—for': STOEPB/EPL/TKA*RB/TPOR
'her': HER
'Psyche': KPA/SAOEUBG
'which': WEU
'stood': STAOD
'there': THR
'as': AS
'if': TP
'formed': TPORPLD
'of': -F
'snow,': STPHOE/KW-BG
'blushing': PWHRURB/-G
'in': TPH
'the': -T
'morning': PHORPBG
'dawn.': TKAUPB/TP-PL
'He': KPA/HE
'was': WAS
'to': TO
'see': SAOE
'her': HER
'in': TPH
'reality,': RAOELT/KW-BG
'the': -T
'living,': HREUFG/KW-BG
'graceful': TKPWRAEUS/-FL
'Psyche,': KPA/SAOEUBG/KW-BG
'whose': WHOZ
'words': WORDZ
'sounded': SOUPBD/-D
'like': HRAOEUBG
'music': PHAOUFBG
'in': TPH
'his': HEUS
'ears.': AOERS/TP-PL
'He': KPA/HE
'could': KO
'now': TPHOU
'carry': KAER
'the': -T
'news': TPHUS
'into': TPHAO
'the': -T
'rich': REUFP
'palace': PAL/AS
'that': THA
'the': -T
'marble': PHAERBL
'Psyche': KPA/SAOEUBG
'was': WAS
'finished.': TP*EURBD/TP-PL
'He': KPA/HE
'betook': PWE/TAOBG
'himself': HEUPLS
'thither,': TH*EURT/KW-BG
'strode': STROED
'through': THRU
'the': -T
'open': OEP
'courtyard': KORT/KWRARD
'where': W-R
'the': -T
'waters': WAURS
'ran': RAPB
'splashing': SPHRARBG
'from': TPR
'the': -T
'dolphin's': TKOL/TPEUPB/AES
'jaws': SKWRAUS
'into': TPHAO
'the': -T
'marble': PHAERBL
'basins,': PWAS/SEUPB/-S/KW-BG
'where': W-R
'the': -T
'snowy': STPHOE/WEU
'lilies': HREUL/KWREU/-S
'and': SKP
'the': -T
'fresh': TPRERB
'roses': ROES/-S
'bloomed': PWHRAOPL/-D
'in': TPH
'abundance.': PWUPB/TKAPBS/TP-PL
'He': KPA/HE
'stepped': STEPD
'into': TPHAO
'the': -T
'great': TKPWRAET
'lofty': HROF/TEU
'hall,': HAUL/KW-BG
'whose': WHOZ
'walls': WAULS
'and': SKP
'ceilings': KRAOELGS
'shone': SHO*EPB
'with': W
'gilding': TKPW*EULD/-G
'and': SKP
'bright': PWRAOEUT
'colors': KHRORS
'and': SKP
'heraldic': HERLD/EUBG
'devices.': TKWAOEUSZ/TP-PL
'Gayly-dressed': KPA/TKPWAEU/TK-LS/HREU/H-PB/TKREFD
'serving-men,': SEFRBG/H-PB/PHEPB/KW-BG
'adorned': A/TKORPB/-D
'with': W
'trappings': TRAPG/-S
'like': HRAOEUBG
'sleigh': SHRA*EU
'horses,': HORSZ/KW-BG
'walked': WAUBGD
'to': TO
'and': SKP
'fro,': TPRO/KW-BG
'and': SKP
'some': SOPL
'reclined': RE/KHRAOEUPB/-D
'at': AT
'their': THAEUR
'ease': AOES
'upon': POPB
'the': -T
'carved': KAFRBD
'oak': OEBG
'seats,': SAOETS/KW-BG
'as': AS
'if': TP
'they': THE
'were': WR
'the': -T
'masters': PHAFT/ERS
'of': -F
'the': -T
'house.': HOUS/TP-PL
'He': KPA/HE
'told': TOLD
'them': THEPL
'what': WHA
'had': H
'brought': PWRAUT
'him': HEUPL
'to': TO
'the': -T
'palace,': PAL/AS/KW-BG
'and': SKP
'was': WAS
'conducted': KUBGTD
'up': UP
'the': -T
'shining': SHAOEUPBG
'marble': PHAERBL
'staircase,': STAEUR/KAEUS/KW-BG
'covered': KOFRD
'with': W
'soft': SOFT
'carpets': KARPTS
'and': SKP
'adorned': A/TKORPB/-D
'with': W
'many': PHAEPB
'a': AEU
'statue.': STOEUT/TP-PL
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'on': OPB
'through': THRU
'richly-furnished': REUFP/HREU/H-PB/TPURPB/-D
'chambers,': KHAEURPLS/KW-BG
'over': OEFR
'mosaic': PHO/SAEUBG
'floors,': THRAORS/KW-BG
'amid': A/PHEUD
'gorgeous': TKPWORBS
'pictures.': P*EUFPS/TP-PL
'All': KPA/AUL
'this': TH
'pomp': POFRP
'and': SKP
'luxury': HRUBGS/REU
'seemed': SAOEPLD
'to': TO
'weary': WAOE/REU
'him;': HEUPL/STPH*FPLT
'but': PWUT
'soon': SAOPB
'he': HE
'felt': TPELT
'relieved,': RE/HREFD/KW-BG
'for': TPOR
'the': -T
'princely': PREUPBS/HREU
'old': OLD
'master': PHAFRT
'of': -F
'the': -T
'house': HOUS
'received': SAOEFD
'him': HEUPL
'most': PHOFT
'graciously,': TKPWRAEURBS/HREU/KW-BG
'almost': HR-PL
'heartily;': HART/HREU/STPH*FPLT
'and': SKP
'when': WHEPB
'he': HE
'took': TAOBG
'his': HEUS
'leave': HREF
'he': HE
'was': WAS
'requested': KW-D
'to': TO
'step': STEP
'into': TPHAO
'the': -T
'Signora's': KPA/SAOEUPB/O*R/SKWRA/AES
'apartment,': ARPLT/KW-BG
'for': TPOR
'she,': SHE/KW-BG
'too,': TAO/KW-BG
'wished': WEURBD
'to': TO
'see': SAOE
'him.': HEUPL/TP-PL
'The': KPA/-T
'servants': SER/SRAPBTS
'led': HRED
'him': HEUPL
'through': THRU
'more': PHOR
'luxurious': HRUBGS/WUS
'halls': HAULS
'and': SKP
'chambers': KHAEURPLS
'into': TPHAO
'her': HER
'room,': RAOPL/KW-BG
'where': W-R
'she': SHE
'appeared': A/PAOERD
'the': -T
'chief': KHAOEF
'and': SKP
'leading': HRAEGD
'ornament.': ORPB/*PLT/TP-PL
'She': KPA/SHE
'spoke': SPOEBG
'to': TO
'him.': HEUPL/TP-PL
'No': KPA/TPHO
'hymn': H*EUPL
'of': -F
'supplication,': SUPL/KAEUGS/KW-BG
'no': TPHO
'holy': HOEUL
'chant,': KHAPBT/KW-BG
'could': KO
'melt': PHELT
'his': HEUS
'soul': SOUL
'like': HRAOEUBG
'the': -T
'sound': SOUPBD
'of': -F
'her': HER
'voice.': SROEUS/TP-PL
'He': KPA/HE
'took': TAOBG
'her': HER
'hand': HAPBD
'and': SKP
'lifted': HREUFTD
'it': T
'to': TO
'his': HEUS
'lips.': HREUPS/TP-PL
'No': KPA/TPHO
'rose': ROEZ
'was': WAS
'softer,': SO*FRT/KW-BG
'but': PWUT
'a': AEU
'fire': TPAOEUR
'thrilled': THREULD
'through': THRU
'him': HEUPL
'from': TPR
'this': TH
'rose—a': ROEZ/EPL/TKA*RB/AEU
'feeling': TPAOELG
'of': -F
'power': POUR
'came': KAEUPL
'upon': POPB
'him,': HEUPL/KW-BG
'and': SKP
'words': WORDZ
'poured': PORD
'from': TPR
'his': HEUS
'tongue—he': TUPBG/EPL/TKA*RB/HE
'knew': TPHAOU
'not': TPHOT
'what': WHA
'he': HE
'said.': SED/TP-PL
'Does': KPA/TKOS
'the': -T
'crater': KRAEU/TER
'of': -F
'the': -T
'volcano': SROL/KAEU/TPHOE
'know': TPHOE
'that': THA
'the': -T
'glowing': TKPWHROEG
'lava': HRA/SRA
'is': S
'pouring': PORG
'from': TPR
'it?': T/H-F
'He': KPA/HE
'confessed': KAUPB/TPES/-D
'what': WHA
'he': HE
'felt': TPELT
'for': TPOR
'her.': HER/TP-PL
'She': KPA/SHE
'stood': STAOD
'before': PW-FR
'him': HEUPL
'astonished,': A/STOPB/EURBD/KW-BG
'offended,': OE/TPEPBD/-D/KW-BG
'proud,': PROUD/KW-BG
'with': W
'contempt': KAUPB/TEPLT
'in': TPH
'her': HER
'face,': TPAEUS/KW-BG
'an': APB
'expression': EBGS/PREGS
'of': -F
'disgust,': TKEUS/TKPWUFT/KW-BG
'as': AS
'if': TP
'she': SHE
'had': H
'suddenly': SULD
'touched': TUFPD
'a': AEU
'cold': KOELD
'unclean': UPB/KHRAOEPB
'reptile.': REP/TAOEUL/TP-PL
'Her': KPA/HER
'cheeks': KHAOEBGS
'reddened,': RED/-PBD/KW-BG
'her': HER
'lips': HREUPS
'grew': TKPWRAOU
'white,': WHAOEUT/KW-BG
'and': SKP
'her': HER
'eyes': AO*EUS
'flashed': TPHRARBD
'fire,': TPAOEUR/KW-BG
'though': THOE
'they': THE
'were': WR
'dark': TKARBG
'as': AS
'the': -T
'blackness': PWHRABG/-PBS
'of': -F
'night.': TPHAOEUT/TP-PL
'"Madman!"': KW-GS/KPA*/PHAD/PHAPB/SKHRAPL/KR-GS
'she': SHE
'cried,': KRAOEUD/KW-BG
'"away!': KW-GS/WA*EU/SKHRAPL
'begone!"': PWE/TKPWOPB/SKHRAPL/KR-GS
'And': AFPBD
'she': SHE
'turned': TURPBD
'her': HER
'back': PWABG
'upon': POPB
'him.': HEUPL/TP-PL
'Her': KPA/HER
'beautiful': PWAOUFL
'face': TPAEUS
'wore': WOR
'an': APB
'expression': EBGS/PREGS
'like': HRAOEUBG
'that': THA
'of': -F
'the': -T
'stony': STOEPB/KWREU
'countenance': KOUPBT/TPHAPBS
'with': W
'the': -T
'snaky': S*/*PB/SKWRA/*BG/KWREU
'locks.': HROBGZ/TP-PL
'Like': KPA/HRAOEUBG
'a': AEU
'stricken,': STREUPB/KW-BG
'fainting': TPAEUPBT/-G
'man,': PHAPB/KW-BG
'he': HE
'tottered': T*/O*/T*/T*/*ER/-D
'down': TKOUPB
'the': -T
'staircase': STAEUR/KAEUS
'and': SKP
'out': OUT
'into': TPHAO
'the': -T
'street.': STRAOET/TP-PL
'Like': KPA/HRAOEUBG
'a': AEU
'man': PHAPB
'walking': WAUG
'in': TPH
'his': HEUS
'sleep,': SHRAOEP/KW-BG
'he': HE
'found': TPOUPBD
'his': HEUS
'way': WAEU
'back': PWABG
'to': TO
'his': HEUS
'dwelling.': TKWELG/TP-PL
'Then': KPA/THEPB
'he': HE
'woke': WOEBG
'up': UP
'to': TO
'madness': PHAD/-PBS
'and': SKP
'agony,': AG/TPHEU/KW-BG
'and': SKP
'seized': SAOEZ/-D
'his': HEUS
'hammer,': HAERPL/KW-BG
'swung': SWUPBG
'it': T
'high': HAOEU
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'and': SKP
'rushed': RURBD
'forward': TPAORD
'to': TO
'shatter': SHAERT
'the': -T
'beautiful': PWAOUFL
'marble': PHAERBL
'image.': EUPBLG/TP-PL
'But,': KPA/PWUT/KW-BG
'in': TPH
'his': HEUS
'pain,': PAEUPB/KW-BG
'he': HE
'had': H
'not': TPHOT
'noticed': TPH-TS/-D
'that': THA
'his': HEUS
'friend': TPREPBD
'Angelo': APB/SKWRE/HROE
'stood': STAOD
'beside': PWE/SAOEUD
'him;': HEUPL/STPH*FPLT
'and': SKP
'Angelo': APB/SKWRE/HROE
'held': HELD
'back': PWABG
'his': HEUS
'arm': ARPL
'with': W
'a': AEU
'strong': STROPBG
'grasp,': TKPWRAFP/KW-BG
'crying,': KRAOEUG/KW-BG
'"Are': KW-GS/KPA*/R
'you': U
'mad?': PHAD/H-F
'What': KPA/WHA
'are': R
'you': U
'about?"': PW/H-F/KR-GS
'They': KPA/THE
'struggled': STRULGD
'together.': TOGT/TP-PL
'Angelo': APB/SKWRE/HROE
'was': WAS
'the': -T
'stronger;': STRORPBG/STPH*FPLT
'and,': SKP/KW-BG
'with': W
'a': AEU
'deep': TKAOEP
'sigh': SAOEU
'of': -F
'exhaustion,': KPAUGS/KW-BG
'the': -T
'young': KWRUPBG
'artist': TR-FT
'threw': THRAOU
'himself': HEUPLS
'into': TPHAO
'a': AEU
'chair.': KHAEUR/TP-PL
'"What': KW-GS/KPA*/WHA
'has': HAS
'happened?"': HAPD/H-F/KR-GS
'asked': SK-D
'Angelo.': APB/SKWRE/HROE/TP-PL
'"Command': KW-GS/KPA*/KPHAPBD
'yourself.': KWRO*URS/TP-PL
'Speak!"': KPA/SPAOEBG/SKHRAPL/KR-GS
'But': KPA/PWUT
'what': WHA
'could': KO
'he': HE
'say?': SAEU/H-F
'How': KPA/HOU
'could': KO
'he': HE
'explain?': SPHRAEUPB/H-F
'And': AFPBD
'as': AS
'Angelo': APB/SKWRE/HROE
'could': KO
'make': PHAEUBG
'no': TPHO
'sense': SEPBS
'of': -F
'his': HEUS
'friend's': TPREPBD/AES
'incoherent': EUPB/KOE/HAOERPBT
'words,': WORDZ/KW-BG
'he': HE
'forbore': TPAUR/PWOR
'to': TO
'question': KWE
'him': HEUPL
'further,': TPURT/KW-BG
'and': SKP
'merely': PHAOERL
'said,': SED/KW-BG
'"Your': KW-GS/KPA*/KWROUR
'blood': PWHRAOD
'grows': TKPWRO*ES
'thick': THEUBG
'from': TPR
'your': KWROUR
'eternal': AOE/TERPBL
'dreaming.': TKRAOEPLG/TP-PL
'Be': KPA/-B
'a': AEU
'man,': PHAPB/KW-BG
'as': AS
'all': AUL
'others': OERS
'are,': R-RBGS
'and': SKP
'don't': TKOEPBT
'go': TKPW
'on': OPB
'living': HREUFG
'in': TPH
'ideals,': KWR-LS/KW-BG
'for': TPOR
'that': THA
'is': S
'what': WHA
'drives': TKREUFS
'men': PHEPB
'crazy.': KRAEZ/TP-PL
'A': KPA/AEU
'jovial': SKWROEF/KWRAL
'feast': TPAOEFT
'will': HR
'make': PHAEUBG
'you': U
'sleep': SHRAOEP
'quietly': KWAO*EULT
'and': SKP
'happily.': HAP/HREU/TP-PL
'Believe': KPA/PWHREF
'me,': PHE/KW-BG
'the': -T
'time': TAOEUPL
'will': HR
'come': KOPL
'when': WHEPB
'you': U
'will': HR
'be': -B
'old,': OLD/KW-BG
'and': SKP
'your': KWROUR
'sinews': SEUPB/AOU/-S
'will': HR
'shrink,': SHR*EUPBG/KW-BG
'and': SKP
'then,': THEPB/KW-BG
'on': OPB
'some': SOPL
'fine': TPAOEUPB
'sunshiny': SUPB/TK-LS/SHOEUPB
'day,': TKAEU/KW-BG
'when': WHEPB
'everything': EFRG
'is': S
'laughing': HRAFG
'and': SKP
'rejoicing,': RE/SKWROEUFG/KW-BG
'you': U
'will': HR
'lie': HRAOEU
'there': THR
'a': AEU
'faded': TPAEUD/-D
'plant,': PHRAPBT/KW-BG
'that': THA
'will': HR
'grow': TKPWROE
'no': TPHO
'more.': PHOR/TP-PL
'I': EU
'do': TKO
'not': TPHOT
'live': HREUF
'in': TPH
'dreams,': TKRAOEPLS/KW-BG
'but': PWUT
'in': TPH
'reality.': RAOELT/TP-PL
'Come': KPA/KOPL
'with': W
'me.': PHE/TP-PL
'Be': KPA/-B
'a': AEU
'man!"': PHAPB/SKHRAPL/KR-GS
'And': AFPBD
'he': HE
'drew': TKRAOU
'the': -T
'artist': TR-FT
'away': WA*EU
'with': W
'him.': HEUPL/TP-PL
'At': KPA/AT
'this': TH
'moment': PHOEPLT
'he': HE
'was': WAS
'able': ABL
'to': TO
'do': TKO
'so,': SO/KW-BG
'for': TPOR
'a': AEU
'fire': TPAOEUR
'ran': RAPB
'in': TPH
'the': -T
'blood': PWHRAOD
'of': -F
'the': -T
'young': KWRUPBG
'sculptor;': SKAO*UFP/STPH*FPLT
'a': AEU
'change': KHAEUPBG
'had': H
'taken': TAEPB
'place': PHRAEUS
'in': TPH
'his': HEUS
'soul;': SOUL/STPH*FPLT
'he': HE
'felt': TPELT
'a': AEU
'longing': HROPBG/-G
'to': TO
'tear': TAER
'from': TPR
'the': -T
'old,': OLD/KW-BG
'the': -T
'accustomed—to': A/KUFPLD/EPL/TKA*RB/TO
'forget,': TPORGT/KW-BG
'if': TP
'possible,': POB/KW-BG
'his': HEUS
'own': OEPB
'individuality;': SREUPBLGT/STPH*FPLT
'and': SKP
'therefore': TH-FR
'it': T
'was': WAS
'that': THA
'he': HE
'followed': TPOLD
'Angelo.': APB/SKWRE/HROE/TP-PL
'In': KPA/TPH
'an': APB
'out-of-the-way': AOUT/-FT/WAEU
'suburb': SPWURB
'of': -F
'Rome': RO*EPL
'lay': HRAEU
'a': AEU
'tavern': TAFRPB
'much': PHUFP
'visited': SREUFTD
'by': PWEU
'artists.': TR-FTS/TP-PL
'It': KPA/T
'was': WAS
'built': PWEULT
'on': OPB
'the': -T
'ruins': RAOUPBS
'of': -F
'some': SOPL
'ancient': AEURBT
'baths.': PWA*TS/TP-PL
'The': KPA/-T
'great': TKPWRAET
'yellow': KWREL/OE
'citrons': SEURT/O*PB/-S
'hung': HUPBG
'down': TKOUPB
'among': PHOPBG
'the': -T
'dark': TKARBG
'shining': SHAOEUPBG
'leaves,': HREFS/KW-BG
'and': SKP
'covered': KOFRD
'a': AEU
'part': PART
'of': -F
'the': -T
'old': OLD
'reddish-yellow': RED/EURB/H-PB/KWREL/OE
'walls.': WAULS/TP-PL
'The': KPA/-T
'tavern': TAFRPB
'consisted': KAO/-D
'of': -F
'a': AEU
'vaulted': SRAULT/-D
'chamber,': KHAEURPL/KW-BG
'almost': HR-PL
'like': HRAOEUBG
'a': AEU
'cavern,': KAFRPB/KW-BG
'in': TPH
'the': -T
'ruins.': RAOUPBS/TP-PL
'A': KPA/AEU
'lamp': HRAFRP
'burned': PWURPBD
'there': THR
'before': PW-FR
'the': -T
'picture': P*EUFP
'of': -F
'the': -T
'Madonna.': PHA/TKOPB/TPHA/TP-PL
'A': KPA/AEU
'great': TKPWRAET
'fire': TPAOEUR
'gleamed': TKPWHRAOEPL/-D
'on': OPB
'the': -T
'hearth,': HAERT/KW-BG
'and': SKP
'roasting': ROEFT/-G
'and': SKP
'boiling': PWOEULG
'was': WAS
'going': TKPW-G
'on': OPB
'there;': THR/STPH*FPLT
'without,': WOUT/KW-BG
'under': TPH-PB
'the': -T
'citron': SEURT/O*PB
'trees': TRAOES
'and': SKP
'laurels,': HRAURLS/KW-BG
'stood': STAOD
'a': AEU
'few': TPAOU
'covered': KOFRD
'tables.': TAEUBLS/TP-PL
'The': KPA/-T
'two': TWO
'artists': TR-FTS
'were': WR
'received': SAOEFD
'by': PWEU
'their': THAEUR
'friends': TPREPBDZ
'with': W
'shouts': SHOUTS
'of': -F
'welcome.': WELG/TP-PL
'Little': KPA/HREUL
'was': WAS
'eaten,': AOET/EPB/KW-BG
'but': PWUT
'much': PHUFP
'was': WAS
'drunk,': TKR*UPBG/KW-BG
'and': SKP
'the': -T
'spirits': SPEURTS
'of': -F
'the': -T
'company': K-P
'rose.': ROEZ/TP-PL
'Songs': KPA/SOPBGS
'were': WR
'sung': SUPBG
'and': SKP
'ditties': TKEUT/TEU/-S
'were': WR
'played': PHRAEUD
'on': OPB
'the': -T
'guitar;': TKPWEU/TAR/STPH*FPLT
'presently': PREPBLT
'the': -T
'Salterello': S*P/A*/HR*/T*/*E/R*/*E/HR*/HR*/SKWRO
'sounded,': SOUPBD/-D/KW-BG
'and': SKP
'the': -T
'merry': PHER/REU
'dance': TKAPBS
'began.': TKPWAPB/TP-PL
'Two': KPA/TWO
'young': KWRUPBG
'Roman': RO*EPB
'girls,': TKPWEURLS/KW-BG
'who': WHO
'sat': SAT
'as': AS
'models': PHO*LDZ
'to': TO
'the': -T
'artists,': TR-FTS/KW-BG
'took': TAOBG
'part': PART
'in': TPH
'the': -T
'dance': TKAPBS
'and': SKP
'in': TPH
'the': -T
'festivity.': TPEFT/EUFT/TP-PL
'Two': KPA/TWO
'charming': KHARPL/-G
'Bacchantes': PW*P/A*/KR*/*FP/APBT/ES
'were': WR
'they;': THE/STPH*FPLT
'certainly': SERPBL
'not': TPHOT
'Psyches—not': KPA/SAO*EUBG/ES/EPL/TKA*RB/TPHOT
'delicate,': TKEL/KAT/KW-BG
'beautiful': PWAOUFL
'roses,': ROES/-S/KW-BG
'but': PWUT
'fresh,': TPRERB/KW-BG
'hearty,': HAR/TEU/KW-BG
'glowing': TKPWHROEG
'carnations.': KARPB/AEUGS/-S/TP-PL
'How': KPA/HOU
'hot': HOT
'it': T
'was': WAS
'on': OPB
'that': THA
'day!': TKAEU/SKHRAPL
'Even': KPA/AOEPB
'after': AF
'sundown': SUPB/TKOUPB
'it': T
'was': WAS
'hot.': HOT/TP-PL
'There': KPA/THR
'was': WAS
'fire': TPAOEUR
'in': TPH
'the': -T
'blood,': PWHRAOD/KW-BG
'fire': TPAOEUR
'in': TPH
'every': EF
'glance,': TKPWHRAPBS/KW-BG
'fire': TPAOEUR
'everywhere.': WEFR/TP-PL
'The': KPA/-T
'air': AEUR
'gleamed': TKPWHRAOEPL/-D
'with': W
'gold': TKPWOELD
'and': SKP
'roses,': ROES/-S/KW-BG
'and': SKP
'life': HRAOEUF
'seemed': SAOEPLD
'like': HRAOEUBG
'gold': TKPWOELD
'and': SKP
'roses.': ROES/-S/TP-PL
'"At': KW-GS/KPA*/AT
'last': HRAFT
'you': U
'have': SR
'joined': SKWROEUPBD
'us,': US/KW-BG
'for': TPOR
'once,"': WUPBS/KW-BG/KR-GS
'said': SED
'his': HEUS
'friends.': TPREPBDZ/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'let': HRET
'yourself': KWRO*URS
'be': -B
'carried': KAERD
'by': PWEU
'the': -T
'waves': WAFS
'within': W-PB
'and': SKP
'around': ARPBD
'you."': U/TP-PL/KR-GS
'"Never': KW-GS/KPA*/TPHEFR
'yet': KWRET
'have': SR
'I': EU
'felt': TPELT
'so': SO
'well,': WEL/KW-BG
'so': SO
'merry!"': PHER/REU/SKHRAPL/KR-GS
'cried': KRAOEUD
'the': -T
'young': KWRUPBG
'artist.': TR-FT/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'right—you': RAOEUT/EPL/TKA*RB/U
'are': R
'all': AUL
'of': -F
'you': U
'right.': RAOEUT/TP-PL
'I': EU
'was': WAS
'a': AEU
'fool—a': TPAOL/EPL/TKA*RB/AEU
'dreamer.': TKRAOEPL/*ER/TP-PL
'Man': KPA/PHAPB
'belongs': PWHROPBGS
'to': TO
'reality,': RAOELT/KW-BG
'and': SKP
'not': TPHOT
'to': TO
'fancy."': TPAEPBS/TP-PL/KR-GS
'With': KPA/W
'songs': SOPBGS
'and': SKP
'with': W
'sounding': SOUPBD/-G
'guitars': TKPWEU/TAR/-S
'the': -T
'young': KWRUPBG
'people': PAOEPL
'returned': RURPBD
'that': THA
'evening': AOEPBG
'from': TPR
'the': -T
'tavern,': TAFRPB/KW-BG
'through': THRU
'the': -T
'narrow': TPHO*EUR
'streets;': STRAOETS/STPH*FPLT
'the': -T
'two': TWO
'glowing': TKPWHROEG
'carnations,': KARPB/AEUGS/-S/KW-BG
'daughters': TKAURS
'of': -F
'the': -T
'Campagna,': KPA/KAPL/PAPB/KWRA/KW-BG
'went': WEPBT
'with': W
'them.': THEPL/TP-PL
'In': KPA/TPH
'Angelo's': APB/SKWRE/HROE/AES
'room,': RAOPL/KW-BG
'among': PHOPBG
'a': AEU
'litter': HREUT/ER
'of': -F
'colored': KHRORD
'sketches': SKEFPS
'(studies)': PREPB/STAO*UDZ/PR*EPB
'and': SKP
'glowing': TKPWHROEG
'pictures,': P*EUFPS/KW-BG
'the': -T
'voices': SROEUFS
'sounded': SOUPBD/-D
'mellower,': PHEL/OE/*ER/KW-BG
'but': PWUT
'not': TPHOT
'less': HRES
'merrily.': PHER/HREU/TP-PL
'On': KPA/OPB
'the': -T
'ground': TKPWROUPBD
'lay': HRAEU
'many': PHAEPB
'a': AEU
'sketch': SKEFP
'that': THA
'resembled': RE/SEPL/-BLD
'the': -T
'daughters': TKAURS
'of': -F
'the': -T
'Campagna,': KPA/KAPL/PAPB/KWRA/KW-BG
'in': TPH
'their': THAEUR
'fresh,': TPRERB/KW-BG
'hearty': HAR/TEU
'comeliness,': KOPL/HR*EUPBS/KW-BG
'but': PWUT
'the': -T
'two': TWO
'originals': ORPBLGS
'were': WR
'far': TPAR
'handsomer': HAPBD/SO*PL/TK-LS/*E/R*
'than': THAPB
'their': THAEUR
'portraits.': POR/TRAT/-S/TP-PL
'All': KPA/AUL
'the': -T
'burners': PWURPB/*ERS
'of': -F
'the': -T
