The Goose-Girl
'answered:': AEPBS/-D/STPH-FPLT
''Bride,': A*E/KPA*/PWRAOEUD/KW-BG
'bride,': PWRAOEUD/KW-BG
'there': THR
'thou': THO*U
'gangest!': TKPWAPBG/EFT/SKHRAPL
'Alas!': KPA/A/HRAS/SKHRAPL
'alas!': A/HRAS/SKHRAPL
'if': TP
'thy': THAO*EU
'mother': PHOER
'knew': TPHAOU
'it,': T/KW-BG
'Sadly,': KPA/SAD/HREU/KW-BG
'sadly,': SAD/HREU/KW-BG
'would': WO
'she': SHE
'rue': RAO
'it.'': T/TP-PL/AE
'Then': KPA/THEPB
'she': SHE
'drove': TKROEF
'on': OPB
'the': -T
'geese,': TKPWAOES/KW-BG
'and': SKP
'sat': SAT
'down': TKOUPB
'again': TKPWEPB
'in': TPH
'the': -T
'meadow,': PHED/OE/KW-BG
'and': SKP
'began': TKPWAPB
'to': TO
'comb': KOEPL
'out': OUT
'her': HER
'hair': HAEUR
'as': AS
'before;': PW-FR/STPH*FPLT
'and': SKP
'Curdken': KPA/KURD/*BG/*EPB
'ran': RAPB
'up': UP
'to': TO
'her,': HER/KW-BG
'and': SKP
'wanted': WAPBTD
'to': TO
'take': TAEUBG
'hold': HOLD
'of': -F
'it;': T/STPH*FPLT
'but': PWUT
'she': SHE
'cried': KRAOEUD
'out': OUT
'quickly:': KWEULG/STPH-FPLT
''Blow,': A*E/KPA*/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'Curdken's': KPA/KURD/*BG/*EPB/AES
'hat': HAT
'go!': TKPW/SKHRAPL
'Blow,': KPA/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'him': HEUPL
'after': AF
'it': T
'go!': TKPW/SKHRAPL
'O'er': KPA/OE/*ER
'hills,': HEULS/KW-BG
'dales,': TKAEL/-S/KW-BG
'and': SKP
'rocks,': ROBGS/KW-BG
'Away': KPA/WA*EU
'be': -B
'it': T
'whirl'd': WHEURL/*D
'Till': KPA/TEUL
'the': -T
'silvery': SEUL/SRER/KWREU
'locks': HROBGZ
'Are': KPA/R
'all': AUL
'comb'd': KOEPL/*D
'and': SKP
'curl'd!': KURL/AE/TK*/SKHRAPL
'Then': KPA/THEPB
'the': -T
'wind': WEUPBD
'came': KAEUPL
'and': SKP
'blew': PWHRAOU
'away': WA*EU
'his': HEUS
'hat;': HAT/STPH*FPLT
'and': SKP
'off': OF
'it': T
'flew': TPHRAOU
'a': AEU
'great': TKPWRAET
'way,': WAEU/KW-BG
'over': OEFR
'the': -T
'hills': HEULS
'and': SKP
'far': TPAR
'away,': WA*EU/KW-BG
'so': SO
'that': THA
'he': HE
'had': H
'to': TO
'run': RUPB
'after': AF
'it;': T/STPH*FPLT
'and': SKP
'when': WHEPB
'he': HE
'came': KAEUPL
'back': PWABG
'she': SHE
'had': H
'bound': PWOUPBD
'up': UP
'her': HER
'hair': HAEUR
'again,': STKPWERPBGS
'and': SKP
'all': AUL
'was': WAS
'safe.': SAEUF/TP-PL
'So': KPA/SO
'they': THE
'watched': WAFPD
'the': -T
'geese': TKPWAOES
'till': TEUL
'it': T
'grew': TKPWRAOU
'dark.': TKARBG/TP-PL
'In': KPA/TPH
'the': -T
'evening,': AOEPBG/KW-BG
'after': AF
'they': THE
'came': KAEUPL
'home,': HOEPL/KW-BG
'Curdken': KPA/KURD/*BG/*EPB
'went': WEPBT
'to': TO
'the': -T
'old': OLD
'king,': KEUPBG/KW-BG
'and': SKP
'said,': SED/KW-BG
''I': A*E/EU
'cannot': SK-PBT
'have': SR
'that': THA
'strange': STRAEUPBG
'girl': TKPWEURL
'to': TO
'help': HEP
'me': PHE
'to': TO
'keep': KAOEP
'the': -T
'geese': TKPWAOES
'any': TPHEU
'longer.'': HRORPBG/TP-PL/AE
''Why?'': A*E/KPA*/KWR/H-F/AE
'said': SED
'the': -T
'king.': KEUPBG/TP-PL
''Because,': A*E/KPA*/PWAU/KW-BG
'instead': STPHED
'of': -F
'doing': TK*G
'any': TPHEU
'good,': TKPWAOD/KW-BG
'she': SHE
'does': TKOS
'nothing': TPHOG
'but': PWUT
'tease': TAOES
'me': PHE
'all': AUL
'day': TKAEU
'long.'': HROPBG/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'king': KEUPBG
'made': PHAED
'him': HEUPL
'tell': TEL
'him': HEUPL
'what': WHA
'had': H
'happened.': HAPD/TP-PL
'And': AFPBD
'Curdken': KPA/KURD/*BG/*EPB
'said,': SED/KW-BG
''When': A*E/KPA*/WHEPB
'we': WE
'go': TKPW
'in': TPH
'the': -T
'morning': PHORPBG
'through': THRU
'the': -T
'dark': TKARBG
'gate': TKPWAET
'with': W
'our': OUR
'flock': TPHROBG
'of': -F
'geese,': TKPWAOES/KW-BG
'she': SHE
'cries': KRAOEUS
'and': SKP
'talks': TAUBGS
'with': W
'the': -T
'head': HED
'of': -F
'a': AEU
'horse': HORS
'that': THA
'hangs': HAPBGS
'upon': POPB
'the': -T
'wall,': WAUL/KW-BG
'and': SKP
'says:': SEZ/STPH-FPLT
''Falada,': A*E/TP*P/A*/HR*/A*/TK*/KWRA/KW-BG
'Falada,': TP*P/A*/HR*/A*/TK*/KWRA/KW-BG
'there': THR
'thou': THO*U
'hangest!'': HAPBG/EFT/SKHRAPL/AE
'and': SKP
'the': -T
'head': HED
'answers:': AEPBS/-S/STPH-FPLT
''Bride,': A*E/KPA*/PWRAOEUD/KW-BG
'bride,': PWRAOEUD/KW-BG
'there': THR
'thou': THO*U
'gangest!': TKPWAPBG/EFT/SKHRAPL
'Alas!': KPA/A/HRAS/SKHRAPL
'alas!': A/HRAS/SKHRAPL
'if': TP
'thy': THAO*EU
'mother': PHOER
'knew': TPHAOU
'it,': T/KW-BG
'Sadly,': KPA/SAD/HREU/KW-BG
'sadly,': SAD/HREU/KW-BG
'would': WO
'she': SHE
'rue': RAO
'it.'': T/TP-PL/AE
'And': AFPBD
'Curdken': KPA/KURD/*BG/*EPB
'went': WEPBT
'on': OPB
'telling': TELG
'the': -T
'king': KEUPBG
'what': WHA
'had': H
'happened': HAPD
'upon': POPB
'the': -T
'meadow': PHED/OE
'where': W-R
'the': -T
'geese': TKPWAOES
'fed;': TPED/STPH*FPLT
'how': HOU
'his': HEUS
'hat': HAT
'was': WAS
'blown': PWHROEPB
'away;': WA*EU/STPH*FPLT
'and': SKP
'how': HOU
'he': HE
'was': WAS
'forced': TPOFRD
'to': TO
'run': RUPB
'after': AF
'it,': T/KW-BG
'and': SKP
'to': TO
'leave': HREF
'his': HEUS
'flock': TPHROBG
'of': -F
'geese': TKPWAOES
'to': TO
'themselves.': TH*EPLS/TP-PL
'But': KPA/PWUT
'the': -T
'old': OLD
'king': KEUPBG
'told': TOLD
'the': -T
'boy': PWOEU
'to': TO
'go': TKPW
'out': OUT
'again': TKPWEPB
'the': -T
'next': TPHEGT
'day:': TKAEU/STPH-FPLT
'and': SKP
'when': WHEPB
'morning': PHORPBG
'came,': KAEUPL/KW-BG
'he': HE
'placed': PHRAEUFD
'himself': HEUPLS
'behind': HEUPBD
'the': -T
'dark': TKARBG
'gate,': TKPWAET/KW-BG
'and': SKP
'heard': HAERD
'how': HOU
'she': SHE
'spoke': SPOEBG
'to': TO
'Falada,': TP*P/A*/HR*/A*/TK*/KWRA/KW-BG
'and': SKP
'how': HOU
'Falada': TP*P/A*/HR*/A*/TK*/KWRA
'answered.': AEPBS/-D/TP-PL
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'into': TPHAO
'the': -T
'field,': TPAOELD/KW-BG
'and': SKP
'hid': HEUD
'himself': HEUPLS
'in': TPH
'a': AEU
'bush': PWURB
'by': PWEU
'the': -T
'meadow's': PHED/OE/AES
'side;': SAOEUD/STPH*FPLT
'and': SKP
'he': HE
'soon': SAOPB
'saw': SAU
'with': W
'his': HEUS
'own': OEPB
'eyes': AO*EUS
'how': HOU
'they': THE
'drove': TKROEF
'the': -T
'flock': TPHROBG
'of': -F
'geese;': TKPWAOES/STPH*FPLT
'and': SKP
'how,': HOU/KW-BG
'after': AF
'a': AEU
'little': HREUL
'time,': TAOEUPL/KW-BG
'she': SHE
'let': HRET
'down': TKOUPB
'her': HER
'hair': HAEUR
'that': THA
'glittered': TKPWHREUT/ERD
'in': TPH
'the': -T
'sun.': SUPB/TP-PL
'And': AFPBD
'then': THEPB
'he': HE
'heard': HAERD
'her': HER
'say:': SAEU/STPH-FPLT
''Blow,': A*E/KPA*/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'Curdken's': KPA/KURD/*BG/*EPB/AES
'hat': HAT
'go!': TKPW/SKHRAPL
'Blow,': KPA/PWHROE/KW-BG
'breezes,': PWRAOEZ/-S/KW-BG
'blow!': PWHROE/SKHRAPL
'Let': KPA/HRET
'him': HEUPL
'after': AF
'it': T
'go!': TKPW/SKHRAPL
'O'er': KPA/OE/*ER
'hills,': HEULS/KW-BG
'dales,': TKAEL/-S/KW-BG
'and': SKP
'rocks,': ROBGS/KW-BG
'Away': KPA/WA*EU
'be': -B
'it': T
'whirl'd': WHEURL/*D
'Till': KPA/TEUL
'the': -T
'silvery': SEUL/SRER/KWREU
'locks': HROBGZ
'Are': KPA/R
'all': AUL
'comb'd': KOEPL/*D
'and': SKP
'curl'd!': KURL/AE/TK*/SKHRAPL
'And': AFPBD
'soon': SAOPB
'came': KAEUPL
'a': AEU
'gale': TKPWAEL
'of': -F
'wind,': WEUPBD/KW-BG
'and': SKP
'carried': KAERD
'away': WA*EU
'Curdken's': KPA/KURD/*BG/*EPB/AES
'hat,': HAT/KW-BG
'and': SKP
'away': WA*EU
'went': WEPBT
'Curdken': KPA/KURD/*BG/*EPB
'after': AF
'it,': T/KW-BG
'while': WHAOEUL
'the': -T
'girl': TKPWEURL
'went': WEPBT
'on': OPB
'combing': KOEPL/-G
'and': SKP
'curling': KURLG
'her': HER
'hair.': HAEUR/TP-PL
'All': KPA/AUL
'this': TH
'the': -T
'old': OLD
'king': KEUPBG
'saw:': SAU/STPH-FPLT
'so': SO
'he': HE
'went': WEPBT
'home': HOEPL
'without': WOUT
'being': -BG
'seen;': SAOEPB/STPH*FPLT
'and': SKP
'when': WHEPB
'the': -T
'little': HREUL
'goose-girl': TKPWAOS/H-PB/TKPWEURL
'came': KAEUPL
'back': PWABG
'in': TPH
'the': -T
'evening': AOEPBG
'he': HE
'called': KAULD
'her': HER
'aside,': A/SAOEUD/KW-BG
'and': SKP
'asked': SK-D
'her': HER
'why': KWR
'she': SHE
'did': TK
'so:': SO/STPH-FPLT
'but': PWUT
'she': SHE
'burst': PWUFRT
'into': TPHAO
'tears,': TAERS/KW-BG
'and': SKP
'said,': SED/KW-BG
''That': A*E/KPA*/THA
'I': EU
'must': PHUFT
'not': TPHOT
'tell': TEL
'you': U
'or': OR
'any': TPHEU
'man,': PHAPB/KW-BG
'or': OR
'I': EU
'shall': SHAL
'lose': HRUZ
'my': PHEU
'life.'': HRAOEUF/TP-PL/AE
'But': KPA/PWUT
'the': -T
'old': OLD
'king': KEUPBG
'begged': PWEGD
'so': SO
'hard,': HARD/KW-BG
'that': THA
'she': SHE
'had': H
'no': TPHO
'peace': PAES
'till': TEUL
'she': SHE
'had': H
'told': TOLD
'him': HEUPL
'all': AUL
'the': -T
'tale,': TAEL/KW-BG
'from': TPR
'beginning': TKPWEUPB/-G
'to': TO
'end,': EPBD/KW-BG
'word': WORD
'for': TPOR
'word.': WORD/TP-PL
'And': AFPBD
'it': T
'was': WAS
'very': SRE
'lucky': HROEUBG
'for': TPOR
'her': HER
'that': THA
'she': SHE
'did': TK
'so,': SO/KW-BG
'for': TPOR
'when': WHEPB
'she': SHE
'had': H
'done': TKOPB
'the': -T
'king': KEUPBG
'ordered': ORD/-D
'royal': ROEUL
'clothes': KHRO*ETS
'to': TO
'be': -B
'put': PUT
'upon': POPB
'her,': HER/KW-BG
'and': SKP
'gazed': TKPWAEZ/-D
'on': OPB
'her': HER
'with': W
'wonder,': WOPBD/KW-BG
'she': SHE
'was': WAS
'so': SO
'beautiful.': PWAOUFL/TP-PL
'Then': KPA/THEPB
'he': HE
'called': KAULD
'his': HEUS
'son': SOPB
'and': SKP
'told': TOLD
'him': HEUPL
'that': THA
'he': HE
'had': H
'only': OEPBL
'a': AEU
'false': TPALS
'bride;': PWRAOEUD/STPH*FPLT
'for': TPOR
'that': THA
'she': SHE
'was': WAS
'merely': PHAOERL
'a': AEU
'waiting-maid,': WAEUGT/H-PB/PHAEUD/KW-BG
'while': WHAOEUL
'the': -T
'true': TRAOU
'bride': PWRAOEUD
'stood': STAOD
'by.': PWEU/TP-PL
'And': AFPBD
'the': -T
'young': KWRUPBG
'king': KEUPBG
'rejoiced': RE/SKWROEUS/-D
'when': WHEPB
'he': HE
'saw': SAU
'her': HER
'beauty,': PWAOUT/KW-BG
'and': SKP
'heard': HAERD
'how': HOU
'meek': PHAOEBG
'and': SKP
'patient': PAEURB
'she': SHE
'had': H
'been;': PW-PB/STPH*FPLT
'and': SKP
'without': WOUT
'saying': SAEUG
'anything': TPHEUG
'to': TO
'the': -T
'false': TPALS
'bride,': PWRAOEUD/KW-BG
'the': -T
'king': KEUPBG
'ordered': ORD/-D
'a': AEU
'great': TKPWRAET
'feast': TPAOEFT
'to': TO
'be': -B
'got': TKPWOT
'ready': R-D
'for': TPOR
'all': AUL
'his': HEUS
'court.': KORT/TP-PL
'The': KPA/-T
'bridegroom': PWRAOEUD/TKPWRAOPL
'sat': SAT
'at': AT
'the': -T
'top,': TOP/KW-BG
'with': W
'the': -T
'false': TPALS
'princess': PREUPB/SES
'on': OPB
'one': WUPB
'side,': SAOEUD/KW-BG
'and': SKP
'the': -T
'true': TRAOU
'one': WUPB
'on': OPB
'the': -T
'other;': OER/STPH*FPLT
'but': PWUT
'nobody': TPHOEB
'knew': TPHAOU
'her': HER
'again,': STKPWERPBGS
'for': TPOR
'her': HER
'beauty': PWAOUT
'was': WAS
'quite': KWAOEUT
'dazzling': TKAZ/-LG
'to': TO
'their': THAEUR
'eyes;': AO*EUS/STPH*FPLT
'and': SKP
'she': SHE
'did': TK
'not': TPHOT
'seem': SAOEPL
'at': AT
'all': AUL
'like': HRAOEUBG
'the': -T
'little': HREUL
'goose-girl,': TKPWAOS/H-PB/TKPWEURL/KW-BG
'now': TPHOU
'that': THA
'she': SHE
'had': H
'her': HER
'brilliant': PWREULT
'dress': TKRES
'on.': OPB/TP-PL
'When': KPA/WHEPB
'they': THE
'had': H
'eaten': AOET/EPB
'and': SKP
'drank,': TKRA*PBG/KW-BG
'and': SKP
'were': WR
'very': SRE
'merry,': PHER/REU/KW-BG
'the': -T
'old': OLD
'king': KEUPBG
'said': SED
'he': HE
'would': WO
'tell': TEL
'them': THEPL
'a': AEU
'tale.': TAEL/TP-PL
'So': KPA/SO
'he': HE
'began,': TKPWAPB/KW-BG
'and': SKP
'told': TOLD
'all': AUL
'the': -T
'story': STOER
'of': -F
'the': -T
'princess,': PREUPB/SES/KW-BG
'as': AS
'if': TP
'it': T
'was': WAS
'one': WUPB
'that': THA
'he': HE
'had': H
'once': WUPBS
'heard;': HAERD/STPH*FPLT
'and': SKP
'he': HE
'asked': SK-D
'the': -T
'true': TRAOU
'waiting-maid': WAEUGT/H-PB/PHAEUD
'what': WHA
'she': SHE
'thought': THAUT
'ought': OT
'to': TO
'be': -B
'done': TKOPB
'to': TO
'anyone': TPHEUPB
'who': WHO
'would': WO
'behave': PWAEUF
'thus.': THUS/TP-PL
''Nothing': A*E/KPA*/TPHOG
'better,'': PWOERT/KW-BG/AE
'said': SED
'this': TH
'false': TPALS
'bride,': PWRAOEUD/KW-BG
''than': A*E/THAPB
'that': THA
'she': SHE
'should': SHO
'be': -B
'thrown': THROEPB
'into': TPHAO
'a': AEU
'cask': KAFBG
'stuck': STUBG
'round': ROUPBD
'with': W
'sharp': SHARP
'nails,': TPHAEULS/KW-BG
'and': SKP
'that': THA
'two': TWO
'white': WHAOEUT
'horses': HORSZ
'should': SHO
'be': -B
'put': PUT
'to': TO
'it,': T/KW-BG
'and': SKP
'should': SHO
'drag': TKRAG
'it': T
'from': TPR
'street': STRAOET
'to': TO
'street': STRAOET
'till': TEUL
'she': SHE
'was': WAS
'dead.'': TKED/TP-PL/AE
''Thou': A*E/KPA*/THO*U
'art': ART
'she!'': SHE/SKHRAPL/AE
'said': SED
'the': -T
'old': OLD
'king;': KEUPBG/STPH*FPLT
''and': A*E/SKP
'as': AS
'thou': THO*U
'has': HAS
'judged': SKWRUGD
'thyself,': THAOEU/SEFL/KW-BG
'so': SO
'shall': SHAL
'it': T
'be': -B
'done': TKOPB
'to': TO
'thee.'': THAOE/TP-PL/AE
'And': AFPBD
'the': -T
'young': KWRUPBG
'king': KEUPBG
'was': WAS
'then': THEPB
'married': PHAERD
'to': TO
'his': HEUS
'true': TRAOU
'wife,': WAOEUF/KW-BG
'and': SKP
'they': THE
'reigned': RAEPB/-D
'over': OEFR
'the': -T
'kingdom': KEUPBG/TKOPL
'in': TPH
'peace': PAES
'and': SKP
'happiness': HAEP/-PBS
'all': AUL
'their': THAEUR
'lives;': HREUFS/STPH*FPLT
'and': SKP
'the': -T
'good': TKPWAOD
'fairy': TPAEUR/REU
'came': KAEUPL
'to': TO
'see': SAOE
'them,': THEPL/KW-BG
'and': SKP
'restored': RAOE/STORD
'the': -T
'faithful': TPA*EUT/-FL
'Falada': TP*P/A*/HR*/A*/TK*/KWRA
'to': TO
'life': HRAOEUF
'again.': TKPWEPB/TP-PL
