The Bell-Deep
'Odense-Au': O*P/TK*/*EPB/-S/SKWR*E/H-PB/KPA/AEU/SKWRU
'where': W-R
'the': -T
'Au-mann': KPA/AEU/SKWRU/H-PB/HRO*ER/PHAPB/PHAPB
'dwells.': TKWEL/-S/TP-PL
'It': KPA/T
'rings': REUPBGS
'it': T
'out': OUT
'in': TPH
'the': -T
'vault': SRAULT
'of': -F
'heaven,': HEFPB/KW-BG
'far,': TPAR/KW-BG
'far': TPAR
'out,': OUT/KW-BG
'forever': TPOFR
'and': SKP
'ever,': -FR/KW-BG
'till': TEUL
'the': -T
'heaven': HEFPB
'bells': PWELS
'sound': SOUPBD
'"Ding-dong!': KW-GS/KPA*/TKEUPBG/H-PB/TKOPBG/SKHRAPL
'ding-dong!"': TKEUPBG/H-PB/TKOPBG/SKHRAPL/KR-GS
