Two Hanged Women

'as': AS
'if': TP
'in': TPH
'self-excuse:': SEF/SKAOUS/STPH-FPLT
'"Though': KW-GS/KPA*/THOE
'I': EU
'really': R-L
'ought': OT
'to': TO
'go': TKPW
'home.': HOEPL/TP-PL
'It's': KPA/T-S
'getting': TKPWEGT
'late.': HRAEUT/TP-PL
'Mother': KPA/PHOER
'will': HR
'be': -B
'angry."': APBG/REU/TP-PL/KR-GS
'They': KPA/THE
'walked': WAUBGD
'with': W
'finger-tips': TPEURPBG/H-PB/TEUPS
'lightly': HRAOEULT
'in': TPH
'contact;': KABGT/STPH*FPLT
'and': SKP
'at': AT
'her': HER
'words': WORDZ
'she': SHE
'felt': TPELT
'what': WHA
'was': WAS
'like': HRAOEUBG
'an': APB
'attempt': A/TEPLT
'to': TO
'get': TKPWET
'free,': TPRAOE/KW-BG
'on': OPB
'the': -T
'part': PART
'of': -F
'the': -T
'fingers': TPEURPBGS
'crooked': KRAOBGD
'in': TPH
'hers.': HERS/TP-PL
'But': KPA/PWUT
'she': SHE
'was': WAS
'prepared': PRAOEPD
'for': TPOR
'this,': TH/KW-BG
'and': SKP
'held': HELD
'fast,': TPAFT/KW-BG
'gradually': TKPWRAD/WAEL
'working': WOG
'her': HER
'own': OEPB
'up': UP
'till': TEUL
'she': SHE
'had': H
'a': AEU
'good': TKPWAOD
'half': HAF
'of': -F
'the': -T
'other': OER
'hand': HAPBD
'in': TPH
'her': HER
'grip.': TKPWREUP/TP-PL
'For': KPA/TPOR
'a': AEU
'moment': PHOEPLT
'neither': TPHAOERT
'spoke.': SPOEBG/TP-PL
'Then,': KPA/THEPB/KW-BG
'in': TPH
'a': AEU
'low,': HROE/KW-BG
'muffled': PHUFLD
'voice,': SROEUS/KW-BG
'came': KAEUPL
'the': -T
'question:': KWE/STPH-FPLT
'"Was': KW-GS/KPA*/WAS
'she': SHE
'angry': APBG/REU
'last': HRAFT
'night,': TPHAOEUT/KW-BG
'too?"': TAO/H-F/KR-GS
'The': KPA/-T
'little': HREUL
'fair': TPAEUR
'girl's': TKPWEURL/AES
'reply': RE/PHRAOEU
'had': H
'an': APB
'unlooked-for': UPB/HRAOBGD/H-PB/TPOR
'vehemence.': SRAOEPL/EPBS/TP-PL
'"You': KW-GS/KPA*/U
'know': TPHOE
'she': SHE
'wasn't!"': WAEPBT/SKHRAPL/KR-GS
'And,': AFPBD/KW-BG
'mildly': PHAOEULD/HREU
'despairing:': TKE/SPAEUR/-G/STPH-FPLT
'"But': KW-GS/KPA*/PWUT
'you': U
'never': TPHEFR
'WILL': *URP/HR
'understand.': URPBD/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'what's': WHATS
'the': -T
'good': TKPWAOD
'of': -F
'. . .': HR-PZ
'of': -F
'anything!"': TPHEUG/SKHRAPL/KR-GS
'And': AFPBD
'on': OPB
'sitting': SEUGT
'down': TKOUPB
'she': SHE
'let': HRET
'the': -T
'prisoned': PREUZ/-D
'hand': HAPBD
'go,': TKPW-RBGS
'even': AOEPB
'putting': PUGT
'it': T
'from': TPR
'her': HER
'with': W
'a': AEU
'kind': KEUPBD
'of': -F
'push.': PURB/TP-PL
'There': KPA/THR
'it': T
'lay,': HRAEU/KW-BG
'palm': PAPL
'upwards,': UP/WARDZ/KW-BG
'the': -T
'fingers': TPEURPBGS
'still': STEUL
'curved': KUFRBD
'from': TPR
'her': HER
'hold,': HOLD/KW-BG
'looking': HRAOG
'like': HRAOEUBG
'a': AEU
'thing': THEUPBG
'with': W
'a': AEU
'separate': SERPT
'life': HRAOEUF
'of': -F
'its': EUTS
'own;': OEPB/STPH*FPLT
'but': PWUT
'a': AEU
'life': HRAOEUF
'that': THA
'was': WAS
'ebbing.': EB/-G/TP-PL
'On': KPA/OPB
'this': TH
'remote': RAOEPLT
'seat,': SAOET/KW-BG
'with': W
'their': THAEUR
'backs': PWABGS
'turned': TURPBD
'on': OPB
'lovers,': HRUFRS/KW-BG
'lights,': HRAOEUTS/KW-BG
'the': -T
'town,': TOUPB/KW-BG
'the': -T
'two': TWO
'girls': TKPWEURLS
'sat': SAT
'and': SKP
'gazed': TKPWAEZ/-D
'wordlessly': WORD/-LS/HREU
'at': AT
'the': -T
'dark': TKARBG
'sea,': SAE/KW-BG
'over': OEFR
'which': WEU
'great': TKPWRAET
'Jupiter': SKWRAOUP/TER
'was': WAS
'flinging': TPHREUPBG/-G
'a': AEU
'thin': THEUPB
'gold': TKPWOELD
'line.': HRAOEUPB/TP-PL
'There': KPA/THR
'was': WAS
'no': TPHO
'sound': SOUPBD
'but': PWUT
'the': -T
'lapping,': HRAPG/KW-BG
'sucking,': SUBG/-G/KW-BG
'sighing,': SAOEU/-G/KW-BG
'of': -F
'the': -T
'ripples': R*EUPLS
'at': AT
'the': -T
'edge': EPBLG
'of': -F
'the': -T
'breakwater,': PWRAEBG/TK-LS/WAUR/KW-BG
'and': SKP
'the': -T
'occasional': KWAEULG
'screech': SKRAOEFP
'of': -F
'an': APB
'owl': OUL
'in': TPH
'the': -T
'tall': TAUL
'trees': TRAOES
'on': OPB
'the': -T
'hillside.': HEULDZ/TP-PL
'But': KPA/PWUT
'after': AF
'a': AEU
'time,': TAOEUPL/KW-BG
'having': SR-G
'stolen': STOEL/EPB
'more': PHOR
'than': THAPB
'one': WUPB
'side-glance': SAOEUD/H-PB/TKPWHRAPBS
'at': AT
'her': HER
'companion,': KPAPB/KWROPB/KW-BG
'the': -T
'younger': KWRURPBG
'seemed': SAOEPLD
'to': TO
'take': TAEUBG
'heart': HART
'of': -F
'grace.': TKPWRAEUS/TP-PL
'With': KPA/W
'a': AEU
'childish': KHAOEUL/TKEURB
'toss': TOS
'of': -F
'the': -T
'head': HED
'that': THA
'set': SET
'her': HER
'loose': HRAOS
