In a Thousand Years

'Yes,': KPA/KWRE/KW-BG
'Scotland.': SKOT/HRAPBD/TP-PL
'Then': KPA/THEPB
'the': -T
'journey': SKWRURPB
'is': S
'continued': T-PBD
'through': THRU
'the': -T
'tunnel': TUPBL
'under': TPH-PB
'the': -T
'English': TKPWHREURB
'Channel,': KPA/KHAPBL/KW-BG
'to': TO
'France,': TPRAPBS/KW-BG
'the': -T
'land': HRAPBD
'of': -F
'Charlemagne': KHARL/PHAEUPB
'and': SKP
'Napoleon.': TPHA/POL/KWROPB/TP-PL
'Moliere': PH*P/O*L/KWRER/SKWRE
'is': S
'named,': TPHAEUPLD/KW-BG
'the': -T
'learned': HRERPBD
'men': PHEPB
'talk': TAUBG
'of': -F
'the': -T
'classic': KHRA*G
'school': SKAOL
'of': -F
'remote': RAOEPLT
'antiquity.': APB/TEUBG/TEU/TP-PL
'There': KPA/THR
'is': S
'rejoicing': RE/SKWROEUFG
'and': SKP
'shouting': SHOUGT
'for': TPOR
'the': -T
'names': TPHAEUPLS
'of': -F
'heroes,': HOEURS/KW-BG
'poets,': POETS/KW-BG
'and': SKP
'men': PHEPB
'of': -F
'science,': SKRAOEUPBS/KW-BG
'whom': WHOPL
'our': OUR
'time': TAOEUPL
'does': TKOS
'not': TPHOT
'know,': TPHOE/KW-BG
'but': PWUT
'who': WHO
'will': HR
'be': -B
'born': PWORPB
'after': AF
'our': OUR
'time': TAOEUPL
'in': TPH
'Paris,': PA*EURS/KW-BG
'the': -T
'centre': STR/A*U
'of': -F
'Europe,': AO*URP/KW-BG
'and': SKP
'elsewhere.': ELS/W-R/TP-PL
'The': KPA/-T
'air': AEUR
'steamboat': S*/T*/*E/A*/PH*/PW*/O*/A*/T*
'flies': TPHRAOEUS
'over': OEFR
'the': -T
'country': KREU
'whence': WHEPBS
'Columbus': KHRUPL/PWUS
'went': WEPBT
'forth,': TPO*RT/KW-BG
'where': W-R
'Cortez': KOR/TEZ
'was': WAS
'born,': PWORPB/KW-BG
'and': SKP
'where': W-R
'Calderon': KR*P/A*/HR*/TK*/*ER/O*PB
'sang': SAPBG
'dramas': TKRA/PHAS
'in': TPH
'sounding': SOUPBD/-G
'verse.': SRERS/TP-PL
'Beautiful': KPA/PWAOUFL
'black-eyed': PWHRABG/H-PB/KWRAOEUD
'women': WEUPL
'live': HREUF
'still': STEUL
'in': TPH
'the': -T
'blooming': PWHRAOPL/-G
'valleys,': SRAELS/KW-BG
'and': SKP
'the': -T
'oldest': OELD/EFT
'songs': SOPBGS
'speak': SPAOEBG
'of': -F
'the': -T
'Cid': KR*P/*EU/TK*
'and': SKP
'the': -T
'Alhambra.': AL/HAPL/RA/TP-PL
'Then': KPA/THEPB
'through': THRU
'the': -T
'air,': AEUR/KW-BG
'over': OEFR
'the': -T
'sea,': SAE/KW-BG
'to': TO
'Italy,': EUT/HREU/KW-BG
'where': W-R
'once': WUPBS
'lay': HRAEU
'old,': OLD/KW-BG
'everlasting': *FR/HRAFT/-G
'Rome.': RO*EPL/TP-PL
'It': KPA/T
'has': HAS
'vanished!': SRAPB/EURBD/SKHRAPL
'The': KPA/-T
'Campagna': KPA/KAPL/PAPB/KWRA
'lies': HRAO*EUS
'desert.': STK*ERT/TP-PL
'A': KPA/AEU
'single': SEUPBLG
'ruined': RAOUPBD
'wall': WAUL
'is': S
'shown': SHOEPB
'as': AS
'the': -T
'remains': RE/PHAEUPBS
'of': -F
'St.': S*T
'Peter's,': PAOERT/AES/KW-BG
'but': PWUT
'there': THR
'is': S
'a': AEU
'doubt': TKOUT
'if': TP
'this': TH
'ruin': RAOUPB
'be': -B
