Little Tuk
'Zealand,': KPA/STKPWAOEL/TK-LS/APBD/KW-BG
'over': OEFR
'green': TKPWRAOEPB
'forests': TPOEFRT/-S
'and': SKP
'blue': PWHRU
'lakes.': HRAEUBGS/TP-PL
'"Hark,': KW-GS/KPA*/HARBG/KW-BG
'so': SO
'you': U
'hear': HAER
'the': -T
'cock': KOBG
'crow,': KROE/KW-BG
'little': HREUL
'Tuk.': T*P/*U/*BG/TP-PL
''Cock-a-doodle-doo.'': A*E/KPA*/KOBG/H-PB/AEU/H-PB/TKAOD/*L/H-PB/TKAO/TP-PL/AE
'The': KPA/-T
'fowls': TPO*UL/-S
'are': R
'flying': TPHRAOEUG
'out': OUT
'of': -F
'Kjoge.': K*P/SKWR*/SKWRO/*PBLG/TP-PL
'You': KPA/U
'shall': SHAL
'have': SR
'a': AEU
'large': HRARPBLG
'farm-yard.': TPARPL/H-PB/KWRARD/TP-PL
'You': KPA/U
'shall': SHAL
'never': TPHEFR
'suffer': SUFR
'hunger': HURPBG
'or': OR
'want.': WAPBT/TP-PL
'The': KPA/-T
'bird': PWEURD
'of': -F
'good': TKPWAOD
'omen': OE/PHEPB
'shall': SHAL
'be': -B
'yours,': KWROURS/KW-BG
'and': SKP
'you': U
'shall': SHAL
'become': PW-BG
'a': AEU
'rich': REUFP
'and': SKP
'happy': HAEP
'man;': PHAPB/STPH*FPLT
'your': KWROUR
'house': HOUS
'shall': SHAL
'rise': RAOEUZ
'up': UP
'like': HRAOEUBG
'King': KO*EUPBG
'Waldemar's': W*P/A*/HR*/TK*/*E/PH*/A*R/AES
'towers,': TOURS/KW-BG
'and': SKP
'shall': SHAL
'be': -B
'richly': REUFP/HREU
'adorned': A/TKORPB/-D
'with': W
'marble': PHAERBL
'statues,': STOEUT/-S/KW-BG
'like': HRAOEUBG
'those': THOZ
'at': AT
'Prastoe.': P*P/R*/A*/S*/T*/SKWRO/SKWRE/TP-PL
'Understand': KPA/URPBD
'me': PHE
'well;': WEL/STPH*FPLT
'your': KWROUR
'name': TPHAEUPL
'shall': SHAL
'travel': TRAFL
'with': W
'fame': TPAEUPL
'round': ROUPBD
'the': -T
'world': WORLD
'like': HRAOEUBG
'the': -T
'ship': SHEUP
'that': THA
'was': WAS
'to': TO
'sail': SAEUL
'from': TPR
'Corsor,': KR*P/O*RS/O*R/KW-BG
'and': SKP
'at': AT
'Roeskilde,—Don't': R*P/O*/*E/S*/K*/*EU/HR*/TK*/SKWRE/KW-BG/EPL/TKA*RB/KPA*/TKOEPBT
'forget': TPORGT
'the': -T
'names': TPHAEUPLS
'of': -F
'the': -T
'towns,': TOUPBS/KW-BG
'as': AS
'King': KO*EUPBG
'Hroar': H*P/R*/SKWRO/A*R
'said,—you': SED/KW-BG/EPL/TKA*RB/U
'shall': SHAL
'speak': SPAOEBG
'well': WEL
'and': SKP
'clearly': KAOERL
'little': HREUL
'Tuk,': T*P/*U/*BG/KW-BG
'and': SKP
'when': WHEPB
'at': AT
'last': HRAFT
'you': U
'lie': HRAOEU
'in': TPH
'your': KWROUR
'grave': TKPWRAEUF
'you': U
'shall': SHAL
'sleep': SHRAOEP
'peacefully,': PAES/TPHREU/KW-BG
'as—"': AS/EPL/TKA*RB/KR-GS
'"As': KW-GS/KPA*/AS
'if': TP
'I': EU
'lay': HRAEU
'in': TPH
'Soroe,"': S*P/O*R/SKWRO/SKWRE/KW-BG/KR-GS
'said': SED
'little': HREUL
'Tuk': T*P/*U/*BG
'awaking.': A/WAEUBG/-G/TP-PL
'It': KPA/T
'was': WAS
'bright': PWRAOEUT
'daylight,': TKAEULT/KW-BG
'and': SKP
'he': HE
'could': KO
'not': TPHOT
'remember': RER
'his': HEUS
'dream,': TKRAOEPL/KW-BG
'but': PWUT
'that': THA
'was': WAS
'not': TPHOT
'necessary,': TPHES/KW-BG
'for': TPOR
'we': WE
'are': R
'not': TPHOT
'to': TO
'know': TPHOE
'what': WHA
'will': HR
'happen': HAP
'to': TO
'us': US
'in': TPH
'the': -T
'future.': TPAOURT/TP-PL
'Then': KPA/THEPB
'he': HE
'sprang': SPRAPBG
'out': OUT
'of': -F
'bed': PWED
'quickly,': KWEULG/KW-BG
'and': SKP
'read': RAED
'over': OEFR
'his': HEUS
'lesson': HROEFPB
'in': TPH
'the': -T
'book,': PWAOBG/KW-BG
'and': SKP
'knew': TPHAOU
'it': T
'all': AUL
'at': AT
'once': WUPBS
'quite': KWAOEUT
'correctly.': KRELG/TP-PL
'The': KPA/-T
'old': OLD
'washerwoman': WARB/*ER/WO*PL
'put': PUT
'her': HER
'head': HED
'in': TPH
'at': AT
'the': -T
'door,': TKAORBGS
'and': SKP
'nodded': TPHOD/-D
'to': TO
'him': HEUPL
'quite': KWAOEUT
'kindly,': KAOEUPBD/HREU/KW-BG
'and': SKP
'said,': SED/KW-BG
'"Many': KW-GS/KPA*/PHAEPB
'thanks,': THAPBGS/KW-BG
'you': U
'good': TKPWAOD
'child,': KHAOEULD/KW-BG
'for': TPOR
'your': KWROUR
'help': HEP
'yesterday.': KWRED/TP-PL
'I': EU
'hope': HOEP
'all': AUL
'your': KWROUR
'beautiful': PWAOUFL
'dreams': TKRAOEPLS
'will': HR
'come': KOPL
'true."': TRAOU/TP-PL/KR-GS
'Little': KPA/HREUL
'Tuk': T*P/*U/*BG
'did': TK
'not': TPHOT
'at': AT
'all': AUL
'know': TPHOE
'what': WHA
'he': HE
'had': H
'dreamt,': TKREPLT/KW-BG
'but': PWUT
'One': KPA/WUPB
'above': PWOF
'did.': TK/TP-PL
