Little Thumb
'turn': TURPB
'their': THAEUR
'heads.': HEDZ/TP-PL
'After': KPA/AF
'this,': TH/KW-BG
'it': T
'rained': RAEUPBD
'very': SRE
'hard,': HARD/KW-BG
'which': WEU
'wet': WET
'them': THEPL
'to': TO
'the': -T
'skin;': SKEUPB/STPH*FPLT
'their': THAEUR
'feet': TPAOET
'slipped': SHREUPD
'at': AT
'every': EF
'step': STEP
'they': THE
'took,': TAOBG/KW-BG
'and': SKP
'they': THE
'fell': TPEL
'into': TPHAO
'the': -T
'mire,': PHAOEUR/KW-BG
'whence': WHEPBS
'they': THE
'got': TKPWOT
'up': UP
'in': TPH
'a': AEU
'very': SRE
'dirty': TKOEURT
'pickle;': PEUBG/*L/STPH*FPLT
'their': THAEUR
'hands': HAPBDZ
'were': WR
'in': TPH
'a': AEU
'sorry': SOER
'state.': STAEUT/TP-PL
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'climbed': KHRAOEUPLD
'up': UP
'to': TO
'the': -T
'top': TOP
'of': -F
'a': AEU
'tree,': TRAOE/KW-BG
'to': TO
'see': SAOE
'if': TP
'he': HE
'could': KO
'discover': SKOFR
'any': TPHEU
'thing;': THEUPBG/STPH*FPLT
'and': SKP
'having': SR-G
'turned': TURPBD
'his': HEUS
'head': HED
'about': PW
'on': OPB
'every': EF
'side,': SAOEUD/KW-BG
'he': HE
'saw': SAU
'at': AT
'last': HRAFT
'a': AEU
'glimmering': TKPWHREUPL/ERG
'light,': HRAOEUT/KW-BG
'like': HRAOEUBG
'that': THA
'of': -F
'a': AEU
'candle,': KA*PBLD/KW-BG
'but': PWUT
'a': AEU
'long': HROPBG
'way': WAEU
'from': TPR
'the': -T
'forest.': TPOEFRT/TP-PL
'He': KPA/HE
'came': KAEUPL
'down,': TKOUPB/KW-BG
'and,': SKP/KW-BG
'when': WHEPB
'upon': POPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'he': HE
'could': KO
'see': SAOE
'it': T
'no': TPHO
'more,': PHOR/KW-BG
'which': WEU
'grieved': TKPWRAOEF/-D
'him': HEUPL
'sadly.': SAD/HREU/TP-PL
'However,': KPA/HOUF/KW-BG
'having': SR-G
'walked': WAUBGD
'for': TPOR
'some': SOPL
'time': TAOEUPL
'with': W
'his': HEUS
'brothers': PWROERS
'towards': TORDZ
'that': THA
'side': SAOEUD
'on': OPB
'which': WEU
'he': HE
'had': H
'seen': SAOEPB
'the': -T
'light,': HRAOEUT/KW-BG
'he': HE
'perceived': SPAOEFD
'it': T
'again': TKPWEPB
'as': AS
'he': HE
'came': KAEUPL
'out': OUT
'of': -F
'the': -T
'wood.': WAOD/TP-PL
'They': KPA/THE
'came': KAEUPL
'at': AT
'last': HRAFT
'to': TO
'the': -T
'house': HOUS
'where': W-R
'this': TH
'candle': KA*PBLD
'was,': WAS/KW-BG
'not': TPHOT
'without': WOUT
'abundance': PWUPB/TKAPBS
'of': -F
'fear;': TPAOER/STPH*FPLT
'for': TPOR
'very': SRE
'often': OFPB
'they': THE
'lost': HRO*S
'sight': SAOEUT
'of': -F
'it,': T/KW-BG
'which': WEU
'happened': HAPD
'every': EF
'time': TAOEUPL
'they': THE
'came': KAEUPL
'into': TPHAO
'a': AEU
'bottom.': PWOPLT/TP-PL
'They': KPA/THE
'knocked': TPHOBGD
'at': AT
'the': -T
'door,': TKAORBGS
'and': SKP
'a': AEU
'good': TKPWAOD
'woman': WOPL
'came': KAEUPL
'and': SKP
'open'd': OEP/*D
'it;': T/STPH*FPLT
'she': SHE
'asked': SK-D
'them': THEPL
'what': WHA
'they': THE
'wished.': WEURBD/TP-PL
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'told': TOLD
'her': HER
'they': THE
'were': WR
'poor': PAOR
'children': KHEURPB
'who': WHO
'had': H
'been': PW-PB
'lost': HRO*S
'in': TPH
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'desired': STKAOEURD
'to': TO
'lodge': HROPBLG
'there': THR
'for': TPOR
'God's': TKPWO*D/AES
'sake.': SAEUBG/TP-PL
'The': KPA/-T
'woman': WOPL
'seeing': SAOEG
'them': THEPL
'so': SO
'very': SRE
'pretty,': PREUT/KW-BG
'began': TKPWAPB
'to': TO
'weep,': WAOEP/KW-BG
'and': SKP
'said': SED
'to': TO
'them:': THEPL/STPH-FPLT
'"Alas!': KW-GS/KPA*/A/HRAS/SKHRAPL
'poor': PAOR
'babies,': PWAEBS/KW-BG
'whither': WHEU/THER
'are': R
'ye': KWR*/*E
'come?': KOPL/H-F
'Do': KPA/TKO
'ye': KWR*/*E
'know': TPHOE
'that': THA
'this': TH
'house': HOUS
'belongs': PWHROPBGS
'to': TO
'a': AEU
'cruel': KRAOUL
'Ogre,': KPA/OERG/KW-BG
'who': WHO
'eats': AOETS
'up': UP
'little': HREUL
'children?"': KHEURPB/H-F/KR-GS
'"Ah!': KW-GS/KPA*/HA*E/SKHRAPL
'dear': TKAER
'Madam,"': PHAD/APL/KW-BG/KR-GS
'answered': AEPBS/-D
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'(who': PREPB/WHO
'trembled': TREPL/-BLD
'every': EF
'joint': SKWROEUPBT
'of': -F
'him,': HEUPL/KW-BG
'as': AS
'well': WEL
'as': AS
'his': HEUS
'brothers)': PWROERS/PR*EPB
'"what': KW-GS/WHA
'shall': SHAL
'we': WE
'do?': TKO/H-F
'To': KPA/TO
'be': -B
'sure,': SHAOURBGS
'the': -T
'wolves': WOFLS
'of': -F
'the': -T
'forest': TPOEFRT
'will': HR
'devour': TKE/SROUR
'us': US
'to-night,': TO/H-PB/TPHAOEUT/KW-BG
'if': TP
'you': U
'refuse': REF/AOUS
'us': US
'to': TO
'lie': HRAOEU
'here;': HAOER/STPH*FPLT
'and': SKP
'so,': SO/KW-BG
'we': WE
'would': WO
'rather': RAER
'the': -T
'gentleman': SKWRA*PL
'should': SHO
'eat': AOET
'us.': US/TP-PL
'Perhaps': KPA/PRAPS
'he': HE
'will': HR
'take': TAEUBG
'pity': PEUT/TEU
'on': OPB
'us,': US/KW-BG
'especially': EPS
'if': TP
'you': U
'please': PHRES
'to': TO
'beg': PWEG
'it': T
'of': -F
'him."': HEUPL/TP-PL/KR-GS
'The': KPA/-T
'Ogre's': KPA/OERG/AES
'wife,': WAOEUF/KW-BG
'who': WHO
'believed': PWHREFD
'she': SHE
'could': KO
'conceal': KAUPB/SAOEL
'them': THEPL
'from': TPR
'her': HER
'husband': HUS
'till': TEUL
'morning,': PHORPBG/KW-BG
'let': HRET
'them': THEPL
'come': KOPL
'in,': TPH/KW-BG
'and': SKP
'brought': PWRAUT
'them': THEPL
'to': TO
'warm': WARPL
'themselves': TH*EPLS
'at': AT
'a': AEU
'very': SRE
'good': TKPWAOD
'fire;': TPAOEUR/STPH*FPLT
'for': TPOR
'there': THR
'was': WAS
'a': AEU
'whole': WHOEL
'sheep': SHAOEP
'upon': POPB
'the': -T
'spit': SPEUT
'roasting': ROEFT/-G
'for': TPOR
'the': -T
'Ogre's': KPA/OERG/AES
'supper.': SAOURP/TP-PL
'As': KPA/AS
'they': THE
'began': TKPWAPB
'to': TO
'be': -B
'a': AEU
'little': HREUL
'warm,': WARPL/KW-BG
'they': THE
'heard': HAERD
'three': THRAOE
'or': OR
'four': TPOUR
'great': TKPWRAET
'raps': RAP/-S
'at': AT
'the': -T
'door;': TKAOR/STPH*FPLT
'this': TH
'was': WAS
'the': -T
'Ogre,': KPA/OERG/KW-BG
'who': WHO
'was': WAS
'come': KOPL
'home.': HOEPL/TP-PL
'Upon': KPA/POPB
'this': TH
'she': SHE
'hid': HEUD
'them': THEPL
'under': TPH-PB
'the': -T
'bed,': PWED/KW-BG
'and': SKP
'went': WEPBT
'to': TO
'open': OEP
'the': -T
'door.': TKAOR/TP-PL
'The': KPA/-T
'Ogre': KPA/OERG
'presently': PREPBLT
'asked': SK-D
'if': TP
'supper': SAOURP
'was': WAS
'ready,': R-D/KW-BG
'and': SKP
'the': -T
'wine': WAOEUPB
'drawn;': TKRAUPB/STPH*FPLT
'and': SKP
'then': THEPB
'he': HE
'sat': SAT
'himself': HEUPLS
'down': TKOUPB
'to': TO
'table.': TAEUBL/TP-PL
'The': KPA/-T
'sheep': SHAOEP
'was': WAS
'as': AS
'yet': KWRET
'all': AUL
'raw': RAU
'and': SKP
'bloody;': PWHRAO/TKEU/STPH*FPLT
'but': PWUT
'he': HE
'liked': HRAOEUBGD
'it': T
'the': -T
'better': PWOERT
'for': TPOR
'that.': THA/TP-PL
'He': KPA/HE
'sniffed': STPHEUFD
'about': PW
'to': TO
'the': -T
'right': RAOEUT
'and': SKP
'left,': HREFT/KW-BG
'saying,': SAEUG/KW-BG
'"I': KW-GS/EU
'smell': SPHEL
'fresh': TPRERB
'meat."': PHAET/TP-PL/KR-GS
'"What': KW-GS/KPA*/WHA
'you': U
'smell': SPHEL
'so,"': SO/KW-BG/KR-GS
'said': SED
'his': HEUS
'wife,': WAOEUF/KW-BG
'"must': KW-GS/PHUFT
'be': -B
'the': -T
'calf': KAF
'which': WEU
'I': EU
'have': SR
'just': SKWRUFT
'now': TPHOU
'killed': KEULD
'and': SKP
'flayed."': TPHRAEU/-D/TP-PL/KR-GS
'"I': KW-GS/EU
'smell': SPHEL
'fresh': TPRERB
'meat,': PHAET/KW-BG
'I': EU
'tell': TEL
'thee': THAOE
'once': WUPBS
'more,"': PHOR/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'Ogre,': KPA/OERG/KW-BG
'looking': HRAOG
'crossly': KROS/TK-LS/HREU
'at': AT
'his': HEUS
'wife,': WAOEUF/KW-BG
'"and': KW-GS/SKP
'there': THR
'is': S
'something': S-G
'here': HAOER
'which': WEU
'I': EU
'do': TKO
'not': TPHOT
'understand."': URPBD/TP-PL/KR-GS
'As': KPA/AS
'he': HE
'spake': S*/P*/A*/K*/*E
'these': THEZ
'words,': WORDZ/KW-BG
'he': HE
'got': TKPWOT
'up': UP
'from': TPR
'the': -T
'table,': TAEUBL/KW-BG
'and': SKP
'went': WEPBT
'directly': TKREL
'to': TO
'the': -T
'bed.': PWED/TP-PL
'"Ah!"': KW-GS/KPA*/HA*E/SKHRAPL/KR-GS
'said': SED
'he,': HE/KW-BG
'"I': KW-GS/EU
'see': SAOE
'how': HOU
'thou': THO*U
'would'st': WO/AE/S*/T*
'cheat': KHAOET
'me,': PHE/KW-BG
'thou': THO*U
'cursed': KURS/-D
'woman;': WOPL/STPH*FPLT
'I': EU
'know': TPHOE
'not': TPHOT
'why': KWR
'I': EU
'do': TKO
'not': TPHOT
'eat': AOET
'up': UP
'thee': THAOE
'too;': TAO/STPH*FPLT
'but': PWUT
'it': T
'is': S
'well': WEL
'for': TPOR
'thee': THAOE
'that': THA
'thou': THO*U
'art': ART
'a': AEU
'tough': TUF
'old': OLD
'carrion.': KA*R/KWROPB/TP-PL
'Here': KPA/HAOER
'is': S
'good': TKPWAOD
'game,': TKPWAEUPL/KW-BG
'which': WEU
'comes': KOPLS
'very': SRE
'luckily': HRULG
'to': TO
'entertain': EPBT/TAEUPB
'three': THRAOE
'Ogres': KPA/OEG/ERS
'of': -F
'my': PHEU
'acquaintance,': KWAEUPBS/KW-BG
'who': WHO
'are': R
'to': TO
'pay': PAEU
'me': PHE
'a': AEU
'visit': SREUFT
'in': TPH
'a': AEU
'day': TKAEU
'or': OR
'two."': TWO/TP-PL/KR-GS
'With': KPA/W
'that': THA
'he': HE
'dragged': TKRAGD
'them': THEPL
'out': OUT
'from': TPR
'under': TPH-PB
'the': -T
'bed': PWED
'one': WUPB
'by': PWEU
'one.': WUPB/TP-PL
'The': KPA/-T
'poor': PAOR
'children': KHEURPB
'fell': TPEL
'upon': POPB
'their': THAEUR
'knees,': TPHAOEZ/KW-BG
'and': SKP
'begged': PWEGD
'his': HEUS
'pardon;': PARD/STPH*FPLT
'but': PWUT
'they': THE
'had': H
'to': TO
'do': TKO
'with': W
'one': WUPB
'of': -F
'the': -T
'most': PHOFT
'cruel': KRAOUL
'Ogres': KPA/OEG/ERS
'in': TPH
'the': -T
'world,': WORLD/KW-BG
'who,': WHO/KW-BG
'far': TPAR
'from': TPR
'having': SR-G
'any': TPHEU
'pity': PEUT/TEU
'on': OPB
'them,': THEPL/KW-BG
'had': H
'already': HR-R
'devoured': TKWOURD
'them': THEPL
'with': W
'his': HEUS
'eyes;': AO*EUS/STPH*FPLT
'he': HE
'told': TOLD
'his': HEUS
'wife': WAOEUF
'they': THE
'would': WO
'be': -B
'delicate': TKEL/KAT
'eating,': AOEGT/KW-BG
'when': WHEPB
'tossed': TOS/-D
'up': UP
'with': W
'good': TKPWAOD
'savoury': SAEUFR/REU/A*U
'sauce.': SAUS/TP-PL
'He': KPA/HE
'then': THEPB
'took': TAOBG
'a': AEU
'great': TKPWRAET
'knife,': TPHAOEUF/KW-BG
'and': SKP
'coming': KO*G
'up': UP
'to': TO
'these': THEZ
'poor': PAOR
'children,': KHEURPB/KW-BG
'whetted': W*/H*/*E/T*/T*/-D
'it': T
'upon': POPB
'a': AEU
'great': TKPWRAET
'whet-stone': WHET/H-PB/STOEPB
'which': WEU
'he': HE
'held': HELD
'in': TPH
'his': HEUS
'left': HREFT
'hand.': HAPBD/TP-PL
'He': KPA/HE
'had': H
'already': HR-R
'taken': TAEPB
'hold': HOLD
'of': -F
'one': WUPB
'of': -F
'them,': THEPL/KW-BG
'when': WHEPB
'his': HEUS
'wife': WAOEUF
'said': SED
'to': TO
'him:': HEUPL/STPH-FPLT
'"What': KW-GS/KPA*/WHA
'need': TPHAOED
'you': U
'do': TKO
'it': T
'now?': TPHOU/H-F
'It': KPA/T
'is': S
'time': TAOEUPL
'enough': TPHUF
'to-morrow?"': TO/H-PB/HRO*ER/PHOR/ROE/H-F/KR-GS
'"Hold': KW-GS/KPA*/HOLD
'your': KWROUR
'prattling,"': PRAT/-LG/KW-BG/KR-GS
'said': SED
'the': -T
'Ogre,': KPA/OERG/KW-BG
'"they': KW-GS/THE
'will': HR
'eat': AOET
'the': -T
'tenderer."': TERPBD/*ER/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'you': U
'have': SR
'so': SO
'much': PHUFP
'meat': PHAET
'already,"': HR-R/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'his': HEUS
'wife,': WAOEUF/KW-BG
'"you': KW-GS/U
'have': SR
'no': TPHO
'occasion.': KWAEUGS/TP-PL
'Here': KPA/HAOER
'is': S
'a': AEU
'calf,': KAF/KW-BG
'two': TWO
'sheep,': SHAOEP/KW-BG
'and': SKP
'half': HAF
'a': AEU
'hog."': HOG/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'is': S
'true,"': TRAOU/KW-BG/KR-GS
'said': SED
'the': -T
'Ogre,': KPA/OERG/KW-BG
'"give': KW-GS/TKPWEUF
'them': THEPL
'their': THAEUR
'belly-full,': PWEL/HREU/H-PB/TPUL/KW-BG
'that': THA
'they': THE
'may': PHAE
'not': TPHOT
'fall': TPAUL
'away,': WA*EU/KW-BG
'and': SKP
'put': PUT
'them': THEPL
'to': TO
'bed."': PWED/TP-PL/KR-GS
'The': KPA/-T
'good': TKPWAOD
'woman': WOPL
'was': WAS
'overjoyed': AUFR/SKWROEUD
'at': AT
'this,': TH/KW-BG
'and': SKP
'gave': TKPWAEUF
'them': THEPL
'a': AEU
'good': TKPWAOD
'supper;': SAOURP/STPH*FPLT
'but': PWUT
'they': THE
'were': WR
'so': SO
'much': PHUFP
'afraid,': A/TPRAEUD/KW-BG
'they': THE
'could': KO
'not': TPHOT
'eat': AOET
'a': AEU
'bit.': PWEUT/TP-PL
'As': KPA/AS
'for': TPOR
'the': -T
'Ogre,': KPA/OERG/KW-BG
'he': HE
'sat': SAT
'down': TKOUPB
'again': TKPWEPB
'to': TO
'drink,': TKREU/KW-BG
'being': -BG
'highly': HAOEUL
'pleased': PHREFD
'that': THA
'he': HE
'had': H
'got': TKPWOT
'wherewithal': W-R/W/AUL
'to': TO
'treat': TRAOET
'his': HEUS
'friends.': TPREPBDZ/TP-PL
'He': KPA/HE
'drank': TKRA*PBG
'a': AEU
'dozen': TKOZ
'glasses': TKPWHRAFS
'more': PHOR
'than': THAPB
'ordinary,': OERD/KW-BG
'which': WEU
'got': TKPWOT
'up': UP
'into': TPHAO
'his': HEUS
'head,': HED/KW-BG
'and': SKP
'obliged': OE/PWHRAOEUPBLGD
'him': HEUPL
'to': TO
'go': TKPW
'to': TO
'bed.': PWED/TP-PL
'The': KPA/-T
'Ogre': KPA/OERG
'had': H
'seven': SEFPB
'daughters,': TKAURS/KW-BG
'all': AUL
'little': HREUL
'children,': KHEURPB/KW-BG
'and': SKP
'these': THEZ
'young': KWRUPBG
'Ogresses': KPA/OERG/*ES/-S
'had': H
'all': AUL
'of': -F
'them': THEPL
'very': SRE
'fine': TPAOEUPB
'complexions,': KPHR*EBGS/-S/KW-BG
'because': PWAU
'they': THE
'used': AOUFD
'to': TO
'eat': AOET
'fresh': TPRERB
'meat': PHAET
'like': HRAOEUBG
'their': THAEUR
'father;': TPAER/STPH*FPLT
'but': PWUT
'they': THE
'had': H
'little': HREUL
'grey': TKPWRA*EU
'eyes,': AO*EUS/KW-BG
'quite': KWAOEUT
'round,': ROUPBD/KW-BG
'hooked': HAOBGD
'noses,': TPHO*EFS/KW-BG
'wide': WAOEUD
'mouths,': PHO*UT/-S/KW-BG
'and': SKP
'very': SRE
'long': HROPBG
'sharp': SHARP
'teeth': TAO*ET
'standing': STAPBG
'at': AT
'a': AEU
'good': TKPWAOD
'distance': STKAPBS
'from': TPR
'each': AOEFP
'other.': OER/TP-PL
'They': KPA/THE
'were': WR
'not': TPHOT
'as': AS
'yet': KWRET
'over': OEFR
'and': SKP
'above': PWOF
'mischievous;': PHEUS/KHEF/OUS/STPH*FPLT
'but': PWUT
'they': THE
'promised': PROPLS/-D
'very': SRE
'fair': TPAEUR
'for': TPOR
'it,': T/KW-BG
'for': TPOR
'they': THE
'already': HR-R
'bit': PWEUT
'little': HREUL
'children,': KHEURPB/KW-BG
'that': THA
'they': THE
'might': PHAOEUT
'suck': SUBG
'their': THAEUR
'blood.': PWHRAOD/TP-PL
'They': KPA/THE
'had': H
'been': PW-PB
'put': PUT
'to': TO
'bed': PWED
'early,': ERL/KW-BG
'with': W
'every': EF
'one': WUPB
'a': AEU
'crown': KROUPB
'of': -F
'gold': TKPWOELD
'upon': POPB
'her': HER
'head.': HED/TP-PL
'There': KPA/THR
'was': WAS
'in': TPH
'the': -T
'same': SAEUPL
'chamber': KHAEURPL
'another': TPHOER
'bed': PWED
'of': -F
'the': -T
'like': HRAOEUBG
'bigness,': PWEUG/-PBS/KW-BG
'and': SKP
'it': T
'was': WAS
'into': TPHAO
'this': TH
'bed': PWED
'the': -T
'Ogre's': KPA/OERG/AES
'wife': WAOEUF
'put': PUT
'the': -T
'seven': SEFPB
'little': HREUL
'boys;': PWOEUS/STPH*FPLT
'after': AF
'which': WEU
'she': SHE
'went': WEPBT
'to': TO
'bed': PWED
'to': TO
'her': HER
'husband.': HUS/TP-PL
'Little': KPA/HREUL
'Thumb,': KPA/THUPL/KW-BG
'who': WHO
'had': H
'observed': OEBD
'that': THA
'the': -T
'Ogre's': KPA/OERG/AES
'daughters': TKAURS
'had': H
'crowns': KROUPBS
'of': -F
'gold': TKPWOELD
'upon': POPB
'their': THAEUR
'heads,': HEDZ/KW-BG
'and': SKP
'was': WAS
'afraid': A/TPRAEUD
'lest': HR*ES
'the': -T
'Ogre': KPA/OERG
'should': SHO
'repent': RE/PEPBT
'his': HEUS
'not': TPHOT
'killing': KEULG
'them,': THEPL/KW-BG
'got': TKPWOT
'up': UP
'about': PW
'midnight;': PHAOEUPBT/STPH*FPLT
'and': SKP
'taking': TAEUG
'his': HEUS
'brothers'': PWROERS/AE
'bonnets': PWOPB/ET/-S
'and': SKP
'his': HEUS
'own,': OEPB/KW-BG
'went': WEPBT
'very': SRE
'softly,': SOFT/HREU/KW-BG
'put': PUT
'them': THEPL
'upon': POPB
'the': -T
'heads': HEDZ
'of': -F
'the': -T
'seven': SEFPB
'little': HREUL
'Ogresses,': KPA/OERG/*ES/-S/KW-BG
'after': AF
'having': SR-G
'taken': TAEPB
'off': OF
'their': THAEUR
'crowns': KROUPBS
'of': -F
'gold,': TKPWOELD/KW-BG
'which': WEU
'he': HE
'put': PUT
'upon': POPB
'his': HEUS
'own': OEPB
'head': HED
'and': SKP
'his': HEUS
'brothers',': PWROERS/AE/KW-BG
'that': THA
'the': -T
'Ogre': KPA/OERG
'might': PHAOEUT
'take': TAEUBG
'them': THEPL
'for': TPOR
'his': HEUS
'daughters,': TKAURS/KW-BG
'and': SKP
'his': HEUS
'daughters': TKAURS
'for': TPOR
'the': -T
'little': HREUL
'boys': PWOEUS
'whom': WHOPL
'he': HE
'wanted': WAPBTD
'to': TO
'kill.': KEUL/TP-PL
'All': KPA/AUL
'this': TH
'succeeded': SUBG/SAOED/-D
'according': KORG
'to': TO
'his': HEUS
'desire;': STKAOEUR/STPH*FPLT
'for': TPOR
'the': -T
'Ogre': KPA/OERG
'waking': WAEUG
'about': PW
'midnight,': PHAOEUPBT/KW-BG
'and': SKP
'sorry': SOER
'that': THA
'he': HE
'deferred': TKEFRD
'to': TO
'do': TKO
'that': THA
'till': TEUL
'morning': PHORPBG
'which': WEU
'he': HE
'might': PHAOEUT
'have': SR
'done': TKOPB
'over-night,': OEFR/H-PB/TPHAOEUT/KW-BG
'threw': THRAOU
'himself': HEUPLS
'hastily': HAEUFT/HREU
'out': OUT
'of': -F
'bed,': PWED/KW-BG
'and': SKP
'taking': TAEUG
'his': HEUS
'great': TKPWRAET
'knife:': TPHAOEUF/STPH-FPLT
'"Let': KW-GS/KPA*/HRET
'us': US
'see,"': SAOERBGS/KR-GS
'said': SED
'he,': HE/KW-BG
'"how': KW-GS/HOU
'our': OUR
'little': HREUL
'rogues': ROEG/-S
'do,': TKORBGS
'and': SKP
'not': TPHOT
'make': PHAEUBG
'two': TWO
'jobs': SKWROBS
'of': -F
'the': -T
'matter."': PHAERT/TP-PL/KR-GS
'He': KPA/HE
'then': THEPB
'went': WEPBT
'up,': UP/KW-BG
'groping': TKPWROEPG
'all': AUL
'the': -T
'way,': WAEU/KW-BG
'into': TPHAO
'his': HEUS
'daughters'': TKAURS/AE
'chamber;': KHAEURPL/STPH*FPLT
'and': SKP
'came': KAEUPL
'to': TO
'the': -T
'bed': PWED
'where': W-R
'the': -T
'little': HREUL
'boys': PWOEUS
'lay,': HRAEU/KW-BG
'who': WHO
'were': WR
'every': EF
'soul': SOUL
'of': -F
'them': THEPL
'fast': TPAFT
'asleep;': A/SHRAOEP/STPH*FPLT
'except': KPEPT
'Little': KPA/HREUL
'Thumb,': KPA/THUPL/KW-BG
'who': WHO
'was': WAS
'terribly': TERBL/HREU
'afraid': A/TPRAEUD
'when': WHEPB
'he': HE
'found': TPOUPBD
'the': -T
'Ogre': KPA/OERG
'fumbling': TPUPL/-BLG
'about': PW
'his': HEUS
'head,': HED/KW-BG
'as': AS
'he': HE
'had': H
'done': TKOPB
'about': PW
'his': HEUS
'brothers'.': PWROERS/AE/TP-PL
'The': KPA/-T
'Ogre,': KPA/OERG/KW-BG
'feeling': TPAOELG
'the': -T
'golden': TKPWOELD/*EPB
'crowns,': KROUPBS/KW-BG
'said:': SED/STPH-FPLT
'"I': KW-GS/EU
'should': SHO
'have': SR
'made': PHAED
'a': AEU
'fine': TPAOEUPB
'piece': PAOES
'of': -F
'work': WORBG
'of': -F
'it': T
'truly;': TRAOUL/STPH*FPLT
'I': EU
'find': TPAOEUPBD
'I': EU
'guzzled': TKPWUZ/-LD
'too': TAO
'much': PHUFP
'last': HRAFT
'night."': TPHAOEUT/TP-PL/KR-GS
'Then': KPA/THEPB
'he': HE
'went': WEPBT
'to': TO
'the': -T
'bed': PWED
'where': W-R
'the': -T
'girls': TKPWEURLS
'lay;': HRAEU/STPH*FPLT
'and': SKP
'having': SR-G
'found': TPOUPBD
'the': -T
'boys'': PWOEUS/AE
'little': HREUL
'bonnets:': PWOPB/ET/-S/STPH-FPLT
'"Hah!"': KW-GS/H*P/A*/H*/SKHRAPL/KR-GS
'said': SED
'he,': HE/KW-BG
'"my': KW-GS/PHEU
'merry': PHER/REU
'lads,': HRADZ/KW-BG
'are': R
'you': U
'there?': THR/H-F
'Let': KPA/HRET
'us': US
'to': TO
'work!"': WORBG/SKHRAPL/KR-GS
'And': AFPBD
'saying': SAEUG
'these': THEZ
'words,': WORDZ/KW-BG
'without': WOUT
'more': PHOR
'ado,': A/TKO/KW-BG
'he': HE
'cut': KUT
'the': -T
'throats': THROETS
'of': -F
'all': AUL
'his': HEUS
'seven': SEFPB
'daughters.': TKAURS/TP-PL
'Well': KPA/WEL
'pleased': PHREFD
'with': W
'what': WHA
'he': HE
'had': H
'done,': TKOPB/KW-BG
'he': HE
'went': WEPBT
'to': TO
'bed': PWED
'again': TKPWEPB
'to': TO
'his': HEUS
'wife.': WAOEUF/TP-PL
'So': KPA/SO
'soon': SAOPB
'as': AS
'Little': KPA/HREUL
'Thumb': KPA/THUPL
'heard': HAERD
'the': -T
'Ogre': KPA/OERG
'snore,': STPHAUR/KW-BG
'he': HE
'waked': WAEUBG/-D
'his': HEUS
'brothers,': PWROERS/KW-BG
'and': SKP
'bade': PWAEUD
'them': THEPL
'put': PUT
'on': OPB
'their': THAEUR
'clothes': KHRO*ETS
'presently,': PREPBLT/KW-BG
'and': SKP
'follow': TPOL
'him.': HEUPL/TP-PL
'They': KPA/THE
'stole': STOEL
'down': TKOUPB
'softly': SOFT/HREU
'into': TPHAO
'the': -T
'garden,': TKPWA*RPB/KW-BG
'and': SKP
'got': TKPWOT
'over': OEFR
'the': -T
'wall.': WAUL/TP-PL
'They': KPA/THE
'kept': KEPT
'running': R*UPBG
'almost': HR-PL
'all': AUL
'night,': TPHAOEUT/KW-BG
'trembling': TREPL/-BLG
'all': AUL
'the': -T
'while,': WHAOEUL/KW-BG
'without': WOUT
'knowing': TPHOEG
'which': WEU
'way': WAEU
'they': THE
'went.': WEPBT/TP-PL
'The': KPA/-T
'Ogre,': KPA/OERG/KW-BG
'when': WHEPB
'he': HE
'waked,': WAEUBG/-D/KW-BG
'said': SED
'to': TO
'his': HEUS
'wife:': WAOEUF/STPH-FPLT
'"Go': KW-GS/KPA*/TKPW
'up': UP
'stairs': STAEURS
'and': SKP
'dress': TKRES
'those': THOZ
'young': KWRUPBG
'rascals': RAS/K-L/-S
'who': WHO
'came': KAEUPL
'here': HAOER
'last': HRAFT
'night."': TPHAOEUT/TP-PL/KR-GS
'The': KPA/-T
'Ogress': KPA/OERG/*ES
'was': WAS
'very': SRE
'much': PHUFP
'surprised': SPRAOEUFD
'at': AT
'this': TH
'goodness': TKPWAOD/-PBS
'of': -F
'her': HER
'husband,': HUS/KW-BG
'not': TPHOT
'dreaming': TKRAOEPLG
'after': AF
'what': WHA
'manner': PHAERPB
'he': HE
'intended': SPWEPBD/-D
'she': SHE
'should': SHO
'dress': TKRES
'them;': THEPL/STPH*FPLT
'but': PWUT
'thinking': THEUG
'that': THA
'he': HE
'had': H
'ordered': ORD/-D
'her': HER
'to': TO
'go': TKPW
'and': SKP
'put': PUT
'on': OPB
'their': THAEUR
'cloaths,': KR*/HR*/KWRO/KWRA/*T/-S/KW-BG
'went': WEPBT
'up,': UP/KW-BG
'and': SKP
'was': WAS
'strangely': STRAEUPBG/HREU
'astonished': A/STOPB/EURBD
'when': WHEPB
'she': SHE
'perceived': SPAOEFD
'her': HER
'seven': SEFPB
'daughters': TKAURS
'killed,': KEULD/KW-BG
'and': SKP
'weltering': WEL/TER/-G
'in': TPH
'their': THAEUR
