Anne Lisbeth
'more.': PHOR/TP-PL
'How': KPA/HOU
'tall,': TAUL/KW-BG
'and': SKP
'slender,': SHRERPBD/KW-BG
'and': SKP
'thin': THEUPB
'he': HE
'had': H
'grown;': TKPWROEPB/STPH*FPLT
'but': PWUT
'the': -T
'eyes': AO*EUS
'and': SKP
'the': -T
'sweet': SWAOET
'angel': APB/SKWREL
'mouth': PHO*UT
'were': WR
'still': STEUL
'beautiful.': PWAOUFL/TP-PL
'He': KPA/HE
'looked': HRAOBGD
'at': AT
'her,': HER/KW-BG
'but': PWUT
'he': HE
'did': TK
'not': TPHOT
'speak,': SPAOEBG/KW-BG
'he': HE
'certainly': SERPBL
'did': TK
'not': TPHOT
'know': TPHOE
'who': WHO
'she': SHE
'was.': WAS/TP-PL
'He': KPA/HE
'turned': TURPBD
'round': ROUPBD
'and': SKP
'was': WAS
'going': TKPW-G
'away,': WA*EU/KW-BG
'but': PWUT
'she': SHE
'seized': SAOEZ/-D
'his': HEUS
'hand': HAPBD
'and': SKP
'pressed': PREFD
'it': T
'to': TO
'her': HER
'lips.': HREUPS/TP-PL
'"Well,': KW-GS/KPA*/WEL/KW-BG
'well,"': WEL/KW-BG/KR-GS
'he': HE
'said;': SED/STPH*FPLT
'and': SKP
'with': W
'that': THA
'he': HE
'walked': WAUBGD
'out': OUT
'of': -F
'the': -T
'room.': RAOPL/TP-PL
'He': KPA/HE
'who': WHO
'filled': TPEULD
'her': HER
'every': EF
'thought!': THAUT/SKHRAPL
'he': HE
'whom': WHOPL
'she': SHE
'loved': HROFD
'best,': PWEFT/KW-BG
'and': SKP
'who': WHO
'was': WAS
'her': HER
'whole': WHOEL
'earthly': *ERT/HREU
'pride!': PRAOEUD/SKHRAPL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'went': WEPBT
'forth': TPO*RT
'from': TPR
'the': -T
'castle': KAFL
'into': TPHAO
'the': -T
'public': PHREUBG
'road,': RAOD/KW-BG
'feeling': TPAOELG
'mournful': PHOURPB/-FL
'and': SKP
'sad;': SAD/STPH*FPLT
'he': HE
'whom': WHOPL
'she': SHE
'had': H
'nursed': TPHURS/-D
'day': TKAEU
'and': SKP
'night,': TPHAOEUT/KW-BG
'and': SKP
'even': AOEPB
'now': TPHOU
'carried': KAERD
'about': PW
'in': TPH
'her': HER
'dreams,': TKRAOEPLS/KW-BG
'had': H
'been': PW-PB
'cold': KOELD
'and': SKP
'strange,': STRAEUPBG/KW-BG
'and': SKP
'had': H
'not': TPHOT
'a': AEU
'word': WORD
'or': OR
'thought': THAUT
'respecting': R-PG
'her.': HER/TP-PL
'A': KPA/AEU
'great': TKPWRAET
'black': PWHRABG
'raven': RAFPB
'darted': TKARTD
'down': TKOUPB
'in': TPH
'front': TPROPBT
'of': -F
'her': HER
'on': OPB
'the': -T
'high': HAOEU
'road,': RAOD/KW-BG
'and': SKP
'croaked': KROEBG/-D
'dismally.': TKEUS/PHAL/HREU/TP-PL
'"Ah,"': KW-GS/KPA*/AERBGS/KR-GS
'said': SED
'she,': SHE/KW-BG
'"what': KW-GS/WHA
'bird': PWEURD
'of': -F
'ill': EUL
'omen': OE/PHEPB
'art': ART
'thou?"': THO*U/H-F/KR-GS
'Presently': KPA/PREPBLT
'she': SHE
'passed': PAFD
'the': -T
'laborer's': HRAEUB/*ER/AES
'hut;': HUT/STPH*FPLT
'his': HEUS
'wife': WAOEUF
'stood': STAOD
'at': AT
'the': -T
'door,': TKAORBGS
'and': SKP
'the': -T
'two': TWO
'women': WEUPL
'spoke': SPOEBG
'to': TO
'each': AOEFP
'other.': OER/TP-PL
'"You': KW-GS/KPA*/U
'look': HRAOBG
'well,"': WEL/KW-BG/KR-GS
'said': SED
'the': -T
'woman;': WOPL/STPH*FPLT
'"you're': KW-GS/UR
'fat': TPAT
'and': SKP
'plump;': PHRUFRP/STPH*FPLT
'you': U
'are': R
'well': WEL
'off."': OF/TP-PL/KR-GS
'"Oh': KW-GS/KPA*/O*ERBGS
'yes,"': KWRERBGS/KR-GS
'answered': AEPBS/-D
'Anne': A*EPB
'Lisbeth.': HR*P/*EU/S*/PW*/*ET/TP-PL
'"The': KW-GS/KPA*/-T
'boat': PWOET
'went': WEPBT
'down': TKOUPB
'with': W
'them,"': THEPL/KW-BG/KR-GS
'continued': T-PBD
'the': -T
'woman;': WOPL/STPH*FPLT
'"Hans': KW-GS/HAPBS
'the': -T
'skipper': SKEUP/ER
'and': SKP
'the': -T
'boy': PWOEU
'were': WR
'both': PWO*T
'drowned;': TKROUPBD/STPH*FPLT
'so': SO
'there's': THR-S
'an': APB
'end': EPBD
'of': -F
'them.': THEPL/TP-PL
'I': EU
'always': AULS
'thought': THAUT
'the': -T
'boy': PWOEU
'would': WO
'be': -B
'able': ABL
'to': TO
'help': HEP
'me': PHE
'with': W
'a': AEU
'few': TPAOU
'dollars.': TKHRARS/TP-PL
'He'll': KPA/*EL
'never': TPHEFR
'cost': KOFT
'you': U
'anything': TPHEUG
'more,': PHOR/KW-BG
'Anne': A*EPB
'Lisbeth."': HR*P/*EU/S*/PW*/*ET/TP-PL/KR-GS
'"So': KW-GS/KPA*/SO
'they': THE
'were': WR
'drowned,"': TKROUPBD/KW-BG/KR-GS
'repeated': RE/PAOETD
'Anne': A*EPB
'Lisbeth;': HR*P/*EU/S*/PW*/*ET/STPH*FPLT
'but': PWUT
'she': SHE
'said': SED
'no': TPHO
'more,': PHOR/KW-BG
'and': SKP
'the': -T
'subject': SUBT
'was': WAS
'dropped.': TKROPD/TP-PL
'She': KPA/SHE
'felt': TPELT
'very': SRE
'low-spirited,': HROE/H-PB/SPEURTD/KW-BG
'because': PWAU
'her': HER
'count-child': KOUPBT/H-PB/KHAOEULD
'had': H
'shown': SHOEPB
'no': TPHO
'inclination': EUPBG/TPHAEUGS
'to': TO
'speak': SPAOEBG
'to': TO
'her': HER
'who': WHO
'loved': HROFD
'him': HEUPL
'so': SO
'well,': WEL/KW-BG
'and': SKP
'who': WHO
'had': H
'travelled': TRAFL/*LD
'so': SO
'far': TPAR
'to': TO
'see': SAOE
'him.': HEUPL/TP-PL
'The': KPA/-T
'journey': SKWRURPB
'had': H
'cost': KOFT
'money': PHUPB
'too,': TAO/KW-BG
'and': SKP
'she': SHE
'had': H
'derived': TKRAOEUFD
'no': TPHO
'great': TKPWRAET
'pleasure': PHRERB
'from': TPR
'it.': T/TP-PL
'Still': KPA/STEUL
'she': SHE
'said': SED
'not': TPHOT
'a': AEU
'word': WORD
'of': -F
'all': AUL
'this;': TH/STPH*FPLT
'she': SHE
'could': KO
'not': TPHOT
'relieve': RE/HREF
'her': HER
'heart': HART
'by': PWEU
'telling': TELG
'the': -T
'laborer's': HRAEUB/*ER/AES
'wife,': WAOEUF/KW-BG
'lest': HR*ES
'the': -T
'latter': HRART
'should': SHO
'think': THEU
'she': SHE
'did': TK
'not': TPHOT
'enjoy': TPHOEUPBLG
'her': HER
'former': TPRORPL
'position': POGS
'at': AT
'the': -T
'castle.': KAFL/TP-PL
'Then': KPA/THEPB
'the': -T
'raven': RAFPB
'flew': TPHRAOU
'over': OEFR
'her,': HER/KW-BG
'screaming': SKRAOEPLG
'again': TKPWEPB
'as': AS
'he': HE
'flew.': TPHRAOU/TP-PL
'"The': KW-GS/KPA*/-T
'black': PWHRABG
'wretch!"': WREFP/SKHRAPL/KR-GS
'said': SED
'Anne': A*EPB
'Lisbeth,': HR*P/*EU/S*/PW*/*ET/KW-BG
'"he': KW-GS/HE
'will': HR
'end': EPBD
'by': PWEU
'frightening': TPRAOEUFPBG
'me': PHE
'today."': TOED/TP-PL/KR-GS
'She': KPA/SHE
'had': H
'brought': PWRAUT
'coffee': KOEF
'and': SKP
'chicory': KHEUBG/REU
'with': W
'her,': HER/KW-BG
'for': TPOR
'she': SHE
'thought': THAUT
'it': T
'would': WO
'be': -B
'a': AEU
'charity': KHAEURT
'to': TO
'the': -T
'poor': PAOR
'woman': WOPL
'to': TO
'give': TKPWEUF
'them': THEPL
'to': TO
'her': HER
'to': TO
'boil': PWOEUL
'a': AEU
'cup': KUP
'of': -F
'coffee,': KOEF/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'would': WO
'take': TAEUBG
'a': AEU
'cup': KUP
'herself.': H*ERS/TP-PL
'The': KPA/-T
'woman': WOPL
'prepared': PRAOEPD
'the': -T
'coffee,': KOEF/KW-BG
'and': SKP
'in': TPH
'the': -T
'meantime': PHAOEPB/TAO*EUPL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'seated': SAOETD
'her': HER
'in': TPH
'a': AEU
'chair': KHAEUR
'and': SKP
'fell': TPEL
'asleep.': A/SHRAOEP/TP-PL
'Then': KPA/THEPB
'she': SHE
'dreamed': TKREPLD
'of': -F
'something': S-G
'which': WEU
'she': SHE
'had': H
'never': TPHEFR
'dreamed': TKREPLD
'before;': PW-FR/STPH*FPLT
'singularly': SEUPBG/HRARL
'enough': TPHUF
'she': SHE
'dreamed': TKREPLD
'of': -F
'her': HER
'own': OEPB
'child,': KHAOEULD/KW-BG
'who': WHO
'had': H
'wept': WEPT
'and': SKP
'hungered': HUPB/TKPWER/-D
'in': TPH
'the': -T
'laborer's': HRAEUB/*ER/AES
'hut,': HUT/KW-BG
'and': SKP
'had': H
'been': PW-PB
'knocked': TPHOBGD
'about': PW
'in': TPH
'heat': HAOET
'and': SKP
'in': TPH
'cold,': KOELD/KW-BG
'and': SKP
'who': WHO
'was': WAS
'now': TPHOU
'lying': HRAOEUG
'in': TPH
'the': -T
'depths': TK*EPTS
'of': -F
'the': -T
'sea,': SAE/KW-BG
'in': TPH
'a': AEU
'spot': SPOT
'only': OEPBL
'known': TPHOEPB
'by': PWEU
'God.': TKPWO*D/TP-PL
'She': KPA/SHE
'fancied': TPAPB/SEU/-D
'she': SHE
'was': WAS
'still': STEUL
'sitting': SEUGT
'in': TPH
'the': -T
'hut,': HUT/KW-BG
'where': W-R
'the': -T
'woman': WOPL
'was': WAS
'busy': PW-Z
'preparing': PRAOEPG
'the': -T
'coffee,': KOEF/KW-BG
'for': TPOR
'she': SHE
'could': KO
'smell': SPHEL
'the': -T
'coffee-berries': KOEF/H-PB/PWER/KWREUS
'roasting.': ROEFT/-G/TP-PL
'But': KPA/PWUT
'suddenly': SULD
'it': T
'seemed': SAOEPLD
'to': TO
'her': HER
'that': THA
'there': THR
'stood': STAOD
'on': OPB
'the': -T
'threshold': THRERBLD
'a': AEU
'beautiful': PWAOUFL
'young': KWRUPBG
'form,': TPORPL/KW-BG
'as': AS
'beautiful': PWAOUFL
'as': AS
'the': -T
'count's': KOUPBT/AES
'child,': KHAOEULD/KW-BG
'and': SKP
'this': TH
'apparition': AP/REUGS
'said': SED
'to': TO
'her,': HER/KW-BG
'"The': KW-GS/KPA*/-T
'world': WORLD
'is': S
'passing': PAFG
'away;': WA*EU/STPH*FPLT
'hold': HOLD
'fast': TPAFT
'to': TO
'me,': PHE/KW-BG
'for': TPOR
'you': U
'are': R
'my': PHEU
'mother': PHOER
'after': AF
'all;': AUL/STPH*FPLT
'you': U
'have': SR
'an': APB
'angel': APB/SKWREL
'in': TPH
'heaven,': HEFPB/KW-BG
'hold': HOLD
'me': PHE
'fast;"': TPAFT/STPH*FPLT/KR-GS
'and': SKP
'the': -T
'child-angel': KHAOEULD/H-PB/APB/SKWREL
'stretched': STREFPD
'out': OUT
'his': HEUS
'hand': HAPBD
'and': SKP
'seized': SAOEZ/-D
'her.': HER/TP-PL
'Then': KPA/THEPB
'there': THR
'was': WAS
'a': AEU
'terrible': TERBL
'crash,': KRARB/KW-BG
'as': AS
'of': -F
'a': AEU
'world': WORLD
'crumbling': KRUPL/-BLG
'to': TO
'pieces,': PAOEFS/KW-BG
'and': SKP
'the': -T
'angel-child': APB/SKWREL/H-PB/KHAOEULD
'was': WAS
'rising': RAOEUFG
'from': TPR
'the': -T
'earth,': *ERT/KW-BG
'and': SKP
'holding': HOELGD
'her': HER
'by': PWEU
'the': -T
'sleeve': SHRAOEF
'so': SO
'tightly': TAOEUT/HREU
'that': THA
'she': SHE
'felt': TPELT
'herself': H*ERS
'lifted': HREUFTD
'from': TPR
'the': -T
'ground;': TKPWROUPBD/STPH*FPLT
'but,': PWUT/KW-BG
'on': OPB
'the': -T
'other': OER
'hand,': HAPBD/KW-BG
'something': S-G
'heavy': HOEUF
'hung': HUPBG
'to': TO
'her': HER
'feet': TPAOET
'and': SKP
'dragged': TKRAGD
'her': HER
'down,': TKOUPB/KW-BG
'and': SKP
'it': T
'seemed': SAOEPLD
'as': AS
'if': TP
'hundreds': HUPBS
'of': -F
'women': WEUPL
'were': WR
'clinging': KHREUPBG/-G
'to': TO
'her,': HER/KW-BG
'and': SKP
'crying,': KRAOEUG/KW-BG
'"If': KW-GS/KPA*/TP
'thou': THO*U
'art': ART
'to': TO
'be': -B
'saved,': SAFD/KW-BG
'we': WE
'must': PHUFT
'be': -B
'saved': SAFD
'too.': TAO/TP-PL
'Hold': KPA/HOLD
'fast,': TPAFT/KW-BG
'hold': HOLD
'fast."': TPAFT/TP-PL/KR-GS
'And': AFPBD
'then': THEPB
'they': THE
'all': AUL
'hung': HUPBG
'on': OPB
'her,': HER/KW-BG
'but': PWUT
'there': THR
'were': WR
'too': TAO
'many;': PHAEPB/STPH*FPLT
'and': SKP
'as': AS
'they': THE
'clung': KHRUPBG
'the': -T
'sleeve': SHRAOEF
'was': WAS
'torn,': TORPB/KW-BG
'and': SKP
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'fell': TPEL
'down': TKOUPB
'in': TPH
'horror,': HOR/O*R/KW-BG
'and': SKP
'awoke.': A/WOEBG/TP-PL
'Indeed': KPA/TPHAOEPBD
'she': SHE
'was': WAS
'on': OPB
'the': -T
'point': POEUPBT
'of': -F
'falling': TPAULG
'over': OEFR
'in': TPH
'reality': RAOELT
'with': W
'the': -T
'chair': KHAEUR
'on': OPB
'which': WEU
'she': SHE
'sat;': SAT/STPH*FPLT
'but': PWUT
'she': SHE
'was': WAS
'so': SO
'startled': START/-LD
'and': SKP
'alarmed': A/HRARPLD
'that': THA
'she': SHE
'could': KO
'not': TPHOT
'remember': RER
'what': WHA
'she': SHE
'had': H
'dreamed,': TKREPLD/KW-BG
'only': OEPBL
'that': THA
'it': T
'was': WAS
'something': S-G
'very': SRE
'dreadful.': TKREFL/TP-PL
'They': KPA/THE
'drank': TKRA*PBG
'their': THAEUR
'coffee': KOEF
'and': SKP
'had': H
'a': AEU
'chat': KHAT
'together,': TOGT/KW-BG
'and': SKP
'then': THEPB
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'went': WEPBT
'away': WA*EU
'towards': TORDZ
'the': -T
'little': HREUL
'town': TOUPB
'where': W-R
'she': SHE
'was': WAS
'to': TO
'meet': PHAOET
'the': -T
'carrier,': KAR/KWRER/KW-BG
'who': WHO
'was': WAS
'to': TO
'drive': TKRAOEUF
'her': HER
'back': PWABG
'to': TO
'her': HER
'own': OEPB
'home.': HOEPL/TP-PL
'But': KPA/PWUT
'when': WHEPB
'she': SHE
'came': KAEUPL
'to': TO
'him': HEUPL
'she': SHE
'found': TPOUPBD
'that': THA
'he': HE
'would': WO
'not': TPHOT
'be': -B
'ready': R-D
'to': TO
'start': START
'till': TEUL
'the': -T
'evening': AOEPBG
'of': -F
'the': -T
'next': TPHEGT
'day.': TKAEU/TP-PL
'Then': KPA/THEPB
'she': SHE
'began': TKPWAPB
'to': TO
'think': THEU
'of': -F
'the': -T
'expense,': SPEPBS/KW-BG
'and': SKP
'what': WHA
'the': -T
'distance': STKAPBS
'would': WO
'be': -B
'to': TO
'walk.': WAUBG/TP-PL
'She': KPA/SHE
'remembered': RERD
'that': THA
'the': -T
'route': ROUT
'by': PWEU
'the': -T
'sea-shore': SAE/H-PB/SHOR
'was': WAS
'two': TWO
'miles': PHAOEULS
'shorter': SHORT/*ER
'than': THAPB
'by': PWEU
'the': -T
'high': HAOEU
'road;': RAOD/STPH*FPLT
'and': SKP
'as': AS
'the': -T
'weather': WHR*
'was': WAS
'clear,': KHRAOER/KW-BG
'and': SKP
'there': THR
'would': WO
'be': -B
'moonlight,': PHAOLGT/KW-BG
'she': SHE
'determined': TKERPLD
'to': TO
'make': PHAEUBG
'her': HER
'way': WAEU
'on': OPB
'foot,': TPAOT/KW-BG
'and': SKP
'to': TO
'start': START
'at': AT
'once,': WUPBS/KW-BG
'that': THA
'she': SHE
'might': PHAOEUT
'reach': RAOEFP
'home': HOEPL
'the': -T
'next': TPHEGT
'day.': TKAEU/TP-PL
'The': KPA/-T
'sun': SUPB
'had': H
'set,': SET/KW-BG
'and': SKP
'the': -T
'evening': AOEPBG
'bells': PWELS
'sounded': SOUPBD/-D
'through': THRU
'the': -T
'air': AEUR
'from': TPR
'the': -T
'tower': TOUR
'of': -F
'the': -T
'village': SREULG
'church,': KHUFRPB/KW-BG
'but': PWUT
'to': TO
'her': HER
'it': T
'was': WAS
'not': TPHOT
'the': -T
'bells,': PWELS/KW-BG
'but': PWUT
'the': -T
'cry': KRAOEU
'of': -F
'the': -T
'frogs': TPROGS
'in': TPH
'the': -T
'marshes.': PHAR/-RBS/TP-PL
'Then': KPA/THEPB
'they': THE
'ceased,': SAOES/-D/KW-BG
'and': SKP
'all': AUL
'around': ARPBD
'became': PWAEUPL
'still;': STEUL/STPH*FPLT
'not': TPHOT
'a': AEU
'bird': PWEURD
'could': KO
'be': -B
'heard,': HAERD/KW-BG
'they': THE
'were': WR
'all': AUL
'at': AT
'rest,': REFT/KW-BG
'even': AOEPB
'the': -T
'owl': OUL
'had': H
'not': TPHOT
'left': HREFT
'her': HER
'hiding': HAOEUD/-G
'place;': PHRAEUS/STPH*FPLT
'deep': TKAOEP
'silence': SHREPBS
'reigned': RAEPB/-D
'on': OPB
'the': -T
'margin': PHARPB
'of': -F
'the': -T
'wood': WAOD
'by': PWEU
'the': -T
'sea-shore.': SAE/H-PB/SHOR/TP-PL
'As': KPA/AS
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'walked': WAUBGD
'on': OPB
'she': SHE
'could': KO
'hear': HAER
'her': HER
'own': OEPB
'footsteps': TPAOT/STEPS
'in': TPH
'the': -T
'sands;': SAPBDZ/STPH*FPLT
'even': AOEPB
'the': -T
'waves': WAFS
'of': -F
'the': -T
'sea': SAE
'were': WR
'at': AT
'rest,': REFT/KW-BG
'and': SKP
'all': AUL
'in': TPH
'the': -T
'deep': TKAOEP
'waters': WAURS
'had': H
'sunk': S*UPBG
'into': TPHAO
'silence.': SHREPBS/TP-PL
'There': KPA/THR
'was': WAS
'quiet': KWAO*EUT
'among': PHOPBG
'the': -T
'dead': TKED
'and': SKP
'the': -T
'living': HREUFG
'in': TPH
'the': -T
'deep': TKAOEP
'sea.': SAE/TP-PL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'walked': WAUBGD
'on,': OPB/KW-BG
'thinking': THEUG
'of': -F
'nothing': TPHOG
'at': AT
'all,': AUL/KW-BG
'as': AS
'people': PAOEPL
'say,': SAEU/KW-BG
'or': OR
'rather': RAER
'her': HER
'thoughts': THAUTS
'wandered,': WAPBD/-D/KW-BG
'but': PWUT
'not': TPHOT
'away': WA*EU
'from': TPR
'her,': HER/KW-BG
'for': TPOR
'thought': THAUT
'is': S
'never': TPHEFR
'absent': AB/SEPBT
'from': TPR
'us,': US/KW-BG
'it': T
'only': OEPBL
'slumbers.': SHRUPL/PWER/-S/TP-PL
'Many': KPA/PHAEPB
'thoughts': THAUTS
'that': THA
'have': SR
'lain': HRAEUPB
'dormant': TKORPLT
'are': R
'roused': ROUZ/-D
'at': AT
'the': -T
'proper': PROR
'time,': TAOEUPL/KW-BG
'and': SKP
'begin': TKPWEUPB
'to': TO
'stir': STEUR
'in': TPH
'the': -T
'mind': PHAOEUPBD
'and': SKP
'the': -T
'heart,': HART/KW-BG
'and': SKP
'seem': SAOEPL
'even': AOEPB
'to': TO
'come': KOPL
'upon': POPB
'us': US
'from': TPR
'above.': PWOF/TP-PL
'It': KPA/T
'is': S
'written,': WREUPB/KW-BG
'that': THA
'a': AEU
'good': TKPWAOD
'deed': TKAOED
'bears': PWAERS
'a': AEU
'blessing': PWHR*EFG
'for': TPOR
'its': EUTS
'fruit;': TPRAOUT/STPH*FPLT
'and': SKP
'it': T
'is': S
'also': HR-S
'written,': WREUPB/KW-BG
'that': THA
'the': -T
'wages': WAEUPBLGS
'of': -F
'sin': SEUPB
'is': S
'death.': TK*T/TP-PL
'Much': KPA/PHUFP
'has': HAS
'been': PW-PB
'said': SED
'and': SKP
'much': PHUFP
'written': WREUPB
'which': WEU
'we': WE
'pass': PAS
'over': OEFR
'or': OR
'know': TPHOE
'nothing': TPHOG
'of.': -F/TP-PL
'A': KPA/AEU
'light': HRAOEUT
'arises': A/RAOEUS/-S
'within': W-PB
'us,': US/KW-BG
'and': SKP
'then': THEPB
'forgotten': TPAURGTD
'things': THEUPBGS
'make': PHAEUBG
'themselves': TH*EPLS
'remembered;': RERD/STPH*FPLT
'and': SKP
'thus': THUS
'it': T
'was': WAS
'with': W
'Anne': A*EPB
'Lisbeth.': HR*P/*EU/S*/PW*/*ET/TP-PL
'The': KPA/-T
'germ': SKWRERPL
'of': -F
'every': EF
'vice': SRAOEUS
'and': SKP
'every': EF
'virtue': SRAOURT
'lies': HRAO*EUS
'in': TPH
'our': OUR
'heart,': HART/KW-BG
'in': TPH
'yours': KWROURS
'and': SKP
'in': TPH
'mine;': PHAOEUPB/STPH*FPLT
'they': THE
'lie': HRAOEU
'like': HRAOEUBG
'little': HREUL
'grains': TKPWRAEUPBS
'of': -F
'seed,': SAOED/KW-BG
'till': TEUL
'a': AEU
'ray': RAEU
'of': -F
'sunshine,': SUPB/SHAO*EUPB/KW-BG
'or': OR
'the': -T
'touch': TUFP
'of': -F
'an': APB
'evil': AOEFL
'hand,': HAPBD/KW-BG
'or': OR
'you': U
'turn': TURPB
'the': -T
'corner': KRORPB
'to': TO
'the': -T
'right': RAOEUT
'or': OR
'to': TO
'the': -T
'left,': HREFT/KW-BG
'and': SKP
'the': -T
'decision': STKEUGS
'is': S
'made.': PHAED/TP-PL
'The': KPA/-T
'little': HREUL
'seed': SAOED
'is': S
'stirred,': STEURD/KW-BG
'it': T
'swells': SWELS
'and': SKP
'shoots': SHAOTS
'up,': UP/KW-BG
'and': SKP
'pours': PAOURS
'its': EUTS
'sap': SAP
'into': TPHAO
'your': KWROUR
'blood,': PWHRAOD/KW-BG
'directing': TKREBGT/-G
'your': KWROUR
'course': KORS
'either': AOERT
'for': TPOR
'good': TKPWAOD
'or': OR
'evil.': AOEFL/TP-PL
'Troublesome': KPA/TRUBL/SPH
'thoughts': THAUTS
'often': OFPB
'exist': KPEUFT
'in': TPH
'the': -T
'mind,': PHAOEUPBD/KW-BG
'fermenting': TPERPLT/-G
'there,': THR-RBGS
'which': WEU
'are': R
'not': TPHOT
'realized': RAEFLD
'by': PWEU
'us': US
'while': WHAOEUL
'the': -T
'senses': SEPBSZ
'are': R
'as': AS
'it': T
'were': WR
'slumbering;': SHRUPL/PWER/-G/STPH*FPLT
'but': PWUT
'still': STEUL
'they': THE
'are': R
'there.': THR/TP-PL
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'walked': WAUBGD
'on': OPB
'thus': THUS
'with': W
'her': HER
'senses': SEPBSZ
'half': HAF
'asleep,': A/SHRAOEP/KW-BG
'but': PWUT
'the': -T
'thoughts': THAUTS
'were': WR
'fermenting': TPERPLT/-G
'within': W-PB
'her.': HER/TP-PL
'From': KPA/TPR
'one': WUPB
'Shrove': S*P/H*/R*/O*/SR*/SKWR*E
'Tuesday': TAOUZ
'to': TO
'another,': TPHOER/KW-BG
'much': PHUFP
'may': PHAEU
'occur': KROEUR
'to': TO
'weigh': WAE
'down': TKOUPB
'the': -T
'heart;': HART/STPH*FPLT
'it': T
'is': S
'the': -T
'reckoning': REBG/-PBG
'of': -F
'a': AEU
'whole': WHOEL
'year;': KWRAOER/STPH*FPLT
'much': PHUFP
'may': PHAEU
'be': -B
'forgotten,': TPAURGTD/KW-BG
'sins': SEUPBZ
'against': TKPWEPBS
'heaven': HEFPB
'in': TPH
'word': WORD
'and': SKP
'thought,': THAUT/KW-BG
'sins': SEUPBZ
'against': TKPWEPBS
'our': OUR
'neighbor,': TPHAEUB/KW-BG
'and': SKP
'against': TKPWEPBS
'our': OUR
'own': OEPB
'conscience.': KAUPBGS/TP-PL
'We': KPA/WE
'are': R
'scarcely': SKAEURS/HREU
'aware': A/WAEUR
'of': -F
'their': THAEUR
'existence;': KPEUFS/STPH*FPLT
'and': SKP
'Anne': A*EPB
'Lisbeth': HR*P/*EU/S*/PW*/*ET
'did': TK
'not': TPHOT
'think': THEU
'of': -F
'any': TPHEU
'of': -F
'her': HER
'errors.': RO*ERS/TP-PL
'She': KPA/SHE
'had': H
'committed': KPHEUTD
'no': TPHO
'crime': KRAOEUPL
'against': TKPWEPBS
'the': -T
'law': HRAU
'of': -F
'the': -T
'land;': HRAPBD/STPH*FPLT
'she': SHE
'was': WAS
'an': APB
'honorable': HOPB/RABL
'person,': PERPB/KW-BG
'in': TPH
'a': AEU
'good': TKPWAOD
'position—that': POGS/EPL/TKA*RB/THA
'she': SHE
'knew.': TPHAOU/TP-PL
'She': KPA/SHE
'continued': T-PBD
'her': HER
'walk': WAUBG
'along': HRAOPBG
'by': PWEU
'the': -T
'margin': PHARPB
'of': -F
'the': -T
'sea.': SAE/TP-PL
'What': KPA/WHA
'was': WAS
'it': T
'she': SHE
'saw': SAU
'lying': HRAOEUG
'there?': THR/H-F
'An': KPA/APB
'old': OLD
'hat;': HAT/STPH*FPLT
'a': AEU
'man's': PHAPB/AES
'hat.': HAT/TP-PL
'Now': KPA/TPHOU
'when': WHEPB
'might': PHAOEUT
'that': THA
'have': SR
'been': PW-PB
'washed': WARBD
'overboard?': AUFR/PWAO*RD/H-F
'She': KPA/SHE
'drew': TKRAOU
'nearer,': TPHAOER/*ER/KW-BG
'she': SHE
'stopped': STOPD
'to': TO
'look': HRAOBG
'at': AT
'the': -T
'hat;': HAT/STPH*FPLT
'"Ha!': KW-GS/KPA*/HAE/SKHRAPL
'what': WHA
'was': WAS
'lying': HRAOEUG
'yonder?"': KWROPBD/ER/H-F/KR-GS
'She': KPA/SHE
'shuddered;': SHUD/ERD/STPH*FPLT
'yet': KWRET
'it': T
'was': WAS
'nothing': TPHOG
'save': SAF
'a': AEU
'heap': HAOEP
'of': -F
'grass': TKPWRAS
'and': SKP
'tangled': TAPBG/-LD
'seaweed': SAE/WAOED
'flung': TPHRUPBG
'across': KRAOS
'a': AEU
'long': HROPBG
'stone,': STOEPB/KW-BG
'but': PWUT
'it': T
'looked': HRAOBGD
'like': HRAOEUBG
'a': AEU
'corpse.': KORPS/TP-PL
'Only': KPA/OEPBL
'tangled': TAPBG/-LD
'grass,': TKPWRAS/KW-BG
'and': SKP
'yet': KWRET
'she': SHE
'was': WAS
'frightened': TPRAOEUFPBD
'at': AT
'it.': T/TP-PL
'As': KPA/AS
'she': SHE
'turned': TURPBD
'to': TO
'walk': WAUBG
'away,': WA*EU/KW-BG
'much': PHUFP
'came': KAEUPL
'into': TPHAO
'her': HER
'mind': PHAOEUPBD
'that': THA
'she': SHE
'had': H
'heard': HAERD
'in': TPH
'her': HER
'childhood:': KHAOEULD/H*D/STPH-FPLT
'old': OLD
'superstitions': SAOUP/STEUGS/-S
'of': -F
'spectres': SPEBG/TER/A*U/-S
'by': PWEU
'the': -T
'sea-shore;': SAE/H-PB/SHOR/STPH*FPLT
'of': -F
'the': -T
