A Story
'and': SKP
'things,': THEUPBGS/KW-BG
'nothing': TPHOG
'alive': A/HRAOEUF
'burnt,': PWURPBT/KW-BG
'except': KPEPT
'a': AEU
'flight': TPHRAOEUT
'of': -F
'pigeons,': PEUPBLG/-PBS/KW-BG
'which': WEU
'flew': TPHRAOU
'into': TPHAO
'the': -T
'fire,': TPAOEUR/KW-BG
'and': SKP
'the': -T
'yard': KWRARD
'dog,': TKOG/KW-BG
'of': -F
'which': WEU
'I': EU
'had': H
'not': TPHOT
'thought;': THAUT/STPH*FPLT
'one': WUPB
'could': KO
'hear': HAER
'him': HEUPL
'howl': HOUL
'out': OUT
'of': -F
'the': -T
'fire,': TPAOEUR/KW-BG
'and': SKP
'this': TH
'howling': HOUL/-G
'I': EU
'still': STEUL
'hear': HAER
'when': WHEPB
'I': EU
'wish': WEURB
'to': TO
'sleep;': SHRAOEP/STPH*FPLT
'and': SKP
'when': WHEPB
'I': EU
'have': SR
'fallen': TPAUPBL
'asleep,': A/SHRAOEP/KW-BG
'the': -T
'great': TKPWRAET
'rough': RUF
'dog': TKOG
'comes': KOPLS
'and': SKP
'places': PHRAEUFS
'himself': HEUPLS
'upon': POPB
'me,': PHE/KW-BG
'and': SKP
'howls,': HOUL/-S/KW-BG
'presses,': PRES/-S/KW-BG
'and': SKP
'tortures': TOR/KHURS
'me.': PHE/TP-PL
'Now': KPA/TPHOU
'listen': HREUFPB
'to': TO
'what': WHA
'I': EU
'tell': TEL
'you!': U/SKHRAPL
'You': KPA/U
'can': K
'snore;': STPHAUR/STPH*FPLT
'you': U
'are': R
'snoring': STPHOERG
'the': -T
'whole': WHOEL
'night,': TPHAOEUT/KW-BG
'and': SKP
'I': EU
'hardly': HA*RLD
'a': AEU
'quarter': KWAR/TER
'of': -F
'an': APB
'hour!"': HOUR/SKHRAPL/KR-GS
'And': AFPBD
'the': -T
'blood': PWHRAOD
'rose': ROEZ
'to': TO
'the': -T
'head': HED
'of': -F
'the': -T
'excited': KPAOEUTD
'criminal;': KR-L/STPH*FPLT
'he': HE
'threw': THRAOU
'himself': HEUPLS
'upon': POPB
'his': HEUS
'comrade,': KOPL/RAD/KW-BG
'and': SKP
'beat': PWAET
'him': HEUPL
'with': W
'his': HEUS
'clenched': KHREPB/-FPD
'fist': TPEUFT
'in': TPH
'the': -T
'face.': TPAEUS/TP-PL
'"Wicked': KW-GS/KPA*/WEUBGD
'Matz': PH*P/A*/T*/STKPW*
'has': HAS
'become': PW-BG
'mad': PHAD
'again!"': TKPWEPB/SKHRAPL/KR-GS
'they': THE
'said': SED
'amongst': PHOPBGS
'themselves.': TH*EPLS/TP-PL
'The': KPA/-T
'other': OER
'criminals': KR-LS
'seized': SAOEZ/-D
'him,': HEUPL/KW-BG
'wrestled': WREFLD
'with': W
'him,': HEUPL/KW-BG
'and': SKP
'bent': PWEPBT
'him': HEUPL
'double,': TKUBL/KW-BG
'so': SO
'that': THA
'his': HEUS
'head': HED
'rested': REFTD
'between': TWAOEPB
'his': HEUS
'knees,': TPHAOEZ/KW-BG
'and': SKP
'they': THE
'tied': TAO*EUD
'him,': HEUPL/KW-BG
'so': SO
'that': THA
'the': -T
'blood': PWHRAOD
'almost': HR-PL
'came': KAEUPL
'out': OUT
'of': -F
'his': HEUS
'eyes': AO*EUS
'and': SKP
'out': OUT
'of': -F
'all': AUL
'his': HEUS
'pores.': PO*RS/TP-PL
'"You': KW-GS/KPA*/U
'are': R
'killing': KEULG
'the': -T
'unfortunate': TPHORPBT
'man,"': PHAPB/KW-BG/KR-GS
'said': SED
'the': -T
'pastor,': PAS/TOR/KW-BG
'and': SKP
'as': AS
'he': HE
'stretched': STREFPD
'out': OUT
'his': HEUS
'hand': HAPBD
'to': TO
'protect': PREBGT
'him': HEUPL
'who': WHO
'already': HR-R
'suffered': SUFRD
'too': TAO
'much,': PHUFP/KW-BG
'the': -T
'scene': SAEPB
'changed.': KHAEUPBGD/TP-PL
'They': KPA/THE
'flew': TPHRAOU
'through': THRU
'rich': REUFP
'halls': HAULS
'and': SKP
'wretched': WREFPD
'hovels;': HOFL/-S/STPH*FPLT
'wantonness': WAPB/TO*PB/-PBS
'and': SKP
'envy,': EPB/SREU/KW-BG
'all': AUL
'the': -T
'deadly': TKED/HREU
'sins,': SEUPBZ/KW-BG
'passed': PAFD
'before': PW-FR
'them.': THEPL/TP-PL
'An': KPA/APB
'angel': APB/SKWREL
'of': -F
'justice': SKWRUFS
'read': RAED
'their': THAEUR
'crimes': KRAOEUPLS
'and': SKP
'their': THAEUR
'defence;': TKEFS/A*U/STPH*FPLT
'the': -T
'latter': HRART
'was': WAS
'not': TPHOT
'a': AEU
'brilliant': PWREULT
'one,': WUPB/KW-BG
'but': PWUT
'it': T
'was': WAS
'read': RAED
'before': PW-FR
'God,': TKPWO*D/KW-BG
'Who': KPA/WHO
'reads': RAEDZ
'the': -T
'heart,': HART/KW-BG
'Who': KPA/WHO
'knows': TPHOEZ
'everything,': EFRG/KW-BG
'the': -T
'wickedness': WEUBGD/-PBS
'that': THA
'comes': KOPLS
'from': TPR
'within': W-PB
'and': SKP
'from': TPR
'without,': WOUT/KW-BG
'Who': KPA/WHO
'is': S
'mercy': PHER/SEU
'and': SKP
'love': HRUF
'personified.': PER/SOPB/TPAOEU/-D/TP-PL
'The': KPA/-T
'pastor's': PAS/TOR/AES
'hand': HAPBD
'trembled;': TREPL/-BLD/STPH*FPLT
'he': HE
'dared': TKAEURD
'not': TPHOT
'stretch': STREFP
'it': T
'out,': OUT/KW-BG
'he': HE
'did': TK
'not': TPHOT
'venture': SREPBT/UR
'to': TO
'pull': PUL
'a': AEU
'hair': HAEUR
'out': OUT
'of': -F
'the': -T
'sinner's': SEUPB/ER/AES
'head.': HED/TP-PL
'And': AFPBD
'tears': TAERS
'gushed': TKPWURBD
'from': TPR
'his': HEUS
'eyes': AO*EUS
'like': HRAOEUBG
'a': AEU
'stream': STRAOEPL
'of': -F
'mercy': PHER/SEU
'and': SKP
'love,': HRUF/KW-BG
'the': -T
'cooling': KAOLG
'waters': WAURS
'of': -F
'which': WEU
'extinguished': EBGS/TEUPBG/WEURBD
'the': -T
'eternal': AOE/TERPBL
'fire': TPAOEUR
'of': -F
'hell.': HEL/TP-PL
'Just': KPA/SKWRUFT
'then': THEPB
'the': -T
'cock': KOBG
'crowed.': KROE/-D/TP-PL
'"Father': KW-GS/KPA*/TPAER
'of': -F
'all': AUL
'mercy,': PHER/SEU/KW-BG
'grant': TKPWRAPBT
'Thou': KPA/THO*U
'to': TO
'her': HER
'the': -T
'peace': PAES
'that': THA
'I': EU
'was': WAS
'unable': TPHA*EUBL
'to': TO
'procure': PRO/KAOUR
'for': TPOR
'her!"': HER/SKHRAPL/KR-GS
'"I': KW-GS/EU
'have': SR
'it': T
'now!"': TPHOU/SKHRAPL/KR-GS
'said': SED
'the': -T
'dead': TKED
'woman.': WOPL/TP-PL
'"It': KW-GS/KPA*/T
'was': WAS
'your': KWROUR
'hard': HARD
'words,': WORDZ/KW-BG
'your': KWROUR
'despair': TKE/SPAEUR
'of': -F
'mankind,': PHAPB/KAOEUPBD/KW-BG
'your': KWROUR
'gloomy': TKPWHRAOPL/KWREU
'belief': PWHRAOEF
'in': TPH
'God': TKPWO*D
'and': SKP
'His': KPA/HEUS
'creation,': KRAEGS/KW-BG
'which': WEU
'drove': TKROEF
'me': PHE
'to': TO
'you.': U/TP-PL
'Learn': KPA/HRERPB
'to': TO
'know': TPHOE
'mankind!': PHAPB/KAOEUPBD/SKHRAPL
'Even': KPA/AOEPB
'in': TPH
'the': -T
'wicked': WEUBGD
'one': WUPB
'lives': HREUFS
'a': AEU
'part': PART
'of': -F
'God—and': TKPWO*D/EPL/TKA*RB/SKP
'this': TH
'extinguishes': STKPWAO*URB/-S
'and': SKP
'conquers': KAUPB/KER/-S
'the': -T
'flame': TPHRAEUPL
'of': -F
'hell!"': HEL/SKHRAPL/KR-GS
'The': KPA/-T
'pastor': PAS/TOR
'felt': TPELT
'a': AEU
'kiss': KEUS
'on': OPB
'his': HEUS
'lips;': HREUPS/STPH*FPLT
'a': AEU
'gleam': TKPWHRAOEPL
'of': -F
'light': HRAOEUT
'surrounded': SROUPBD/-D
'him—God's': HEUPL/EPL/TKA*RB/TKPWO*D/AES
'bright': PWRAOEUT
'sun': SUPB
'shone': SHO*EPB
'into': TPHAO
'the': -T
'room,': RAOPL/KW-BG
'and': SKP
'his': HEUS
'wife,': WAOEUF/KW-BG
'alive,': A/HRAOEUF/KW-BG
'sweet': SWAOET
'and': SKP
'full': TPUL
'of': -F
'love,': HRUF/KW-BG
'awoke': A/WOEBG
'him': HEUPL
'from': TPR
'a': AEU
'dream': TKRAOEPL
'which': WEU
'God': TKPWO*D
'had': H
'sent': SEPBT
'him!': HEUPL/SKHRAPL
