The Nightingale
'to': TO
'sit': SEUT
'on.': OPB/TP-PL
'The': KPA/-T
'whole': WHOEL
'court': KORT
'was': WAS
'present,': PREPBT/KW-BG
'and': SKP
'the': -T
'little': HREUL
'kitchen-maid': K-FP/H-PB/PHAEUD
'had': H
'received': SAOEFD
'permission': PERPLGS
'to': TO
'stand': STAPBD
'by': PWEU
'the': -T
'door.': TKAOR/TP-PL
'She': KPA/SHE
'was': WAS
'not': TPHOT
'installed': EUPB/STAULD
'as': AS
'a': AEU
'real': RAEL
'court': KORT
'cook.': KAOBG/TP-PL
'All': KPA/AUL
'were': WR
'in': TPH
'full': TPUL
'dress,': TKRES/KW-BG
'and': SKP
'every': EF
'eye': AOEU
'was': WAS
'turned': TURPBD
'to': TO
'the': -T
'little': HREUL
'gray': TKPWRAEU
'bird': PWEURD
'when': WHEPB
'the': -T
'emperor': EPL/ROR
'nodded': TPHOD/-D
'to': TO
'her': HER
'to': TO
'begin.': TKPWEUPB/TP-PL
'The': KPA/-T
'nightingale': TPHAOEUT/-G/TKPWAEL
'sang': SAPBG
'so': SO
'sweetly': SWAOET/HREU
'that': THA
'the': -T
'tears': TAERS
'came': KAEUPL
'into': TPHAO
'the': -T
'emperor's': EPL/ROR/AES
'eyes,': AO*EUS/KW-BG
'and': SKP
'then': THEPB
'rolled': ROLD
'down': TKOUPB
'his': HEUS
'cheeks,': KHAOEBGS/KW-BG
'as': AS
'her': HER
'song': SOPBG
'became': PWAEUPL
'still': STEUL
'more': PHOR
'touching': TUFPG
'and': SKP
'went': WEPBT
'to': TO
'every': EF
'one's': W*UPBS
'heart.': HART/TP-PL
'The': KPA/-T
'emperor': EPL/ROR
'was': WAS
'so': SO
'delighted': TKHRAOEUTD
'that': THA
'he': HE
'declared': TKE/KHRAEURD
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'should': SHO
'have': SR
'his': HEUS
'gold': TKPWOELD
'slipper': SHREUP/ER
'to': TO
'wear': WAER
'round': ROUPBD
'her': HER
'neck,': TPHEBG/KW-BG
'but': PWUT
'she': SHE
'declined': TKE/KHRAOEUPBD
'the': -T
'honor': HO*RPB
'with': W
'thanks:': THAPBGS/STPH-FPLT
'she': SHE
'had': H
'been': PW-PB
'sufficiently': SUFL
'rewarded': RE/WARD/-D
'already.': HR-R/TP-PL
'"I': KW-GS/EU
'have': SR
'seen': SAOEPB
'tears': TAERS
'in': TPH
'an': APB
'emperor's': EPL/ROR/AES
'eyes,"': AO*EUS/KW-BG/KR-GS
'she': SHE
'said,': SED/KW-BG
'"that': KW-GS/THA
'is': S
'my': PHEU
'richest': REUFP/EFTS
'reward.': RE/WARD/TP-PL
'An': KPA/APB
'emperor's': EPL/ROR/AES
'tears': TAERS
'have': SR
'wonderful': WUFL
'power,': POUR/KW-BG
'and': SKP
'are': R
'quite': KWAOEUT
'sufficient': SUF
'honor': HO*RPB
'for': TPOR
'me;"': PHE/STPH*FPLT/KR-GS
'and': SKP
'then': THEPB
'she': SHE
'sang': SAPBG
'again': TKPWEPB
'more': PHOR
'enchantingly': EPB/KHAPBT/-G/HREU
'than': THAPB
'ever.': -FR/TP-PL
'"That': KW-GS/KPA*/THA
'singing': SEUPBG/-G
'is': S
'a': AEU
'lovely': HROFL
'gift;"': TKPWEUFT/STPH*FPLT/KR-GS
'said': SED
'the': -T
'ladies': HRAEUDZ
'of': -F
'the': -T
'court': KORT
'to': TO
'each': AOEFP
'other;': OER/STPH*FPLT
'and': SKP
'then': THEPB
'they': THE
'took': TAOBG
'water': WAUR
'in': TPH
'their': THAEUR
'mouths': PHO*UT/-S
'to': TO
'make': PHAEUBG
'them': THEPL
'utter': UT/ER
'the': -T
'gurgling': TKPWURG/-LG
'sounds': SOUPBDZ
'of': -F
'the': -T
'nightingale': TPHAOEUT/-G/TKPWAEL
'when': WHEPB
'they': THE
'spoke': SPOEBG
'to': TO
'any': TPHEU
'one,': WUPB/KW-BG
'so': SO
'that': THA
'they': THE
'might': PHAOEUT
'fancy': TPAEPBS
'themselves': TH*EPLS
'nightingales.': TPHAOEUT/-G/TKPWAEL/-S/TP-PL
'And': AFPBD
'the': -T
'footmen': TPAOT/PH*EPB
'and': SKP
'chambermaids': KR*/H*/A*/PH*/PW*/*E/R*/PH*/A*/*EU/TK*/-S
'also': HR-S
'expressed': EBGS/PREFD
'their': THAEUR
'satisfaction,': SAEBGS/KW-BG
'which': WEU
'is': S
'saying': SAEUG
'a': AEU
'great': TKPWRAET
'deal,': TKAOEL/KW-BG
'for': TPOR
'they': THE
'are': R
'very': SRE
'difficult': TKEUFL
'to': TO
'please.': PHRES/TP-PL
'In': KPA/TPH
'fact': TPABGT
'the': -T
'nightingale's': TPHAOEUT/-G/TKPWAEL/AES
'visit': SREUFT
'was': WAS
'most': PHOFT
'successful.': SKEFL/TP-PL
'She': KPA/SHE
'was': WAS
'now': TPHOU
'to': TO
'remain': RAEUPL
'at': AT
'court,': KORT/KW-BG
'to': TO
'have': SR
'her': HER
'own': OEPB
'cage,': KAEUPBLG/KW-BG
'with': W
'liberty': HREURBT
'to': TO
'go': TKPW
'out': OUT
'twice': TWAOEUS
'a': AEU
'day,': TKAEU/KW-BG
'and': SKP
'once': WUPBS
'during': TKURG
'the': -T
'night.': TPHAOEUT/TP-PL
'Twelve': KPA/TWEFL
'servants': SER/SRAPBTS
'were': WR
'appointed': POEUPBD
'to': TO
'attend': A/TEPBD
'her': HER
'on': OPB
'these': THEZ
'occasions,': KWAEUGS/-S/KW-BG
'who': WHO
'each': AOEFP
'held': HELD
'her': HER
'by': PWEU
'a': AEU
'silken': SEUL/KEPB
'string': STREUPBG
'fastened': TPAS/-PBD
'to': TO
'her': HER
'leg.': HREG/TP-PL
'There': KPA/THR
'was': WAS
'certainly': SERPBL
'not': TPHOT
'much': PHUFP
'pleasure': PHRERB
'in': TPH
'this': TH
'kind': KEUPBD
'of': -F
'flying.': TPHRAOEUG/TP-PL
'The': KPA/-T
'whole': WHOEL
'city': STEU
'spoke': SPOEBG
'of': -F
'the': -T
'wonderful': WUFL
'bird,': PWEURD/KW-BG
'and': SKP
'when': WHEPB
'two': TWO
'people': PAOEPL
'met,': PHET/KW-BG
'one': WUPB
'said': SED
'"nightin,"': KW-GS/TPHAOEUT/*EUPB/KW-BG/KR-GS
'and': SKP
'the': -T
'other': OER
'said': SED
'"gale,"': KW-GS/TKPWAEL/KW-BG/KR-GS
'and': SKP
'they': THE
'understood': *URPBD
'what': WHA
'was': WAS
'meant,': PHEPBT/KW-BG
'for': TPOR
'nothing': TPHOG
'else': ELS
'was': WAS
'talked': TAUBGD
'of.': -F/TP-PL
'Eleven': KPA/HREFPB
'peddlers'': PED/HRERS/AE
'children': KHEURPB
'were': WR
'named': TPHAEUPLD
'after': AF
'her,': HER/KW-BG
'but': PWUT
'not': TPHOT
'of': -F
'them': THEPL
'could': KO
'sing': SEUPBG
'a': AEU
'note.': TPHOET/TP-PL
'One': KPA/WUPB
'day': TKAEU
'the': -T
'emperor': EPL/ROR
'received': SAOEFD
'a': AEU
'large': HRARPBLG
'packet': PABGT
'on': OPB
'which': WEU
'was': WAS
'written': WREUPB
'"The': KW-GS/KPA*/-T
'Nightingale."': KPA/TPHAOEUT/-G/TKPWAEL/TP-PL/KR-GS
'"Here': KW-GS/KPA*/HAOER
'is': S
'no': TPHO
'doubt': TKOUT
'a': AEU
'new': TPHU
'book': PWAOBG
'about': PW
'our': OUR
'celebrated': SEL/PWRAEUT/-D
'bird,"': PWEURD/KW-BG/KR-GS
'said': SED
'the': -T
'emperor.': EPL/ROR/TP-PL
'But': KPA/PWUT
'instead': STPHED
'of': -F
'a': AEU
'book,': PWAOBG/KW-BG
'it': T
'was': WAS
'a': AEU
'work': WORBG
'of': -F
'art': ART
'contained': KAUPB/TAEUPBD
'in': TPH
'a': AEU
'casket,': KAFBGT/KW-BG
'an': APB
'artificial': TPHR*EURBL
'nightingale': TPHAOEUT/-G/TKPWAEL
'made': PHAED
'to': TO
'look': HRAOBG
'like': HRAOEUBG
'a': AEU
'living': HREUFG
'one,': WUPB/KW-BG
'and': SKP
'covered': KOFRD
'all': AUL
'over': OEFR
'with': W
'diamonds,': TKAOEUPLDZ/KW-BG
'rubies,': RUB/KWREU/-S/KW-BG
'and': SKP
'sapphires.': SA/TPAOEUR/-S/TP-PL
'As': KPA/AS
'soon': SAOPB
'as': AS
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'was': WAS
'wound': WOUPBD
'up,': UP/KW-BG
'it': T
'could': KO
'sing': SEUPBG
'like': HRAOEUBG
'the': -T
'real': RAEL
'one,': WUPB/KW-BG
'and': SKP
'could': KO
'move': PHOF
'its': EUTS
'tail': TAEUL
'up': UP
'and': SKP
'down,': TKOUPB/KW-BG
'which': WEU
'sparkled': SPAR/K-LD
'with': W
'silver': SEUL/SRER
'and': SKP
'gold.': TKPWOELD/TP-PL
'Round': KPA/ROUPBD
'its': EUTS
'neck': TPHEBG
'hung': HUPBG
'a': AEU
'piece': PAOES
'of': -F
'ribbon,': REUB/O*PB/KW-BG
'on': OPB
'which': WEU
'was': WAS
'written': WREUPB
'"The': KW-GS/KPA*/-T
'Emperor': KPA/EPL/ROR
'of': -F
'China's': KHOEUPB/AES
'nightingale': TPHAOEUT/-G/TKPWAEL
'is': S
'poor': PAOR
'compared': KPARD
'with': W
'that': THA
'of': -F
'the': -T
'Emperor': KPA/EPL/ROR
'of': -F
'Japan's."': SKWRA/PAPB/AES/TP-PL/KR-GS
'"This': KW-GS/KPA*/TH
'is': S
'very': SRE
'beautiful,"': PWAOUFL/KW-BG/KR-GS
'exclaimed': SKHRAEUPLD
'all': AUL
'who': WHO
'saw': SAU
'it,': T/KW-BG
'and': SKP
'he': HE
'who': WHO
'had': H
'brought': PWRAUT
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'received': SAOEFD
'the': -T
'title': TAOEULT
'of': -F
'"Imperial': KW-GS/EUPL/PRAOERL
'nightingale-bringer-in-chief."': TPHAOEUT/-G/TKPWAEL/H-PB/PWREU/*ER/H-PB/TPH/H-PB/KHAOEF/TP-PL/KR-GS
'"Now': KW-GS/KPA*/TPHOU
'they': THE
'must': PHUFT
'sing': SEUPBG
'together,"': TOGT/KW-BG/KR-GS
'said': SED
'the': -T
'court,': KORT/KW-BG
'"and': KW-GS/SKP
'what': WHA
'a': AEU
'duet': TKAOU/ET
'it': T
'will': HR
'be."': -B/TP-PL/KR-GS
'But': KPA/PWUT
'they': THE
'did': TK
'not': TPHOT
'get': TKPWET
'on': OPB
'well,': WEL/KW-BG
'for': TPOR
'the': -T
'real': RAEL
'nightingale': TPHAOEUT/-G/TKPWAEL
'sang': SAPBG
'in': TPH
'its': EUTS
'own': OEPB
'natural': TPHARL
'way,': WAEU/KW-BG
'but': PWUT
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'sang': SAPBG
'only': OEPBL
'waltzes.': WAULGT/-S/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'not': TPHOT
'a': AEU
'fault,"': TPAULT/KW-BG/KR-GS
'said': SED
'the': -T
'music-master,': PHAOUFBG/H-PB/PHAFRT/KW-BG
'"it': KW-GS/T
'is': S
'quite': KWAOEUT
'perfect': P-F
'to': TO
'my': PHEU
'taste,"': TAEUFT/KW-BG/KR-GS
'so': SO
'then': THEPB
'it': T
'had': H
'to': TO
'sing': SEUPBG
'alone,': A/HROEPB/KW-BG
'and': SKP
'was': WAS
'as': AS
'successful': SKEFL
'as': AS
'the': -T
'real': RAEL
'bird;': PWEURD/STPH*FPLT
'besides,': PW-DZ/KW-BG
'it': T
'was': WAS
'so': SO
'much': PHUFP
'prettier': PRET/KWRER
'to': TO
'look': HRAOBG
'at,': AT/KW-BG
'for': TPOR
'it': T
'sparkled': SPAR/K-LD
'like': HRAOEUBG
'bracelets': PWRAEUS/HRETS
'and': SKP
'breast-pins.': PWREFT/H-PB/PEUPBS/TP-PL
'Three': KPA/THRAOE
'and': SKP
'thirty': THEURT
'times': TAOEUPLS
'did': TK
'it': T
'sing': SEUPBG
'the': -T
'same': SAEUPL
'tunes': TAOUPBS
'without': WOUT
'being': -BG
'tired;': TAOEURD/STPH*FPLT
'the': -T
'people': PAOEPL
'would': WO
'gladly': TKPWHRAD/HREU
'have': SR
'heard': HAERD
'it': T
'again,': STKPWERPBGS
'but': PWUT
'the': -T
'emperor': EPL/ROR
'said': SED
'the': -T
'living': HREUFG
'nightingale': TPHAOEUT/-G/TKPWAEL
'ought': OT
'to': TO
'sing': SEUPBG
'something.': S-G/TP-PL
'But': KPA/PWUT
'where': W-R
'was': WAS
'she?': SHE/H-F
'No': KPA/TPHO
'one': WUPB
'had': H
'noticed': TPH-TS/-D
'her': HER
'when': WHEPB
'she': SHE
'flew': TPHRAOU
'out': OUT
'at': AT
'the': -T
'open': OEP
'window,': WOEUPBD/KW-BG
'back': PWABG
'to': TO
'her': HER
'own': OEPB
'green': TKPWRAOEPB
'woods.': WAODZ/TP-PL
'"What': KW-GS/KPA*/WHA
'strange': STRAEUPBG
'conduct,"': KUBGT/KW-BG/KR-GS
'said': SED
'the': -T
'emperor,': EPL/ROR/KW-BG
'when': WHEPB
'her': HER
'flight': TPHRAOEUT
'had': H
'been': PW-PB
'discovered;': SKOFD/STPH*FPLT
'and': SKP
'all': AUL
'the': -T
'courtiers': KORT/KWRERS
'blamed': PWHRAEUPLD
'her,': HER/KW-BG
'and': SKP
'said': SED
'she': SHE
'was': WAS
'a': AEU
'very': SRE
'ungrateful': UPB/TKPWRA*EUFL
'creature.': KRAOEFP/TP-PL
'"But': KW-GS/KPA*/PWUT
'we': WE
'have': SR
'the': -T
'best': PWEFT
'bird': PWEURD
'after': AF
'all,"': AUL/KW-BG/KR-GS
'said': SED
'one,': WUPB/KW-BG
'and': SKP
'then': THEPB
'they': THE
'would': WO
'have': SR
'the': -T
'bird': PWEURD
'sing': SEUPBG
'again,': STKPWERPBGS
'although': HR*T
'it': T
'was': WAS
'the': -T
'thirty-fourth': THEURT/TPOUR/*T
'time': TAOEUPL
'they': THE
'had': H
'listened': HREUFPBD
'to': TO
'the': -T
'same': SAEUPL
'piece,': PAOES/KW-BG
'and': SKP
'even': AOEPB
'then': THEPB
'they': THE
'had': H
'not': TPHOT
'learnt': HRERPBT
'it,': T/KW-BG
'for': TPOR
'it': T
'was': WAS
'rather': RAER
'difficult.': TKEUFL/TP-PL
'But': KPA/PWUT
'the': -T
'music-master': PHAOUFBG/H-PB/PHAFRT
'praised': PRA*EUFD
'the': -T
'bird': PWEURD
'in': TPH
'the': -T
'highest': HAOEU/EFT
'degree,': TKEG/KW-BG
'and': SKP
'even': AOEPB
'asserted': A/SERT/-D
'that': THA
'it': T
'was': WAS
'better': PWOERT
'than': THAPB
'a': AEU
'real': RAEL
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'not': TPHOT
'only': OEPBL
'in': TPH
'its': EUTS
'dress': TKRES
'and': SKP
'the': -T
'beautiful': PWAOUFL
'diamonds,': TKAOEUPLDZ/KW-BG
'but': PWUT
'also': HR-S
'in': TPH
'its': EUTS
'musical': PHAO*UL
'power.': POUR/TP-PL
'"For': KW-GS/KPA*/TPOR
'you': U
'must': PHUFT
'perceive,': SPAOEF/KW-BG
'my': PHEU
'chief': KHAOEF
'lord': HRORD
'and': SKP
'emperor,': EPL/ROR/KW-BG
'that': THA
'with': W
'a': AEU
'real': RAEL
'nightingale': TPHAOEUT/-G/TKPWAEL
'we': WE
'can': K
'never': TPHEFR
'tell': TEL
'what': WHA
'is': S
'going': TKPW-G
'to': TO
'be': -B
'sung,': SUPBG/KW-BG
'but': PWUT
'with': W
'this': TH
'bird': PWEURD
'everything': EFRG
'is': S
'settled.': SELTD/TP-PL
'It': KPA/T
'can': K
'be': -B
'opened': OEPD
'and': SKP
'explained,': SPHRAEUPBD/KW-BG
'so': SO
'that': THA
'people': PAOEPL
'may': PHAE
'understand': URPBD
'how': HOU
'the': -T
'waltzes': WAULGT/-S
'are': R
'formed,': TPORPLD/KW-BG
'and': SKP
'why': KWR
'one': WUPB
'note': TPHOET
'follows': TPOLS
'upon': POPB
'another."': TPHOER/TP-PL/KR-GS
'"This': KW-GS/KPA*/TH
'is': S
'exactly': ELG
'what': WHA
'we': WE
'think,"': THEU/KW-BG/KR-GS
'they': THE
'all': AUL
'replied,': RE/PHRAOEUD/KW-BG
'and': SKP
'then': THEPB
'the': -T
'music-master': PHAOUFBG/H-PB/PHAFRT
'received': SAOEFD
'permission': PERPLGS
'to': TO
'exhibit': KPEUBT
'the': -T
'bird': PWEURD
'to': TO
'the': -T
'people': PAOEPL
'on': OPB
'the': -T
'following': TPOLG
'Sunday,': SUPBD/KW-BG
'and': SKP
'the': -T
'emperor': EPL/ROR
'commanded': KPHAPBD/-D
'that': THA
'they': THE
'should': SHO
'be': -B
'present': PREPBT
'to': TO
'hear': HAER
'it': T
'sing.': SEUPBG/TP-PL
'When': KPA/WHEPB
'they': THE
'heard': HAERD
'it': T
'they': THE
'were': WR
'like': HRAOEUBG
'people': PAOEPL
'intoxicated;': EUPB/TOBGS/KAEUT/-D/STPH*FPLT
'however': HOUF
'it': T
'must': PHUFT
'have': SR
'been': PW-PB
'with': W
'drinking': TKREUG
'tea,': TAE/KW-BG
'which': WEU
'is': S
'quite': KWAOEUT
'a': AEU
'Chinese': KHAOEUPBZ
'custom.': KUFPL/TP-PL
'They': KPA/THE
'all': AUL
'said': SED
'"Oh!"': KW-GS/KPA*/O*ERBGS/SKHRAPL/KR-GS
'and': SKP
'held': HELD
'up': UP
'their': THAEUR
'forefingers': TPOER/TPEUPBG/ERS
'and': SKP
'nodded,': TPHOD/-D/KW-BG
'but': PWUT
'a': AEU
'poor': PAOR
'fisherman,': TPEURB/ER/PHAPB/KW-BG
'who': WHO
'had': H
'heard': HAERD
'the': -T
'real': RAEL
'nightingale,': TPHAOEUT/-G/TKPWAEL/KW-BG
'said,': SED/KW-BG
'"it': KW-GS/T
'sounds': SOUPBDZ
'prettily': PRET/HREU
'enough,': TPHUF/KW-BG
'and': SKP
'the': -T
'melodies': PHEL/TKEU/-S
'are': R
'all': AUL
'alike;': A/HRAOEUBG/STPH*FPLT
'yet': KWRET
'there': THR
'seems': SAOEPLS
'something': S-G
'wanting,': WAPBGT/KW-BG
'I': EU
'cannot': SK-PBT
'exactly': ELG
'tell': TEL
'what."': WHA/TP-PL/KR-GS
'And': AFPBD
'after': AF
'this': TH
'the': -T
'real': RAEL
'nightingale': TPHAOEUT/-G/TKPWAEL
'was': WAS
'banished': PWAPB/EURBD
'from': TPR
'the': -T
'empire,': EPL/PAOEUR/KW-BG
'and': SKP
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'placed': PHRAEUFD
'on': OPB
'a': AEU
'silk': S*EULG
'cushion': KUGS
'close': KHROES
'to': TO
'the': -T
'emperor's': EPL/ROR/AES
'bed.': PWED/TP-PL
'The': KPA/-T
'presents': PREPBTS
'of': -F
'gold': TKPWOELD
'and': SKP
'precious': PRERBS
'stones': STOEPBS
'which': WEU
'had': H
'been': PW-PB
'received': SAOEFD
'with': W
'it': T
'were': WR
'round': ROUPBD
'the': -T
'bird,': PWEURD/KW-BG
'and': SKP
'it': T
'was': WAS
'now': TPHOU
'advanced': SRAPBS/-D
'to': TO
'the': -T
'title': TAOEULT
'of': -F
'"Little': KW-GS/KPA*/HREUL
'Imperial': EUPL/PRAOERL
'Toilet': KPA/TOEULT
'Singer,"': KPA/SEURPBG/KW-BG/KR-GS
'and': SKP
'to': TO
'the': -T
'rank': RA*PBG
'of': -F
'No.': KPA/TPHO/TP-PL
'1': #S
'on': OPB
'the': -T
'left': HREFT
'hand;': HAPBD/STPH*FPLT
'for': TPOR
'the': -T
'emperor': EPL/ROR
'considered': KR-D
'the': -T
'left': HREFT
'side,': SAOEUD/KW-BG
'on': OPB
'which': WEU
'the': -T
'heart': HART
'lies,': HRAO*EUS/KW-BG
'as': AS
'the': -T
'most': PHOFT
'noble,': TPHOEBL/KW-BG
'and': SKP
'the': -T
'heart': HART
'of': -F
'an': APB
'emperor': EPL/ROR
'is': S
'in': TPH
'the': -T
'same': SAEUPL
'place': PHRAEUS
'as': AS
'that': THA
'of': -F
'other': OER
'people.': PAOEPL/TP-PL
'The': KPA/-T
'music-master': PHAOUFBG/H-PB/PHAFRT
'wrote': WRO
'a': AEU
'work,': WORBG/KW-BG
'in': TPH
'twenty-five': TWEPBT/TPAOEUF
'volumes,': SROLS/KW-BG
'about': PW
'the': -T
'artificial': TPHR*EURBL
'bird,': PWEURD/KW-BG
'which': WEU
'was': WAS
'very': SRE
'learned': HRERPBD
'and': SKP
'very': SRE
'long,': HROPBG/KW-BG
'and': SKP
'full': TPUL
'of': -F
'the': -T
'most': PHOFT
'difficult': TKEUFL
'Chinese': KHAOEUPBZ
'words;': WORDZ/STPH*FPLT
'yet': KWRET
'all': AUL
'the': -T
'people': PAOEPL
'said': SED
'they': THE
'had': H
'read': RAED
'it,': T/KW-BG
'and': SKP
'understood': *URPBD
'it,': T/KW-BG
'for': TPOR
'fear': TPAOER
'of': -F
'being': -BG
'thought': THAUT
'stupid': STAOUPD
'and': SKP
'having': SR-G
'their': THAEUR
'bodies': PWO*EDZ
'trampled': TRAFRP/-LD
'upon.': POPB/TP-PL
'So': KPA/SO
'a': AEU
'year': KWRAOER
'passed,': PAFD/KW-BG
'and': SKP
'the': -T
'emperor,': EPL/ROR/KW-BG
'the': -T
'court,': KORT/KW-BG
'and': SKP
'all': AUL
'the': -T
'other': OER
'Chinese': KHAOEUPBZ
'knew': TPHAOU
'every': EF
'little': HREUL
'turn': TURPB
'in': TPH
'the': -T
'artificial': TPHR*EURBL
'bird's': PWEURD/AES
'song;': SOPBG/STPH*FPLT
'and': SKP
'for': TPOR
'that': THA
'same': SAEUPL
'reason': R-PB
'it': T
'pleased': PHREFD
'them': THEPL
'better.': PWOERT/TP-PL
'They': KPA/THE
'could': KO
'sing': SEUPBG
'with': W
'the': -T
'bird,': PWEURD/KW-BG
'which': WEU
'they': THE
'often': OFPB
'did.': TK/TP-PL
'The': KPA/-T
'street-boys': STRAOET/H-PB/PWOEUS
'sang,': SAPBG/KW-BG
'"Zi-zi-zi,': KW-GS/STKPW*P/SKWREU/H-PB/STKPW*/SKWREU/H-PB/STKPW*/SKWREU/KW-BG
'cluck,': KHRUBG/KW-BG
'cluck,': KHRUBG/KW-BG
'cluck,"': KHRUBG/KW-BG/KR-GS
'and': SKP
'the': -T
'emperor': EPL/ROR
'himself': HEUPLS
'could': KO
'sing': SEUPBG
'it': T
'also.': HR-S/TP-PL
'It': KPA/T
'was': WAS
'really': R-L
'most': PHOFT
'amusing.': A/PHAOUFG/TP-PL
'One': KPA/WUPB
'evening,': AOEPBG/KW-BG
'when': WHEPB
'the': -T
'artificial': TPHR*EURBL
'bird': PWEURD
'was': WAS
'singing': SEUPBG/-G
'its': EUTS
'best,': PWEFT/KW-BG
'and': SKP
'the': -T
'emperor': EPL/ROR
'lay': HRAEU
'in': TPH
'bed': PWED
'listening': HR-PBG
'to': TO
'it,': T/KW-BG
'something': S-G
'inside': TPH-DZ
'the': -T
'bird': PWEURD
'sounded': SOUPBD/-D
'"whizz."': KW-GS/WEUZ/A*U/TP-PL/KR-GS
'Then': KPA/THEPB
'a': AEU
'spring': SPREUPBG
'cracked.': KRABGD/TP-PL
'"Whir-r-r-r"': KW-GS/KPA*/WHEUR/H-PB/R*/H-PB/R*/H-PB/R*/KR-GS
'went': WEPBT
'all': AUL
'the': -T
'wheels,': WHAOELS/KW-BG
'running': R*UPBG
'round,': ROUPBD/KW-BG
'and': SKP
'then': THEPB
'the': -T
'music': PHAOUFBG
'stopped.': STOPD/TP-PL
'The': KPA/-T
'emperor': EPL/ROR
'immediately': PHAOELD
'sprang': SPRAPBG
'out': OUT
'of': -F
'bed,': PWED/KW-BG
'and': SKP
'called': KAULD
'for': TPOR
'his': HEUS
'physician;': TP-GS/STPH*FPLT
'but': PWUT
'what': WHA
'could': KO
'he': HE
'do?': TKO/H-F
'Then': KPA/THEPB
'they': THE
'sent': SEPBT
'for': TPOR
'a': AEU
'watchmaker;': WAFP/PHA*EURBG/STPH*FPLT
'and,': SKP/KW-BG
'after': AF
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'of': -F
'talking': TAUG
'and': SKP
'examination,': KP-GS/KW-BG
'the': -T
'bird': PWEURD
'was': WAS
'put': PUT
'into': TPHAO
'something': S-G
'like': HRAOEUBG
'order;': ORD/STPH*FPLT
'but': PWUT
'he': HE
'said': SED
'that': THA
'it': T
'must': PHUFT
'be': -B
'used': AOUFD
'very': SRE
'carefully,': KA*EUFL/KW-BG
'as': AS
'the': -T
'barrels': PWARLS
'were': WR
'worn,': WORPB/KW-BG
'and': SKP
'it': T
'would': WO
'be': -B
'impossible': EUPL/POB
'to': TO
'put': PUT
'in': TPH
'new': TPHU
'ones': WUPBZ
'without': WOUT
'injuring': SKWR-RG
'the': -T
'music.': PHAOUFBG/TP-PL
'Now': KPA/TPHOU
'there': THR
'was': WAS
'great': TKPWRAET
'sorrow,': SROE/KW-BG
'as': AS
'the': -T
'bird': PWEURD
'could': KO
'only': OEPBL
'be': -B
'allowed': HRO*UD
'to': TO
'play': PHRAEU
'once': WUPBS
'a': AEU
'year;': KWRAOER/STPH*FPLT
'and': SKP
'even': AOEPB
'that': THA
'was': WAS
'dangerous': TKAEUPBLGS
'for': TPOR
'the': -T
'works': WORBGS
'inside': TPH-DZ
'it.': T/TP-PL
'Then': KPA/THEPB
'the': -T
'music-master': PHAOUFBG/H-PB/PHAFRT
'made': PHAED
'a': AEU
'little': HREUL
'speech,': SPAOEFP/KW-BG
'full': TPUL
'of': -F
'hard': HARD
'words,': WORDZ/KW-BG
'and': SKP
'declared': TKE/KHRAEURD
'that': THA
'the': -T
'bird': PWEURD
'was': WAS
'as': AS
'good': TKPWAOD
'as': AS
'ever;': -FR/STPH*FPLT
'and,': SKP/KW-BG
'of': -F
'course': KORS
'no': TPHO
'one': WUPB
'contradicted': KR*BGT/-D
'him.': HEUPL/TP-PL
'Five': KPA/TPAOEUF
'years': KWRAOERS
'passed,': PAFD/KW-BG
'and': SKP
'then': THEPB
'a': AEU
'real': RAEL
'grief': TKPWRAOEF
'came': KAEUPL
'upon': POPB
'the': -T
'land.': HRAPBD/TP-PL
'The': KPA/-T
'Chinese': KHAOEUPBZ
'really': R-L
'were': WR
'fond': TPOPBD
'of': -F
'their': THAEUR
'emperor,': EPL/ROR/KW-BG
'and': SKP
'he': HE
'now': TPHOU
'lay': HRAEU
'so': SO
'ill': EUL
'that': THA
'he': HE
'was': WAS
'not': TPHOT
'expected': KP-PTD
'to': TO
'live.': HREUF/TP-PL
'Already': KPA/HR-R
'a': AEU
'new': TPHU
'emperor': EPL/ROR
'had': H
'been': PW-PB
'chosen': KHOEFPB
'and': SKP
'the': -T
'people': PAOEPL
'who': WHO
'stood': STAOD
'in': TPH
'the': -T
'street': STRAOET
'asked': SK-D
'the': -T
'lord-in-waiting': HRORD/H-PB/TPH/H-PB/WAEUGT
'how': HOU
'the': -T
'old': OLD
'emperor': EPL/ROR
'was;': WAS/STPH*FPLT
'but': PWUT
'he': HE
'only': OEPBL
'said,': SED/KW-BG
'"Pooh!"': KW-GS/PAO*/SKHRAPL/KR-GS
'and': SKP
'shook': SHAOBG
'his': HEUS
'head.': HED/TP-PL
'Cold': KPA/KOELD
'and': SKP
'pale': PAEL
'lay': HRAEU
'the': -T
'emperor': EPL/ROR
'in': TPH
'his': HEUS
'royal': ROEUL
'bed;': PWED/STPH*FPLT
'the': -T
'whole': WHOEL
'court': KORT
'thought': THAUT
'he': HE
'was': WAS
