The Tinder-Box
'he': HE
'spent': SPEPBT
'and': SKP
'gave': TKPWAEUF
'away': WA*EU
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'daily,': TKAEUL/KW-BG
'and': SKP
'received': SAOEFD
'none,': TPHOPB/KW-BG
'he': HE
'found': TPOUPBD
'himself': HEUPLS
'at': AT
'last': HRAFT
'with': W
'only': OEPBL
'two': TWO
'shillings': SHEUL/-GS
'left.': HREFT/TP-PL
'So': KPA/SO
'he': HE
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'leave': HREF
'his': HEUS
'elegant': EL/TKPWAPBT
'rooms,': RAOPLS/KW-BG
'and': SKP
'live': HREUF
'in': TPH
'a': AEU
'little': HREUL
'garret': TKPWAEUR/RET
'under': TPH-PB
'the': -T
'roof,': RAOF/KW-BG
'where': W-R
'he': HE
'had': H
'to': TO
'clean': KHRAOEPB
'his': HEUS
'own': OEPB
'boots,': PWAOTS/KW-BG
'and': SKP
'even': AOEPB
'mend': PHEPBD
'them': THEPL
'with': W
'a': AEU
'large': HRARPBLG
'needle.': TPHAO*ELD/TP-PL
'None': KPA/TPHOPB
'of': -F
'his': HEUS
'friends': TPREPBDZ
'came': KAEUPL
'to': TO
'see': SAOE
'him,': HEUPL/KW-BG
'there': THR
'were': WR
'too': TAO
'many': PHAEPB
'stairs': STAEURS
'to': TO
'mount': PHOUPBT
'up.': UP/TP-PL
'One': KPA/WUPB
'dark': TKARBG
'evening,': AOEPBG/KW-BG
'he': HE
'had': H
'not': TPHOT
'even': AOEPB
'a': AEU
'penny': PEPB/TPHEU
'to': TO
'buy': PWAOEU
'a': AEU
'candle;': KA*PBLD/STPH*FPLT
'then': THEPB
'all': AUL
'at': AT
'once': WUPBS
'he': HE
'remembered': RERD
'that': THA
'there': THR
'was': WAS
'a': AEU
'piece': PAOES
'of': -F
'candle': KA*PBLD
'stuck': STUBG
'in': TPH
'the': -T
'tinder-box,': TEUPBD/*ER/H-PB/PWOBGS/KW-BG
'which': WEU
'he': HE
'had': H
'brought': PWRAUT
'from': TPR
'the': -T
'old': OLD
'tree,': TRAOE/KW-BG
'into': TPHAO
'which': WEU
'the': -T
'witch': WEUFP
'had': H
'helped': HEPD
'him.': HEUPL/TP-PL
'He': KPA/HE
'found': TPOUPBD
'the': -T
'tinder-box,': TEUPBD/*ER/H-PB/PWOBGS/KW-BG
'but': PWUT
'no': TPHO
'sooner': SAORPB
'had': H
'he': HE
'struck': STRUBG
'a': AEU
'few': TPAOU
'sparks': SPARBGS
'from': TPR
'the': -T
'flint': TPHREUPBT
'and': SKP
'steel,': STAOEL/KW-BG
'than': THAPB
'the': -T
'door': TKAOR
'flew': TPHRAOU
'open': OEP
'and': SKP
'the': -T
'dog': TKOG
'with': W
'eyes': AO*EUS
'as': AS
'big': PWEUG
'as': AS
'teacups,': TAE/KUP/-S/KW-BG
'whom': WHOPL
'he': HE
'had': H
'seen': SAOEPB
'while': WHAOEUL
'down': TKOUPB
'in': TPH
'the': -T
'tree,': TRAOE/KW-BG
'stood': STAOD
'before': PW-FR
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
'"What': KW-GS/KPA*/WHA
'orders,': ORDZ/KW-BG
'master?"': PHAFRT/H-F/KR-GS
'"Hallo,"': KW-GS/HA*L/KWRO/KW-BG/KR-GS
'said': SED
'the': -T
'soldier;': SHRERPBLG/STPH*FPLT
'"well': KW-GS/WEL
'this': TH
'is': S
'a': AEU
'pleasant': PHREFPBT
'tinderbox,': TEUPBD/ER/PWOBGS/KW-BG
'if': TP
'it': T
'brings': PWREUS
'me': PHE
'all': AUL
'I': EU
'wish': WEURB
'for."': TPOR/TP-PL/KR-GS
'"Bring': KW-GS/KPA*/PWREU
'me': PHE
'some': SOPL
'money,"': PHUPB/KW-BG/KR-GS
'said': SED
'he': HE
'to': TO
'the': -T
'dog.': TKOG/TP-PL
'He': KPA/HE
'was': WAS
'gone': TKPWOPB
'in': TPH
'a': AEU
'moment,': PHOEPLT/KW-BG
'and': SKP
'presently': PREPBLT
'returned,': RURPBD/KW-BG
'carrying': KAERG
'a': AEU
'large': HRARPBLG
'bag': PWAG
'of': -F
'coppers': KOP/ERS
'in': TPH
'his': HEUS
'month.': PHO*PBT/TP-PL
'The': KPA/-T
'soldier': SHRERPBLG
'very': SRE
'soon': SAOPB
'discovered': SKOFD
'after': AF
'this': TH
'the': -T
'value': SRAOUL
'of': -F
'the': -T
'tinder-box.': TEUPBD/*ER/H-PB/PWOBGS/TP-PL
'If': KPA/TP
'he': HE
'struck': STRUBG
'the': -T
'flint': TPHREUPBT
'once,': WUPBS/KW-BG
'the': -T
'dog': TKOG
'who': WHO
'sat': SAT
'on': OPB
'the': -T
'chest': KHEFT
'of': -F
'copper': KOP/ER
'money': PHUPB
'made': PHAED
'his': HEUS
'appearance;': PAOERPBS/STPH*FPLT
'if': TP
'twice,': TWAOEUS/KW-BG
'the': -T
'dog': TKOG
'came': KAEUPL
'from': TPR
'the': -T
'chest': KHEFT
'of': -F
'silver;': SEUL/SRER/STPH*FPLT
'and': SKP
'if': TP
'three': THRAOE
'times,': TAOEUPLS/KW-BG
'the': -T
'dog': TKOG
'with': W
'eyes': AO*EUS
'like': HRAOEUBG
'towers,': TOURS/KW-BG
'who': WHO
'watched': WAFPD
'over': OEFR
'the': -T
'gold.': TKPWOELD/TP-PL
'The': KPA/-T
'soldier': SHRERPBLG
'had': H
'now': TPHOU
'plenty': PHREPBT
'of': -F
'money;': PHUPB/STPH*FPLT
'he': HE
'returned': RURPBD
'to': TO
'his': HEUS
'elegant': EL/TKPWAPBT
'rooms,': RAOPLS/KW-BG
'and': SKP
'reappeared': RAOE/A/PAOERD
'in': TPH
'his': HEUS
'fine': TPAOEUPB
'clothes,': KHRO*ETS/KW-BG
'so': SO
'that': THA
'his': HEUS
'friends': TPREPBDZ
'knew': TPHAOU
'him': HEUPL
'again': TKPWEPB
'directly,': TKREL/KW-BG
'and': SKP
'made': PHAED
'as': AS
'much': PHUFP
'of': -F
'him': HEUPL
'as': AS
'before.': PW-FR/TP-PL
'After': KPA/AF
'a': AEU
'while': WHAOEUL
'he': HE
'began': TKPWAPB
'to': TO
'think': THEU
'it': T
'was': WAS
'very': SRE
'strange': STRAEUPBG
'that': THA
'no': TPHO
'one': WUPB
'could': KO
'get': TKPWET
'a': AEU
'look': HRAOBG
'at': AT
'the': -T
'princess.': PREUPB/SES/TP-PL
'"Every': KW-GS/KPA*/EF
'one': WUPB
'says': SEZ
'she': SHE
'is': S
'very': SRE
'beautiful,"': PWAOUFL/KW-BG/KR-GS
'thought': THAUT
'he': HE
'to': TO
'himself;': HEUPLS/STPH*FPLT
'"but': KW-GS/PWUT
'what': WHA
'is': S
'the': -T
'use': AOUS
'of': -F
'that': THA
'if': TP
'she': SHE
'is': S
'to': TO
'be': -B
'shut': SHUT
'up': UP
'in': TPH
'a': AEU
'copper': KOP/ER
'castle': KAFL
'surrounded': SROUPBD/-D
'by': PWEU
'so': SO
'many': PHAEPB
'towers.': TOURS/TP-PL
'Can': KPA/K
'I': EU
'by': PWEU
'any': TPHEU
'means': PHAOEPBS
'get': TKPWET
'to': TO
'see': SAOE
'her.': HER/TP-PL
'Stop!': KPA/STOP/SKHRAPL
'where': W-R
'is': S
'my': PHEU
'tinder-box?"': TEUPBD/*ER/H-PB/PWOBGS/H-F/KR-GS
'Then': KPA/THEPB
'he': HE
'struck': STRUBG
'a': AEU
'light,': HRAOEUT/KW-BG
'and': SKP
'in': TPH
'a': AEU
'moment': PHOEPLT
'the': -T
'dog,': TKOG/KW-BG
'with': W
'eyes': AO*EUS
'as': AS
'big': PWEUG
'as': AS
'teacups,': TAE/KUP/-S/KW-BG
'stood': STAOD
'before': PW-FR
'him.': HEUPL/TP-PL
'"It': KW-GS/KPA*/T
'is': S
'midnight,"': PHAOEUPBT/KW-BG/KR-GS
'said': SED
'the': -T
'soldier,': SHRERPBLG/KW-BG
'"yet': KW-GS/KWRET
'I': EU
'should': SHO
'very': SRE
'much': PHUFP
'like': HRAOEUBG
'to': TO
'see': SAOE
'the': -T
'princess,': PREUPB/SES/KW-BG
'if': TP
'only': OEPBL
'for': TPOR
'a': AEU
'moment."': PHOEPLT/TP-PL/KR-GS
'The': KPA/-T
'dog': TKOG
'disappeared': TKEUS/PAOERD
'instantly,': EUPB/STAPBT/HREU/KW-BG
'and': SKP
'before': PW-FR
'the': -T
'soldier': SHRERPBLG
'could': KO
'even': AOEPB
'look': HRAOBG
'round,': ROUPBD/KW-BG
'he': HE
'returned': RURPBD
'with': W
'the': -T
'princess.': PREUPB/SES/TP-PL
'She': KPA/SHE
'was': WAS
'lying': HRAOEUG
'on': OPB
'the': -T
'dog's': TKOG/AES
'back': PWABG
'asleep,': A/SHRAOEP/KW-BG
'and': SKP
'looked': HRAOBGD
'so': SO
'lovely,': HROFL/KW-BG
'that': THA
'every': EF
'one': WUPB
'who': WHO
'saw': SAU
'her': HER
'would': WO
'know': TPHOE
'she': SHE
'was': WAS
'a': AEU
'real': RAEL
'princess.': PREUPB/SES/TP-PL
'The': KPA/-T
'soldier': SHRERPBLG
'could': KO
'not': TPHOT
'help': HEP
'kissing': KEUFG
'her,': HER/KW-BG
'true': TRAOU
'soldier': SHRERPBLG
'as': AS
'he': HE
'was.': WAS/TP-PL
'Then': KPA/THEPB
'the': -T
'dog': TKOG
'ran': RAPB
'back': PWABG
'with': W
'the': -T
'princess;': PREUPB/SES/STPH*FPLT
'but': PWUT
'in': TPH
'the': -T
'morning,': PHORPBG/KW-BG
'while': WHAOEUL
'at': AT
'breakfast': PWR-FT
'with': W
'the': -T
'king': KEUPBG
'and': SKP
'queen,': KWAOEPB/KW-BG
'she': SHE
'told': TOLD
'them': THEPL
'what': WHA
'a': AEU
'singular': SEUPBG/HRAR
'dream': TKRAOEPL
'she': SHE
'had': H
'had': H
'during': TKURG
'the': -T
'night,': TPHAOEUT/KW-BG
'of': -F
'a': AEU
'dog': TKOG
'and': SKP
'a': AEU
'soldier,': SHRERPBLG/KW-BG
'that': THA
'she': SHE
'had': H
'ridden': REUD/-PB
'on': OPB
'the': -T
'dog's': TKOG/AES
'back,': PWABG/KW-BG
'and': SKP
'been': PW-PB
'kissed': K*EUFD
'by': PWEU
'the': -T
'soldier.': SHRERPBLG/TP-PL
'"That': KW-GS/KPA*/THA
'is': S
'a': AEU
'very': SRE
'pretty': PREUT
'story,': STOER/KW-BG
'indeed,"': TPHAOEPBD/KW-BG/KR-GS
'said': SED
'the': -T
'queen.': KWAOEPB/TP-PL
'So': KPA/SO
'the': -T
'next': TPHEGT
'night': TPHAOEUT
'one': WUPB
'of': -F
'the': -T
'old': OLD
'ladies': HRAEUDZ
'of': -F
'the': -T
'court': KORT
'was': WAS
'set': SET
'to': TO
'watch': WAFP
'by': PWEU
'the': -T
'princess's': PREUPB/SES/AES
'bed,': PWED/KW-BG
'to': TO
'discover': SKOFR
'whether': WHR
'it': T
'really': R-L
'was': WAS
'a': AEU
'dream,': TKRAOEPL/KW-BG
'or': OR
'what': WHA
'else': ELS
'it': T
'might': PHAOEUT
'be.': -B/TP-PL
'The': KPA/-T
'soldier': SHRERPBLG
'longed': HROPBG/-D
'very': SRE
'much': PHUFP
'to': TO
'see': SAOE
'the': -T
'princess': PREUPB/SES
'once': WUPBS
'more,': PHOR/KW-BG
'so': SO
'he': HE
'sent': SEPBT
'for': TPOR
'the': -T
'dog': TKOG
'again': TKPWEPB
'in': TPH
'the': -T
'night': TPHAOEUT
'to': TO
'fetch': TPEFP
'her,': HER/KW-BG
'and': SKP
'to': TO
'run': RUPB
'with': W
'her': HER
'as': AS
'fast': TPAFT
'as': AS
'ever': -FR
'he': HE
'could.': KO/TP-PL
'But': KPA/PWUT
'the': -T
'old': OLD
'lady': HRA*ED
'put': PUT
'on': OPB
'water': WAUR
'boots,': PWAOTS/KW-BG
'and': SKP
'ran': RAPB
'after': AF
'him': HEUPL
'as': AS
'quickly': KWEULG
'as': AS
'he': HE
'did,': TK-RBGS
'and': SKP
'found': TPOUPBD
'that': THA
'he': HE
'carried': KAERD
'the': -T
'princess': PREUPB/SES
'into': TPHAO
'a': AEU
'large': HRARPBLG
'house.': HOUS/TP-PL
'She': KPA/SHE
'thought': THAUT
'it': T
'would': WO
'help': HEP
'her': HER
'to': TO
'remember': RER
'the': -T
'place': PHRAEUS
'if': TP
'she': SHE
'made': PHAED
'a': AEU
'large': HRARPBLG
'cross': KROS
'on': OPB
'the': -T
'door': TKAOR
'with': W
'a': AEU
'piece': PAOES
'of': -F
'chalk.': KHAUBG/TP-PL
'Then': KPA/THEPB
'she': SHE
'went': WEPBT
'home': HOEPL
'to': TO
'bed,': PWED/KW-BG
'and': SKP
'the': -T
'dog': TKOG
'presently': PREPBLT
'returned': RURPBD
'with': W
'the': -T
'princess.': PREUPB/SES/TP-PL
'But': KPA/PWUT
'when': WHEPB
'he': HE
'saw': SAU
'that': THA
'a': AEU
'cross': KROS
'had': H
'been': PW-PB
'made': PHAED
'on': OPB
'the': -T
'door': TKAOR
'of': -F
'the': -T
'house,': HOUS/KW-BG
'where': W-R
'the': -T
'soldier': SHRERPBLG
'lived,': HREUFD/KW-BG
'he': HE
'took': TAOBG
'another': TPHOER
'piece': PAOES
'of': -F
'chalk': KHAUBG
'and': SKP
'made': PHAED
'crosses': KROFS
'on': OPB
'all': AUL
'the': -T
'doors': TKAORS
'in': TPH
'the': -T
'town,': TOUPB/KW-BG
'so': SO
'that': THA
'the': -T
'lady-in-waiting': HRA*ED/H-PB/TPH/H-PB/WAEUGT
'might': PHAOEUT
'not': TPHOT
'be': -B
'able': ABL
'to': TO
'find': TPAOEUPBD
'out': OUT
'the': -T
'right': RAOEUT
'door.': TKAOR/TP-PL
'Early': KPA/ERL
'the': -T
'next': TPHEGT
'morning': PHORPBG
'the': -T
'king': KEUPBG
'and': SKP
'queen': KWAOEPB
'accompanied': A/K-PD
'the': -T
'lady': HRA*ED
'and': SKP
'all': AUL
'the': -T
'officers': OEUFRS
'of': -F
'the': -T
'household,': HOUS/HOLD/KW-BG
'to': TO
'see': SAOE
'where': W-R
'the': -T
'princess': PREUPB/SES
'had': H
'been.': PW-PB/TP-PL
'"Here': KW-GS/KPA*/HAOER
'it': T
'is,"': S-RBGS/KR-GS
'said': SED
'the': -T
'king,': KEUPBG/KW-BG
'when': WHEPB
'they': THE
'came': KAEUPL
'to': TO
'the': -T
'first': TPEUFRT
'door': TKAOR
'with': W
'a': AEU
'cross': KROS
'on': OPB
'it.': T/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'my': PHEU
'dear': TKAER
'husband,': HUS/KW-BG
'it': T
'must': PHUFT
'be': -B
'that': THA
'one,"': WUPB/KW-BG/KR-GS
'said': SED
'the': -T
'queen,': KWAOEPB/KW-BG
'pointing': POEUPBGT
'to': TO
'a': AEU
'second': SEBGD
'door': TKAOR
'having': SR-G
'a': AEU
'cross': KROS
'also.': HR-S/TP-PL
'"And': KW-GS/AFPBD
'here': HAOER
'is': S
'one,': WUPB/KW-BG
'and': SKP
'there': THR
'is': S
'another!"': TPHOER/SKHRAPL/KR-GS
'they': THE
'all': AUL
'exclaimed;': SKHRAEUPLD/STPH*FPLT
'for': TPOR
'there': THR
'were': WR
'crosses': KROFS
'on': OPB
'all': AUL
'the': -T
'doors': TKAORS
'in': TPH
'every': EF
'direction.': TKREBGS/TP-PL
'So': KPA/SO
'they': THE
'felt': TPELT
'it': T
'would': WO
'be': -B
'useless': AOUFLS
'to': TO
'search': SEFRPB
'any': TPHEU
'farther.': TPA*RT/TP-PL
'But': KPA/PWUT
'the': -T
'queen': KWAOEPB
'was': WAS
'a': AEU
'very': SRE
'clever': KHREFR
'woman;': WOPL/STPH*FPLT
'she': SHE
'could': KO
'do': TKO
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'more': PHOR
'than': THAPB
'merely': PHAOERL
'ride': RAOEUD
'in': TPH
'a': AEU
'carriage.': KAEURPBLG/TP-PL
'She': KPA/SHE
'took': TAOBG
'her': HER
'large': HRARPBLG
'gold': TKPWOELD
'scissors,': SEUS/ORS/KW-BG
'cut': KUT
'a': AEU
'piece': PAOES
'of': -F
'silk': S*EULG
'into': TPHAO
'squares,': SKWAEURS/KW-BG
'and': SKP
'made': PHAED
'a': AEU
'neat': TPHAOET
'little': HREUL
'bag.': PWAG/TP-PL
'This': KPA/TH
'bag': PWAG
'she': SHE
'filled': TPEULD
'with': W
'buckwheat': PWUBG/WHAOET
'flour,': TPHROUR/KW-BG
'and': SKP
'tied': TAO*EUD
'it': T
'round': ROUPBD
'the': -T
'princess's': PREUPB/SES/AES
'neck;': TPHEBG/STPH*FPLT
'and': SKP
'then': THEPB
'she': SHE
'cut': KUT
'a': AEU
'small': SPHAL
'hole': HOEL
'in': TPH
'the': -T
'bag,': PWAG/KW-BG
'so': SO
'that': THA
'the': -T
'flour': TPHROUR
'might': PHAOEUT
'be': -B
'scattered': SKAT/ERD
'on': OPB
'the': -T
'ground': TKPWROUPBD
'as': AS
'the': -T
'princess': PREUPB/SES
'went': WEPBT
'along.': HRAOPBG/TP-PL
'During': KPA/TKURG
'the': -T
'night,': TPHAOEUT/KW-BG
'the': -T
'dog': TKOG
'came': KAEUPL
'again': TKPWEPB
'and': SKP
'carried': KAERD
'the': -T
'princess': PREUPB/SES
'on': OPB
'his': HEUS
'back,': PWABG/KW-BG
'and': SKP
'ran': RAPB
'with': W
'her': HER
'to': TO
'the': -T
'soldier,': SHRERPBLG/KW-BG
'who': WHO
'loved': HROFD
'her': HER
'very': SRE
'much,': PHUFP/KW-BG
'and': SKP
'wished': WEURBD
'that': THA
'he': HE
'had': H
'been': PW-PB
'a': AEU
'prince,': PREUPBS/KW-BG
'so': SO
'that': THA
'he': HE
'might': PHAOEUT
'have': SR
'her': HER
'for': TPOR
'a': AEU
'wife.': WAOEUF/TP-PL
'The': KPA/-T
'dog': TKOG
'did': TK
'not': TPHOT
'observe': OEB
'how': HOU
'the': -T
'flour': TPHROUR
'ran': RAPB
'out': OUT
'of': -F
'the': -T
'bag': PWAG
'all': AUL
'the': -T
'way': WAEU
'from': TPR
'the': -T
'castle': KAFL
'wall': WAUL
'to': TO
'the': -T
'soldier's': SHRERPBLG/AES
'house,': HOUS/KW-BG
'and': SKP
'even': AOEPB
'up': UP
'to': TO
'the': -T
'window,': WOEUPBD/KW-BG
'where': W-R
'he': HE
'had': H
'climbed': KHRAOEUPLD
'with': W
'the': -T
'princess.': PREUPB/SES/TP-PL
'Therefore': KPA/TH-FR
'in': TPH
'the': -T
'morning': PHORPBG
'the': -T
'king': KEUPBG
'and': SKP
'queen': KWAOEPB
'found': TPOUPBD
'out': OUT
'where': W-R
'their': THAEUR
'daughter': TKAUR
'had': H
'been,': PW-PB/KW-BG
'and': SKP
'the': -T
'soldier': SHRERPBLG
'was': WAS
'taken': TAEPB
'up': UP
'and': SKP
'put': PUT
'in': TPH
'prison.': PREUZ/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'how': HOU
'dark': TKARBG
'and': SKP
'disagreeable': TKEUS/TKPWRAOEBL
'it': T
'was': WAS
'as': AS
'he': HE
'sat': SAT
'there,': THR-RBGS
'and': SKP
'the': -T
'people': PAOEPL
'said': SED
'to': TO
'him,': HEUPL/KW-BG
'"To-morrow': KW-GS/KPA*/TO/H-PB/HRO*ER/PHOR/ROE
'you': U
'will': HR
'be': -B
'hanged."': HAPBG/-D/TP-PL/KR-GS
'It': KPA/T
'was': WAS
'not': TPHOT
'very': SRE
'pleasant': PHREFPBT
'news,': TPHUS/KW-BG
'and': SKP
'besides,': PW-DZ/KW-BG
'he': HE
'had': H
'left': HREFT
'the': -T
'tinder-box': TEUPBD/*ER/H-PB/PWOBGS
'at': AT
'the': -T
'inn.': TPH*PB/TP-PL
'In': KPA/TPH
'the': -T
'morning': PHORPBG
'he': HE
'could': KO
'see': SAOE
'through': THRU
'the': -T
'iron': AOEURPB
'grating': TKPWRAEUGT
'of': -F
'the': -T
'little': HREUL
'window': WOEUPBD
'how': HOU
'the': -T
'people': PAOEPL
'were': WR
'hastening': HAEUS/-PBG
'out': OUT
'of': -F
'the': -T
'town': TOUPB
'to': TO
'see': SAOE
'him': HEUPL
'hanged;': HAPBG/-D/STPH*FPLT
'he': HE
'heard': HAERD
'the': -T
'drums': TKRUPLS
'beating,': PWAEGT/KW-BG
'and': SKP
'saw': SAU
'the': -T
'soldiers': SHRERPBLGS
'marching.': PHAFRPB/-G/TP-PL
'Every': KPA/EF
'one': WUPB
'ran': RAPB
'out': OUT
'to': TO
'look': HRAOBG
'at': AT
'them,': THEPL/KW-BG
'and': SKP
'a': AEU
'shoemaker's': SHAOU/PHA*EURBG/AES
'boy,': PWOEURBGS
'with': W
'a': AEU
'leather': HRE/THER
'apron': AEUP/ROPB
'and': SKP
'slippers': SHREUP/ERS
'on,': OPB/KW-BG
'galloped': TKPWAL/OP/-D
'by': PWEU
'so': SO
'fast,': TPAFT/KW-BG
'that': THA
'one': WUPB
'of': -F
'his': HEUS
'slippers': SHREUP/ERS
'flew': TPHRAOU
'off': OF
'and': SKP
'struck': STRUBG
'against': TKPWEPBS
'the': -T
'wall': WAUL
'where': W-R
'the': -T
'soldier': SHRERPBLG
'sat': SAT
'looking': HRAOG
'through': THRU
'the': -T
'iron': AOEURPB
'grating.': TKPWRAEUGT/TP-PL
'"Hallo,': KW-GS/HA*L/KWRO/KW-BG
'you': U
'shoemaker's': SHAOU/PHA*EURBG/AES
'boy,': PWOEURBGS
'you': U
'need': TPHAOED
'not': TPHOT
'be': -B
'in': TPH
'such': SUFP
'a': AEU
'hurry,"': HUR/REU/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'soldier': SHRERPBLG
'to': TO
'him.': HEUPL/TP-PL
'"There': KW-GS/KPA*/THR
'will': HR
'be': -B
'nothing': TPHOG
'to': TO
'see': SAOE
'till': TEUL
'I': EU
'come;': KOPL/STPH*FPLT
'but': PWUT
'if': TP
'you': U
'will': HR
'run': RUPB
'to': TO
'the': -T
'house': HOUS
'where': W-R
'I': EU
'have': SR
'been': PW-PB
'living,': HREUFG/KW-BG
'and': SKP
'bring': PWREU
'me': PHE
'my': PHEU
'tinder-box,': TEUPBD/*ER/H-PB/PWOBGS/KW-BG
'you': U
'shall': SHAL
'have': SR
'four': TPOUR
'shillings,': SHEUL/-GS/KW-BG
'but': PWUT
'you': U
'must': PHUFT
'put': PUT
'your': KWROUR
'best': PWEFT
'foot': TPAOT
'foremost."': TPOER/PHO*ES/TP-PL/KR-GS
'The': KPA/-T
'shoemaker's': SHAOU/PHA*EURBG/AES
'boy': PWOEU
'liked': HRAOEUBGD
'the': -T
'idea': KWR-D
'of': -F
'getting': TKPWEGT
'the': -T
'four': TPOUR
'shillings,': SHEUL/-GS/KW-BG
'so': SO
'he': HE
'ran': RAPB
'very': SRE
'fast': TPAFT
'and': SKP
'fetched': TPEFP/-D
'the': -T
'tinder-box,': TEUPBD/*ER/H-PB/PWOBGS/KW-BG
'and': SKP
'gave': TKPWAEUF
'it': T
'to': TO
'the': -T
'soldier.': SHRERPBLG/TP-PL
'And': AFPBD
'now': TPHOU
'we': WE
'shall': SHAL
'see': SAOE
'what': WHA
'happened.': HAPD/TP-PL
'Outside': KPA/OUDZ
'the': -T
'town': TOUPB
'a': AEU
'large': HRARPBLG
'gibbet': TKPWEUB/ET
'had': H
'been': PW-PB
'erected,': AOE/REBGD/KW-BG
'round': ROUPBD
'which': WEU
'stood': STAOD
'the': -T
'soldiers': SHRERPBLGS
'and': SKP
'several': SEFRL
'thousands': THOUDZ
'of': -F
'people.': PAOEPL/TP-PL
'The': KPA/-T
'king': KEUPBG
'and': SKP
'the': -T
'queen': KWAOEPB
'sat': SAT
'on': OPB
'splendid': SPHREPB/TKEUD
'thrones': THRO*EPB/-S
'opposite': OP/SEUT
'to': TO
'the': -T
'judges': SKWRUPBLGS
'and': SKP
'the': -T
'whole': WHOEL
'council.': KOUPB/SEUL/TP-PL
'The': KPA/-T
'soldier': SHRERPBLG
'already': HR-R
'stood': STAOD
'on': OPB
'the': -T
'ladder;': HRAERD/STPH*FPLT
'but': PWUT
'as': AS
'they': THE
'were': WR
'about': PW
'to': TO
'place': PHRAEUS
'the': -T
'rope': ROEP
'around': ARPBD
'his': HEUS
'neck,': TPHEBG/KW-BG
'he': HE
'said': SED
'that': THA
'an': APB
'innocent': TPH-PBT
'request': KW
'was': WAS
'often': OFPB
'granted': TKPWRAPBTD
'to': TO
'a': AEU
'poor': PAOR
'criminal': KR-L
'before': PW-FR
'he': HE
'suffered': SUFRD
'death.': TK*T/TP-PL
'He': KPA/HE
'wished': WEURBD
'very': SRE
'much': PHUFP
'to': TO
'smoke': SPHOEBG
'a': AEU
'pipe,': PAOEUP/KW-BG
'as': AS
'it': T
'would': WO
'be': -B
'the': -T
'last': HRAFT
'pipe': PAOEUP
'he': HE
'should': SHO
'ever': -FR
'smoke': SPHOEBG
'in': TPH
'the': -T
'world.': WORLD/TP-PL
'The': KPA/-T
'king': KEUPBG
'could': KO
'not': TPHOT
'refuse': REF/AOUS
'this': TH
'request,': KW/KW-BG
'so': SO
'the': -T
'soldier': SHRERPBLG
'took': TAOBG
'his': HEUS
'tinder-box,': TEUPBD/*ER/H-PB/PWOBGS/KW-BG
'and': SKP
'struck': STRUBG
'fire,': TPAOEUR/KW-BG
'once,': WUPBS/KW-BG
'twice,': TWAOEUS/KW-BG
'thrice,—and': THRAOEUS/KW-BG/EPL/TKA*RB/SKP
'there': THR
'in': TPH
'a': AEU
'moment': PHOEPLT
'stood': STAOD
'all': AUL
'the': -T
'dogs;—the': TKOGS/STPH*FPLT/EPL/TKA*RB/-T
'one': WUPB
'with': W
'eyes': AO*EUS
'as': AS
'big': PWEUG
'as': AS
'teacups,': TAE/KUP/-S/KW-BG
'the': -T
'one': WUPB
'with': W
'eyes': AO*EUS
'as': AS
'large': HRARPBLG
'as': AS
'mill-wheels,': PHEUL/H-PB/WHAOELS/KW-BG
'and': SKP
'the': -T
'third,': THEURD/KW-BG
'whose': WHOZ
'eyes': AO*EUS
'were': WR
'like': HRAOEUBG
'towers.': TOURS/TP-PL
'"Help': KW-GS/KPA*/HEP
'me': PHE
'now,': TPHOURBGS
'that': THA
'I': EU
'may': PHAE
'not': TPHOT
'be': -B
'hanged,"': HAPBG/-D/KW-BG/KR-GS
'cried': KRAOEUD
'the': -T
'soldier.': SHRERPBLG/TP-PL
'And': AFPBD
'the': -T
'dogs': TKOGS
'fell': TPEL
'upon': POPB
'the': -T
'judges': SKWRUPBLGS
'and': SKP
'all': AUL
'the': -T
'councillors;': KOUPB/SEU/HROR/-S/STPH*FPLT
'seized': SAOEZ/-D
'one': WUPB
'by': PWEU
'the': -T
'legs,': HREGS/KW-BG
'and': SKP
'another': TPHOER
'by': PWEU
'the': -T
'nose,': TPHOES/KW-BG
'and': SKP
'tossed': TOS/-D
'them': THEPL
'many': PHAEPB
'feet': TPAOET
'high': HAOEU
'in': TPH
'the': -T
'air,': AEUR/KW-BG
'so': SO
'that': THA
'they': THE
'fell': TPEL
'down': TKOUPB
'and': SKP
'were': WR
'dashed': TKARBD
'to': TO
'pieces.': PAOEFS/TP-PL
'"I': KW-GS/EU
'will': HR
'not': TPHOT
'be': -B
'touched,"': TUFPD/KW-BG/KR-GS
'said': SED
'the': -T
'king.': KEUPBG/TP-PL
'But': KPA/PWUT
'the': -T
'largest': HRARPBLG/EFT
'dog': TKOG
'seized': SAOEZ/-D
'him,': HEUPL/KW-BG
'as': AS
'well': WEL
'as': AS
'the': -T
'queen,': KWAOEPB/KW-BG
'and': SKP
'threw': THRAOU
'them': THEPL
