Cinderilla or the Little Glass Slipper

'invited': EUPB/SRAOEUTD
'all': AUL
'persons': PERPBS
'of': -F
'fashion': TPAGS
'to': TO
'it.': T/TP-PL
'Our': KPA/OUR
'young': KWRUPBG
'misses': PHEUFZ
'were': WR
'also': HR-S
'invited;': EUPB/SRAOEUTD/STPH*FPLT
'for': TPOR
'they': THE
'cut': KUT
'a': AEU
'very': SRE
'grand': TKPWRAPBD
'figure': TPEUG
'among': PHOPBG
'the': -T
'quality.': KWALT/TP-PL
'They': KPA/THE
'were': WR
'mightily': PHAOEUT/SKWREU/HREU
'delighted': TKHRAOEUTD
'at': AT
'this': TH
'invitation,': EUPB/SREU/TAEUGS/KW-BG
'and': SKP
'wonderfully': WOPBD/TPHREU
'busy': PW-Z
'in': TPH
'chusing': HRO*ER/KHU/-S/-G
'out': OUT
'such': SUFP
'gowns,': TKPWOUPBS/KW-BG
'petticoats,': PET/KOET/-S/KW-BG
'and': SKP
'head-clothes': HED/H-PB/KHRO*ETS
'as': AS
'might': PHAOEUT
'best': PWEFT
'become': PW-BG
'them.': THEPL/TP-PL
'This': KPA/TH
'was': WAS
'a': AEU
'new': TPHU
'trouble': TRUBL
'to': TO
'Cinderilla;': KR*P/*EU/TPH*/TK*/*E/R*/*EU/HR*/HR*/KWRA/STPH*FPLT
'for': TPOR
'it': T
'was': WAS
'she': SHE
'who': WHO
'ironed': AOEURPBD
'her': HER
'sisters'': ST-RS/AE
'linen,': HREUPB/-PB/KW-BG
'and': SKP
'plaited': PHRA*EUT/-D
'their': THAEUR
'ruffles;': RUFL/-S/STPH*FPLT
'they': THE
'talked': TAUBGD
'all': AUL
'day': TKAEU
'long': HROPBG
'of': -F
'nothing': TPHOG
'but': PWUT
'how': HOU
'they': THE
'should': SHO
'be': -B
'dressed.': TKREFD/TP-PL
'"For': KW-GS/KPA*/TPOR
'my': PHEU
'part,"': PART/KW-BG/KR-GS
'said': SED
'the': -T
'eldest,': ELD/EFT/KW-BG
'"I': KW-GS/EU
'will': HR
'wear': WAER
'my': PHEU
'red': RED
'velvet': SREL/SRET
'suit,': SAOUT/KW-BG
'with': W
'French': TPREFRPB
'trimming."': TREUPLG/TP-PL/KR-GS
'"And': KW-GS/AFPBD
'I,"': EU/KW-BG/KR-GS
'said': SED
'the': -T
'youngest,': KWRUPBG/EFT/KW-BG
'"shall': KW-GS/SHAL
'only': OEPBL
'have': SR
'my': PHEU
'usual': AOURB
