Iron Hans
'him,': HEUPL/KW-BG
'and': SKP
'told': TOLD
'him': HEUPL
'to': TO
'stay.': STAEU/TP-PL
'At': KPA/AT
'length': HREPBG
'the': -T
'cook': KAOBG
'took': TAOBG
'him': HEUPL
'into': TPHAO
'his': HEUS
'service,': S-FS/KW-BG
'and': SKP
'said': SED
'he': HE
'might': PHAOEUT
'carry': KAER
'wood': WAOD
'and': SKP
'water,': WAURBGS
'and': SKP
'rake': RAEUBG
'the': -T
'cinders': SEUPBD/ERS
'together.': TOGT/TP-PL
'Once': KPA/WUPBS
'when': WHEPB
'it': T
'so': SO
'happened': HAPD
'that': THA
'no': TPHO
'one': WUPB
'else': ELS
'was': WAS
'at': AT
'hand,': HAPBD/KW-BG
'the': -T
'cook': KAOBG
'ordered': ORD/-D
'him': HEUPL
'to': TO
'carry': KAER
'the': -T
'food': TPAOD
'to': TO
'the': -T
'royal': ROEUL
'table,': TAEUBL/KW-BG
'but': PWUT
'as': AS
'he': HE
'did': TK
'not': TPHOT
'like': HRAOEUBG
'to': TO
'let': HRET
'his': HEUS
'golden': TKPWOELD/*EPB
'hair': HAEUR
'be': -B
'seen,': SAOEPB/KW-BG
'he': HE
'kept': KEPT
'his': HEUS
'little': HREUL
'cap': KAP
'on.': OPB/TP-PL
'Such': KPA/SUFP
'a': AEU
'thing': THEUPBG
'as': AS
'that': THA
'had': H
'never': TPHEFR
'yet': KWRET
'come': KOPL
'under': TPH-PB
'the': -T
'king's': KEUPBG/AES
'notice,': TPH-TS/KW-BG
'and': SKP
'he': HE
'said:': SED/STPH-FPLT
''When': A*E/KPA*/WHEPB
'you': U
'come': KOPL
'to': TO
'the': -T
'royal': ROEUL
'table': TAEUBL
'you': U
'must': PHUFT
'take': TAEUBG
'your': KWROUR
'hat': HAT
'off.'': OF/TP-PL/AE
'He': KPA/HE
'answered:': AEPBS/-D/STPH-FPLT
''Ah,': A*E/KPA*/HA*E/KW-BG
'Lord,': HRO*RD/KW-BG
'I': EU
'cannot;': SK-PBT/STPH*FPLT
'I': EU
'have': SR
'a': AEU
'bad': PWAD
'sore': SOR
'place': PHRAEUS
'on': OPB
'my': PHEU
'head.'': HED/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'king': KEUPBG
'had': H
'the': -T
'cook': KAOBG
'called': KAULD
'before': PW-FR
'him': HEUPL
'and': SKP
'scolded': SKOLD/-D
'him,': HEUPL/KW-BG
'and': SKP
'asked': SK-D
'how': HOU
'he': HE
'could': KO
'take': TAEUBG
'such': SUFP
'a': AEU
'boy': PWOEU
'as': AS
'that': THA
'into': TPHAO
'his': HEUS
'service;': S-FS/STPH*FPLT
'and': SKP
'that': THA
'he': HE
'was': WAS
'to': TO
'send': SEPBD
'him': HEUPL
'away': WA*EU
'at': AT
'once.': WUPBS/TP-PL
'The': KPA/-T
'cook,': KAOBG/KW-BG
'however,': HOUF/KW-BG
'had': H
'pity': PEUT/TEU
'on': OPB
'him,': HEUPL/KW-BG
'and': SKP
'exchanged': KPAEUPBG/-D
'him': HEUPL
'for': TPOR
'the': -T
'gardener's': TKPWARD/TPHER/AES
'boy.': PWOEU/TP-PL
'And': AFPBD
'now': TPHOU
'the': -T
'boy': PWOEU
'had': H
'to': TO
'plant': PHRAPBT
'and': SKP
'water': WAUR
'the': -T
'garden,': TKPWA*RPB/KW-BG
'hoe': HOE
'and': SKP
'dig,': TKEUG/KW-BG
'and': SKP
'bear': PWAER
'the': -T
'wind': WEUPBD
'and': SKP
'bad': PWAD
'weather.': WHR*/TP-PL
'Once': KPA/WUPBS
'in': TPH
'summer': SAOURPL
'when': WHEPB
'he': HE
'was': WAS
'working': WOG
'alone': A/HROEPB
'in': TPH
'the': -T
'garden,': TKPWA*RPB/KW-BG
'the': -T
'day': TKAEU
'was': WAS
'so': SO
'warm': WARPL
'he': HE
'took': TAOBG
'his': HEUS
'little': HREUL
'cap': KAP
'off': OF
'that': THA
'the': -T
'air': AEUR
'might': PHAOEUT
'cool': KAOL
'him.': HEUPL/TP-PL
'As': KPA/AS
'the': -T
'sun': SUPB
'shone': SHO*EPB
'on': OPB
'his': HEUS
'hair': HAEUR
'it': T
'glittered': TKPWHREUT/ERD
'and': SKP
'flashed': TPHRARBD
'so': SO
'that': THA
'the': -T
'rays': RA*ES
'fell': TPEL
'into': TPHAO
'the': -T
'bedroom': PW-PL
'of': -F
'the': -T
'king's': KEUPBG/AES
'daughter,': TKAUR/KW-BG
'and': SKP
'up': UP
'she': SHE
'sprang': SPRAPBG
'to': TO
'see': SAOE
'what': WHA
'that': THA
'could': KO
'be.': -B/TP-PL
'Then': KPA/THEPB
'she': SHE
'saw': SAU
'the': -T
'boy,': PWOEURBGS
'and': SKP
'cried': KRAOEUD
'to': TO
'him:': HEUPL/STPH-FPLT
''Boy,': A*E/KPA*/PWOEU/KW-BG
'bring': PWREU
'me': PHE
'a': AEU
'wreath': WRAO*ET
'of': -F
'flowers.'': TPHRO*URS/TP-PL/AE
'He': KPA/HE
'put': PUT
'his': HEUS
'cap': KAP
'on': OPB
'with': W
'all': AUL
'haste,': HAEUFT/KW-BG
'and': SKP
'gathered': TKPWAERD
'wild': WAOEULD
'field-flowers': TPAOELD/H-PB/TPHRO*URS
'and': SKP
'bound': PWOUPBD
'them': THEPL
'together.': TOGT/TP-PL
'When': KPA/WHEPB
'he': HE
'was': WAS
'ascending': A/SEPBD/-G
'the': -T
'stairs': STAEURS
'with': W
'them,': THEPL/KW-BG
'the': -T
'gardener': TKPWARD/TPHER
'met': PHET
'him,': HEUPL/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''How': A*E/KPA*/HOU
'can': K
'you': U
'take': TAEUBG
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'a': AEU
'garland': TKPWAR/HRA*PBD
'of': -F
'such': SUFP
'common': KPHOPB
'flowers?': TPHRO*URS/H-F
'Go': KPA/TKPW
'quickly,': KWEULG/KW-BG
'and': SKP
'get': TKPWET
'another,': TPHOER/KW-BG
'and': SKP
'seek': SAOEBG
'out': OUT
'the': -T
'prettiest': PRET/KWREFT
'and': SKP
'rarest.'': RAEUR/EFT/TP-PL/AE
''Oh,': A*E/KPA*/O*ERBGS/KW-BG
'no,'': TPHO/KW-BG/AE
'replied': RE/PHRAOEUD
'the': -T
'boy,': PWOEURBGS
''the': A*E/-T
'wild': WAOEULD
'ones': WUPBZ
'have': SR
'more': PHOR
'scent,': SKEPBT/KW-BG
'and': SKP
'will': HR
'please': PHRES
'her': HER
'better.'': PWOERT/TP-PL/AE
'When': KPA/WHEPB
'he': HE
'got': TKPWOT
'into': TPHAO
'the': -T
'room,': RAOPL/KW-BG
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'said:': SED/STPH-FPLT
''Take': A*E/KPA*/TAEUBG
'your': KWROUR
'cap': KAP
'off,': OF/KW-BG
'it': T
'is': S
'not': TPHOT
'seemly': SAOEPL/HREU
'to': TO
'keep': KAOEP
'it': T
'on': OPB
'in': TPH
'my': PHEU
'presence.'': PREPBS/TP-PL/AE
'He': KPA/HE
'again': TKPWEPB
'said:': SED/STPH-FPLT
''I': A*E/EU
'may': PHAEU
'not,': TPHOT/KW-BG
'I': EU
'have': SR
'a': AEU
'sore': SOR
'head.'': HED/TP-PL/AE
'She,': KPA/SHE/KW-BG
'however,': HOUF/KW-BG
'caught': KAUT
'at': AT
'his': HEUS
'cap': KAP
'and': SKP
'pulled': PULD
'it': T
'off,': OF/KW-BG
'and': SKP
'then': THEPB
'his': HEUS
'golden': TKPWOELD/*EPB
'hair': HAEUR
'rolled': ROLD
'down': TKOUPB
'on': OPB
'his': HEUS
'shoulders,': SHOURLDZ/KW-BG
'and': SKP
'it': T
'was': WAS
'splendid': SPHREPB/TKEUD
'to': TO
'behold.': PWE/HOLD/TP-PL
'He': KPA/HE
'wanted': WAPBTD
'to': TO
'run': RUPB
'out,': OUT/KW-BG
'but': PWUT
'she': SHE
'held': HELD
'him': HEUPL
'by': PWEU
'the': -T
'arm,': ARPL/KW-BG
'and': SKP
'gave': TKPWAEUF
'him': HEUPL
'a': AEU
'handful': HAPBD/-FL
'of': -F
'ducats.': TKUBG/A*T/-S/TP-PL
'With': KPA/W
'these': THEZ
'he': HE
'departed,': TKPART/-D/KW-BG
'but': PWUT
'he': HE
'cared': KAEURD
'nothing': TPHOG
'for': TPOR
'the': -T
'gold': TKPWOELD
'pieces.': PAOEFS/TP-PL
'He': KPA/HE
'took': TAOBG
'them': THEPL
'to': TO
'the': -T
'gardener,': TKPWARD/TPHER/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''I': A*E/EU
'present': PREPBT
'them': THEPL
'to': TO
'your': KWROUR
'children,': KHEURPB/KW-BG
'they': THE
'can': K
'play': PHRAEU
'with': W
'them.'': THEPL/TP-PL/AE
'The': KPA/-T
'following': TPOLG
'day': TKAEU
'the': -T
'king's': KEUPBG/AES
'daughter': TKAUR
'again': TKPWEPB
'called': KAULD
'to': TO
'him': HEUPL
'that': THA
'he': HE
'was': WAS
'to': TO
'bring': PWREU
'her': HER
'a': AEU
'wreath': WRAO*ET
'of': -F
'field-flowers,': TPAOELD/H-PB/TPHRO*URS/KW-BG
'and': SKP
'then': THEPB
'he': HE
'went': WEPBT
'in': TPH
'with': W
'it,': T/KW-BG
'she': SHE
'instantly': EUPB/STAPBT/HREU
'snatched': STPHAFPD
'at': AT
'his': HEUS
'cap,': KAP/KW-BG
'and': SKP
'wanted': WAPBTD
'to': TO
'take': TAEUBG
'it': T
'away': WA*EU
'from': TPR
'him,': HEUPL/KW-BG
'but': PWUT
'he': HE
'held': HELD
'it': T
'fast': TPAFT
'with': W
'both': PWO*T
'hands.': HAPBDZ/TP-PL
'She': KPA/SHE
'again': TKPWEPB
'gave': TKPWAEUF
'him': HEUPL
'a': AEU
'handful': HAPBD/-FL
'of': -F
'ducats,': TKUBG/A*T/-S/KW-BG
'but': PWUT
'he': HE
'would': WO
'not': TPHOT
'keep': KAOEP
'them,': THEPL/KW-BG
'and': SKP
'gave': TKPWAEUF
'them': THEPL
'to': TO
'the': -T
'gardener': TKPWARD/TPHER
'for': TPOR
'playthings': PHRAEU/THEUPBG/-S
'for': TPOR
'his': HEUS
'children.': KHEURPB/TP-PL
'On': KPA/OPB
'the': -T
'third': THEURD
'day': TKAEU
'things': THEUPBGS
'went': WEPBT
'just': SKWRUFT
'the': -T
'same;': SAEUPL/STPH*FPLT
'she': SHE
'could': KO
'not': TPHOT
'get': TKPWET
'his': HEUS
'cap': KAP
'away': WA*EU
'from': TPR
'him,': HEUPL/KW-BG
'and': SKP
'he': HE
'would': WO
'not': TPHOT
'have': SR
'her': HER
'money.': PHUPB/TP-PL
'Not': KPA/TPHOT
'long': HROPBG
'afterwards,': A*FRDZ/KW-BG
'the': -T
'country': KREU
'was': WAS
'overrun': AUFR/RUPB
'by': PWEU
'war.': WAR/TP-PL
'The': KPA/-T
'king': KEUPBG
'gathered': TKPWAERD
'together': TOGT
'his': HEUS
'people,': PAOEPL/KW-BG
'and': SKP
'did': TK
'not': TPHOT
'know': TPHOE
'whether': WHR
'or': OR
'not': TPHOT
'he': HE
'could': KO
'offer': OFR
'any': TPHEU
'opposition': OP/POGS
'to': TO
'the': -T
'enemy,': TPHAEPL/KW-BG
'who': WHO
'was': WAS
'superior': SPOEUR
'in': TPH
'strength': STREPBG
'and': SKP
'had': H
'a': AEU
'mighty': PHAOEUT/KWREU
'army.': AERPL/TP-PL
'Then': KPA/THEPB
'said': SED
'the': -T
'gardener's': TKPWARD/TPHER/AES
'boy:': PWOEU/STPH-FPLT
''I': A*E/EU
'am': APL
'grown': TKPWROEPB
'up,': UP/KW-BG
'and': SKP
'will': HR
'go': TKPW
'to': TO
'the': -T
'wars': WARS
'also,': HR-S/KW-BG
'only': OEPBL
'give': TKPWEUF
'me': PHE
'a': AEU
'horse.'': HORS/TP-PL/AE
'The': KPA/-T
'others': OERS
'laughed,': HRAFD/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''Seek': A*E/KPA*/SAOEBG
'one': WUPB
'for': TPOR
'yourself': KWRO*URS
'when': WHEPB
'we': WE
'are': R
'gone,': TKPWOPB/KW-BG
'we': WE
'will': HR
'leave': HREF
'one': WUPB
'behind': HEUPBD
'us': US
'in': TPH
'the': -T
'stable': STABL
'for': TPOR
'you.'': U/TP-PL/AE
'When': KPA/WHEPB
'they': THE
'had': H
'gone': TKPWOPB
'forth,': TPO*RT/KW-BG
'he': HE
'went': WEPBT
'into': TPHAO
'the': -T
'stable,': STAEURBLGS
'and': SKP
'led': HRED
'the': -T
'horse': HORS
'out;': OUT/STPH*FPLT
'it': T
'was': WAS
'lame': HRAEUPL
'of': -F
'one': WUPB
'foot,': TPAOT/KW-BG
'and': SKP
'limped': HREUPL/-PD
'hobblety': H*/O*/PW*/PW*/HR*/ET/KWREU
'jib,': SKWREUB/KW-BG
'hobblety': H*/O*/PW*/PW*/HR*/ET/KWREU
'jib;': SKWREUB/STPH*FPLT
'nevertheless': TPHEFRLS
'he': HE
'mounted': PHOUPBTD
'it,': T/KW-BG
'and': SKP
'rode': ROED
'away': WA*EU
'to': TO
'the': -T
'dark': TKARBG
'forest.': TPOEFRT/TP-PL
'When': KPA/WHEPB
'he': HE
'came': KAEUPL
'to': TO
'the': -T
'outskirts,': AOUT/SKEURTS/KW-BG
'he': HE
'called': KAULD
''Iron': A*E/KPA*/AOEURPB
'Hans'': HAPBS/AE
'three': THRAOE
'times': TAOEUPLS
'so': SO
'loudly': HROUD/HREU
'that': THA
'it': T
'echoed': EBG/OE/-D
'through': THRU
'the': -T
'trees.': TRAOES/TP-PL
'Thereupon': KPA/THRUP
'the': -T
'wild': WAOEULD
'man': PHAPB
'appeared': A/PAOERD
'immediately,': PHAOELD/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''What': A*E/KPA*/WHA
'do': TKO
'you': U
'desire?'': STKAOEUR/H-F/AE
''I': A*E/EU
'want': WAPBT
'a': AEU
'strong': STROPBG
'steed,': STAOED/KW-BG
'for': TPOR
'I': EU
'am': APL
'going': TKPW-G
'to': TO
'the': -T
'wars.'': WARS/TP-PL/AE
''That': A*E/KPA*/THA
'you': U
'shall': SHAL
'have,': SR-RBGS
'and': SKP
'still': STEUL
'more': PHOR
'than': THAPB
'you': U
'ask': SK
'for.'': TPOR/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'wild': WAOEULD
'man': PHAPB
'went': WEPBT
'back': PWABG
'into': TPHAO
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'it': T
'was': WAS
'not': TPHOT
'long': HROPBG
'before': PW-FR
'a': AEU
'stable-boy': STABL/H-PB/PWOEU
'came': KAEUPL
'out': OUT
'of': -F
'it,': T/KW-BG
'who': WHO
'led': HRED
'a': AEU
'horse': HORS
'that': THA
'snorted': STPHORT/-D
'with': W
'its': EUTS
'nostrils,': TPHOS/TREULS/KW-BG
'and': SKP
'could': KO
'hardly': HA*RLD
'be': -B
'restrained,': RAOE/STRAEUPBD/KW-BG
'and': SKP
'behind': HEUPBD
'them': THEPL
'followed': TPOLD
'a': AEU
'great': TKPWRAET
'troop': TRAOP
'of': -F
'warriors': WAR/KWRORS
'entirely': SPWAOEURL
'equipped': KWEUPD
'in': TPH
'iron,': AOEURPB/KW-BG
'and': SKP
'their': THAEUR
'swords': SWORDZ
'flashed': TPHRARBD
'in': TPH
'the': -T
'sun.': SUPB/TP-PL
'The': KPA/-T
'youth': KWRAO*UT
'made': PHAED
'over': OEFR
'his': HEUS
'three-legged': THRAOE/H-PB/HR*/*E/TKPW*/TKPW*/-D
'horse': HORS
'to': TO
'the': -T
'stable-boy,': STABL/H-PB/PWOEU/KW-BG
'mounted': PHOUPBTD
'the': -T
'other,': OER/KW-BG
'and': SKP
'rode': ROED
'at': AT
'the': -T
'head': HED
'of': -F
'the': -T
'soldiers.': SHRERPBLGS/TP-PL
'When': KPA/WHEPB
'he': HE
'got': TKPWOT
'near': TPHAOER
'the': -T
'battlefield': PWA*LT/TPAOELD
'a': AEU
'great': TKPWRAET
'part': PART
'of': -F
'the': -T
'king's': KEUPBG/AES
'men': PHEPB
'had': H
'already': HR-R
'fallen,': TPAUPBL/KW-BG
'and': SKP
'little': HREUL
'was': WAS
'wanting': WAPBGT
'to': TO
'make': PHAEUBG
'the': -T
'rest': REFT
'give': TKPWEUF
'way.': WAEU/TP-PL
'Then': KPA/THEPB
'the': -T
'youth': KWRAO*UT
'galloped': TKPWAL/OP/-D
'thither': TH*EURT
'with': W
'his': HEUS
'iron': AOEURPB
'soldiers,': SHRERPBLGS/KW-BG
'broke': PWROEBG
'like': HRAOEUBG
'a': AEU
'hurricane': HUR/KAEUPB
'over': OEFR
'the': -T
'enemy,': TPHAEPL/KW-BG
'and': SKP
'beat': PWAET
'down': TKOUPB
'all': AUL
'who': WHO
'opposed': PO*EFD
'him.': HEUPL/TP-PL
'They': KPA/THE
'began': TKPWAPB
'to': TO
'flee,': TPHRAOE/KW-BG
'but': PWUT
'the': -T
'youth': KWRAO*UT
'pursued,': PUR/SAOUD/KW-BG
'and': SKP
'never': TPHEFR
'stopped,': STOPD/KW-BG
'until': TPH-L
'there': THR
'was': WAS
'not': TPHOT
'a': AEU
'single': SEUPBLG
'man': PHAPB
'left.': HREFT/TP-PL
'Instead': KPA/STPHED
'of': -F
'returning': RURPBG
'to': TO
'the': -T
'king,': KEUPBG/KW-BG
'however,': HOUF/KW-BG
'he': HE
'conducted': KUBGTD
'his': HEUS
'troop': TRAOP
'by': PWEU
'byways': PWEU/WA*ES
'back': PWABG
'to': TO
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'called': KAULD
'forth': TPO*RT
'Iron': KPA/AOEURPB
'Hans.': HAPBS/TP-PL
''What': A*E/KPA*/WHA
'do': TKO
'you': U
'desire?'': STKAOEUR/H-F/AE
'asked': SK-D
'the': -T
'wild': WAOEULD
'man.': PHAPB/TP-PL
''Take': A*E/KPA*/TAEUBG
'back': PWABG
'your': KWROUR
'horse': HORS
'and': SKP
'your': KWROUR
'troops,': TRAOPS/KW-BG
'and': SKP
'give': TKPWEUF
'me': PHE
'my': PHEU
'three-legged': THRAOE/H-PB/HR*/*E/TKPW*/TKPW*/-D
'horse': HORS
'again.'': TKPWEPB/TP-PL/AE
'All': KPA/AUL
'that': THA
'he': HE
'asked': SK-D
'was': WAS
'done,': TKOPB/KW-BG
'and': SKP
'soon': SAOPB
'he': HE
'was': WAS
'riding': RAOEUD/-G
'on': OPB
'his': HEUS
'three-legged': THRAOE/H-PB/HR*/*E/TKPW*/TKPW*/-D
'horse.': HORS/TP-PL
'When': KPA/WHEPB
'the': -T
'king': KEUPBG
'returned': RURPBD
'to': TO
'his': HEUS
'palace,': PAL/AS/KW-BG
'his': HEUS
'daughter': TKAUR
'went': WEPBT
'to': TO
'meet': PHAOET
'him,': HEUPL/KW-BG
'and': SKP
'wished': WEURBD
'him': HEUPL
'joy': SKWROEU
'of': -F
'his': HEUS
'victory.': SREUBGT/REU/TP-PL
''I': A*E/EU
'am': APL
'not': TPHOT
'the': -T
'one': WUPB
'who': WHO
'carried': KAERD
'away': WA*EU
'the': -T
'victory,'': SREUBGT/REU/KW-BG/AE
'said': SED
'he,': HE/KW-BG
''but': A*E/PWUT
'a': AEU
'strange': STRAEUPBG
'knight': TPHAO*EUT
'who': WHO
'came': KAEUPL
'to': TO
'my': PHEU
'assistance': SEUFPBS
'with': W
'his': HEUS
'soldiers.'': SHRERPBLGS/TP-PL/AE
'The': KPA/-T
'daughter': TKAUR
'wanted': WAPBTD
'to': TO
'hear': HAER
'who': WHO
'the': -T
'strange': STRAEUPBG
'knight': TPHAO*EUT
'was,': WAS/KW-BG
'but': PWUT
'the': -T
'king': KEUPBG
'did': TK
'not': TPHOT
'know,': TPHOE/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''He': A*E/KPA*/HE
'followed': TPOLD
'the': -T
'enemy,': TPHAEPL/KW-BG
'and': SKP
'I': EU
'did': TK
'not': TPHOT
'see': SAOE
'him': HEUPL
'again.'': TKPWEPB/TP-PL/AE
'She': KPA/SHE
'inquired': EUPB/KWAOEURD
'of': -F
'the': -T
'gardener': TKPWARD/TPHER
'where': W-R
'his': HEUS
'boy': PWOEU
'was,': WAS/KW-BG
'but': PWUT
'he': HE
'smiled,': SPHAOEULD/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''He': A*E/KPA*/HE
'has': HAS
'just': SKWRUFT
'come': KOPL
'home': HOEPL
'on': OPB
'his': HEUS
'three-legged': THRAOE/H-PB/HR*/*E/TKPW*/TKPW*/-D
'horse,': HORS/KW-BG
'and': SKP
'the': -T
'others': OERS
'have': SR
'been': PW-PB
'mocking': PHOBG/-G
'him,': HEUPL/KW-BG
'and': SKP
'crying:': KRAOEUG/STPH-FPLT
'"Here': KW-GS/KPA*/HAOER
'comes': KOPLS
'our': OUR
'hobblety': H*/O*/PW*/PW*/HR*/ET/KWREU
'jib': SKWREUB
'back': PWABG
'again!"': TKPWEPB/SKHRAPL/KR-GS
'They': KPA/THE
'asked,': SK-D/KW-BG
'too:': TAO/STPH-FPLT
'"Under': KW-GS/KPA*/TPH-PB
'what': WHA
'hedge': HEPBLG
'have': SR
'you': U
'been': PW-PB
'lying': HRAOEUG
'sleeping': SHRAOEPG
'all': AUL
'the': -T
'time?"': TAOEUPL/H-F/KR-GS
'So': KPA/SO
'he': HE
'said:': SED/STPH-FPLT
'"I': KW-GS/EU
'did': TK
'the': -T
'best': PWEFT
'of': -F
'all,': AUL/KW-BG
'and': SKP
'it': T
'would': WO
'have': SR
'gone': TKPWOPB
'badly': PWAD/HREU
'without': WOUT
'me."': PHE/TP-PL/KR-GS
'And': AFPBD
'then': THEPB
'he': HE
'was': WAS
'still': STEUL
'more': PHOR
'ridiculed.'': REULG/-D/TP-PL/AE
'The': KPA/-T
'king': KEUPBG
'said': SED
'to': TO
'his': HEUS
'daughter:': TKAUR/STPH-FPLT
''I': A*E/EU
'will': HR
'proclaim': PRO/KHRAEUPL
'a': AEU
'great': TKPWRAET
'feast': TPAOEFT
'that': THA
'shall': SHAL
'last': HRAFT
'for': TPOR
'three': THRAOE
'days,': TKAEUS/KW-BG
'and': SKP
'you': U
'shall': SHAL
'throw': THROE
'a': AEU
'golden': TKPWOELD/*EPB
'apple.': A*EPL/TP-PL
'Perhaps': KPA/PRAPS
'the': -T
'unknown': UPB/TPHOEPB
'man': PHAPB
'will': HR
'show': SHOE
'himself.'': HEUPLS/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'feast': TPAOEFT
'was': WAS
'announced,': A/TPHOUPBS/-D/KW-BG
'the': -T
'youth': KWRAO*UT
'went': WEPBT
'out': OUT
'to': TO
'the': -T
'forest,': TPOEFRT/KW-BG
'and': SKP
'called': KAULD
'Iron': KPA/AOEURPB
'Hans.': HAPBS/TP-PL
''What': A*E/KPA*/WHA
'do': TKO
'you': U
'desire?'': STKAOEUR/H-F/AE
'asked': SK-D
'he.': HE/TP-PL
''That': A*E/KPA*/THA
'I': EU
'may': PHAEU
'catch': KAFP
'the': -T
'king's': KEUPBG/AES
'daughter's': TKAUR/AES
'golden': TKPWOELD/*EPB
'apple.'': A*EPL/TP-PL/AE
''It': A*E/KPA*/T
'is': S
'as': AS
'safe': SAEUF
'as': AS
'if': TP
'you': U
'had': H
'it': T
'already,'': HR-R/KW-BG/AE
'said': SED
'Iron': KPA/AOEURPB
'Hans.': HAPBS/TP-PL
''You': A*E/KPA*/U
'shall': SHAL
'likewise': HRAOEUBG/WAOEUS
'have': SR
'a': AEU
'suit': SAOUT
'of': -F
'red': RED
'armour': AR/PHOUR
'for': TPOR
'the': -T
'occasion,': KWAEUGS/KW-BG
'and': SKP
'ride': RAOEUD
'on': OPB
'a': AEU
'spirited': SPEURTD
'chestnut-horse.'': KHEFT/TPHUT/H-PB/HORS/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'day': TKAEU
'came,': KAEUPL/KW-BG
'the': -T
'youth': KWRAO*UT
'galloped': TKPWAL/OP/-D
'to': TO
'the': -T
'spot,': SPOT/KW-BG
'took': TAOBG
'his': HEUS
'place': PHRAEUS
'amongst': PHOPBGS
'the': -T
'knights,': TPHAO*EUT/-S/KW-BG
'and': SKP
'was': WAS
'recognized': REFD
'by': PWEU
'no': TPHO
'one.': WUPB/TP-PL
'The': KPA/-T
'king's': KEUPBG/AES
'daughter': TKAUR
'came': KAEUPL
'forward,': TPAORD/KW-BG
'and': SKP
'threw': THRAOU
'a': AEU
'golden': TKPWOELD/*EPB
'apple': A*EPL
'to': TO
'the': -T
'knights,': TPHAO*EUT/-S/KW-BG
'but': PWUT
'none': TPHOPB
'of': -F
'them': THEPL
'caught': KAUT
'it': T
'but': PWUT
'he,': HE/KW-BG
'only': OEPBL
'as': AS
'soon': SAOPB
'as': AS
'he': HE
'had': H
'it': T
'he': HE
'galloped': TKPWAL/OP/-D
'away.': WA*EU/TP-PL
'On': KPA/OPB
'the': -T
'second': SEBGD
'day': TKAEU
'Iron': KPA/AOEURPB
'Hans': HAPBS
'equipped': KWEUPD
'him': HEUPL
'as': AS
'a': AEU
'white': WHAOEUT
'knight,': TPHAO*EUT/KW-BG
'and': SKP
'gave': TKPWAEUF
'him': HEUPL
'a': AEU
'white': WHAOEUT
'horse.': HORS/TP-PL
'Again': KPA/TKPWEPB
'he': HE
'was': WAS
'the': -T
'only': OEPBL
'one': WUPB
'who': WHO
'caught': KAUT
'the': -T
'apple,': A*EPL/KW-BG
'and': SKP
'he': HE
'did': TK
'not': TPHOT
'linger': HREURPBG
'an': APB
'instant,': STPHAPBT/KW-BG
'but': PWUT
'galloped': TKPWAL/OP/-D
'off': OF
'with': W
'it.': T/TP-PL
'The': KPA/-T
'king': KEUPBG
'grew': TKPWRAOU
'angry,': APBG/REU/KW-BG
'and': SKP
'said:': SED/STPH-FPLT
''That': A*E/KPA*/THA
'is': S
'not': TPHOT
'allowed;': HRO*UD/STPH*FPLT
'he': HE
'must': PHUFT
'appear': A/PAOER
'before': PW-FR
'me': PHE
'and': SKP
'tell': TEL
'his': HEUS
'name.'': TPHAEUPL/TP-PL/AE
'He': KPA/HE
'gave': TKPWAEUF
'the': -T
'order': ORD
'that': THA
'if': TP
'the': -T
'knight': TPHAO*EUT
'who': WHO
'caught': KAUT
'the': -T
'apple,': A*EPL/KW-BG
'should': SHO
'go': TKPW
'away': WA*EU
'again': TKPWEPB
'they': THE
'should': SHO
'pursue': PUR/SAOU
'him,': HEUPL/KW-BG
'and': SKP
'if': TP
'he': HE
'would': WO
'not': TPHOT
'come': KOPL
'back': PWABG
'willingly,': HR-G/HREU/KW-BG
'they': THE
'were': WR
'to': TO
'cut': KUT
'him': HEUPL
'down': TKOUPB
'and': SKP
'stab': STAB
'him.': HEUPL/TP-PL
'On': KPA/OPB
'the': -T
'third': THEURD
'day,': TKAEU/KW-BG
'he': HE
'received': SAOEFD
'from': TPR
'Iron': KPA/AOEURPB
'Hans': HAPBS
'a': AEU
'suit': SAOUT
'of': -F
'black': PWHRABG
'armour': AR/PHOUR
'and': SKP
'a': AEU
'black': PWHRABG
'horse,': HORS/KW-BG
'and': SKP
'again': TKPWEPB
'he': HE
'caught': KAUT
'the': -T
'apple.': A*EPL/TP-PL
'But': KPA/PWUT
'when': WHEPB
'he': HE
'was': WAS
'riding': RAOEUD/-G
'off': OF
'with': W
'it,': T/KW-BG
'the': -T
'king's': KEUPBG/AES
'attendants': A/TEPBD/APBTS
'pursued': PUR/SAOUD
'him,': HEUPL/KW-BG
'and': SKP
'one': WUPB
'of': -F
'them': THEPL
'got': TKPWOT
'so': SO
'near': TPHAOER
'him': HEUPL
'that': THA
