Briar Rose
'their': THAEUR
'wings,': WEUPBGS/KW-BG
'and': SKP
'looked': HRAOBGD
'about': PW
'and': SKP
'flew': TPHRAOU
'into': TPHAO
'the': -T
'fields;': TPAOELDZ/STPH*FPLT
'the': -T
'flies': TPHRAOEUS
'on': OPB
'the': -T
'walls': WAULS
'buzzed': PWUZ/-D
'again;': TKPWEPB/STPH*FPLT
'the': -T
'fire': TPAOEUR
'in': TPH
'the': -T
'kitchen': K-FP
'blazed': PWHRAEUZ/-D
'up;': UP/STPH*FPLT
'round': ROUPBD
'went': WEPBT
'the': -T
'jack,': SKWRABG/KW-BG
'and': SKP
'round': ROUPBD
'went': WEPBT
'the': -T
'spit,': SPEUT/KW-BG
'with': W
'the': -T
'goose': TKPWAOS
'for': TPOR
'the': -T
'king's': KEUPBG/AES
'dinner': TKEURPB
'upon': POPB
'it;': T/STPH*FPLT
'the': -T
'butler': PWUT/HRER
'finished': TP*EURBD
'his': HEUS
'draught': TKRAUFT
'of': -F
'ale;': AEL/STPH*FPLT
'the': -T
'maid': PHAEUD
'went': WEPBT
'on': OPB
'plucking': PHRUBG/-G
'the': -T
'fowl;': TPO*UL/STPH*FPLT
'and': SKP
'the': -T
'cook': KAOBG
'gave': TKPWAEUF
'the': -T
'boy': PWOEU
'the': -T
'box': PWOBGS
'on': OPB
'his': HEUS
'ear.': AOER/TP-PL
'And': AFPBD
'then': THEPB
'the': -T
'prince': PREUPBS
'and': SKP
'Briar': KPA/PWRAOEUR
'Rose': RO*ES
'were': WR
'married,': PHAERD/KW-BG
'and': SKP
'the': -T
'wedding': WEGD
'feast': TPAOEFT
'was': WAS
'given;': TKPWEUFPB/STPH*FPLT
'and': SKP
'they': THE
'lived': HREUFD
'happily': HAP/HREU
'together': TOGT
'all': AUL
'their': THAEUR
'lives': HREUFS
'long.': HROPBG/TP-PL
