Multi-syllable words with multiple strokes

'confess': KAUPB/TPES
'wondered': WOPBD/-D
'increasing': EUPB/KRAOEGS
'expedition': EBGS/PED/EUGS
'expenses': SPEPBS/-S
'ignorant': EUG/RAPBT
'generous': SKWREPB/ROUS
'consciousness': KOPBS/-PBS
'trembling': TREPL/-BLG
'formerly': TPORPL/ERL
'mankind': PHAPB/KAOEUPBD
'estate': ES/TAEUT
'humble': HUPL/-BL
'woman's': WOPL/AES
'European': UR/PAOEPB
'household': HOUS/HOLD
'uttered': UT/ERD
'murmured': PHUR/PHUR/-D
'melancholy': PHEL/KOL/HREU
'refuse': REF/AOUS
'enjoyed': EPB/SKWROEUD
'ashamed': A/SHAEUPLD
'reward': RE/WARD
'nodded': TPHOD/-D
'arise': A/RAOEUS
'misery': PHEUS/REU
'attend': A/TEPBD
'donate': TKO/TPHAEUT
'forehead': TPOER/HED
'regret': RE/TKPWRET
'angel': APB/SKWREL
'singular': SEUPBG/HRAR
'utmost': UT/PHOEFT
'reputation': REP/TAEUGS
'Margaret': PHARG/RET
'displayed': TKEUS/PHRAEUD
'utter': UT/ER
'resolution': RES/HRAOUGS
'concluded': KAUPB/KHRAOUD/-D
'approaching': A/PROEFPG
'alike': A/HRAOEUBG
'Boston': PWOS/TOPB
'ignorance': EUG/RAPBS
'weakness': WAEBG/-PBS
'furnished': TPURPB/-D
'gazed': TKPWAEZ/-D
'ASCII': AS/KEU
'disposed': TKEUS/POES/-D
'electronically': HREBG/TROPB/KHREU
'atmosphere': ATS/TPAOER
'invited': EUPB/SRAOEUTD
'departed': TKPART/-D
'catholic': KAT/HREUBG
'replacement': RE/PHRAEUPLT
'opposition': OP/POGS
'quarters': KWART/ERS
'email': AOE/PHAEUL
'celebrated': SEL/PWRAEUT/-D
'slavery': SHRAEUF/REU
'delightful': TKHRAOEUT/-FL
'occasions': KWAEUGS/-S
'readable': RAED/-BL
'enthusiasm': SPWAOUZ/KWRAFPL
'apparent': A/PARPBT
'hurry': HUR/REU
'hanging': HAPBG/-G
'pursued': PUR/SAOUD
'attempted': A/TEPL/-D
'centuries': KREPBT/REUS
'hastily': HAEUFT/HREU
'generations': SKWREPB/RAEUGS/-S
'cabin': KAB/EUPB
'Britain': PWREU/TEUPB
'handed': HAPBD/-D
'alarm': A/HRARPL
'aloud': A/HROUD
'belonging': PWE/HROPBG/-G
'masters': PHAFT/ERS
'mortal': PHOR/TAL
'gratitude': TKPWRAT/TAOUD
'merry': PHER/REU
'amid': A/PHEUD
'Russia': RUS/SHA
'desperate': TKEFP/RAT
'contempt': KAUPB/TEPLT
'defective': TKE/TPEF
'insisted': EUPB/SEUFTD
'wooden': WAOD/EPB
'impulse': EUPL/PULS
'Johnson': SKWROPB/SOPB
'ambition': APL/PWEUGS
'Christmas': KREUS/PHAS
'confirmed': K-FRPL/-D
'descended': TKE/SEPBD/-D
'accordingly': A/KORD/TKPWHREU
'firmly': TPEURPL/HREU
'remarks': RARBG/-S
'empire': EPL/PAOEUR
'online': AUPB/HRAOEUPB
'maintain': PHAEUPB/TAEUPB
'generation': SKWREPB/RAEUGS
'crowded': KROUD/-D
'limitation': HREUPL/TAEUGS
'displaying': TKEUS/PHRAEUG
'seeking': SAOEBG/-G
'practically': PRABGT/HREU
'abandoned': A/PWAPB/TKOPBD
'founded': TPOUPBD/-D
'instinct': EUPB/STEUPBG
'Scotland': SKOT/HRAPBD
'cheerful': KHAOER/-FL
'revealed': RE/SRAOELD
'riding': RAOEUD/-G
'interview': EUPBT/SRAOU
'prospect': PRO/SPEBGT
'obey': OE/PWAEU
'profound': PRO/TPOUPBD
'hungry': HUPBG/REU
'assure': A/SHUR
'exceedingly': EBGS/AOED/TKPWHREU
'rest.': REFT/TP-PL
'folly': TPOL/HREU
'venture': SREPBT/UR
'multitude': PHULT/TAOUD
'declare': TKE/KHRAR
'astonishment': AS/TOPB/SH-PLT
'nearest': TPHAOER/EFT
'elsewhere': ELS/W-R
'sensible': SEPBS/-BL
'owing': OE/-G
'Martin': PHART/EUPB
'cottage': KOT/APBLG
'Francis': TPRAPB/SEUS
'council': KOUPB/SEUL
'princes': PREUPBS/-S
'beheld': PWE/HELD
'slightest': SHRAOEUT/EFT
'attacked': A/TABGD
'maintained': PHAEUPB/TAEUPBD
'restored': RAOE/STORD
'concealed': KAUPB/SAOELD
'accordance': A/KORD/APBS
'hollow': HOL/OE
'contains': KAUPB/TAEUPBS
'Oxford': OBGS/TPORD
'cavalry': KAFL/REU
'lofty': HROF/TEU
'endure': EPB/TKAOUR
'Alice': AL/EUS
'hated': HAEUT/-D
'landed': HRAPBD/-D
'Christians': KREUGS/-S
'passions': PAGS/-S
'confined': KAUPB/TPAOEUPBD
'sounded': SOUPBD/-D
'Jerusalem': SKWRER/AOUS/HREPL
'directions': TKREBGS/-S
'Negro': TPHAOEG/ROE
'fearful': TPAOER/-FL
'commenced': KPHEPBS/-D
'repeat': RE/PAOET
'beasts': PWAOEFT/-S
'steadily': STED/HREU
'intimate': SPWEU/PHAT
'enterprise': EPBT/PRAOEUS
'assembled': A/SEPL/-BLD
