The Toad
'must': PHUFT
'go': TKPW
'higher': HAOEUR
'up,': UP/KW-BG
'into': TPHAO
'splendor': SPHREPBD/O*R
'and': SKP
'joy!': SKWROEU/SKHRAPL
'I': EU
'feel': TPAOEL
'so': SO
'confident,': K-FT/KW-BG
'and': SKP
'yet': KWRET
'I': EU
'am': APL
'afraid.': A/TPRAEUD/TP-PL
'It's': KPA/T-S
'a': AEU
'difficult': TKEUFL
'step': STEP
'to': TO
'take,': TAEUBG/KW-BG
'and': SKP
'yet': KWRET
'it': T
'must': PHUFT
'be': -B
'taken.': TAEPB/TP-PL
'Onward,': KPA/AOPB/WA*RD/KW-BG
'therefore,': TH-FR/KW-BG
'straight': STRAEUT
'onward!"': AOPB/WA*RD/SKHRAPL/KR-GS
'She': KPA/SHE
'took': TAOBG
'a': AEU
'few': TPAOU
'steps,': STEPS/KW-BG
'such': SUFP
'as': AS
'a': AEU
'crawling': KRAULG
'animal': PHAPBL
'may': PHAE
'take,': TAEUBG/KW-BG
'and': SKP
'soon': SAOPB
'found': TPOUPBD
'herself': H*ERS
'on': OPB
'a': AEU
'road': RAOD
'beside': PWE/SAOEUD
'which': WEU
'people': PAOEPL
'dwelt;': TKWELT/STPH*FPLT
'but': PWUT
'there': THR
'were': WR
'flower': TPHRO*UR
'gardens': TKPWARD/-PBS
'as': AS
'well': WEL
'as': AS
'kitchen': K-FP
'gardens.': TKPWARD/-PBS/TP-PL
'And': AFPBD
'she': SHE
'sat': SAT
'down': TKOUPB
'to': TO
'rest': REFT
'by': PWEU
'a': AEU
'kitchen': K-FP
'garden.': TKPWA*RPB/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'number': TPHUPL
'of': -F
'different': TKEUFRT
'creatures': KRAOEFPS
'there': THR
'are': R
'that': THA
'I': EU
'never': TPHEFR
'knew!': TPHAOU/SKHRAPL
'and': SKP
'how': HOU
'beautiful': PWAOUFL
'and': SKP
'great': TKPWRAET
'the': -T
'world': WORLD
'is!': S/SKHRAPL
'But': KPA/PWUT
'one': WUPB
'must': PHUFT
'look': HRAOBG
'round': ROUPBD
'in': TPH
'it,': T/KW-BG
'and': SKP
'not': TPHOT
'stay': STAEU
'in': TPH
'one': WUPB
'spot."': SPOT/TP-PL/KR-GS
'And': AFPBD
'then': THEPB
'she': SHE
'hopped': HOPD
'into': TPHAO
'the': -T
'kitchen': K-FP
'garden.': TKPWA*RPB/TP-PL
'"How': KW-GS/KPA*/HOU
'green': TKPWRAOEPB
'it': T
'is': S
'here!': HAOER/SKHRAPL
'how': HOU
'beautiful': PWAOUFL
'it': T
'is': S
'here!"': HAOER/SKHRAPL/KR-GS
'"I': KW-GS/EU
'know': TPHOE
'that,"': THARBGS/KR-GS
'said': SED
'the': -T
'Caterpillar,': KA*T/*ER/PEUL/A*R/KW-BG
'on': OPB
'the': -T
'leaf,': HRAOEF/KW-BG
'"my': KW-GS/PHEU
'leaf': HRAOEF
'is': S
'the': -T
'largest': HRARPBLG/EFT
'here.': HAOER/TP-PL
'It': KPA/T
'hides': HAOEUDZ
'half': HAF
'the': -T
'world': WORLD
'from': TPR
'me,': PHE/KW-BG
'but': PWUT
'I': EU
'don't': TKOEPBT
'care': KAEUR
'for': TPOR
'the': -T
'world."': WORLD/TP-PL/KR-GS
'"Cluck,': KW-GS/KPA*/KHRUBG/KW-BG
'cluck!"': KHRUBG/SKHRAPL/KR-GS
'And': AFPBD
'some': SOPL
'fowls': TPO*UL/-S
'came.': KAEUPL/TP-PL
'They': KPA/THE
'tripped': TREUPD
'about': PW
'in': TPH
'the': -T
'cabbage': KAB/APBLG
'garden.': TKPWA*RPB/TP-PL
'The': KPA/-T
'Fowl': KPA/TPO*UL
'who': WHO
'marched': PHAFRPBD
'at': AT
'the': -T
'head': HED
'of': -F
'them': THEPL
'had': H
'a': AEU
'long': HROPBG
'sight,': SAOEUT/KW-BG
'and': SKP
'she': SHE
'spied': SPAOEUD
'the': -T
'Caterpillar': KA*T/*ER/PEUL/A*R
'on': OPB
'the': -T
'green': TKPWRAOEPB
'leaf,': HRAOEF/KW-BG
'and': SKP
'pecked': PEBGD
'at': AT
'it,': T/KW-BG
'so': SO
'that': THA
'the': -T
'Caterpillar': KA*T/*ER/PEUL/A*R
'fell': TPEL
'on': OPB
'the': -T
'ground,': TKPWROUPBD/KW-BG
'where': W-R
'it': T
'twisted': TWEUFTD
'and': SKP
'writhed.': WRAO*EUT/-D/TP-PL
'The': KPA/-T
'Fowl': KPA/TPO*UL
'looked': HRAOBGD
'at': AT
'it': T
'first': TPEUFRT
'with': W
'one': WUPB
'eye': AOEU
'and': SKP
'then': THEPB
'with': W
'the': -T
'other,': OER/KW-BG
'for': TPOR
'she': SHE
'did': TK
'not': TPHOT
'know': TPHOE
'what': WHA
'the': -T
'end': EPBD
'of': -F
'this': TH
'writhing': WR*EUGT
'would': WO
'be.': -B/TP-PL
'"It': KW-GS/KPA*/T
'doesn't': TKOPBT
'do': TKO
'that': THA
'with': W
'a': AEU
'good': TKPWAOD
'will,"': HR-RBGS/KR-GS
'thought': THAUT
'the': -T
'Fowl,': KPA/TPO*UL/KW-BG
'and': SKP
'lifted': HREUFTD
'up': UP
'her': HER
'head': HED
'to': TO
'peck': PEBG
'at': AT
'the': -T
'Caterpillar.': KA*T/*ER/PEUL/A*R/TP-PL
'The': KPA/-T
'Toad': KPA/TAOD
'was': WAS
'so': SO
'horrified': HOR/TPAOEUD
'at': AT
'this,': TH/KW-BG
'that': THA
'she': SHE
'came': KAEUPL
'crawling': KRAULG
'straight': STRAEUT
'up': UP
'towards': TORDZ
'the': -T
'Fowl.': KPA/TPO*UL/TP-PL
'"Aha,': KW-GS/KPA/HA*E/KWRA/KW-BG
'it': T
'has': HAS
'allies,"': AL/HRAOEUS/KW-BG/KR-GS
'quoth': KW*/*U/O*/T*/H*
'the': -T
'Fowl.': KPA/TPO*UL/TP-PL
'"Just': KW-GS/KPA*/SKWRUFT
'look': HRAOBG
'at': AT
'the': -T
'crawling': KRAULG
'thing!"': THEUPBG/SKHRAPL/KR-GS
'And': AFPBD
'then': THEPB
'the': -T
'Fowl': KPA/TPO*UL
'turned': TURPBD
'away.': WA*EU/TP-PL
'"I': KW-GS/EU
'don't': TKOEPBT
'care': KAEUR
'for': TPOR
'the': -T
'little': HREUL
'green': TKPWRAOEPB
'morsel;': PHOR/SEL/STPH*FPLT
'it': T
'would': WO
'only': OEPBL
'tickle': TEUBG/*L
'my': PHEU
'throat."': THROET/TP-PL/KR-GS
'The': KPA/-T
'other': OER
'fowls': TPO*UL/-S
'took': TAOBG
'the': -T
'same': SAEUPL
'view': SRAOU
'of': -F
'it,': T/KW-BG
'and': SKP
'they': THE
'all': AUL
'turned': TURPBD
'away': WA*EU
'together.': TOGT/TP-PL
'"I': KW-GS/EU
'writhed': WRAO*EUT/-D
'myself': PHAO*EUS
'free,"': TPRAOE/KW-BG/KR-GS
'said': SED
'the': -T
'Caterpillar.': KA*T/*ER/PEUL/A*R/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'good': TKPWAOD
'thing': THEUPBG
'it': T
'is': S
'when': WHEPB
'one': WUPB
'has': HAS
'presence': PREPBS
'of': -F
'mind!': PHAOEUPBD/SKHRAPL
'But': KPA/PWUT
'the': -T
'hardest': HARD/EFT
'thing': THEUPBG
'remains': RE/PHAEUPBS
'to': TO
'be': -B
'done,': TKOPB/KW-BG
'and': SKP
'that': THA
'is': S
'to': TO
'get': TKPWET
'on': OPB
'my': PHEU
'leaf': HRAOEF
'again.': TKPWEPB/TP-PL
'Where': KPA/W-R
'is': S
'it?"': T/H-F/KR-GS
'And': AFPBD
'the': -T
'little': HREUL
'Toad': KPA/TAOD
'came': KAEUPL
'up': UP
'and': SKP
'expressed': EBGS/PREFD
'her': HER
'sympathy.': SEUPL/THEU/TP-PL
'She': KPA/SHE
'was': WAS
'glad': TKPWHRAD
'that': THA
'in': TPH
'her': HER
'ugliness': UG/HREU/-PBS
'she': SHE
'had': H
'frightened': TPRAOEUFPBD
'the': -T
'fowls.': TPO*UL/-S/TP-PL
'"What': KW-GS/KPA*/WHA
'do': TKO
'you': U
'mean': PHAOEPB
'by': PWEU
'that?"': THA/H-F/KR-GS
'cried': KRAOEUD
'the': -T
'Caterpillar.': KA*T/*ER/PEUL/A*R/TP-PL
'"I': KW-GS/EU
'wriggled': WREUG/-LD
'myself': PHAO*EUS
'free': TPRAOE
'from': TPR
'the': -T
'Fowl.': KPA/TPO*UL/TP-PL
'You': KPA/U
'are': R
'very': SRE
'disagreeable': TKEUS/TKPWRAOEBL
'to': TO
'look': HRAOBG
'at.': AT/TP-PL
'Cannot': KPA/SK-PBT
'I': EU
'be': -B
'left': HREFT
'in': TPH
'peace': PAES
'on': OPB
'my': PHEU
'own': OEPB
'property?': PROT/H-F
'Now': KPA/TPHOU
'I': EU
'smell': SPHEL
'cabbage;': KAB/APBLG/STPH*FPLT
'now': TPHOU
'I': EU
'am': APL
'near': TPHAOER
'my': PHEU
'leaf.': HRAOEF/TP-PL
'Nothing': KPA/TPHOG
'is': S
'so': SO
'beautiful': PWAOUFL
'as': AS
'property.': PROT/TP-PL
'But': KPA/PWUT
'I': EU
'must': PHUFT
'go': TKPW
'higher': HAOEUR
'up."': UP/TP-PL/KR-GS
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'higher': HAOEUR
'up,"': UP/KW-BG/KR-GS
'said': SED
'the': -T
'little': HREUL
'Toad;': KPA/TAOD/STPH*FPLT
'"higher-up!': KW-GS/HAOEUR/H-PB/UP/SKHRAPL
'She': KPA/SHE
'feels': TPAOELS
'just': SKWRUFT
'as': AS
'I': EU
'do;': TKO/STPH*FPLT
'but': PWUT
'she's': SHAOES
'not': TPHOT
'in': TPH
'a': AEU
'good': TKPWAOD
'humor': HAOURPL
'to-day.': TO/H-PB/TKAEU/TP-PL
'That's': KPA/THATS
'because': PWAU
'of': -F
'the': -T
'fright.': TPRAOEUT/TP-PL
'We': KPA/WE
'all': AUL
'want': WAPBT
'to': TO
'go': TKPW
'higher': HAOEUR
'up."': UP/TP-PL/KR-GS
'And': AFPBD
'she': SHE
'looked': HRAOBGD
'up': UP
'as': AS
'high': HAOEU
'as': AS
'ever': -FR
'she': SHE
'could.': KO/TP-PL
'The': KPA/-T
'stork': STORBG
'sat': SAT
'in': TPH
'his': HEUS
'nest': TPHEFT
'on': OPB
'the': -T
'roof': RAOF
'of': -F
'the': -T
'farm-house.': TPARPL/H-PB/HOUS/TP-PL
'He': KPA/HE
'clapped': KHRAP/-D
'with': W
'his': HEUS
'beak,': PWAOEBG/KW-BG
'and': SKP
'the': -T
'Mother-stork': KPA/PHOER/H-PB/STORBG
'clapped': KHRAP/-D
'with': W
'hers.': HERS/TP-PL
'"How': KW-GS/KPA*/HOU
'high': HAOEU
'up': UP
'they': THE
'live!"': HREUF/SKHRAPL/KR-GS
'thought': THAUT
'the': -T
'Toad.': KPA/TAOD/TP-PL
'"If': KW-GS/KPA*/TP
'one': WUPB
'could': KO
'only': OEPBL
'get': TKPWET
'as': AS
'high': HAOEU
'as': AS
'that!"': THA/SKHRAPL/KR-GS
'In': KPA/TPH
'the': -T
'farm-house': TPARPL/H-PB/HOUS
'lived': HREUFD
'two': TWO
'young': KWRUPBG
'students;': STAOUPBDZ/STPH*FPLT
'the': -T
'one': WUPB
'was': WAS
'a': AEU
'poet': POET
'and': SKP
'the': -T
'other': OER
'a': AEU
'scientific': SKEUFBG
'searcher': SER/KHER
'into': TPHAO
'the': -T
'secrets': SKRETS
'of': -F
'nature.': TPHAEURT/TP-PL
'The': KPA/-T
'one': WUPB
'sang': SAPBG
'and': SKP
'wrote': WRO
'joyously': SKWROEU/OUS/HREU
'of': -F
'everything': EFRG
'that': THA
'God': TKPWO*D
'had': H
'created,': KRAOETD/KW-BG
'and': SKP
'how': HOU
'it': T
'was': WAS
'mirrored': PHEUR/ORD
'in': TPH
'his': HEUS
'heart.': HART/TP-PL
'He': KPA/HE
'sang': SAPBG
'it': T
'out': OUT
'clearly,': KAOERL/KW-BG
'sweetly,': SWAOET/HREU/KW-BG
'richly,': REUFP/HREU/KW-BG
'in': TPH
'well-sounding': W*EL/SOUPBD/-G
'verses;': SRERSZ/STPH*FPLT
'while': WHAOEUL
'the': -T
'other': OER
'investigated': SREGTD
'created': KRAOETD
'matter': PHAERT
'itself,': T/SEFL/KW-BG
'and': SKP
'even': AOEPB
'cut': KUT
'it': T
'open': OEP
'where': W-R
'need': TPHAOED
'was.': WAS/TP-PL
'He': KPA/HE
'looked': HRAOBGD
'upon': POPB
'God's': TKPWO*D/AES
'creation': KRAEGS
'as': AS
'a': AEU
'great': TKPWRAET
'sum': SUPL
'in': TPH
'arithmetic—subtracted,': R*EUT/TEUBG/EPL/TKA*RB/SUB/TRABGD/KW-BG
'multiplied,': PHULT/PHRAOEUD/KW-BG
'and': SKP
'tried': TRAOEUD
'to': TO
'know': TPHOE
'it': T
'within': W-PB
'and': SKP
'without,': WOUT/KW-BG
'and': SKP
'to': TO
'talk': TAUBG
'with': W
'understanding': URPBGD
'concerning': K-RPBG
'it;': T/STPH*FPLT
'and': SKP
'that': THA
'was': WAS
'a': AEU
'very': SRE
'sensible': SEPBS/-BL
'thing;': THEUPBG/STPH*FPLT
'and': SKP
'he': HE
'spoke': SPOEBG
'joyously': SKWROEU/OUS/HREU
'and': SKP
'cleverly': KHREFRL
'of': -F
'it.': T/TP-PL
'They': KPA/THE
'were': WR
'good,': TKPWAOD/KW-BG
'joyful': SKWROEUFL
'men,': PHEPB/KW-BG
'those': THOZ
'two.': TWO/TP-PL
'"There': KW-GS/KPA*/THR
'sits': SEUTS
'a': AEU
'good': TKPWAOD
'specimen': SPEPL
'of': -F
'a': AEU
'toad,"': TAOD/KW-BG/KR-GS
'said': SED
'the': -T
'naturalist.': TPHARL/EUFT/TP-PL
'"I': KW-GS/EU
'must': PHUFT
'have': SR
'that': THA
'fellow': TP*EL
'in': TPH
'a': AEU
'bottle': PWO*LT
'of': -F
'spirits."': SPEURTS/TP-PL/KR-GS
'"You': KW-GS/KPA*/U
'have': SR
'two': TWO
'of': -F
'them': THEPL
'already,"': HR-R/KW-BG/KR-GS
'replied': RE/PHRAOEUD
'the': -T
'poet.': POET/TP-PL
'"Let': KW-GS/KPA*/HRET
'the': -T
'thing': THEUPBG
'sit': SEUT
'there': THR
'and': SKP
'enjoy': TPHOEUPBLG
'its': EUTS
'life."': HRAOEUF/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'it's': T-S
'so': SO
'wonderfully': WOPBD/TPHREU
'ugly,"': ULG/KW-BG/KR-GS
'persisted': PER/SEUFTD
'the': -T
'first.': TPEUFRT/TP-PL
'"Yes,': KW-GS/KPA*/KWRE/KW-BG
'if': TP
'we': WE
'could': KO
'find': TPAOEUPBD
'the': -T
'jewel': SKWRAOUL
'in': TPH
'its': EUTS
'head,"': HED/KW-BG/KR-GS
'said': SED
'the': -T
'poet,': POET/KW-BG
'"I': KW-GS/EU
'too': TAO
'should': SHO
'be': -B
'for': TPOR
'cutting': KUGT
'it': T
'open.'': OEP/TP-PL/AE
'"A': KW-GS/KPA*/AEU
'jewel!"': SKWRAOUL/SKHRAPL/KR-GS
'cried': KRAOEUD
'the': -T
'naturalist.': TPHARL/EUFT/TP-PL
'"You': KW-GS/KPA*/U
'seem': SAOEPL
'to': TO
'know': TPHOE
'a': AEU
'great': TKPWRAET
'deal': TKAOEL
'about': PW
'natural': TPHARL
'history."': HEUFRT/TP-PL/KR-GS
'"But': KW-GS/KPA*/PWUT
'is': S
'there': THR
'not': TPHOT
'something': S-G
'beautiful': PWAOUFL
'in': TPH
'the': -T
'popular': PHRA*R
'belief': PWHRAOEF
'that': THA
'just': SKWRUFT
'as': AS
'the': -T
'toad': TAOD
'is': S
'the': -T
'ugliest': ULG/KWREFT
'of': -F
'animals,': PHAPBLS/KW-BG
'it': T
'should': SHO
'often': OFPB
'carry': KAER
'the': -T
'most': PHOFT
'precious': PRERBS
'jewel': SKWRAOUL
'in': TPH
'its': EUTS
'head?': HED/H-F
'Is': KPA/S
'it': T
'not': TPHOT
'just': SKWRUFT
'the': -T
'same': SAEUPL
'thing': THEUPBG
'with': W
'men?': PHEPB/H-F
'What': KPA/WHA
'a': AEU
'jewel': SKWRAOUL
'that': THA
'was': WAS
'that': THA
'Aesop': AOE/SOP
'had,': H/KW-BG
'and': SKP
'still': STEUL
'more,': PHOR/KW-BG
'Socrates!"': SORBG/TES/SKHRAPL/KR-GS
'The': KPA/-T
'Toad': KPA/TAOD
'did': TK
'not': TPHOT
'hear': HAER
'any': TPHEU
'more,': PHOR/KW-BG
'nor': TPH-R
'did': TK
'she': SHE
'understand': URPBD
'half': HAF
'of': -F
'what': WHA
'she': SHE
'had': H
'heard.': HAERD/TP-PL
'The': KPA/-T
'two': TWO
'friends': TPREPBDZ
'walked': WAUBGD
'on,': OPB/KW-BG
'and': SKP
'thus': THUS
'she': SHE
'escaped': SKAEPD
'the': -T
'fate': TPAEUT
'of': -F
'being': -BG
'bottled': PWO*LTD
'up': UP
'in': TPH
'spirits.': SPEURTS/TP-PL
'"Those': KW-GS/KPA*/THOZ
'two': TWO
'also': HR-S
'were': WR
'speaking': SPAOEG
'of': -F
'the': -T
'jewel,"': SKWRAOUL/KW-BG/KR-GS
'said': SED
'the': -T
'Toad': KPA/TAOD
'to': TO
'herself.': H*ERS/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'good': TKPWAOD
'thing': THEUPBG
'that': THA
'I': EU
'have': SR
'not': TPHOT
'got': TKPWOT
'it!': T/SKHRAPL
'I': EU
'might': PHAOEUT
'have': SR
'been': PW-PB
'in': TPH
'a': AEU
'very': SRE
'disagreeable': TKEUS/TKPWRAOEBL
'position."': POGS/TP-PL/KR-GS
'Now': KPA/TPHOU
'there': THR
'was': WAS
'a': AEU
'clapping': KHRAP/*P/-G
'on': OPB
'the': -T
'roof': RAOF
'of': -F
'the': -T
'farm-house.': TPARPL/H-PB/HOUS/TP-PL
'Father-Stork': KPA/TPAER/H-PB/KPA*/STORBG
'was': WAS
'making': PHAEUG
'a': AEU
'speech': SPAOEFP
'to': TO
'his': HEUS
'family,': TPAEPL/KW-BG
'and': SKP
'his': HEUS
'family': TPAEPL
'was': WAS
'glancing': TKPWHRAPBS/-G
'down': TKOUPB
'at': AT
'the': -T
'two': TWO
'young': KWRUPBG
'men': PHEPB
'in': TPH
'the': -T
'kitchen': K-FP
'garden.': TKPWA*RPB/TP-PL
'"Man': KW-GS/KPA*/PHAPB
'is': S
'the': -T
'most': PHOFT
'conceited': KAUPB/SAOET/-D
'creature!"': KRAOEFP/SKHRAPL/KR-GS
'said': SED
'the': -T
'Stork.': KPA/STORBG/TP-PL
'"Listen': KW-GS/KPA*/HREUFPB
'how': HOU
'their': THAEUR
'jaws': SKWRAUS
'are': R
'wagging;': WAG/-G/STPH*FPLT
'and': SKP
'for': TPOR
'all': AUL
'that': THA
'they': THE
'can't': K-PBT
'clap': KHRAP
'properly.': PRORL/TP-PL
'They': KPA/THE
'boast': PWOEFT
'of': -F
'their': THAEUR
'gifts': TKPWEUFTS
'of': -F
'eloquence': EL/KWEPBS
'and': SKP
'their': THAEUR
'language!': HRAPBLG/SKHRAPL
'Yes,': KPA/KWRE/KW-BG
'a': AEU
'fine': TPAOEUPB
'language': HRAPBLG
'truly!': TRAOUL/SKHRAPL
'Why,': KPA/KWR/KW-BG
'it': T
'changes': KHAEUPBGS
'in': TPH
'every': EF
'day's': TKAEU/AES
'journey': SKWRURPB
'we': WE
'make.': PHAEUBG/TP-PL
'One': KPA/WUPB
'of': -F
'them': THEPL
'doesn't': TKOPBT
'understand': URPBD
'another.': TPHOER/TP-PL
'Now,': KPA/TPHOU/KW-BG
'we': WE
'can': K
'speak': SPAOEBG
'our': OUR
'language': HRAPBLG
'over': OEFR
'the': -T
'whole': WHOEL
'earth—up': *ERT/EPL/TKA*RB/UP
'in': TPH
'the': -T
'North': TPHOERT
'and': SKP
'in': TPH
'Egypt.': AOE/SKWREUPT/TP-PL
'And': AFPBD
'then': THEPB
'men': PHEPB
'are': R
'not': TPHOT
'able': ABL
'to': TO
'fly,': TPHRAOEU/KW-BG
'moreover.': PHROEFR/TP-PL
'They': KPA/THE
'rush': RURB
'along': HRAOPBG
'by': PWEU
'means': PHAOEPBS
'of': -F
'an': APB
'invention': EUPB/SREPBGS
'they': THE
'call': KAUL
''railway;'': A*E/RAEUL/WAEU/STPH*FPLT/AE
'but': PWUT
'they': THE
'often': OFPB
'break': PWRAEBG
'their': THAEUR
'necks': TPHEBG/-S
'over': OEFR
'it.': T/TP-PL
'It': KPA/T
'makes': PHAEUBGS
'my': PHEU
'beak': PWAOEBG
'turn': TURPB
'cold': KOELD
'when': WHEPB
'I': EU
'think': THEU
'of': -F
'it.': T/TP-PL
'The': KPA/-T
'world': WORLD
'could': KO
'get': TKPWET
'on': OPB
'without': WOUT
'men.': PHEPB/TP-PL
'We': KPA/WE
'could': KO
'do': TKO
'without': WOUT
'them': THEPL
'very': SRE
'well,': WEL/KW-BG
'so': SO
'long': HROPBG
'as': AS
'we': WE
'only': OEPBL
'keep': KAOEP
'frogs': TPROGS
'and': SKP
'earth-worms."': *ERT/H-PB/WORPLS/TP-PL/KR-GS
'"That': KW-GS/KPA*/THA
'was': WAS
'a': AEU
'powerful': POURL
'speech,"': SPAOEFP/KW-BG/KR-GS
'thought': THAUT
'the': -T
'little': HREUL
'Toad.': KPA/TAOD/TP-PL
'"What': KW-GS/KPA*/WHA
'a': AEU
'great': TKPWRAET
'man': PHAPB
'that': THA
'is': S
'yonder!': KWROPBD/ER/SKHRAPL
'and': SKP
'how': HOU
'high': HAOEU
'he': HE
'sits!': SEUTS/SKHRAPL
'Higher': KPA/HAOEUR
'than': THAPB
'ever': -FR
'I': EU
'saw': SAU
'any': TPHEU
'one': WUPB
'sit': SEUT
'yet;': KWRET/STPH*FPLT
'and': SKP
'how': HOU
'he': HE
'can': K
'swim!"': SWEUPL/SKHRAPL/KR-GS
'she': SHE
'cried,': KRAOEUD/KW-BG
'as': AS
'the': -T
'Stork': KPA/STORBG
'soared': SAORD
'away': WA*EU
'through': THRU
'the': -T
'air': AEUR
'with': W
'outspread': AOUT/SPRED
'pinions.': PEUPB/KWROPB/-S/TP-PL
'And': AFPBD
'the': -T
'Mother-Stork': KPA/PHOER/H-PB/KPA*/STORBG
'began': TKPWAPB
'talking': TAUG
'in': TPH
'the': -T
'nest,': TPHEFT/KW-BG
'and': SKP
'told': TOLD
'about': PW
'Egypt': AOE/SKWREUPT
'and': SKP
'the': -T
'waters': WAURS
'of': -F
'the': -T
'Nile,': TPHAOEUL/KW-BG
'and': SKP
'the': -T
'incomparable': EUPB/KPARBL
'mud': PHUD
'that': THA
'was': WAS
'to': TO
'be': -B
'found': TPOUPBD
'in': TPH
'that': THA
'strange': STRAEUPBG
'land;': HRAPBD/STPH*FPLT
'and': SKP
'all': AUL
'this': TH
'sounded': SOUPBD/-D
'new': TPHU
'and': SKP
'very': SRE
'charming': KHARPL/-G
'to': TO
'the': -T
'little': HREUL
'Toad.': KPA/TAOD/TP-PL
'"I': KW-GS/EU
'must': PHUFT
'go': TKPW
'to': TO
'Egypt!"': AOE/SKWREUPT/SKHRAPL/KR-GS
'said': SED
'she.': SHE/TP-PL
'"If': KW-GS/KPA*/TP
'the': -T
'Stork': KPA/STORBG
'or': OR
'one': WUPB
'of': -F
'his': HEUS
'young': KWRUPBG
'ones': WUPBZ
'would': WO
'only': OEPBL
'take': TAEUBG
'me!': PHE/SKHRAPL
'I': EU
'would': WO
'oblige': OBL/AOEUPBLG
'him': HEUPL
'in': TPH
'return.': RURPB/TP-PL
'Yes,': KPA/KWRE/KW-BG
'I': EU
'shall': SHAL
'get': TKPWET
'to': TO
'Egypt,': AOE/SKWREUPT/KW-BG
'for': TPOR
'I': EU
'feel': TPAOEL
'so': SO
'happy!': HAEP/SKHRAPL
'All': KPA/AUL
'the': -T
'longing': HROPBG/-G
'and': SKP
'all': AUL
'the': -T
'pleasure': PHRERB
'that': THA
'I': EU
'feel': TPAOEL
'is': S
'much': PHUFP
'better': PWOERT
'than': THAPB
'having': SR-G
'a': AEU
'jewel': SKWRAOUL
'in': TPH
'one's': W*UPBS
'head."': HED/TP-PL/KR-GS
'And': AFPBD
'it': T
'was': WAS
'just': SKWRUFT
'she': SHE
'who': WHO
'had': H
'the': -T
'jewel.': SKWRAOUL/TP-PL
'That': KPA/THA
'jewel': SKWRAOUL
'was': WAS
'the': -T
'continual': T-PB/WAL
'striving': STRAOEUFG
'and': SKP
'desire': STKAOEUR
'to': TO
'go': TKPW
'upward—ever': AUP/WARD/EPL/TKA*RB/-FR
'upward.': AUP/WARD/TP-PL
'It': KPA/T
'gleamed': TKPWHRAOEPL/-D
'in': TPH
'her': HER
'head,': HED/KW-BG
'gleamed': TKPWHRAOEPL/-D
'in': TPH
'joy,': SKWROEU/KW-BG
'beamed': PWAEPL/-D
'brightly': PWRAOEULT
'in': TPH
'her': HER
'longing.': HROPBG/-G/TP-PL
'Then,': KPA/THEPB/KW-BG
'suddenly,': SULD/KW-BG
'up': UP
'came': KAEUPL
'the': -T
'Stork.': KPA/STORBG/TP-PL
'He': KPA/HE
'had': H
'seen': SAOEPB
'the': -T
'Toad': KPA/TAOD
'in': TPH
'the': -T
'grass,': TKPWRAS/KW-BG
'and': SKP
'stooped': STAOPD
'down': TKOUPB
'and': SKP
'seized': SAOEZ/-D
'the': -T
'little': HREUL
'creature': KRAOEFP
'anything': TPHEUG
'but': PWUT
'gently.': SKWREPBT/HREU/TP-PL
'The': KPA/-T
'Stork's': KPA/STORBG/AES
'beak': PWAOEBG
'pinched': PEUPB/-FPD
'her,': HER/KW-BG
'and': SKP
'the': -T
'wind': WEUPBD
'whistled;': WHEUS/-LD/STPH*FPLT
'it': T
'was': WAS
'not': TPHOT
'exactly': ELG
'agreeable,': TKPWRAOEBL/KW-BG
'but': PWUT
'she': SHE
'was': WAS
'going': TKPW-G
'upward—upward': AUP/WARD/EPL/TKA*RB/AUP/WARD
'towards': TORDZ
'Egypt—and': AOE/SKWREUPT/EPL/TKA*RB/SKP
'she': SHE
'knew': TPHAOU
'it;': T/STPH*FPLT
'and': SKP
'that': THA
'was': WAS
'why': KWR
'her': HER
'eyes': AO*EUS
'gleamed,': TKPWHRAOEPL/-D/KW-BG
'and': SKP
'a': AEU
'spark': SPARBG
'seemed': SAOEPLD
'to': TO
'fly': TPHRAOEU
'out': OUT
'of': -F
'them.': THEPL/TP-PL
'"Quunk!—ah!"': KW-GS/KW*P/SKWRU/SKWRU/*PB/*BG/SKHRAPL/EPL/TKA*RB/HA*E/SKHRAPL/KR-GS
'The': KPA/-T
'body': PWO*ED
'was': WAS
'dead—the': TKED/EPL/TKA*RB/-T
'Toad': KPA/TAOD
'was': WAS
'killed!': KEULD/SKHRAPL
'But': KPA/PWUT
'the': -T
'spark': SPARBG
'that': THA
'had': H
'shot': SHOT
'forth': TPO*RT
'from': TPR
'her': HER
'eyes;': AO*EUS/STPH*FPLT
'what': WHA
'became': PWAEUPL
'of': -F
'that?': THA/H-F
'The': KPA/-T
'sunbeam': SUPB/PWAOEPL
'took': TAOBG
'it': T
'up;': UP/STPH*FPLT
'the': -T
'sunbeam': SUPB/PWAOEPL
'carried': KAERD
'the': -T
'jewel': SKWRAOUL
'from': TPR
'the': -T
'head': HED
'of': -F
'the': -T
'toad.': TAOD/TP-PL
'Whither?': KPA/WHEU/THER/H-F
'Ask': KPA/SK
'not': TPHOT
'the': -T
'naturalist;': TPHARL/EUFT/STPH*FPLT
'rather': RAER
'ask': SK
'the': -T
