Single-Stroke Briefs
'capped': KAPD
'capricious': KPREURBS
'capsule': KPAFL
'capsules': KA*EFLS
'captain': KAPT
'caption': KAPGS
'capture': KA*FP
'captured': KA*FPD
'capturing': KA*FPG
'carbohydrate': KA*ERB
'carbohydrates': KA*ERBS
'carbon': KARPB
'carbons': KA*RPBS
'card': KARD
'cardiac': KRA*BG
'cardiovascular': KRAFBG
'cards': KARDZ
'care': KAEUR
'career': KRAOER
'careers': KRAOERS
'careful': KAEUFL
'careless': KAEURLS
'cares': KAEURS
'caries': KA*ERS
'carjack': KARPBLG
'carnal': KARPBL
'carotid': KROTD
'carp': KARP
'carpal': KARPL
'carpet': KARPT
'carpets': KARPTS
'carriage': KAEURPBLG
'carried': KAERD
'carries': KAERS
'carrot': KAEURT
'carry': KAER
'cart': KART
'cartilage': KRAPBLG
'cartographer': KRER
'carts': KARTS
'carve': KAFRB
'carved': KAFRBD
'carving': KAFRBG
'case': KAEUS
'casement': KAEUPLT
'casework': KAEURBG
'cash': KARB
'cask': KAFBG
'casket': KAFBGT
'cast': KAFT
'caste': KA*ES
'castle': KAFL
'casual': KARBL
'cat': KAT
'cataract': KRA*BT
'catch': KAFP
'categories': KOERGS
'categorize': KOERGZ
'categorized': KOERGD
'category': KOERG
'cattle': KA*LT
'caudal': KA*ULD
'caulk': KAUBG
'causal': KAUFL
'caused': KAUFD
'caution': KAUGS
'cautious': KAURBS
'cave': KAEUF
'cavern': KAFRPB
'caverns': KAFRPBS
'cavity': KA*FT
'caw': KA*U
'cay': KA*E
'cc': KR*BG
'cease': SAOES
'cecum': SKAO*EPL
'cede': KRAED
'ceilings': KRAOELGS
'celebrity': SHREBT
'cell': KREL
'cement': SEPLT
'cements': SPHEPBTS
'cent': KREPBT
'centers': STR-S
'centimeter': KR*PL
'centimeters': KR*PLS
'central': STRAL
'centrality': STRALT
'centric': STREUBG
'century': KROEURPBT
'cereal': KRAOERL
'cerebellar': SPWHRAR
'cerebellum': SPWREPL
'cerebral': KRAOEBL
'cert': SERT
'certainty': SERPBT
'certificate': SER
'certification': SERBGS
'certified': SERD
'cession': KREGS
'cha': KHA
'chafe': KHAEUF
'chafed': KHAEUFD
'chaff': KHAF
'chain': KHAEUPB
'chair': KHAEUR
'chaired': KHAEURD
'chairman': KHEURPL
'chairperson': KHAEURP
'chaise': KHAEUZ
'chalk': KHAUBG
'challenge': KHALG
'challenged': KHALGD
'chamber': KHAEURPL
'champ': KHAFRP
'chance': KHAPBS
'chancre': SHARPBG
'change': KHAEUPBG
'changed': KHAEUPBGD
'changer': KHAEURPBG
'channel': KHAPBL
'chant': KHAPBT
'chap': KHAP
'chapel': KHAPL
'chapter': KHAPT
'char': KHAR
'character': KRAR
'characteristic': KR*EUBG
'characterization': KRAEUBGS
'characterize': KRARZ
'chard': KHARD
'charge': KHARPBLG
'charged': KHARPBLGD
'charitable': KHAEURBL
'charity': KHAEURT
'charm': KHARPL
'charring': KHARG
'chart': KHART
'chat': KHAT
'chatting': KHAGT
'chauffeur': KHAUFR
'cheap': KHAEP
'cheaper': KHAOERP
'cheat': KHAOET
'cheater': KHAOERT
'checking': KHEG
'checkup': KH*UP
'cheep': KHAO*EP
'cheer': KHAOER
'cheese': KHAOES
'chef': SHEF
'chem': KHEPL
'chemical': KHEL
'chemist': KHEUFT
'chemistry': SKR*EU
'chemotherapy': KOEURP
'cheque': KH*EBG
'chert': KHERT
'cherub': KHERB
'chew': KHAOU
'chi': KHEU
'chic': SHAEBG
'chick': KHEUBG
'chide': KHAOEUD
'chief': KHAOEF
'children': KHEURPB
'children's': KHEURPBS
'chill': KHEUL
'chime': KHAOEUPL
'chimp': KHEUFRP
'chin': KHEUPB
'chine': KHAOEUPB
'chink': KH*EUPBG
'chintz': KHEUPBZ
'chip': KHEUP
'chipped': KHEUPD
'chipping': KHEUPG
'chiral': KAOEURL
'chirp': KHEURP
'chit': KHEUT
'chive': KHAOEUF
