Single-Stroke Briefs
'commuter': KPHAOURT
'comp': KOFRP
'compact': KPABGT
'compaction': KPABGS
'companies': K-PS
'company': K-P
'comparable': KPARBL
'compare': KPAR
'compared': KPARD
'comparing': KPARG
'comparison': KPAEURPB
'compartment': KPARPLT
'compass': KPAS
'compassion': KPAGS
'compatibility': KPABLT
'compatible': KPABL
'compel': KPEL
'compelled': KPELD
'compelling': KPELG
'compete': KPAOET
'competence': KPEPBS
'competent': KPE
'competes': KPAOETS
'competing': KPAOEGT
'competition': KPEGS
'competitive': KPEF
'competitively': KPEFL
'competitor': KPOR
'compilation': KPHRAEUGS
'compile': KPAOEUL
'compiled': KPAOEULD
'compiler': KPAOEURL
'complacent': KPHRAEUFPBT
'complain': KPHRAEUPB
'complainer': KPHRAEURPB
'complaint': KPHRAEUPBT
'complaints': KPHRAEUPBTS
'complement': PHREPLT
'complete': KPHRAOET
'completed': KPHRAOETD
'completing': KPHRAOEGT
'completion': KPHRAOEGS
'complex': KPHREBGS
'complexion': KPHR*EBGS
'compliance': KPHRAOEUPBS
'compliant': KPHRAOEUPBT
'complicate': PHREUBGT
'complicated': PHREUBGD
'complication': KPHREUBGS
'complicit': KPHREUFT
'complied': KPHRAOEUD
'complies': KPHRAOEUS
'compliment': KPHREUPLT
'component': KPOEPBT
'components': KPOEPBTS
'comport': KPORT
'compose': KPOES
'composer': KPOERS
'composing': KPOEFG
'composite': KPOFT
'composition': KPOGS
'compost': KPOEFT
'compote': KPOET
'compound': KPOUPBD
'comprehend': KPREPBD
'compress': KPRES
'compresses': KPRESZ
'compression': KPREGS
'compressive': KPR*EF
'comprise': KPRAOEUS
'comprised': KPRAOEUFD
'comprising': KPRAOEUFG
'compromise': KPROES
'compromised': KPROEFD
'compromising': KPROEFG
'comptroller': KRO*ERL
'compulsion': KPULGS
'compunction': KPUPBGS
'compute': KPAOUT
'computed': KPAOUTD
'computers': KPAOURTS
'computing': KPAOUGT
'con': KOPB
'conceivably': KAOEFBL
'concentrate': SKRAEUT
'concentrated': SKRAEUTD
'concentrating': SKRAEUGT
'concentration': SKRAEUGS
'concept': K*EPT
'conception': KEPGS
'concepts': K*EPS
'concern': K-RPB
'concerns': K-RPBS
'concert': KERT
'conch': KOFRPB
'conclusion': KHRAO*UGS
'concrete': KRAOEPBT
'condition': K-PB
'conditional': K-PBL
'conditionals': K-PBLS
'condominium': KPHEUPL
'conduct': KUBGT
'conduction': KUBGS
'cone': KOEPB
'cones': KOEPBS
'confer': K-FR
'conference': K-FPBS
'conferences': K-FRPBSZ
'conferment': K-FRPLT
'conferments': K-FRPLTS
'conferral': K-FRL
'conferred': K-FRD
'conferring': K-FRG
'confers': K-FRS
'confidence': K-F
'confidences': K-FDZ
'confident': K-FT
'confidential': K-FGS
'confidentiality': KAUFPBLT
'configuration': TKPWRAEUGS
'confirm': K-FRPL
'confirmation': K-FRPLGS
'conflict': TPHREUBGT
'conformation': KPHAEUGS
'conformational': KPHAEUPBL
'confront': K-FRPBT
'confused': KAOUFD
'confusion': KAUFGS
'congestion': KEFGS
'congratulation': TKPWRAFPGS
'congressman': KPHAPB
'congressmen': KPHEPB
'congressperson': KPERPB
'conjunction': KUPBGS
'conjunctiva': KUPBGT
'conjunctivitis': KUPBGTS
'connect': KEBGT
'connection': KEBGS
'connects': KEBGZ
'conscience': KAUPBGS
'conscientious': KERBS
'conscious': K-RBS
'consent': KEFPBT
'consequence': KWEPBS
'consequent': SKW*EPBT
'conservation': K*FRS
'conservative': KEFRB
'conserve': KWEFRB
'conserved': KEFRBD
'considerably': KRAEBL
'considerate': K-RT
'consideration': K-RGS
'consist': KAO
'consistency': KAOPBS
'consistent': KAOPBT
'consolidate': KO*L
'consolidated': KOLD
'consortium': KO*RPL
'constant': STAPBT
'constipation': KPAEUGS
'constituency': SWEPBS
'constituent': SWEPBT
'constitute': TAOUT
'constituted': STAOUTD
'constitution': TAOUGS
'constitutional': STAOULGS
'constrict': KREUBGT
'constriction': SKREUBGS
'constrictor': KREURBGT
'construct': KRUBGT
'construction': KRUBGS
'constructive': KR*UF
'consult': KULT
'consultation': SKULGS
'consume': KAOUPL
'consumed': KAOUPLD
'consumer': KAOURPL
'consuming': KAOUPG
'consumption': KUPGS
'contact': KABGT
'contain': TAEUPB
'contemporary': KPAER
'content': KAUPBT
'context': KEGT
'contingency': KOEUPBGS
'contingent': KEUGT
'continually': TAEPBL
'continued': T-PBD
'contraband': KPWAPBD
'contraception': K*EPBGS
'contract': KR-T
'contraction': KRABGS
'contradict': KR*BGT
'contradiction': KROEUBGS
'contraindicate': KRA*EUT
'contraindicated': KRA*EUTD
'contraindication': KRA*EUGS
'contraption': KRAPGS
'contrary': KRAER
'contrast': KRAEFT
'contribute': KR-B
'contributed': KR-BTD
'contributing': KR-BGT
'contribution': KR-BGS
'contributor': KROERBT
'contributory': KREUBT
'controlled': KROELD
'controlling': KROLG
'controvert': TROEFRT
'convenience': SRAOEPBS
'convenient': SRAOEPB
'convention': KEFPBGS
'conventional': SREPBL
'converge': KWERPBLG
'conversation': K-FRGS
'converse': KWERS
'conversion': KERGS
'convert': KWERT
'convertible': KERBL
'convict': K-FBGT
'conviction': K-FBGS
'convince': KWEUPBS
'convulse': KWULS
'convulsion': KWULGS
'coo': KAO*
'cook': KAOBG
'cooler': KAORL
'cooling': KAOLG
'coon': KAOPB
'coop': KAOP
'cooperate': KAOPT
'cooperation': KAOPGS
'coordinate': KAORD
'cope': KOEP
'copied': KO*EPD
'copies': KO*EPS
'copped': KOPD
'copy': KO*EP
'coral': KORL
'corbel': KORBL
'cord': KORD
'core': KOR
'cork': KORBG
'corn': KORPB
'cornea': KOEURPB
'corneal': KOEURPBL
'coronal': KROEPBL
'coroner': KOERPB
'corporate': KORPT
'corporation': KORPGS
'corps': KOERP
'corpse': KORPS
'corral': KRAL
'correct': KREBGT
'correction': KREBGS
'correspond': KOER
'correspondence': KOERPBS
'corrode': KROED
'corrosion': KROEGS
'corrupt': KRUPT
'corruption': KRUPGS
'cot': KOT
'couch': KOUFP
'cough': KOF
'cougher': KAUFR
'could've': KO*UF
'couldn't': KOPBT
'counsel': KOUPB
'counselor': KOUPBL
'counter': KO*URPBT
'countries': KUPBTS
'country': KREU
'county': KOEUPBT
'coup': KOUP
'coupe': KO*UP
'coupled': KUPLD
'coupling': KUPLG
'coupon': KAOUPB
'courage': KORPBLG
'courageous': KRAEURBS
'court': KORT
'courtroom': KRAOPL
'cousin': KUZ
'cove': KO*EF
'coven': KOEFPB
'covenant': KOFPBT
'coverage': K*FRG
'covert': KOEFRT
'covet': KO*FT
'coving': KOEFG
'cow': KOU
'coward': KOURD
'cower': KOUR
'cowl': KOUL
'cozy': KOEZ
'crab': KRAB
'crack': KRABG
'craft': KRAFT
'crag': KRAG
'cram': KRAPL
'crammed': KRAPLD
'cramp': KRAFRP
'crane': KRAEUPB
'cranial': KRAEUPL
'crank': KRA*PBG
'crap': KRAP
'crash': KRARB
'crass': KRAS
'crate': KRAEUT
'crave': KRAEUF
'craven': KRAEUFPB
'craving': KRAFG
'craw': KRAU
'crawl': KRAUL
'craze': KRAEUZ
'creak': KRAEBG
'cream': KRAOEPL
'crease': KRAOES
'creased': KRAOEFD
'creasing': KRAOEFG
'create': KRAET
'created': KRAOETD
'creating': KRAOEGT
'creation': KRAEGS
'creative': KRAOEF
'creator': KRAOERT
'creature': KRAOEFP
'credibility': KREBLT
'credible': KREUBL
'credit': KRET
'creed': KRAOED
'creek': KRAOEBG
'creel': KRAOEL
'creep': KRAOEP
'cremate': KRAOEPLT
'creme': KREPL
'crepe': KREP
'crept': KREPT
'cress': KRES
'crest': KREFT
'crevice': KREFS
'crew': KRAOU
'crewel': KRAO*UL
'crib': KREUB
'crick': KREUBG
'crime': KRAOEUPL
'criminal': KR-L
'crimp': KREUFRP
'cringe': KREUPBG
'cripple': KREUPL
'crippled': KREUPLD
'crippling': KREUPLG
'crisis': KRA*ES
'crisp': KREUFP
'criteria': KRAO*ER
'criterion': KRAOERPB
'critical': KR*EUL
'croak': KROEBG
'crock': KROBG
'crook': KRAOBG
'croon': KRAOPB
'crop': KROP
'cropped': KROPD
'cropping': KROPG
'cross-appeal': KRAEL
'cross-border': KRORD
'cross-complaint': KRAEUPBT
'cross-examination': KROEBGS
'cross-interrogatory': KROEUG
'cross-motion': KR-PLGS
'cross-petition': KR-PGS
'cross-suit': KRAOUT
'crosses': KROFS
'crosswalk': KRAUBG
'crotch': KROFP
'crouch': KROUFP
'croup': KROUP
'crow': KROE
'crown': KROUPB
'crucial': KRAOUGS
'crud': KRUD
'crude': KRAOUD
'cruel': KRAOUL
'cruelty': KRAOULT
'cruise': KRAOUS
'crumb': KRUPL
'crumple': KRUFRPL
'crunch': KRUFRPB
'crush': KRURB
'crust': KRUFT
'crutch': KRUFP
'crux': KR*UBGS
'crypt': KREUPT
'cub': KUB
'cube': KAOUB
'cud': KUD
'cue': KAOU
'cuff': KUF
'cuisine': KWAOEFPB
'cull': KUL
'cult': K*ULT
'cultural': KAOUFPL
'culture': KURLT
'cultured': KAOUFPD
'culturing': KAOUFPG
'cumin': KAO*UPL
'cunning': KUPBG
'cunt': K*UPBT
'cupid': KAOUPD
'cur': KUR
'curator': KRAEURT
'curb': KURB
'curbed': KURBD
'curd': KURD
'curds': KURDZ
'cure': KAOUR
'curious': KAOURS
'curl': KURL
'current': KURPBT
'curring': KURPBG
'curt': KURT
'curve': KUFRB
'curved': KUFRBD
'cushion': KUGS
'cusp': KUFP
'custom': KUFPL
'customer': KUFRT
'customers': KUFRS
'cutaneous': KA*EUPBS
'cute': KAOUT
'cuts': KUTS
'cutter': KAOURT
'cutting': KUGT
'cycle': SOEUBG
'cyst': KREUFT
'cysts': KREUFTS
'czar': SA*R
'dab': TKAB
'dabbed': TKABD
'dabble': TKABL
'daft': TKAFT
'dailies': TKAEULS
'daily': TKAEUL
'dale': TKAEL
'dam': TKAPL
'damage': TKAPBLG
'damaged': TKAPBLGD
'dame': TKAEUPL
'dammed': TKAPLD
'damming': TKAPLG
'dammit': TKAPLT
'damn': TKAEPL
'damp': TKAFRP
'dance': TKAPBS
'dancer': TKARPBS
'dang': TKAPBG
'danger': TKAEUPBLG
'dangerous': TKAEUPBLGS
'dank': TKA*PBG
'dare': TKAEUR
'dared': TKAEURD
'daring': TKAEURG
'darker': TKA*ERBG
'darling': TKARLG
'darn': TKARPB
'dart': TKART
'dash': TKARB
'data': TKAET
'database': TKAEUBS
'date': TKAEUT
'dates': TKAEUTS
'dating': TKAEUGT
'daub': TKAUB
'daughter-in-law': TKAURPBL
'daughters-in-law': TKAURPBLS
'daunt': TKAUPBT
'dauphin': TKAUFPB
'dawn': TKAUPB
'day-by-day': TKAEUBD
'day-to-day': TKA*EUTD
'daylight': TKAEULT
'days': TKAEUS
'daytime': TKAEUPLT
'daze': TKAEZ
'de': TK*E
'deaf': TKEF
'deafen': TKEFPB
'deal': TKAOEL
'dealer': TKAOERL
'dealings': TKAOELGS
'dealt': TKELT
'dean': TKAOEPB
'dear': TKAER
'dearth': TK*ERT
'death': TK*T
'debate': TKPWA*EUT
'debility': TKEBLT
'debt': TKET
'deceive': STKAOEF
'decelerate': TKHRERT
'deceleration': TKHRERGS
'decent': TKAOEPBT
'decision': STKEUGS
'deck': TKEBG
'deduct': TK*UBGT
'deduction': TKUBGS
'dee': TKAOE
'deeds': TKAOEDZ
'deem': TKAOEPL
'deeper': TKAOERP
'deer': TKAOER
'def': TK-F
'default': TKEFLT
'defect': TKEFBGT
'defection': TK*EFBGS
'defend': TKEFD
'defendant': TK-FT
'defendants': TK-FTS
'defense': TKEFS
'defer': TKEFR
'deference': TKEFRPBS
'deferent': TKEFRPBT
'deferment': TKEFRPLT
'deferral': TK-FRL
'deferred': TKEFRD
'deferring': TKAOEFRG
'deficiencies': TKAO*ERBS
'deficiency': TKAOERB
'deficient': TKEURBT
'deficit': TK*EFT
'definite': TKEFPBT
'definition': TKEUFGS
'deform': TK-FRPL
'deformation': TK-FRPLGS
'deft': TKEFT
'degree': TKEG
'deign': TKAEUPB
'delay': TKHRAEU
'delete': TKHRAOET
'deleted': TKHRAOETD
'deletion': TKHRAOEGS
'deliberate': TKHREUBT
'deliberation': TKHREUBGS
'delicious': TKHREUGS
'delight': TKHRAOEUT
'delirious': TKHREURS
'delirium': TKHRAOERPL
'deliver': TKHREUFR
'deliverance': TKHR*EUFRPBS
'deliveries': TKHROEUFRS
'delivery': TKHROEUFR
'delude': TKHRAOUD
'deluge': TKHRAOUPBLG
'delusion': TKHRAOUGS
'deluxe': TKHRUBGS
'delve': TKWEFL
'demand': TKPHAPBD
'demean': TKPHAOEPB
'demeanor': TKPHAOERPB
'demented': TKPHEPBTD
'demerit': TKPHERT
'demise': TKPHAOEUS
'demonstrable': STRABL
'demotion': TKPHOEGS
'den': TKEPB
'dengue': TKEPBG
'denied': TKAOEPBD
'dense': TKEPBS
'dent': TKEPBT
'dental': TKEPBL
'dentistry': STKREU
'deny': TKOEUPB
'depart': TKPART
'department': TK-PT
'depend': TK-P
'dependence': TKPEPBS
'dependent': TKEPBD
'depends': TKPEPBDZ
'depict': TKPEUBGT
'depiction': TKPEUBGS
'deplane': TKPHRAEPB
'deplete': TKPHRAOET
'depletion': TKPHRAOEGS
'deplorable': TKPHR-BL
'deplore': TKPHROR
'deploy': TKPHROEU
'deployment': TKPHROEUPLT
'depolarization': TKO*EP
'deport': TKPORT
'depose': TKPOES
'deposit': TKPOFT
'deposition': TKEP
'deprave': TKPRAEUF
'depreciate': TKPRAOERBT
'depreciation': TKAOEPGS
'depress': TKPRES
'depressant': TKREFPBT
'depression': TKPREGS
'depressive': TKPREF
'deprive': TKPRAOEUF
'depriving': TKPRAOEUFG
'depth': TK*EPT
'deranged': TKRAEUPBGD
'deride': TKRAO*EUD
'derision': TKREUGS
'derivative': TKR*EUF
'derive': TKAO*EUF
'derived': TKRAOEUFD
'derives': TKRAO*EUFS
'deriving': TKRAO*EUFG
'dermal': TKERL
'dermis': TK*ERPLS
'describable': SKRAOEUBL
'describe': SKREU
'described': KREUFD
'describer': SKREUR
'describing': SKREUG
'description': SKREUPGS
'desert': STK*ERT
'deserve': TKEFRB
'design': STKAOEUPB
'designer': STKAOEURPB
'desirability': STKAOEURBLT
'desirable': STKAOEURBL
'desire': STKAOEUR
'desired': STKAOEURD
'desiring': STKAOEURG
'despise': STKPAOEUZ
'dessert': STKERT
'destroy': STKROEU
'destroyer': STKROEUR
'destruct': TKRUBGT
'destruction': STKRUBGS
'destructive': TKR*UF
'detect': TKEBGT
'detection': TKEBGS
'detective': TK-BGT
'detergent': TKERGT
'determinate': TKERPLT
'determination': TKERPLGS
'determine': TKERPL
'determined': TKERPLD
'determining': TKERPLG
'devaluation': TK*EFLGS
'develop': SREL
'developer': SHR*ER
'development': SREPLT
'deviation': TKAOEFGS
'device': TKWAOEUS
'devil': TKEFL
'devoid': TKWOEUD
'devote': TKWOET
'devoted': TKWOETD
'devotion': TKWOEGS
'devoured': TKWOURD
'devouring': TKWOURG
'devout': TKWOUT
'dew': TKAO*U
'diabetes': TKAOEBT
'diabetic': TKAOEBG
'diagnose': TK-G
'diagnosed': TK-GD
'diagnosis': TK-GS
'diagnostic': TKAOEUGT
'diagram': TKPRAEPL
'dial': TKAOEUL
'dialogue': TKHROG
'dialysis': TKA*ELS
'diamond': TKAOEUPLD
'diaphragm': TPRAEPL
'diarrhea': TKRAO*E
'diarrheal': TKRAOEL
'diastole': TKO*EL
'diastolic': TKEULG
'dib': TKEUB
'dibble': TKEUBL
'dice': TKAOEUS
'dick': TKEUBG
'diction': TK*EUBGS
'didn't': TK-PBT
'died': TKAOEUD
'diet': TKAOEUT
'differ': TK-FR
'difference': TKEUFRPBS
'differentiation': TKEUFRPBGS
'differs': TKEUFRS
'difficult': TKEUFL
'difficulty': TKOEUFLT
'dig': TKEUG
'digest': SKWR*EFT
'digestion': SKWREGS
'digit': TKEUGT
'digital': TK*EUL
'dike': TKAO*EUBG
'dilate': TKAOEULT
'dilated': TKHRAEUTD
'dilating': TKHRAEUGT
'dilation': TKAOEULGS
'dill': TKEUL
'dilute': KHRAOUT
'diluted': TKHRAOUTD
'dilution': TKHRAO*UG
'dim': TKEUPL
'dime': TKAOEUPL
'dimension': TKPHEGS
'dimer': TKAO*EURPL
'dimmed': TKEUPLD
'dimmer': TKAOERPL
'dimming': TKEUPLG
'dimple': TK*EUPL
'din': TKEUPB
'dine': TKAOEUPB
'diner': TKAOEURPB
'ding': TKEUPBG
'dint': TK*EUPBT
'dip': TKEUP
'dipped': TKEUPD
'dipping': TKEUPG
'dire': TKAOEUR
'direct': TKREBGT
'director': TKROR
'directors': TKRORS
'directory': TKROER
'dirge': TKEURPBLG
'dirk': TKEURBG
'dirty': TKOEURT
'disability': TKABLT
'disable': TKAEUBL
'disabled': TKABLD
'disabling': TKAEUBLG
'disagree': TAO*EG
'disagreed': TKAO*EGD
'disagreement': TKAOEPLT
'disappointment': TKOEUPLT
'disc': TKEUFBG
'discharge': TKARPBLG
'discomfort': TK-FRT
'discount': TK-BG
'discounts': SKOUPBTS
'discourage': STKURPBLG
'discover': SKOFR
'discoveries': SKOEFRS
'discovery': SKOEFR
'discretion': SKREGS
'disguise': STKPWAOEUS
'disguised': STKPWAOEUFD
'dish': TKEURB
'disk': TK*EUFBG
'disorder': TKORD
'dispatch': STKPAFP
'display': TKPHRAEU
'disposable': TKOEBL
'disposition': TK*EUPGS
'dispute': STKPAOUT
'disregard': TKRARD
'disrupt': TKRUPT
'disruption': TKRUPGS
'distal': TK*EUFL
'distance': STKAPBS
'distant': STKAPBT
'distinct': STKEUPBG
'distinction': STKEUPBGS
'distinguish': TKWEURB
'distorted': STKORTD
'distortion': STKORGS
'distract': STKRABGT
'distraction': STKRABGS
'distress': STKRES
'distribute': TKR-BT
'distributed': TKR-BTD
'distribution': TKR-BGS
'district': TR-T
'disturb': TKURB
'disturbance': TKURPBS
'ditch': TKEUFP
'diuretic': TKR*EBG
'diurnal': TKURPBL
'dive': TKAOEUF
'dived': TKAOEUFD
'diver': TKAOEUFR
'diverge': TKWERG
'diverging': TKWEFRG
'diverse': TKWERS
'diversion': TKWERGS
'diversity': TKWEFRT
'divert': TKWERT
'divide': TKWAOEUD
'divided': TKWAOEUTD
'dividend': TK*F
'dividing': TKWAOEUGD
'divine': TKWAOEUPB
'diving': TKAOEUFG
'divinity': TKWEUPBT
'divorce': TKWORS
'divot': TKEUFT
'divulge': TKWULG
'doc': TKO*BG
'dock': TKOBG
'docket': TKOBGT
'dockets': TKOBGTS
'doctor': TKR
'doctoring': TKR-G
'doctors': TKR-S
'doctrine': TKORBGT
'document': TKAOUPLT
'documenting': TKAOUPLGT
'dodge': TKOPBLG
'doe': TKO*E
'dog': TKOG
'dole': TKOEL
'doled': TKOELD
'doll': TKOL
'dollar': TKHRAR
'dolt': TKOLT
'domain': TKPHAEUPB
'dome': TKOEPL
'domed': TKOEPLD
'domestic': PHEFBG
'don't': TKOEPBT
'done': TKOPB
'dong': TKOPBG
'donor': TKORPB
'doom': TKAOPL
'door': TKAOR
'dope': TKOEP
'dork': TKORBG
'dorm': TKORPL
'dormant': TKORPLT
'dorsal': TKOFRL
'dot': TKOT
'dote': TKOET
'doth': TKA*UT
'double': TKUBL
'doubled': TKUBLD
'doubling': TKUBLG
'doubt': TKOUT
'douche': TKAOURB
'dough': TKOE
'dour': TKOUR
'douse': TKOUS
'dove': TKOF
'dowel': TKOUL
'dower': TKO*UR
'down': TKOUPB
'download': TKOUPBLD
'dowse': TKOUZ
'doze': TKOEZ
'dozen': TKOZ
'drab': TKRAB
'draft': TKRAFT
'dragged': TKRAGD
'drain': TKRAEUPB
'drainage': TKRAEPBG
'drake': TKRAEUBG
'dram': TKRAPL
'dramatic': TKRABG
'drank': TKRA*PBG
'drape': TKRAEUP
'draped': TKRAEUPD
'draping': TKRAEUPG
'drastic': TKRAFBG
'drat': TKRAT
'draught': TKRAUFT
'drawer': TKRAUR
'drawl': TKRAUL
'drawn': TKRAUPB
'dread': TKRED
'dream': TKRAOEPL
'dredge': TKREPBLG
'dredged': TKREPBLGD
'drench': TKREFRPB
'dribble': TKREUBL
'drift': TKREUFT
'drill': TKREUL
'drinking': TKREUG
'drip': TKREUP
'dripped': TKREUPD
'dripping': TKREUPG
'drivable': TKRAOEUFBL
'drivel': TKR*EUFL
'driven': TKREUFPB
'driver': TKREUFR
'droll': TKROL
'drone': TKROEPB
'droning': TKROEPBG
'drool': TKRAOL
'droop': TKRAOP
'drooping': TKRAOPG
'dropped': TKROPD
'dropper': TKRORP
'dropping': TKROPG
'dross': TKROS
'drought': TKROUT
'drover': TKROEFR
'drown': TKROUPB
'drug': TKRUG
'drug-induced': TKREUFPBD
'drugged': TKRUGD
'druid': TKRAOUD
'drum': TKRUPL
'drummer': TKRAOURPL
'drupe': TKRAOUP
'dryer': TKRAOEUR
'dryness': TKRAOEUPBS
'dual': TKAOUL
'duality': TKAOULT
'dub': TKUB
'dubbed': TKUBD
'duck': TKUBG
'duct': TKUBGT
'ducts': TKUBGTS
'dud': TKUD
'dude': TKAOUD
'dudes': TKAOUDZ
'due': TKAOU
'duel': TKAO*UL
'dues': TKAOUS
'duffel': TKUFL
'duffer': TKUFR
'dug': TKUG
'duh': TK*U
'duke': TKAOUBG
'dull': TKUL
'dumb': TKUPL
'dump': TKUFRP
'dumped': TKUFRPD
'dunce': TKUPBS
'dune': TKAOUPB
'dung': TKUPBG
'dungeon': TKUPBGS
'dunk': TK*UPBG
'duo': TKWOE
'dupe': TKAOUP
'duped': TKUPD
'dur': TKUR
'durability': TKURBLT
'duration': TKRAEUGS
'dusk': TKUFBG
'duty': TKAOUT
'dwarf': TKWAFR
'dweeb': TKWAOEB
'dwell': TKWEL
'dwellings': TKWELGS
'dwelt': TKWELT
'dye': TKAO*EU
'dyke': TKAOEUBG
'dynamic': TKPHAOEUBG
'dyne': TKAO*EUPB
'dysfunction': TK*UPBGS
'dyslexia': TKHR*EUBGS
'dyslexic': TKHREUBG
'games': TKPWAEUPLS
'gang': TKPWAPBG
'ganglia': TKPWHRA*
'ganglionic': TKPWHRO*PBG
'gap': TKPWAP
'gape': TKPWAEUP
'gaps': TKPWAPS
'garage': TKPWRAPBLG
'garb': TKPWA*RB
'garble': TKPWARBL
'garbled': TKPWARBLD
'garment': TKPWARPLT
'gas': TKPWAS
'gaseous': TKPWARBS
'gash': TKPWARB
'gasket': TKPWAFBGT
'gasp': TKPWAFP
'gastric': TKPWRA*BG
'gastrointestinal': TKPWREFL
'gate': TKPWAET
'gather': TKPWAER
'gauche': TKPWAURB
'gauge': TKPWAUPBLG
'gauged': TKPWAUPBLGD
'gaunt': TKPWAUPBT
'gauze': TKPWAUZ
'gavel': TKPWAFL
'gawk': TKPWAUBG
'gay': TKPWAEU
'gaze': TKPWAEZ
'gazing': TKPWAEUFG
'gear': TKPWAOER
'gee': SKWRAOE
'geek': TKPWAOEBG
'geese': TKPWAOES
'gel': SKWREL
'gem': SKWREPL
'gems': SKWREPLS
'gender': SKWRERPBD
'gene': SKWRAOEPB
'general': SKWREPBL
'generality': SKWREPBLT
'generals': SKWREPBS
'genetic': SKWRAO*EBG
'genial': SKWRAOEPBL
'gent': SKWREPBT
'gentle': SKWR*EPBLT
'gentleman': SKWRA*PL
'gentlemen': SKWR*EPL
'geographic': SKWRAOEFBG
'geography': SKWRAOEF
'geology': SKWROLG
'geometry': SKWROPLT
'gerbil': SKWRERBL
'geriatric': TKPWRABGT
'germ': SKWRERPL
'germs': SKWRERPLS
'getting': TKPWEGT
'ghost': TKPWOEFT
'ghoul': TKPWOUL
'giant': SKWRAOEUPBT
'gibe': TKPWAOEUB
'gig': TKPWEUG
'gigs': TKPWEUGS
'gild': TKPW*EULD
'gill': TKPWEUL
'gills': TKPWEULS
'gilt': TKPW*EULT
'gimp': TKPWEUPL
'gin': SKWREUPB
'gingivitis': SKWRAOEUTS
'gird': TKPWEURD
'girlfriend': TKPWOEUF
'girls': TKPWEURLS
'girt': TKPWEURT
'girth': TKPW*EURT
'gist': SKWREUFT
'given': TKPWEUFPB
'giver': TKPWEUFR
'givers': TKPWEUFRS
'glacial': TKPWHRAEURBL
'glaciers': TKPWHRAEURBS
'glad': TKPWHRAD
'glade': TKPWHRAEUD
'glam': TKPWHRAPL
'glance': TKPWHRAPBS
'gland': TKPWHRAPBD
'glans': TKPWHRAPBZ
'glare': TKPWHRAEUR
'glared': TKPWHRAEURD
'glaring': TKPWHRARG
'glass': TKPWHRAS
'glasses': TKPWHRAFS
'glaucoma': TKPWHRAUBG
'glaze': TKPWHRAEUZ
'gleam': TKPWHRAOEPL
'glean': TKPWHRAOEPB
'glee': TKPWHRAOE
'gleeful': TKPWHRAOEFL
'glib': TKPWHREUB
'glide': TKPWHRAOEUD
'glimmer': TKPWHREURPL
'glimpse': TKPWHREUPLS
'glint': TKPWHREUPBT
'glisten': TKPWHREUFPB
'glitch': TKPWHREUFP
'glitz': TKPWHREUTS
'gloat': TKPWHROET
'glob': TKPWHROB
'global': TKPWHROEBL
'globe': TKPWHROEB
'gloom': TKPWHRAOPL
'glop': TKPWHROP
'glorious': TKPWHRORS
'glory': TKPWHROER
'gloss': TKPWHROS
'glottis': TKPWHROTS
'glove': TKPWHROF
'gloved': TKPWHROFD
'glow': TKPWHROE
'glower': TKPWHROUR
'glue': TKPWHRU
'glued': TKPWHRAOUD
'glum': TKPWHRUPL
'glut': TKPWHRUT
'glyph': TKPWHREUF
'gm': TKPW*PL
'gnarl': TPHA*RL
'gnash': TPHA*RB
'gnat': TPHA*T
'gnaw': TPHA*U
'gnome': TPHOEPL
'goad': TKPWOED
'goal': TKPWOEL
'goat': TKPWO*ET
'gob': TKPWOB
'gobbet': TKPWOBT
'gobble': TKPWOBL
'gobbling': TKPWOBLG
'goblet': TKPWOBLT
'god': TKPWOD
'goes': TKPW-S
'gofer': TKPWO*EFR
'goggle': TKPWO*LG
'goiter': TKPWOEURT
'gold': TKPWOELD
'golf': TKPWOFL
'golfer': TKPWOFR
'gone': TKPWOPB
'gong': TKPWOPBG
'gonna': TKPW*G
'goo': TKPWAO
'good': TKPWAOD
'good-bye': TKPWAOB
'good-looking': TKPWHRAOBG
'goodbye': TKPW-B
'goof': TKPWAOF
'gook': TKPWAOBG
'goon': TKPWAOPB
'goop': TKPWAOP
'gopher': TKPWOEFR
'gore': TKPWOR
'gorge': TKPWORPBLG
'gorgeous': TKPWORBS
'gorp': TKPWORP
'gorse': TKPWORS
'got': TKPWOT
'goth': TKPWO*T
'gotta': TKPW*T
'gotten': TKPW*PB
'gouge': TKPWOUPBLG
'gouged': TKPWOUPBLGD
'gourd': TKPWORD
'gout': TKPWOUT
'gov': TKPWOF
'govern': TKPWOFRPB
'governess': TKPWO*FRPBS
'government': TKPWOFT
'gown': TKPWOUPB
'grabbed': TKPWRABD
'grabbing': TKPWRABG
'grace': TKPWRAEUS
'gracious': TKPWRAEURBS
'grad': TKPWRAD
'grade': TKPWRAEUD
'grader': TKPWRAEURD
'gradient': TKPWRAEUPBT
'graduate': TKPWRAUT
'graduation': TKPWRAUGS
'graft': TKPWRAFT
'grain': TKPWRAEUPB
'gram': TKPWRAPL
'grammar': TKPWRARPL
'grand': TKPWRAPBD
'grandchild': TKPWR-FP
'grandchildren': TKPWR-PB
'granddaughter': TKPWR-D
'grandfather': TKPWR-F
'grandfathers': TKPWR-FS
'grandmother': TKPWR-PL
'grandparent': TKPWR-PT
'grange': TKPWRAEUPBG
'grant': TKPWRAPBT
'granule': TKPWRAPBL
'grape': TKPWRAEUP
'graph': TKPWRAF
'graphic': TKPWRAFBG
'grappled': TKPWRAPLD
