The Money-Box
'spoke': SPOEBG
'of': -F
'training': TRAEUPBG
'and': SKP
'races;': RAEUSZ/STPH*FPLT
'the': -T
'wagon': WAG/OPB
'of': -F
'railways': RAEUL/WAEUS
'and': SKP
'steam': STAEPL
'power,': POUR/KW-BG
'for': TPOR
'these': THEZ
'subjects': SUBTS
'belonged': PWHROPBGD
'to': TO
'each': AOEFP
'of': -F
'their': THAEUR
'professions,': PROEFGS/-S/KW-BG
'and': SKP
'it': T
'was': WAS
'right': RAOEUT
'they': THE
'should': SHO
'talk': TAUBG
'of': -F
'them.': THEPL/TP-PL
'The': KPA/-T
'clock': KHROBG
'talked': TAUBGD
'politics—"tick,': PHREUBGS/EPL/TKA*RB/KR-GS/TEUBG/KW-BG
'tick;"': TEUBG/STPH*FPLT/KR-GS
'he': HE
'professed': PRO/TPES/-D
'to': TO
'know': TPHOE
'what': WHA
'was': WAS
'the': -T
'time': TAOEUPL
'of': -F
'day,': TKAEU/KW-BG
'but': PWUT
'there': THR
'was': WAS
'a': AEU
'whisper': WEUS/PER
'that': THA
'he': HE
'did': TK
'not': TPHOT
'go': TKPW
'correctly.': KRELG/TP-PL
'The': KPA/-T
'bamboo': PWAPL/PWAO
'cane': KAEUPB
'stood': STAOD
'by,': PWEU/KW-BG
'looking': HRAOG
'stiff': STEUF
'and': SKP
'proud:': PROUD/STPH-FPLT
'he': HE
'was': WAS
'vain': SRA*EUPB
'of': -F
'his': HEUS
'brass': PWRAS
'ferrule': TPER/RAOUL
'and': SKP
'silver': SEUL/SRER
'top,': TOP/KW-BG
'and': SKP
'on': OPB
'the': -T
'sofa': SOEF/A
'lay': HRAEU
'two': TWO
'worked': WORBGD
'cushions,': KURB/OPBS/KW-BG
'pretty': PREUT
'but': PWUT
'stupid.': STAOUPD/TP-PL
'When': KPA/WHEPB
'the': -T
'play': PHRAEU
'at': AT
'the': -T
'little': HREUL
'theatre': THAO*ERT
'began,': TKPWAPB/KW-BG
'the': -T
'rest': REFT
'sat': SAT
'and': SKP
'looked': HRAOBGD
'on;': OPB/STPH*FPLT
'they': THE
'were': WR
'requested': KW-D
'to': TO
'applaud': A/PHRAUD
'and': SKP
'stamp,': STAFRP/KW-BG
'or': OR
'crack,': KRABG/KW-BG
'when': WHEPB
'they': THE
'felt': TPELT
'gratified': TKPWRAT/TPAOEUD
'with': W
'what': WHA
'they': THE
'saw.': SAU/TP-PL
'But': KPA/PWUT
'the': -T
'riding-whip': RAOEUD/-G/H-PB/WHEUP
'said': SED
'he': HE
'never': TPHEFR
'cracked': KRABGD
'for': TPOR
'old': OLD
'people,': PAOEPL/KW-BG
'only': OEPBL
'for': TPOR
'the': -T
'young': KWRUPBG
'who': WHO
'were': WR
'not': TPHOT
'yet': KWRET
'married.': PHAERD/TP-PL
'"I': KW-GS/EU
'crack': KRABG
'for': TPOR
'everybody,"': EFRB/KW-BG/KR-GS
'said': SED
'the': -T
'cracker.': KRABG/*ER/TP-PL
