Our Aunt
'and': SKP
'every': EF
'spectator': SPEBGT/AEURT
'had': H
'to': TO
'show': SHOE
'his': HEUS
'ghostly': TKPWOEFT/HREU
'pass-book,': PAS/H-PB/PWAOBG/KW-BG
'that': THA
'it': T
'might': PHAOEUT
'be': -B
'decided': STKAOEUD/-D
'if': TP
'he': HE
'was': WAS
'to': TO
'be': -B
'admitted': AD/PHEUTD
'with': W
'hands': HAPBDZ
'loose': HRAOS
'or': OR
'bound,': PWOUPBD/KW-BG
'and': SKP
'with': W
'or': OR
'without': WOUT
'a': AEU
'muzzle.': PHUZ/*L/TP-PL
'Grand': KPA/TKPWRAPBD
'people': PAOEPL
'who': WHO
'came': KAEUPL
'too': TAO
'late,': HRAEUT/KW-BG
'when': WHEPB
'the': -T
'performance': P-FRPBS
'had': H
'begun,': TKPWUPB/KW-BG
'and': SKP
'young': KWRUPBG
'people,': PAOEPL/KW-BG
'who': WHO
'could': KO
'not': TPHOT
'always': AULS
'watch': WAFP
'the': -T
'time,': TAOEUPL/KW-BG
'were': WR
'tied': TAO*EUD
'up': UP
'outside,': OUDZ/KW-BG
'and': SKP
'had': H
'list': HR*EUS
'slippers': SHREUP/ERS
'put': PUT
'on': OPB
'their': THAEUR
'feet,': TPAOET/KW-BG
'with': W
'which': WEU
'they': THE
'were': WR
'allowed': HRO*UD
'to': TO
'go': TKPW
'in': TPH
'before': PW-FR
'the': -T
'beginning': TKPWEUPB/-G
'of': -F
'the': -T
'next': TPHEGT
'act,': ABGT/KW-BG
'and': SKP
'they': THE
'had': H
'muzzles': PHUZ/-LS
'too.': TAO/TP-PL
'And': AFPBD
'then': THEPB
'the': -T
''Judgment': A*E/KPA*/SKWRUPLT
'on': OPB
'the': -T
'Stage'': KPA/STAEUPBLG/AE
'began."': TKPWAPB/TP-PL/KR-GS
'"All': KW-GS/KPA*/AUL
'malice,': PHAL/EUS/KW-BG
'and': SKP
'not': TPHOT
'a': AEU
'bit': PWEUT
'of': -F
'truth': TRAO*UT
'in': TPH
'it,"': T/KW-BG/KR-GS
'said': SED
'our': OUR
'aunt.': AUPBT/TP-PL
'The': KPA/-T
'painter,': PA*EURPBT/KW-BG
'who': WHO
'wanted': WAPBTD
'to': TO
'get': TKPWET
'to': TO
'Paradise,': KPA/PAR/TKAOEUS/KW-BG
'had': H
'to': TO
'go': TKPW
'up': UP
'a': AEU
'staircase': STAEUR/KAEUS
'which': WEU
'he': HE
'had': H
'himself': HEUPLS
'painted,': PAEUPBTD/KW-BG
'but': PWUT
'which': WEU
'no': TPHO
'man': PHAPB
'could': KO
'mount.': PHOUPBT/TP-PL
'That': KPA/THA
'was': WAS
'to': TO
'expiate': EBGS/PEU/AEUT
'his': HEUS
'sins': SEUPBZ
'against': TKPWEPBS
'perspective.': PEF/TP-PL
'All': KPA/AUL
'the': -T
'plants': PHRAPBTS
'and': SKP
'buildings,': PWHR-GS/KW-BG
'which': WEU
'the': -T
'property-man': PROT/H-PB/PHAPB
'had': H
'placed,': PHRAEUFD/KW-BG
'with': W
'infinite': TPH-FPBT
'pains,': PAEUPBS/KW-BG
'in': TPH
'countries': KUPBTS
'to': TO
'which': WEU
'they': THE
'did': TK
'not': TPHOT
'belong,': PWHROPBG/KW-BG
'the': -T
'poor': PAOR
'fellow': TP*EL
'was': WAS
'obliged': OE/PWHRAOEUPBLGD
'to': TO
'put': PUT
'in': TPH
'their': THAEUR
'right': RAOEUT
'places': PHRAEUFS
'before': PW-FR
'cockcrow,': KAU/KR*/K*/KR*/R*/O*/W*/KW-BG
'if': TP
'he': HE
'wanted': WAPBTD
'to': TO
'get': TKPWET
'into': TPHAO
'Paradise.': KPA/PAR/TKAOEUS/TP-PL
'Let': KPA/HRET
'Herr': H*P/*E/R*/R*
'Fabs': KPA/TPAB/-S
'see': SAOE
'how': HOU
'he': HE
'would': WO
'get': TKPWET
'in': TPH
'himself;': HEUPLS/STPH*FPLT
'but': PWUT
'what': WHA
'he': HE
'said': SED
'of': -F
'the': -T
'performers,': PORPL/*ERS/KW-BG
'tragedians': TRA/TKPWAOED/KWRAPB/-S
'and': SKP
'comedians,': KPHAOED/KWRAPB/-S/KW-BG
'singers': SEURPBGS
'and': SKP
'dancers,': TKAPBS/ERS/KW-BG
'that': THA
'was': WAS
'the': -T
'most': PHOFT
'rascally': RAS/K-L/HREU
'of': -F
'all.': AUL/TP-PL
'Mr.': PHR-FPLT
'Fabs,': KPA/TPAB/-S/KW-BG
'indeed!—Flabs!': TPHAOEPBD/SKHRAPL/EPL/TKA*RB/KPA/TPHRAB/-S/SKHRAPL
'He': KPA/HE
'did': TK
'not': TPHOT
'deserve': TKEFRB
'to': TO
'be': -B
'admitted': AD/PHEUTD
'at': AT
'all,': AUL/KW-BG
'and': SKP
'our': OUR
'aunt': AUPBT
'would': WO
'not': TPHOT
'soil': SOEUL
'her': HER
'lips': HREUPS
'with': W
'what': WHA
'he': HE
'said.': SED/TP-PL
'And': AFPBD
'he': HE
'said,': SED/KW-BG
'did': TK
'Flabs,': KPA/TPHRAB/-S/KW-BG
'that': THA
'the': -T
'whole': WHOEL
'was': WAS
'written': WREUPB
'down,': TKOUPB/KW-BG
'and': SKP
'it': T
'should': SHO
'be': -B
'printed': PREUPBTD
'when': WHEPB
'he': HE
'was': WAS
'dead': TKED
'and': SKP
'buried,': PWUR/EUD/KW-BG
'but': PWUT
'not': TPHOT
'before,': PW-FR/KW-BG
'for': TPOR
'he': HE
'would': WO
'not': TPHOT
'risk': REUFBG
'having': SR-G
'his': HEUS
'arms': ARPLS
'and': SKP
'legs': HREGS
'broken.': PWROEPB/TP-PL
'Once': KPA/WUPBS
'our': OUR
'aunt': AUPBT
'had': H
'been': PW-PB
'in': TPH
'fear': TPAOER
'and': SKP
'trembling': TREPL/-BLG
'in': TPH
'her': HER
'temple': TEFRPL
'of': -F
'happiness,': HAEP/-PBS/KW-BG
'the': -T
'theatre.': THAO*ERT/TP-PL
'It': KPA/T
'was': WAS
'on': OPB
'a': AEU
'winter': WEURPBT
'day,': TKAEU/KW-BG
'one': WUPB
'of': -F
'those': THOZ
'days': TKAEUS
'in': TPH
'which': WEU
'one': WUPB
'has': HAS
'a': AEU
'couple': KUPL
'of': -F
'hours': HOURS
'of': -F
'daylight,': TKAEULT/KW-BG
'with': W
'a': AEU
'gray': TKPWRAEU
'sky.': SKAOEU/TP-PL
'It': KPA/T
'was': WAS
'terribly': TERBL/HREU
'cold': KOELD
'and': SKP
'snowy,': STPHOE/WEU/KW-BG
'but': PWUT
'aunt': AUPBT
'must': PHUFT
'go': TKPW
'to': TO
'the': -T
'theatre.': THAO*ERT/TP-PL
'A': KPA/AEU
'little': HREUL
'opera': OP/RA
'and': SKP
'a': AEU
'great': TKPWRAET
'ballet': PWA/HRAEU
'were': WR
'performed,': PORPLD/KW-BG
'and': SKP
'a': AEU
'prologue': PRO/HROG
'and': SKP
'an': APB
'epilogue': EP/HROG
'into': TPHAO
'the': -T
'bargain;': PWAR/TKPWAEUPB/STPH*FPLT
'and': SKP
'that': THA
'would': WO
'last': HRAFT
'till': TEUL
'late': HRAEUT
'at': AT
'night.': TPHAOEUT/TP-PL
'Our': KPA/OUR
'aunt': AUPBT
'must': PHUFT
'needs': TPHAOEDZ
'go;': TKPW/STPH*FPLT
'so': SO
'she': SHE
'borrowed': PWO*ERD
'a': AEU
'pair': PAEUR
'of': -F
'fur': TPUR
'boots': PWAOTS
'of': -F
'her': HER
'lodger—boots': HROPBLG/*ER/EPL/TKA*RB/PWAOTS
'with': W
'fur': TPUR
'inside': TPH-DZ
'and': SKP
'out,': OUT/KW-BG
'and': SKP
'which': WEU
'reached': RAOEFPD
'far': TPAR
'up': UP
'her': HER
'legs.': HREGS/TP-PL
'She': KPA/SHE
'got': TKPWOT
'to': TO
'the': -T
'theatre,': THAO*ERT/KW-BG
'and': SKP
'to': TO
'her': HER
'box;': PWOBGS/STPH*FPLT
'the': -T
'boots': PWAOTS
'were': WR
'warm,': WARPL/KW-BG
'and': SKP
'she': SHE
'kept': KEPT
'them': THEPL
'on.': OPB/TP-PL
'Suddenly': KPA/SULD
'there': THR
'was': WAS
'a': AEU
'cry': KRAOEU
'of': -F
'"Fire!"': KW-GS/KPA*/TPAOEUR/SKHRAPL/KR-GS
'Smoke': KPA/SPHOEBG
'was': WAS
'coming': KO*G
'from': TPR
'one': WUPB
'of': -F
'the': -T
'side': SAOEUD
'scenes,': SAOEPBS/KW-BG
'and': SKP
'streamed': STRAOEPL/-D
'down': TKOUPB
'from': TPR
'the': -T
'flies,': TPHRAOEUS/KW-BG
'and': SKP
'there': THR
'was': WAS
'a': AEU
'terrible': TERBL
'panic.': PA*PBG/TP-PL
'The': KPA/-T
'people': PAOEPL
'came': KAEUPL
'rushing': RURBG
'out,': OUT/KW-BG
'and': SKP
'our': OUR
'aunt': AUPBT
'was': WAS
'the': -T
'last': HRAFT
'in': TPH
'the': -T
'box,': PWOBGS/KW-BG
'"on': KW-GS/OPB
'the': -T
'second': SEBGD
'tier,': TAOER/KW-BG
'left-hand': HR*PBD
'side,': SAOEUD/KW-BG
'for': TPOR
'from': TPR
'there': THR
'the': -T
'scenery': SAEPB/REU
'looks': HRAOBGS
'best,"': PWEFT/KW-BG/KR-GS
'she': SHE
'used': AOUFD
'to': TO
'say.': SAEU/TP-PL
'"The': KW-GS/KPA*/-T
'scenes': SAOEPBS
'are': R
'always': AULS
'arranged': ARPBG/-D
'that': THA
'they': THE
'look': HRAOBG
'best': PWEFT
'from': TPR
'the': -T
'King's': KO*EUPBG/AES
'side."': SAOEUD/TP-PL/KR-GS
'Aunt': A*UPBT
'wanted': WAPBTD
'to': TO
'come': KOPL
'out,': OUT/KW-BG
'but': PWUT
'the': -T
'people': PAOEPL
'before': PW-FR
'her,': HER/KW-BG
'in': TPH
'their': THAEUR
'fright': TPRAOEUT
'and': SKP
'heedlessness,': HAOED/-LS/-PBS/KW-BG
'slammed': SHRAPLD
'the': -T
'door': TKAOR
'of': -F
'the': -T
'box;': PWOBGS/STPH*FPLT
'and': SKP
'there': THR
'sat': SAT
'our': OUR
'aunt,': AUPBT/KW-BG
'and': SKP
'couldn't': KOPBT
'get': TKPWET
'out,': OUT/KW-BG
'and': SKP
'couldn't': KOPBT
'get': TKPWET
'in;': TPH/STPH*FPLT
'that': THA
'is': S
'to': TO
'say,': SAEU/KW-BG
'she': SHE
'couldn't': KOPBT
'get': TKPWET
'into': TPHAO
'the': -T
'next': TPHEGT
'box,': PWOBGS/KW-BG
'for': TPOR
'the': -T
'partition': PAR/TEUGS
'was': WAS
'too': TAO
'high': HAOEU
'for': TPOR
'her.': HER/TP-PL
'She': KPA/SHE
'called': KAULD
'out,': OUT/KW-BG
'and': SKP
'no': TPHO
'one': WUPB
'heard': HAERD
'her;': HER/STPH*FPLT
'she': SHE
'looked': HRAOBGD
'down': TKOUPB
'into': TPHAO
'the': -T
'tier': TAOER
'of': -F
'boxes': PWOBGSZ
'below': PWHRO
'her,': HER/KW-BG
'and': SKP
'it': T
'was': WAS
'empty,': EPLT/KW-BG
'and': SKP
'low,': HROE/KW-BG
'and': SKP
'looked': HRAOBGD
'quite': KWAOEUT
'near,': TPHAOER/KW-BG
'and': SKP
'aunt': AUPBT
'in': TPH
'her': HER
'terror': TER/O*R
'felt': TPELT
'quite': KWAOEUT
'young': KWRUPBG
'and': SKP
'light.': HRAOEUT/TP-PL
'She': KPA/SHE
'thought': THAUT
'of': -F
'jumping': SKWRUFRPG
'down,': TKOUPB/KW-BG
'and': SKP
'had': H
'got': TKPWOT
'one': WUPB
'leg': HREG
'over': OEFR
'the': -T
'partition,': PAR/TEUGS/KW-BG
'the': -T
'other': OER
'resting': REFT/-G
'on': OPB
'the': -T
'bench.': PWEFRPB/TP-PL
'There': KPA/THR
'she': SHE
'sat': SAT
'astride,': AS/TRAOEUD/KW-BG
'as': AS
'if': TP
'on': OPB
'horseback,': HORS/PWA*BG/KW-BG
'well': WEL
'wrapped': WRAPD
'up': UP
'in': TPH
'her': HER
'flowered': TPHRO*UR/-D
'cloak': KHROEBG
'with': W
'one': WUPB
'leg': HREG
'hanging': HAPBG/-G
'out—a': OUT/EPL/TKA*RB/AEU
'leg': HREG
'in': TPH
'a': AEU
'tremendous': TREPLD
'fur': TPUR
'boot.': PWAOT/TP-PL
'That': KPA/THA
'was': WAS
'a': AEU
'sight': SAOEUT
'to': TO
'behold;': PWE/HOLD/STPH*FPLT
'and': SKP
'when': WHEPB
'it': T
'was': WAS
'beheld,': PWE/HELD/KW-BG
'our': OUR
'aunt': AUPBT
'was': WAS
'heard': HAERD
'too,': TAO/KW-BG
'and': SKP
'was': WAS
'saved': SAFD
'from': TPR
'burning,': PWURPBG/KW-BG
'for': TPOR
'the': -T
'theatre': THAO*ERT
'was': WAS
'not': TPHOT
'burned': PWURPBD
'down.': TKOUPB/TP-PL
'That': KPA/THA
'was': WAS
'the': -T
'most': PHOFT
'memorable': PHEPL/-BL
'evening': AOEPBG
'of': -F
'her': HER
'life,': HRAOEUF/KW-BG
'and': SKP
'she': SHE
'was': WAS
'glad': TKPWHRAD
'that': THA
'she': SHE
'could': KO
'not': TPHOT
'see': SAOE
'herself,': H*ERS/KW-BG
'for': TPOR
'she': SHE
'would': WO
'have': SR
'died': TKAOEUD
'with': W
'confusion.': KAUFGS/TP-PL
'Her': KPA/HER
'benefactor': PWEPB/TPABG/TOR
'in': TPH
'the': -T
'machinery': PH-PB/REU
'department,': TK-PT/KW-BG
'Herr': H*P/*E/R*/R*
'Sivertsen,': S*P/*EU/SR*/*E/R*/T*/-S/*EPB/KW-BG
'visited': SREUFTD
'her': HER
'every': EF
'Sunday,': SUPBD/KW-BG
'but': PWUT
'it': T
'was': WAS
'a': AEU
'long': HROPBG
'time': TAOEUPL
'from': TPR
'Sunday': SUPBD
'to': TO
'Sunday.': SUPBD/TP-PL
'In': KPA/TPH
'the': -T
'latter': HRART
'time,': TAOEUPL/KW-BG
'therefore,': TH-FR/KW-BG
'she': SHE
'used': AOUFD
'to': TO
'have': SR
'in': TPH
'a': AEU
'little': HREUL
'child': KHAOEULD
'"for': KW-GS/TPOR
'the': -T
'scraps;"': SKRAPS/STPH*FPLT/KR-GS
'that': THA
'is': S
'to': TO
'say,': SAEU/KW-BG
'to': TO
'eat': AOET
'up': UP
'the': -T
'remains': RE/PHAEUPBS
'of': -F
'the': -T
'dinner.': TKEURPB/TP-PL
'It': KPA/T
'was': WAS
'a': AEU
'child': KHAOEULD
'employed': PHOEUD
'in': TPH
'the': -T
'ballet,': PWA/HRAEU/KW-BG
'one': WUPB
'that': THA
'certainly': SERPBL
'wanted': WAPBTD
'feeding.': TPAOEGD/TP-PL
'The': KPA/-T
'little': HREUL
'one': WUPB
'used': AOUFD
'to': TO
'appear,': A/PAOER/KW-BG
'sometimes': STAOEUPLS
'as': AS
'an': APB
'elf,': *EFL/KW-BG
'sometimes': STAOEUPLS
'as': AS
'a': AEU
'page;': PAEUPBLG/STPH*FPLT
'the': -T
'most': PHOFT
'difficult': TKEUFL
'part': PART
'she': SHE
'had': H
'to': TO
'play': PHRAEU
'was': WAS
'the': -T
'lion's': HRO*EUPB/AES
'hind': HAOEUPBD
'leg': HREG
'in': TPH
'the': -T
'"Magic': KW-GS/KPA*/PHAPBLG/EUBG
'Flute;"': KPA/TPHRAOUT/STPH*FPLT/KR-GS
'but': PWUT
'as': AS
'she': SHE
'grew': TKPWRAOU
'larger': HRAERPBLG
'she': SHE
'could': KO
'represent': REPT
'the': -T
'fore-feet': TPO*ER/H-PB/TPAOET
'of': -F
'the': -T
'lion.': HRO*EUPB/TP-PL
'She': KPA/SHE
'certainly': SERPBL
'only': OEPBL
'got': TKPWOT
'half': HAF
'a': AEU
'guilder': TKPWEULD/*ER
'for': TPOR
'that,': THARBGS
'whereas': WRAS
'the': -T
'hind': HAOEUPBD
'legs': HREGS
'were': WR
'paid': PAEUD
'for': TPOR
'with': W
'a': AEU
'whole': WHOEL
'guilder;': TKPWEULD/*ER/STPH*FPLT
'but': PWUT
'then': THEPB
'she': SHE
'had': H
'to': TO
'walk': WAUBG
'bent,': PWEPBT/KW-BG
'and': SKP
'to': TO
'do': TKO
'without': WOUT
'fresh': TPRERB
'air.': AEUR/TP-PL
'"That': KW-GS/KPA*/THA
'was': WAS
'all': AUL
'very': SRE
'interesting': TR-G
'to': TO
'hear,"': HAER/KW-BG/KR-GS
'said': SED
'our': OUR
'aunt.': AUPBT/TP-PL
'She': KPA/SHE
'deserved': TKAOE/SER/-FD
'to': TO
'live': HREUF
'as': AS
'long': HROPBG
'as': AS
'the': -T
'theatre': THAO*ERT
'stood,': STAOD/KW-BG
'but': PWUT
'she': SHE
'could': KO
'not': TPHOT
'last': HRAFT
'so': SO
'long;': HROPBG/STPH*FPLT
'and': SKP
'she': SHE
'did': TK
'not': TPHOT
'die': TKAOEU
'in': TPH
'the': -T
'theatre,': THAO*ERT/KW-BG
'but': PWUT
'respectably': R-PT/PWHREU
'in': TPH
'her': HER
'bed.': PWED/TP-PL
'Her': KPA/HER
'last': HRAFT
'words': WORDZ
'were,': WR/KW-BG
'moreover,': PHROEFR/KW-BG
'not': TPHOT
'without': WOUT
'meaning.': PHAOEPBG/TP-PL
'She': KPA/SHE
'asked,': SK-D/KW-BG
'"What': KW-GS/KPA*/WHA
'will': HR
'the': -T
'play': PHRAEU
'be': -B
'to-morrow?"': TO/H-PB/HRO*ER/PHOR/ROE/H-F/KR-GS
'At': KPA/AT
'her': HER
'death': TK*T
'she': SHE
'left': HREFT
'about': PW
'five': TPAOEUF
'hundred': HUPBD
'dollars.': TKHRARS/TP-PL
'We': KPA/WE
'presume': PRAOUPL
'this': TH
'from': TPR
'the': -T
'interest,': TR/KW-BG
'which': WEU
'came': KAEUPL
'to': TO
'twenty': TWEPBT
'dollars.': TKHRARS/TP-PL
'This': KPA/TH
'our': OUR
'aunt': AUPBT
'had': H
'destined': TKES/TEUPBD
'as': AS
'a': AEU
'legacy': HREG/SEU
'for': TPOR
'a': AEU
'worthy': WO*RT/KWREU
'old': OLD
'spinster': SPEUPB/STER
'who': WHO
'had': H
'no': TPHO
'friends;': TPREPBDZ/STPH*FPLT
'it': T
'was': WAS
'to': TO
'be': -B
'devoted': TKWOETD
'to': TO
'a': AEU
'yearly': KWRAOERL
'subscription': SKR*EUPGS
'for': TPOR
'a': AEU
'place': PHRAEUS
'in': TPH
'the': -T
'second': SEBGD
'tier,': TAOER/KW-BG
'on': OPB
'the': -T
'left': HREFT
'side,': SAOEUD/KW-BG
'for': TPOR
'the': -T
'Saturday': SATD
'evening,': AOEPBG/KW-BG
'"for': KW-GS/TPOR
'on': OPB
'that': THA
'evening': AOEPBG
'two': TWO
'pieces': PAOEFS
'were': WR
'always': AULS
'given,"': TKPWEUFPB/KW-BG/KR-GS
'it': T
'said': SED
'in': TPH
'the': -T
'will;': HR/STPH*FPLT
'and': SKP
'the': -T
'only': OEPBL
'condition': K-PB
'laid': HRAEUD
'upon': POPB
'the': -T
'person': PERPB
'who': WHO
'enjoyed': EPB/SKWROEUD
'the': -T
'legacy': HREG/SEU
'was,': WAS/KW-BG
'that': THA
'she': SHE
'should': SHO
'think,': THEU/KW-BG
'every': EF
'Saturday': SATD
'evening,': AOEPBG/KW-BG
'of': -F
'our': OUR
'aunt,': AUPBT/KW-BG
'who': WHO
'was': WAS
'lying': HRAOEUG
'in': TPH
'her': HER
'grave.': TKPWRAEUF/TP-PL
'This': KPA/TH
'was': WAS
'our': OUR
'aunt's': AUPBT/AES
'religion.': RE/HR-GS/TP-PL
