A Society
'by': PWEU
'himself': HEUPLS
'(the': PREPB/-T
'half': HAF
'conceded,': KAUPB/KAOED/-D/KW-BG
'he': HE
'said,': SED/KW-BG
'in': TPH
'recognition': REBGS
'of': -F
'the': -T
'fact': TPABGT
'that': THA
'her': HER
'great': TKPWRAET
'grandmother's': TKPWR-PL/AES
'uncle': UPB/K-L
'was': WAS
'killed': KEULD
'at': AT
'Trafalgar)': TRA/TPAL/TKPWAR/PR*EPB
'it': T
'was': WAS
'his': HEUS
'opinion': P-PB
'that': THA
'her': HER
'honour': HO*RPB/A*U
'would': WO
'be': -B
'as': AS
'good': TKPWAOD
'as': AS
'new.': TPHU/TP-PL
'This': KPA/TH
'was': WAS
'done;': TKOPB/STPH*FPLT
'they': THE
'retired': RAO*EURD
'to': TO
'a': AEU
'restaurant;': STRAUPBT/STPH*FPLT
'drank': TKRA*PBG
'two': TWO
'bottles': PWO*LTS
'of': -F
'wine': WAOEUPB
'for': TPOR
'which': WEU
'he': HE
'insisted': EUPB/SEUFTD
'upon': POPB
'paying;': PAEUG/STPH*FPLT
'and': SKP
'parted': PARTD
'with': W
'protestations': PRO/TEFT/AEUGS/-S
'of': -F
'eternal': AOE/TERPBL
'friendship.': TPREP/TP-PL
'Then': KPA/THEPB
'we': WE
'had': H
'Fanny's': KPA/TPAPB/KWREU/AES
'account': K-T
'of': -F
'her': HER
'visit': SREUFT
'to': TO
'the': -T
'Law': KPA/HRAU
'Courts.': KPA/KORTS/TP-PL
'At': KPA/AT
'her': HER
'first': TPEUFRT
'visit': SREUFT
'she': SHE
'had': H
'come': KOPL
'to': TO
'the': -T
'conclusion': KHRAO*UGS
'that': THA
'the': -T
'Judges': KPA/SKWRUPBLGS
'were': WR
'either': AOERT
'made': PHAED
'of': -F
'wood': WAOD
'or': OR
'were': WR
'impersonated': EUPL/PERS/TPHAEUT/-D
'by': PWEU
'large': HRARPBLG
'animals': PHAPBLS
'resembling': RE/SEPL/-BLG
'man': PHAPB
'who': WHO
'had': H
'been': PW-PB
'trained': TRAEUPBD
'to': TO
'move': PHOF
'with': W
'extreme': KPAO*EPL
'dignity,': TKEUG/TEU/KW-BG
'mumble': PHUPL/-BL
'and': SKP
'nod': TPHOD
'their': THAEUR
'heads.': HEDZ/TP-PL
'To': KPA/TO
'test': TEFT
'her': HER
'theory': THOEUR
'she': SHE
'had': H
'liberated': HREUB/RAEUTD
'a': AEU
'handkerchief': HAPB/KER/KHEF
'of': -F
'bluebottles': PWHRU/TK-LS/PWO*LTS
'at': AT
'the': -T
'critical': KR*EUL
'moment': PHOEPLT
'of': -F
'a': AEU
'trial,': TRAOEUL/KW-BG
'but': PWUT
'was': WAS
'unable': TPHA*EUBL
'to': TO
'judge': SKWRUPBLG
'whether': WHR
'the': -T
'creatures': KRAOEFPS
'gave': TKPWAEUF
'signs': SAOEUPBS
'of': -F
'humanity': HAOUPLT
'for': TPOR
'the': -T
'buzzing': PWUZ/-G
'of': -F
'the': -T
'flies': TPHRAOEUS
'induced': EUPB/TKAOUFD
'so': SO
'sound': SOUPBD
'a': AEU
'sleep': SHRAOEP
'that': THA
'she': SHE
'only': OEPBL
'woke': WOEBG
'in': TPH
'time': TAOEUPL
'to': TO
'see': SAOE
'the': -T
'prisoners': PREUZ/TPHERS
'led': HRED
'into': TPHAO
'the': -T
'cells': KRELS
'below.': PWHRO/TP-PL
'But': KPA/PWUT
'from': TPR
'the': -T
'evidence': *EFD
'she': SHE
'brought': PWRAUT
'we': WE
'voted': SROETD
'that': THA
'it': T
'is': S
'unfair': UPB/TPAEUR
'to': TO
'suppose': SPOS
'that': THA
'the': -T
'Judges': KPA/SKWRUPBLGS
'are': R
'men.': PHEPB/TP-PL
'Helen': HEL/*EPB
'went': WEPBT
'to': TO
'the': -T
'Royal': KPA/ROEUL
'Academy,': KA*D/PHEU/KW-BG
'but': PWUT
'when': WHEPB
'asked': SK-D
'to': TO
'deliver': TKHREUFR
'her': HER
'report': ORP
'upon': POPB
'the': -T
'pictures': P*EUFPS
'she': SHE
'began': TKPWAPB
'to': TO
'recite': RE/SAOEUT
'from': TPR
'a': AEU
'pale': PAEL
'blue': PWHRU
'volume,': SROL/KW-BG
'"O!': KW-GS/O*P/SKHRAPL
'for': TPOR
'the': -T
'touch': TUFP
'of': -F
'a': AEU
'vanished': SRAPB/EURBD
'hand': HAPBD
'and': SKP
'the': -T
'sound': SOUPBD
'of': -F
'a': AEU
'voice': SROEUS
'that': THA
'is': S
'still.': STEUL/TP-PL
'Home': KPA/HOEPL
'is': S
'the': -T
'hunter,': HUPB/TER/KW-BG
'home': HOEPL
'from': TPR
'the': -T
'hill.': HEUL/TP-PL
'He': KPA/HE
'gave': TKPWAEUF
'his': HEUS
'bridle': PWRAOEUD/*L
'reins': RA*EPB/-S
'a': AEU
'shake.': SHAEUBG/TP-PL
'Love': KPA/HRUF
'is': S
'sweet,': SWAOET/KW-BG
'love': HRUF
'is': S
'brief.': PWRAOEF/TP-PL
'Spring,': KPA/SPREUPBG/KW-BG
'the': -T
'fair': TPAEUR
'spring,': SPREUPBG/KW-BG
'is': S
'the': -T
'year's': KWRAOER/AES
'pleasant': PHREFPBT
'King.': KO*EUPBG/TP-PL
'O!': O*P/SKHRAPL
'to': TO
'be': -B
'in': TPH
'England': TKPWHRAEPBD
'now': TPHOU
'that': THA
'April's': PREUL/AES
'there.': THR/TP-PL
'Men': KPA/PHEPB
'must': PHUFT
'work': WORBG
'and': SKP
'women': WEUPL
'must': PHUFT
'weep.': WAOEP/TP-PL
'The': KPA/-T
'path': PA*T
'of': -F
'duty': TKAOUT
'is': S
'the': -T
'way': WAEU
'to': TO
'glory—"': TKPWHROER/EPL/TKA*RB/KR-GS
'We': KPA/WE
'could': KO
'listen': HREUFPB
'to': TO
'no': TPHO
'more': PHOR
'of': -F
'this': TH
'gibberish.': SKWREUB/REURB/TP-PL
'"We': KW-GS/KPA*/WE
'want': WAPBT
'no': TPHO
'more': PHOR
'poetry!"': POEURT/SKHRAPL/KR-GS
'we': WE
'cried.': KRAOEUD/TP-PL
'"Daughters': KW-GS/KPA*/TKAURS
'of': -F
'England!"': TKPWHRAEPBD/SKHRAPL/KR-GS
'she': SHE
'began,': TKPWAPB/KW-BG
'but': PWUT
'here': HAOER
'we': WE
'pulled': PULD
'her': HER
'down,': TKOUPB/KW-BG
'a': AEU
'vase': SRAS
'of': -F
'water': WAUR
'getting': TKPWEGT
'spilt': SPEULT
'over': OEFR
'her': HER
'in': TPH
'the': -T
'scuffle.': SKUFL/TP-PL
'"Thank': KW-GS/KPA*/THAPBG
'God!"': TKPWO*D/SKHRAPL/KR-GS
'she': SHE
'exclaimed,': SKHRAEUPLD/KW-BG
'shaking': SHAEUG
'herself': H*ERS
'like': HRAOEUBG
'a': AEU
'dog.': TKOG/TP-PL
'"Now': KW-GS/KPA*/TPHOU
'I'll': AOEUL
'roll': ROL
'on': OPB
'the': -T
'carpet': KARPT
'and': SKP
'see': SAOE
'if': TP
'I': EU
'can't': K-PBT
'brush': PWRURB
'off': OF
'what': WHA
'remains': RE/PHAEUPBS
'of': -F
'the': -T
'Union': AO*UPB/KWROPB
'Jack.': SKWRA*BG/TP-PL
'Then': KPA/THEPB
'perhaps—"': PRAPS/EPL/TKA*RB/KR-GS
'here': HAOER
'she': SHE
'rolled': ROLD
'energetically.': TPH-RG/ET/KHREU/TP-PL
'Getting': KPA/TKPWEGT
'up': UP
'she': SHE
'began': TKPWAPB
'to': TO
'explain': SPHRAEUPB
'to': TO
'us': US
'what': WHA
'modern': PHOERPB
'pictures': P*EUFPS
'are': R
'like': HRAOEUBG
'when': WHEPB
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'stopped': STOPD
'her.': HER/TP-PL
'"What': KW-GS/KPA*/WHA
'is': S
'the': -T
'average': AFRG
'size': SAOEUZ
'of': -F
'a': AEU
'picture?"': P*EUFP/H-F/KR-GS
'she': SHE
'asked.': SK-D/TP-PL
'"Perhaps': KW-GS/KPA*/PRAPS
'two': TWO
'feet': TPAOET
'by': PWEU
'two': TWO
'and': SKP
'a': AEU
'half,"': HAF/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'made': PHAED
'notes': TPHOETS
'while': WHAOEUL
'Helen': HEL/*EPB
'spoke,': SPOEBG/KW-BG
'and': SKP
'when': WHEPB
'she': SHE
'had': H
'done,': TKOPB/KW-BG
'and': SKP
'we': WE
'were': WR
'trying': TRAOEUG
'not': TPHOT
'to': TO
'meet': PHAOET
'each': AOEFP
'other's': OER/AES
'eyes,': AO*EUS/KW-BG
'rose': ROEZ
'and': SKP
'said,': SED/KW-BG
'"At': KW-GS/KPA*/AT
'your': KWROUR
'wish': WEURB
'I': EU
'spent': SPEPBT
'last': HRAFT
'week': WAOEBG
'at': AT
'Oxbridge,': O*P/KP*/PW*/R*/*EU/TK*/*PBLG/KW-BG
'disguised': STKPWAOEUFD
'as': AS
'a': AEU
'charwoman.': KHAR/WO*PL/TP-PL
'I': EU
'thus': THUS
'had': H
'access': ABG/SES
'to': TO
'the': -T
'rooms': RAOPLS
'of': -F
'several': SEFRL
'Professors': KPA/PROEFRS
'and': SKP
'will': HR
'now': TPHOU
'attempt': A/TEPLT
'to': TO
'give': TKPWEUF
'you': U
'some': SOPL
'idea—only,"': KWR-D/EPL/TKA*RB/OEPBL/KW-BG/KR-GS
'she': SHE
'broke': PWROEBG
'off,': OF/KW-BG
'"I': KW-GS/EU
'can't': K-PBT
'think': THEU
'how': HOU
'to': TO
'do': TKO
'it.': T/TP-PL
'It's': KPA/T-S
'all': AUL
'so': SO
'queer.': KWAOER/TP-PL
'These': KPA/THEZ
'Professors,"': KPA/PROEFRS/KW-BG/KR-GS
'she': SHE
'went': WEPBT
'on,': OPB/KW-BG
'"live': KW-GS/HREUF
'in': TPH
'large': HRARPBLG
'houses': HO*UFS
'built': PWEULT
'round': ROUPBD
'grass': TKPWRAS
'plots': PHROTS
'each': AOEFP
'in': TPH
'a': AEU
'kind': KEUPBD
'of': -F
'cell': KREL
'by': PWEU
'himself.': HEUPLS/TP-PL
'Yet': KPA/KWRET
'they': THE
'have': SR
'every': EF
'convenience': SRAOEPBS
'and': SKP
'comfort.': K-FRT/TP-PL
'You': KPA/U
'have': SR
'only': OEPBL
'to': TO
'press': PRES
'a': AEU
'button': PW*PB
'or': OR
'light': HRAOEUT
'a': AEU
'little': HREUL
'lamp.': HRAFRP/TP-PL
'Their': KPA/THAEUR
'papers': PAEUPS
'are': R
'beautifully': PWAOUFL/HREU
'filed.': TPAOEULD/TP-PL
'Books': KPA/PWAOBGS
'abound.': A/PWOUPBD/TP-PL
'There': KPA/THR
'are': R
'no': TPHO
'children': KHEURPB
'or': OR
'animals,': PHAPBLS/KW-BG
'save': SAF
'half': HAF
'a': AEU
'dozen': TKOZ
'stray': STRAEU
'cats': KATS
'and': SKP
'one': WUPB
'aged': AEUGD
'bullfinch—a': PWUL/TP*EUPB/*FP/EPL/TKA*RB/AEU
'cock.': KOBG/TP-PL
'I': EU
'remember,"': RER/KW-BG/KR-GS
'she': SHE
'broke': PWROEBG
'off,': OF/KW-BG
'"an': KW-GS/APB
'Aunt': A*UPBT
'of': -F
'mine': PHAOEUPB
'who': WHO
'lived': HREUFD
'at': AT
'Dulwich': TK*P/*U/HR*/W*/SKWREU/*FP
'and': SKP
'kept': KEPT
'cactuses.': KABG/TUS/ES/TP-PL
'You': KPA/U
'reached': RAOEFPD
'the': -T
'conservatory': KEFRB/TOER
'through': THRU
'the': -T
'double': TKUBL
'drawing-room,': TKRAUG/H-PB/RAOPL/KW-BG
'and': SKP
'there,': THR-RBGS
'on': OPB
'the': -T
'hot': HOT
'pipes,': PAOEUPS/KW-BG
'were': WR
'dozens': TKOZ/-Z
'of': -F
'them,': THEPL/KW-BG
'ugly,': ULG/KW-BG
'squat,': SKWAT/KW-BG
'bristly': PWREUFL/HREU
'little': HREUL
'plants': PHRAPBTS
'each': AOEFP
'in': TPH
'a': AEU
'separate': SERPT
'pot.': POT/TP-PL
'Once': KPA/WUPBS
'in': TPH
'a': AEU
'hundred': HUPBD
'years': KWRAOERS
'the': -T
'Aloe': KPA/AL/OE
'flowered,': TPHRO*UR/-D/KW-BG
'so': SO
'my': PHEU
'Aunt': A*UPBT
'said.': SED/TP-PL
'But': KPA/PWUT
'she': SHE
'died': TKAOEUD
'before': PW-FR
'that': THA
'happened—"': HAPD/EPL/TKA*RB/KR-GS
'We': KPA/WE
'told': TOLD
'her': HER
'to': TO
'keep': KAOEP
'to': TO
'the': -T
'point.': POEUPBT/TP-PL
'"Well,"': KW-GS/KPA*/WEL/KW-BG/KR-GS
'she': SHE
'resumed,': RAOUPLD/KW-BG
'"when': KW-GS/WHEPB
'Professor': PRO*EFR
'Hobkin': H*P/O*/PW*/*BG/*EUPB
'was': WAS
'out,': OUT/KW-BG
'I': EU
'examined': KP-D
'his': HEUS
'life': HRAOEUF
'work,': WORBG/KW-BG
'an': APB
'edition': ED/EUGS
'of': -F
'Sappho.': SAF/SKWRO/TP-PL
'It's': KPA/T-S
'a': AEU
'queer': KWAOER
'looking': HRAOG
'book,': PWAOBG/KW-BG
'six': SEUBGS
'or': OR
'seven': SEFPB
'inches': TPH-FPS
'thick,': THEUBG/KW-BG
'not': TPHOT
'all': AUL
'by': PWEU
'Sappho.': SAF/SKWRO/TP-PL
'Oh,': KPA/O*ERBGS/KW-BG
'no.': TPHO/TP-PL
'Most': KPA/PHOFT
'of': -F
'it': T
'is': S
'a': AEU
'defence': TKEFS/A*U
'of': -F
'Sappho's': SAF/SKWRO/AES
'chastity,': KHAFT/TEU/KW-BG
'which': WEU
'some': SOPL
'German': SKWR*ERPB
'had': H
'denied,': TKAOEPBD/KW-BG
'and': SKP
'I': EU
'can': K
'assure': A/SHUR
'you': U
'the': -T
'passion': PAGS
'with': W
'which': WEU
'these': THEZ
'two': TWO
'gentlemen': SKWR*EPL
'argued,': ARGD/KW-BG
'the': -T
'learning': HRERPBG
'they': THE
'displayed,': TKEUS/PHRAEUD/KW-BG
'the': -T
'prodigious': PRO/TKEURBS
'ingenuity': EUPBG/TPHAOUT
'with': W
'which': WEU
'they': THE
'disputed': TKEUS/PAOUT/-D
'the': -T
'use': AOUS
'of': -F
'some': SOPL
'implement': EUPLT
'which': WEU
'looked': HRAOBGD
'to': TO
'me': PHE
'for': TPOR
'all': AUL
'the': -T
'world': WORLD
'like': HRAOEUBG
'a': AEU
'hairpin': HAEUR/*P/*EUPB
'astounded': A/STOUPBD/-D
'me;': PHE/STPH*FPLT
'especially': EPS
'when': WHEPB
'the': -T
'door': TKAOR
'opened': OEPD
'and': SKP
'Professor': PRO*EFR
'Hobkin': H*P/O*/PW*/*BG/*EUPB
'himself': HEUPLS
'appeared.': A/PAOERD/TP-PL
'A': KPA/AEU
'very': SRE
'nice,': TPHAOEUS/KW-BG
'mild,': PHAOEULD/KW-BG
'old': OLD
'gentleman,': SKWRA*PL/KW-BG
'but': PWUT
'what': WHA
'could': KO
'he': HE
'know': TPHOE
'about': PW
'chastity?"': KHAFT/TEU/H-F/KR-GS
'We': KPA/WE
'misunderstood': PHEUS/AOUDZ
'her.': HER/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'no,"': TPHORBGS/KR-GS
'she': SHE
'protested,': PROE/TEFT/-D/KW-BG
'"he's': KW-GS/HAOES
'the': -T
'soul': SOUL
'of': -F
'honour': HO*RPB/A*U
'I'm': AOEUPL
'sure—not': SHUR/EPL/TKA*RB/TPHOT
'that': THA
'he': HE
'resembles': RE/SEPL/-BLS
'Rose's': RO*ES/AES
'sea': SAE
'captain': KAPT
'in': TPH
'the': -T
'least.': HRAOEFT/TP-PL
'I': EU
'was': WAS
'thinking': THEUG
'rather': RAER
'of': -F
'my': PHEU
'Aunt's': A*UPBT/AES
'cactuses.': KABG/TUS/ES/TP-PL
'What': KPA/WHA
'could': KO
'they': THE
'know': TPHOE
'about': PW
'chastity?"': KHAFT/TEU/H-F/KR-GS
'Again': KPA/TKPWEPB
'we': WE
'told': TOLD
'her': HER
'not': TPHOT
'to': TO
'wander': WAERPBD
'from': TPR
'the': -T
'point,—did': POEUPBT/KW-BG/EPL/TKA*RB/TK
'the': -T
'Oxbridge': O*P/KP*/PW*/R*/*EU/TK*/*PBLG
'professors': PROEFRS
'help': HEP
'to': TO
'produce': PROU
'good': TKPWAOD
'people': PAOEPL
'and': SKP
'good': TKPWAOD
'books?—the': PWAOBGS/H-F/EPL/TKA*RB/-T
'objects': OBS
'of': -F
'life.': HRAOEUF/TP-PL
'"There!"': KW-GS/KPA*/THR/SKHRAPL/KR-GS
'she': SHE
'exclaimed.': SKHRAEUPLD/TP-PL
'"It': KW-GS/KPA*/T
'never': TPHEFR
'struck': STRUBG
'me': PHE
'to': TO
'ask.': SK/TP-PL
'It': KPA/T
'never': TPHEFR
'occurred': KROEURD
'to': TO
'me': PHE
'that': THA
'they': THE
'could': KO
'possibly': POBL
'produce': PROU
'anything."': TPHEUG/TP-PL/KR-GS
'"I': KW-GS/EU
'believe,"': PWHREF/KW-BG/KR-GS
'said': SED
'Sue,': SAO*U/KW-BG
'"that': KW-GS/THA
'you': U
'made': PHAED
'some': SOPL
'mistake.': SPHAEUBG/TP-PL
'Probably': KPA/PROBL
'Professor': PRO*EFR
'Hobkin': H*P/O*/PW*/*BG/*EUPB
'was': WAS
'a': AEU
'gynæcologist.': TKPW*/KWR*/TPH*/xxx/KR*/O*/HR*/O*/TKPW*/EUFT/TP-PL
'A': KPA/AEU
'scholar': SKHRAR
'is': S
'a': AEU
'very': SRE
'different': TKEUFRT
'sort': SORT
'of': -F
'man.': PHAPB/TP-PL
'A': KPA/AEU
'scholar': SKHRAR
'is': S
'overflowing': AUFR/TPHROEG
'with': W
'humour': HAOURPL/A*U
'and': SKP
'invention—perhaps': EUPB/SREPBGS/EPL/TKA*RB/PRAPS
'addicted': A/TKEUBGD
'to': TO
'wine,': WAOEUPB/KW-BG
'but': PWUT
'what': WHA
'of': -F
'that?—a': THA/H-F/EPL/TKA*RB/AEU
'delightful': TKHRAOEUT/-FL
'companion,': KPAPB/KWROPB/KW-BG
'generous,': SKWREPB/ROUS/KW-BG
'subtle,': SUBLT/KW-BG
'imaginative—as': PHAPBLG/TEUF/EPL/TKA*RB/AS
'stands': STAPBDZ
'to': TO
'reason.': R-PB/TP-PL
'For': KPA/TPOR
'he': HE
'spends': SPEPBDZ
'his': HEUS
'life': HRAOEUF
'in': TPH
'company': K-P
'with': W
'the': -T
'finest': TPAOEUPB/EFT
'human': HAOUPL
'beings': -BGZ
'that': THA
'have': SR
'ever': -FR
'existed."': KPEUFTD/TP-PL/KR-GS
'"Hum,"': KW-GS/KPA*/HUPL/KW-BG/KR-GS
'said': SED
'Castalia.': KPA/KAFT/A*L/SKWREU/KWRA/TP-PL
'"Perhaps': KW-GS/KPA*/PRAPS
'I'd': AOEUD
'better': PWOERT
'go': TKPW
'back': PWABG
'and': SKP
'try': TREU
'again."': TKPWEPB/TP-PL/KR-GS
'Some': KPA/SOPL
'three': THRAOE
'months': PHO*PBTS
'later': HRAEURT
'it': T
'happened': HAPD
'that': THA
'I': EU
'was': WAS
'sitting': SEUGT
'alone': A/HROEPB
'when': WHEPB
'Castalia': KPA/KAFT/A*L/SKWREU/KWRA
'entered.': SPWR-D/TP-PL
'I': EU
'don't': TKOEPBT
'know': TPHOE
'what': WHA
'it': T
'was': WAS
'in': TPH
'the': -T
'look': HRAOBG
'of': -F
'her': HER
'that': THA
'so': SO
'moved': PHOFD
'me;': PHE/STPH*FPLT
'but': PWUT
'I': EU
'could': KO
'not': TPHOT
'restrain': RE/STRAEUPB
'myself,': PHAO*EUS/KW-BG
'and,': SKP/KW-BG
'dashing': TKARB/-G
'across': KRAOS
'the': -T
'room,': RAOPL/KW-BG
'I': EU
'clasped': KHRAS/-PD
'her': HER
'in': TPH
'my': PHEU
'arms.': ARPLS/TP-PL
'Not': KPA/TPHOT
'only': OEPBL
'was': WAS
'she': SHE
'very': SRE
'beautiful;': PWAOUFL/STPH*FPLT
'she': SHE
'seemed': SAOEPLD
'also': HR-S
'in': TPH
'the': -T
'highest': HAOEU/EFT
'spirits.': SPEURTS/TP-PL
'"How': KW-GS/KPA*/HOU
'happy': HAEP
'you': U
'look!"': HRAOBG/SKHRAPL/KR-GS
'I': EU
'exclaimed,': SKHRAEUPLD/KW-BG
'as': AS
'she': SHE
'sat': SAT
'down.': TKOUPB/TP-PL
'"I've': KR-GS/AOEUF
'been': PW-PB
'at': AT
'Oxbridge,"': O*P/KP*/PW*/R*/*EU/TK*/*PBLG/KW-BG/KR-GS
'she': SHE
'said.': SED/TP-PL
'"Asking': KW-GS/KPA*/SK-G
'questions?"': KWES/H-F/KR-GS
'"Answering': KW-GS/KPA*/AEPBS/-G
'them,"': THEPL/KW-BG/KR-GS
'she': SHE
'replied.': RE/PHRAOEUD/TP-PL
'"You': KW-GS/KPA*/U
'have': SR
'not': TPHOT
'broken': PWROEPB
'our': OUR
'vow?"': SROU/H-F/KR-GS
'I': EU
'said': SED
'anxiously,': KPUS/HREU/KW-BG
'noticing': TPH-TS/-G
'something': S-G
'about': PW
'her': HER
'figure.': TPEUG/TP-PL
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'the': -T
'vow,"': SROU/KW-BG/KR-GS
'she': SHE
'said': SED
'casually.': KAS/WAEL/TP-PL
'"I'm': KW-GS/AOEUPL
'going': TKPW-G
'to': TO
'have': SR
'a': AEU
'baby,': PWAEB/KW-BG
'if': TP
'that's': THATS
'what': WHA
'you': U
'mean.': PHAOEPB/TP-PL
'You': KPA/U
'can't': K-PBT
'imagine,"': PHAPBLG/KW-BG/KR-GS
'she': SHE
'burst': PWUFRT
'out,': OUT/KW-BG
'"how': KW-GS/HOU
'exciting,': KPAOEUG/KW-BG
'how': HOU
'beautiful,': PWAOUFL/KW-BG
'how': HOU
'satisfying—"': SAEG/EPL/TKA*RB/KR-GS
'"What': KW-GS/KPA*/WHA
'is?"': S/H-F/KR-GS
'I': EU
'asked.': SK-D/TP-PL
'"To—to—answer': KW-GS/KPA*/TO/EPL/TKA*RB/TO/EPL/TKA*RB/AEPBS
'questions,"': KWES/KW-BG/KR-GS
'she': SHE
'replied': RE/PHRAOEUD
'in': TPH
'some': SOPL
'confusion.': KAUFGS/TP-PL
'Whereupon': KPA/WRUP
'she': SHE
'told': TOLD
'me': PHE
'the': -T
'whole': WHOEL
'of': -F
'her': HER
'story.': STOER/TP-PL
'But': KPA/PWUT
'in': TPH
'the': -T
'middle': PH*EULD
'of': -F
'an': APB
'account': K-T
'which': WEU
'interested': TR-D
'and': SKP
'excited': KPAOEUTD
'me': PHE
'more': PHOR
'than': THAPB
'anything': TPHEUG
'I': EU
'had': H
'ever': -FR
'heard,': HAERD/KW-BG
'she': SHE
'gave': TKPWAEUF
'the': -T
'strangest': STRAEUPBG/*ES
'cry,': KRAOEU/KW-BG
'half': HAF
'whoop,': WHAOP/KW-BG
'half': HAF
'holloa—': H*/O*/HR*/HR*/KWRO/KWRA/EPL/TKA*RB
'"Chastity!': KW-GS/KPA*/KHAFT/TEU/SKHRAPL
'Chastity!': KPA/KHAFT/TEU/SKHRAPL
'Where's': KPA/W-RS
'my': PHEU
'chastity!"': KHAFT/TEU/SKHRAPL/KR-GS
'she': SHE
'cried.': KRAOEUD/TP-PL
'"Help': KW-GS/KPA*/HEP
'Ho!': KPA/HO*E/SKHRAPL
'The': KPA/-T
'scent': SKEPBT
'bottle!"': PWO*LT/SKHRAPL/KR-GS
'There': KPA/THR
'was': WAS
'nothing': TPHOG
'in': TPH
'the': -T
'room': RAOPL
'but': PWUT
'a': AEU
'cruet': KR*/R*/SKWRU/ET
'containing': KAUPB/TAEUPBG
'mustard,': PHUFRD/KW-BG
'which': WEU
'I': EU
'was': WAS
'about': PW
'to': TO
'administer': AD/STER
'when': WHEPB
'she': SHE
'recovered': ROFRD
'her': HER
'composure.': KPOE/SHUR/TP-PL
'"You': KW-GS/KPA*/U
'should': SHO
'have': SR
'thought': THAUT
'of': -F
'that': THA
'three': THRAOE
'months': PHO*PBTS
'ago,"': AG/KW-BG/KR-GS
'I': EU
'said': SED
'severely.': SAOEFRL/TP-PL
'"True,"': KW-GS/KPA*/TRAOU/KW-BG/KR-GS
'she': SHE
'replied.': RE/PHRAOEUD/TP-PL
'"There's': KW-GS/KPA*/THR-S
'not': TPHOT
'much': PHUFP
'good': TKPWAOD
'in': TPH
'thinking': THEUG
'of': -F
'it': T
'now.': TPHOU/TP-PL
'It': KPA/T
'was': WAS
'unfortunate,': TPHORPBT/KW-BG
'by': PWEU
'the': -T
'way,': WAEU/KW-BG
'that': THA
'my': PHEU
'mother': PHOER
'had': H
'me': PHE
'called': KAULD
'Castalia."': KPA/KAFT/A*L/SKWREU/KWRA/TP-PL/KR-GS
'"Oh,': KW-GS/KPA*/O*ERBGS/KW-BG
'Castalia,': KPA/KAFT/A*L/SKWREU/KWRA/KW-BG
'your': KWROUR
'mother—"': PHOER/EPL/TKA*RB/KR-GS
'I': EU
'was': WAS
'beginning': TKPWEUPB/-G
'when': WHEPB
'she': SHE
'reached': RAOEFPD
'for': TPOR
'the': -T
'mustard': PHUFRD
'pot.': POT/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'no,': TPHORBGS
'no,"': TPHORBGS/KR-GS
'she': SHE
'said,': SED/KW-BG
'shaking': SHAEUG
'her': HER
'head.': HED/TP-PL
'"If': KW-GS/KPA*/TP
'you'd': UD
'been': PW-PB
'a': AEU
'chaste': KHAEUFT
'woman': WOPL
'yourself': KWRO*URS
'you': U
'would': WO
'have': SR
'screamed': SKRAOEPLD
'at': AT
'the': -T
'sight': SAOEUT
'of': -F
'me—instead': PHE/EPL/TKA*RB/STPHED
'of': -F
'which': WEU
'you': U
'rushed': RURBD
'across': KRAOS
'the': -T
'room': RAOPL
'and': SKP
'took': TAOBG
'me': PHE
'in': TPH
'your': KWROUR
'arms.': ARPLS/TP-PL
'No,': KPA/TPHO/KW-BG
'Cassandra.': KA/SAPBD/RA/TP-PL
'We': KPA/WE
'are': R
'neither': TPHAOERT
'of': -F
'us': US
'chaste."': KHAEUFT/TP-PL/KR-GS
'So': KPA/SO
'we': WE
'went': WEPBT
'on': OPB
'talking.': TAUG/TP-PL
'Meanwhile': KPA/PHAOEPB/WHAOEUL
'the': -T
'room': RAOPL
'was': WAS
'filling': TPEULG
'up,': UP/KW-BG
'for': TPOR
'it': T
'was': WAS
'the': -T
'day': TKAEU
'appointed': POEUPBD
'to': TO
'discuss': SKUS
'the': -T
'results': RULTS
'of': -F
'our': OUR
'observations.': OEBGS/-S/TP-PL
'Everyone,': KPA/EFRPB/KW-BG
'I': EU
'thought,': THAUT/KW-BG
'felt': TPELT
'as': AS
'I': EU
'did': TK
'about': PW
'Castalia.': KPA/KAFT/A*L/SKWREU/KWRA/TP-PL
'They': KPA/THE
'kissed': K*EUFD
'her': HER
'and': SKP
'said': SED
'how': HOU
'glad': TKPWHRAD
'they': THE
'were': WR
'to': TO
'see': SAOE
'her': HER
'again.': TKPWEPB/TP-PL
'At': KPA/AT
'length,': HREPBG/KW-BG
'when': WHEPB
'we': WE
'were': WR
'all': AUL
'assembled,': A/SEPL/-BLD/KW-BG
'Jane': SKWRAEUPB
'rose': ROEZ
'and': SKP
'said': SED
'that': THA
'it': T
'was': WAS
'time': TAOEUPL
'to': TO
'begin.': TKPWEUPB/TP-PL
'She': KPA/SHE
'began': TKPWAPB
'by': PWEU
'saying': SAEUG
'that': THA
'we': WE
'had': H
'now': TPHOU
'asked': SK-D
'questions': KWES
