Multi-syllable words with doubled consonant letters

'warriors': WAR/KWRORS
'comment': KPHEPBT
'assembly': A/SEPL/PWHREU
'tobacco': TPWABG
'dwelling': TKWELG
'bitterly': PWEURLT
'opportunities': TAOUPBTS
'accused': A/KAOUFD
'cunning': KUPBG
'appointment': POEUPLT
'lessons': HROEFPBS
'offence': OF/EPBS
'occasional': KWAEULG
'confessed': KAUPB/TPES/-D
'arrangements': ARPBG/*PLT/-S
'accepting': SEPG
'compressed': KPREFD
'careless': KAEURLS
'recalled': -RLD
'surrender': SREPBD/UR
'appearing': A/PAOERG
'assurance': A/SHURPBS
'mirror': PHROR
'adding': AGD
'restless': REFT/-LS
'afforded': A/TPORD/-D
'affectionate': A*FBGS/TPHAT
'arrange': A/RAEUPBG
'committee': KPHAOE
'effective': TPEF
'confession': KAUPB/TPEGS
'Massachusetts': PHA*
'greatness': TKPWRAET/-PBS
'struggling': STRUG/-LG
'motionless': PHOEGS/-LS
'hopeless': HOEP/-LS
'gratefully': TKPWRAEUT/TPHREU
'travelled': TRAFL/*LD
'commands': KPHAPBDZ
'Polly': POL/HREU
'letting': HREGT
'summit': SUPLT
'artillery': AR/TEUL/REU
'arrest': A*EURS
'professional': PREPBL
'garrison': TKPWAEUR/SOPB
'affections': A*FBGS/-S
'surrounding': SROUPBGD
'recollection': REBGT/-G
'innocence': TPHEPBS
'endless': EPBD/-LS
'occupy': OBG/PAOEU
'commons': KPHOPBS
'commanding': KPHAPBD/-G
'madness': PHAD/-PBS
'happily': HAP/HREU
'assigned': A/SAOEUPBD
'willingly': HR-G/HREU
'attractive': A/TRAF
'sickness': SEUBG/-PBS
'worry': WOER
'effected': TPEBGD
'passengers': PAEPBGS
'witnesses': W-PBS/-S
'killing': KEULG
'funny': TPAOUPB
'appetite': AP/TAOEUT
'stopping': STOPG
'offended': OE/TPEPBD/-D
'arrows': AR/OES
'sufferings': SUFRGS
'immortal': EUPL/PHORT/A*L
'gallery': TKPWAL/REU
'parallel': PHREL
'submitted': SPHEUTD
'fanny': TPAPB/KWREU
'illustrious': EUL/HRUFT/ROUS
'Anna': APB/TPHA
'array': A/RAEU
'bitterness': PWEURT/-PBS
'expressions': EBGS/PREGSZ
'alliance': A/HRAOEUPBS
'apprehension': AP/HEPBGS
'commit': KPHEUT
'sweetness': SWAOET/-PBS
'dismissed': TKEUS/PHEUS/-D
'affect': AFBGT
'personally': PHRERPBL
'rebellion': RE/PWEL/KWROPB
'forbidden': TPAURBTD
'copper': KOP/ER
'differences': TKEUFRPBSZ
'witnessed': W-PBS/-D
'addresses': A/TKREFS
'channel': KHAPBL
'smallest': SPHAUL/EFT
'excess': EBG/SES
'accomplish': PHREURB
'unnecessary': UPB/TPHES
'Missouri': PHO*
'filling': TPEULG
'addressing': A/TKREFG
'recommended': REPLD
'Morrow': PHOR/ROE
'corresponding': KOERPBG
'session': SEGS
'traveller': TRA*FL/HRER
'warrant': WARPBT
'Illinois': *EUL
'Charlotte': KHARL/OT
'appropriate': PROET
'assisted': S*EUFD
'marvellous': PHAFLS/A*U
'collar': KHRAR
'cheerfully': KHAOER/TPHREU
'Pennsylvania': PA*
'stirring': STEURG
'righteousness': RAOEUGS/-PBS
'missing': PHEUFG
'association': SOEGS
'asserted': A/SERT/-D
'cannon': KAPB/TPHOPB
'possessions': POE/SEGS/-S
'petty': PET/TEU
'warrior': WAR/KWROR
'impressions': EUPL/PREGS/-S
'inaccurate': TPHABG/RAT
'specially': SPERBL/HREU
'unwilling': TPH-LG
'innumerable': EUPB/TPHAOUPL/RABL
'horrid': HOR/EUD
'pulling': PULG
'appreciate': PRAOERB
'communicated': KPHAOUPB/KAEUT/-D
'attacks': A/TABGS
'literally': HREUT/RAEL
'Ellen': EL/EPB
'dropping': TKROPG
'penny': PEPB/TPHEU
'eagerness': AOEG/ERPBS
'occurs': KROEURS
'apple': A*EPL
'travellers': TRA*FL/ERS/A*U
'totally': THROELT
'discuss': SKUS
'differ': TK-FR
'fulfilled': TPUL/TPEULD
'attain': A/TAEUPB
'collect': KHREBGT
'borrowed': PWO*ERD
'assault': A/SAULT
'officials': TPEURBLS
'approval': A/PROFL
'compassion': KPAGS
'glittering': TKPWHREUT/ERG
'attachment': A/TAPLT
'recollect': REBGT
'barren': PWAEURPB
'recommend': REPL
'shillings': SHEUL/-GS
'Vienna': SRAOEPB/TPHA
'applause': A/PHRAUS
'pillow': PEUL/OE
'abbey': AB/PWEU
'arrow': RO*EUR
'fitting': TPAOEGT
'essence': ES/EPBS
'accord': A/KORD
'sally': SAL/HREU
'successfully': SUBG/SES/TPHREU
'expressing': EBGS/PRES/-G
'likeness': HRAOEUBG/-PBS
'jolly': SKWROL/HREU
'warranties': WARPB/TEU/-S
'happier': HAP/KWRER
'ladder': HRAERD
'swallowed': SWALD
'sunny': SAOUPB
'tyranny': TEUR/TPHEU
'bidding': PWEUD/-G
'shallow': SHOEUL
'irregular': EUR/REG
'battles': PWAT/-LS
'compass': KPAS
'faithfully': TPA*EUT/TPHREU
'excellence': KPHREPBS
'illustrated': EUL/STRAEUTD
'terribly': TERBL/HREU
'oppressed': OE/PREFD
'Williams': WOEUPLS
'goddess': TKPWOD/ES
'Tennessee': T*PB
'Prussia': PRURB/SHA
'illustration': EUL/SRAEUGS
'supposing': SPOEFG
'attending': A/TEPBD/-G
'hurriedly': HUR/TKHREU
'dressing': TKREFG
'challenge': KHALG
'admission': AD/PHEUGS
'terrified': TER/TPAOEUD
'surroundings': SRAOUPBD/-G
'sorrows': SROE/-S
'occasioned': OEBGS/-D
'pattern': PAERPB
'errand': ER/APBD
'communicate': KAEUBGT
'essentially': AOELGS
'oppose': OPZ
'processing': PROEUFG
'accurate': ABG/R-T
'sadness': SAD/-PBS
'wonderfully': WOPBD/TPHREU
'successor': SUBG/SES/SOR
'allied': A/HRAOEU/-D
'appealed': AEP/-D
'submission': SPHEUGS
'ecclesiastical': KHRAOES/KWRAFT/K-L
'winning': W-G
'transferred': TR-FRD
'thoughtfully': THAUFL/HREU
'allowing': HRO*UG
'beautifully': PWAOUFL/HREU
'tomorrow': TORPL
'forgetting': TPERGT/-G
'Connecticut': K*T
'apparatus': AP/RATS
'assert': A/SERT
'utterance': UT/RAPBS
'Jimmy': SKWREUPL/KWREU
'fortress': TPORT/RES
'hurrying': HUR/REU/-G
'blessings': PWHREFGS
'attempting': A/TEPLT/-G
'selling': SELG
'appreciation': PRAOEGS
'suppressed': SPREFD
'offensive': OFPBS/EUF
'successive': SUBG/SES/EUF
