The Snowdrop
'been': PW-PB
'put': PUT
'in': TPH
'there': THR
'with': W
'a': AEU
'meaning!': PHAOEPBG/SKHRAPL
'Poor': KPA/PAOR
'Ambrosius': A*P/PH*/PW*/R*/OS/SKWREU/SKWRUS
'Stub!': KPA/STUB/SKHRAPL
'he': HE
'was': WAS
'a': AEU
'summer': SAOURPL
'fool': TPAOL
'too,': TAO/KW-BG
'a': AEU
'poet': POET
'fool;': TPAOL/STPH*FPLT
'he': HE
'came': KAEUPL
'too': TAO
'early,': ERL/KW-BG
'before': PW-FR
'his': HEUS
'time,': TAOEUPL/KW-BG
'and': SKP
'therefore': TH-FR
'he': HE
'had': H
'to': TO
'taste': TAEUFT
'the': -T
'sharp': SHARP
'winds,': WEUPBDZ/KW-BG
'and': SKP
'wander': WAERPBD
'about': PW
'as': AS
'a': AEU
'guest': TKPWEFT
'from': TPR
'one': WUPB
'noble': TPHOEBL
'landed': HRAPBD/-D
'proprietor': PRO/PRAOEU/TOR
'to': TO
'another,': TPHOER/KW-BG
'like': HRAOEUBG
'a': AEU
'flower': TPHRO*UR
'in': TPH
'a': AEU
'glass': TKPWHRAS
'of': -F
'water,': WAURBGS
'a': AEU
'flower': TPHRO*UR
'in': TPH
'rhymed': RAOEUPLD
'verses!': SRERSZ/SKHRAPL
'Summer': KPA/SAOURPL
'fool,': TPAOL/KW-BG
'winter': WEURPBT
'fool,': TPAOL/KW-BG
'fun': TPUPB
'and': SKP
'folly—but': TPOL/HREU/EPL/TKA*RB/PWUT
'the': -T
'first,': TPEUFRT/KW-BG
'the': -T
'only,': OEPBL/KW-BG
'the': -T
'fresh': TPRERB
'young': KWRUPBG
'Danish': TKAEUPB/EURB
'poet': POET
'of': -F
'those': THOZ
'days.': TKAEUS/TP-PL
'Yes,': KPA/KWRE/KW-BG
'thou': THO*U
'shalt': SHALT
'remain': RAEUPL
'as': AS
'a': AEU
'token': TO*EPB
'in': TPH
'the': -T
'book,': PWAOBG/KW-BG
'thou': THO*U
'little': HREUL
'snowdrop:': STPHOE/TK-LS/TKROP/STPH-FPLT
'thou': THO*U
'hast': H*/A*/S*/T*
'been': PW-PB
'put': PUT
'there': THR
'with': W
'a': AEU
'meaning."': PHAOEPBG/TP-PL/KR-GS
'And': AFPBD
'so': SO
'the': -T
'Snowdrop': KPA/STPHOE/TK-LS/TKROP
'was': WAS
'put': PUT
'back': PWABG
'into': TPHAO
'the': -T
'book,': PWAOBG/KW-BG
'and': SKP
'felt': TPELT
'equally': KWAEL
'honored': HOPB/ORD
'and': SKP
'pleased': PHREFD
'to': TO
'know': TPHOE
'that': THA
'it': T
'was': WAS
'a': AEU
'token': TO*EPB
'in': TPH
'the': -T
'glorious': TKPWHRORS
'book': PWAOBG
'of': -F
'songs,': SOPBGS/KW-BG
'and': SKP
'that': THA
'he': HE
'who': WHO
'was': WAS
'the': -T
'first': TPEUFRT
'to': TO
'sing': SEUPBG
'and': SKP
'to': TO
'write': WREU
'had': H
'been': PW-PB
'also': HR-S
'a': AEU
'snowdrop,': STPHOE/TK-LS/TKROP/KW-BG
'had': H
'been': PW-PB
'a': AEU
'summer': SAOURPL
'gauk,': TKPWA/SKWRU/*BG/KW-BG
'and': SKP
'had': H
'been': PW-PB
'looked': HRAOBGD
'upon': POPB
'in': TPH
'the': -T
'winter-time': WEURPBT/TA*EPL
'as': AS
'a': AEU
'fool.': TPAOL/TP-PL
'The': KPA/-T
'Flower': KPA/TPHRO*UR
'understood': *URPBD
'this,': TH/KW-BG
'in': TPH
'her': HER
'way,': WAEU/KW-BG
'as': AS
'we': WE
'interpret': TERP
'everything': EFRG
'in': TPH
'our': OUR
'way.': WAEU/TP-PL
'That': KPA/THA
'is': S
'the': -T
'story': STOER
'of': -F
'the': -T
'Snowdrop.': KPA/STPHOE/TK-LS/TKROP/TP-PL
