The Salad
'stained': STAEUPBD
'his': HEUS
'face': TPAEUS
'all': AUL
'over': OEFR
'brown,': PWROUPB/KW-BG
'so': SO
'that': THA
'even': AOEPB
'his': HEUS
'mother': PHOER
'would': WO
'not': TPHOT
'have': SR
'known': TPHOEPB
'him,': HEUPL/KW-BG
'and': SKP
'went': WEPBT
'into': TPHAO
'the': -T
'castle': KAFL
'and': SKP
'asked': SK-D
'for': TPOR
'a': AEU
'lodging;': HROPBLG/-G/STPH*FPLT
''I': A*E/EU
'am': APL
'so': SO
'tired,'': TAOEURD/KW-BG/AE
'said': SED
'he,': HE/KW-BG
''that': A*E/THA
'I': EU
'can': K
'go': TKPW
'no': TPHO
'farther.'': TPA*RT/TP-PL/AE
''Countryman,'': A*E/KPA*/KREU/PHA*PB/KW-BG/AE
'said': SED
'the': -T
'witch,': WEUFP/KW-BG
''who': A*E/WHO
'are': R
'you?': U/H-F
'and': SKP
'what': WHA
'is': S
'your': KWROUR
'business?'': PWEUS/H-F/AE
''I': A*E/EU
'am,'': APL/KW-BG/AE
'said': SED
'he,': HE/KW-BG
''a': A*E/AEU
'messenger': PHAEPBG
'sent': SEPBT
'by': PWEU
'the': -T
'king': KEUPBG
'to': TO
'find': TPAOEUPBD
'the': -T
'finest': TPAOEUPB/EFT
'salad': SALD
'that': THA
'grows': TKPWRO*ES
'under': TPH-PB
'the': -T
'sun.': SUPB/TP-PL
'I': EU
'have': SR
'been': PW-PB
'lucky': HROEUBG
'enough': TPHUF
'to': TO
'find': TPAOEUPBD
'it,': T/KW-BG
'and': SKP
'have': SR
'brought': PWRAUT
'it': T
'with': W
'me;': PHE/STPH*FPLT
'but': PWUT
'the': -T
'heat': HAOET
'of': -F
'the': -T
'sun': SUPB
'scorches': SKOR/-FPS
'so': SO
'that': THA
'it': T
'begins': TKPWEUPBS
'to': TO
'wither,': W*EUT/*ER/KW-BG
'and': SKP
'I': EU
'don't': TKOEPBT
'know': TPHOE
'that': THA
'I': EU
'can': K
'carry': KAER
'it': T
'farther.'': TPA*RT/TP-PL/AE
'When': KPA/WHEPB
'the': -T
'witch': WEUFP
'and': SKP
'the': -T
'young': KWRUPBG
'lady': HRA*ED
'heard': HAERD
'of': -F
'his': HEUS
'beautiful': PWAOUFL
'salad,': SALD/KW-BG
'they': THE
'longed': HROPBG/-D
'to': TO
'taste': TAEUFT
'it,': T/KW-BG
'and': SKP
'said,': SED/KW-BG
''Dear': A*E/KPA*/TKAER
'countryman,': KREU/PHA*PB/KW-BG
'let': HRET
'us': US
'just': SKWRUFT
'taste': TAEUFT
'it.'': T/TP-PL/AE
''To': A*E/KPA*/TO
'be': -B
'sure,'': SHUR/KW-BG/AE
'answered': AEPBS/-D
'he;': HE/STPH*FPLT
''I': A*E/EU
'have': SR
'two': TWO
'heads': HEDZ
'of': -F
'it': T
'with': W
'me,': PHE/KW-BG
'and': SKP
'will': HR
'give': TKPWEUF
'you': U
'one';': WUPB/AE/STPH*FPLT
'so': SO
'he': HE
'opened': OEPD
'his': HEUS
'bag': PWAG
'and': SKP
'gave': TKPWAEUF
'them': THEPL
'the': -T
'bad.': PWAD/TP-PL
'Then': KPA/THEPB
'the': -T
'witch': WEUFP
'herself': H*ERS
'took': TAOBG
'it': T
'into': TPHAO
'the': -T
'kitchen': K-FP
'to': TO
'be': -B
'dressed;': TKREFD/STPH*FPLT
'and': SKP
'when': WHEPB
'it': T
'was': WAS
'ready': R-D
'she': SHE
'could': KO
'not': TPHOT
'wait': WAEUT
'till': TEUL
'it': T
'was': WAS
'carried': KAERD
'up,': UP/KW-BG
'but': PWUT
'took': TAOBG
'a': AEU
'few': TPAOU
'leaves': HREFS
'immediately': PHAOELD
'and': SKP
'put': PUT
'them': THEPL
'in': TPH
'her': HER
'mouth,': PHO*UT/KW-BG
'and': SKP
'scarcely': SKAEURS/HREU
'were': WR
'they': THE
'swallowed': SWALD
'when': WHEPB
'she': SHE
'lost': HRO*S
'her': HER
'own': OEPB
'form': TPORPL
'and': SKP
'ran': RAPB
'braying': PWRAEU/-G
'down': TKOUPB
'into': TPHAO
'the': -T
'court': KORT
'in': TPH
'the': -T
'form': TPORPL
'of': -F
'an': APB
'ass.': A*S/TP-PL
'Now': KPA/TPHOU
'the': -T
'servant-maid': SEFRB/APBT/H-PB/PHAEUD
'came': KAEUPL
'into': TPHAO
'the': -T
'kitchen,': K-FP/KW-BG
'and': SKP
'seeing': SAOEG
'the': -T
'salad': SALD
'ready,': R-D/KW-BG
'was': WAS
'going': TKPW-G
'to': TO
'carry': KAER
'it': T
'up;': UP/STPH*FPLT
'but': PWUT
'on': OPB
'the': -T
'way': WAEU
'she': SHE
'too': TAO
'felt': TPELT
'a': AEU
'wish': WEURB
'to': TO
'taste': TAEUFT
'it': T
'as': AS
'the': -T
'old': OLD
'woman': WOPL
'had': H
'done,': TKOPB/KW-BG
'and': SKP
'ate': AEUT
'some': SOPL
'leaves;': HREFS/STPH*FPLT
'so': SO
'she': SHE
'also': HR-S
'was': WAS
'turned': TURPBD
'into': TPHAO
'an': APB
'ass': A*S
'and': SKP
'ran': RAPB
'after': AF
'the': -T
'other,': OER/KW-BG
'letting': HREGT
'the': -T
'dish': TKEURB
'with': W
'the': -T
'salad': SALD
'fall': TPAUL
'on': OPB
'the': -T
'ground.': TKPWROUPBD/TP-PL
'The': KPA/-T
'messenger': PHAEPBG
'sat': SAT
'all': AUL
'this': TH
'time': TAOEUPL
'with': W
'the': -T
'beautiful': PWAOUFL
'young': KWRUPBG
'lady,': HRA*ED/KW-BG
'and': SKP
'as': AS
'nobody': TPHOEB
'came': KAEUPL
'with': W
'the': -T
'salad': SALD
'and': SKP
'she': SHE
'longed': HROPBG/-D
'to': TO
'taste': TAEUFT
'it,': T/KW-BG
'she': SHE
'said,': SED/KW-BG
''I': A*E/EU
'don't': TKOEPBT
'know': TPHOE
'where': W-R
'the': -T
'salad': SALD
'can': K
'be.'': -B/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'thought': THAUT
'something': S-G
'must': PHUFT
'have': SR
'happened,': HAPD/KW-BG
'and': SKP
'said,': SED/KW-BG
''I': A*E/EU
'will': HR
'go': TKPW
'into': TPHAO
'the': -T
'kitchen': K-FP
'and': SKP
'see.'': SAOE/TP-PL/AE
'And': AFPBD
'as': AS
'he': HE
'went': WEPBT
'he': HE
'saw': SAU
'two': TWO
'asses': A*S/-S
'in': TPH
'the': -T
'court': KORT
'running': R*UPBG
'about,': PW-RBGS
'and': SKP
'the': -T
'salad': SALD
'lying': HRAOEUG
'on': OPB
'the': -T
'ground.': TKPWROUPBD/TP-PL
''All': A*E/KPA*/AUL
'right!'': RAOEUT/SKHRAPL/AE
'said': SED
'he;': HE/STPH*FPLT
''those': A*E/THOZ
'two': TWO
'have': SR
'had': H
'their': THAEUR
'share.'': SHAEUR/TP-PL/AE
'Then': KPA/THEPB
'he': HE
'took': TAOBG
'up': UP
'the': -T
'rest': REFT
'of': -F
'the': -T
'leaves,': HREFS/KW-BG
'laid': HRAEUD
'them': THEPL
'on': OPB
'the': -T
'dish': TKEURB
'and': SKP
'brought': PWRAUT
'them': THEPL
'to': TO
'the': -T
'young': KWRUPBG
'lady,': HRA*ED/KW-BG
'saying,': SAEUG/KW-BG
''I': A*E/EU
'bring': PWREU
'you': U
'the': -T
'dish': TKEURB
'myself': PHAO*EUS
'that': THA
'you': U
'may': PHAEU
'not': TPHOT
'wait': WAEUT
'any': TPHEU
'longer.'': HRORPBG/TP-PL/AE
'So': KPA/SO
'she': SHE
'ate': AEUT
'of': -F
'it,': T/KW-BG
'and': SKP
'like': HRAOEUBG
'the': -T
'others': OERS
'ran': RAPB
'off': OF
'into': TPHAO
'the': -T
'court': KORT
'braying': PWRAEU/-G
'away.': WA*EU/TP-PL
'Then': KPA/THEPB
'the': -T
'huntsman': HUPBTS/PHA*PB
'washed': WARBD
'his': HEUS
'face': TPAEUS
'and': SKP
'went': WEPBT
'into': TPHAO
'the': -T
'court': KORT
'that': THA
'they': THE
'might': PHAOEUT
'know': TPHOE
'him.': HEUPL/TP-PL
''Now': A*E/KPA*/TPHOU
'you': U
'shall': SHAL
'be': -B
'paid': PAEUD
'for': TPOR
'your': KWROUR
'roguery,'': ROEG/REU/KW-BG/AE
'said': SED
'he;': HE/STPH*FPLT
'and': SKP
'tied': TAO*EUD
'them': THEPL
'all': AUL
'three': THRAOE
'to': TO
'a': AEU
'rope': ROEP
'and': SKP
'took': TAOBG
'them': THEPL
'along': HRAOPBG
'with': W
'him': HEUPL
'till': TEUL
'he': HE
'came': KAEUPL
'to': TO
'a': AEU
'mill': PHEUL
'and': SKP
'knocked': TPHOBGD
'at': AT
'the': -T
'window.': WOEUPBD/TP-PL
''What's': A*E/KPA*/WHA/AES
'the': -T
'matter?'': PHAERT/H-F/AE
'said': SED
'the': -T
'miller.': HRO*ER/PHEUL/HRER/TP-PL
''I': A*E/EU
'have': SR
'three': THRAOE
'tiresome': TAOEUR/SO*PL
'beasts': PWAOEFT/-S
'here,'': HAOER/KW-BG/AE
'said': SED
'the': -T
'other;': OER/STPH*FPLT
''if': A*E/TP
'you': U
'will': HR
'take': TAEUBG
'them,': THEPL/KW-BG
'give': TKPWEUF
'them': THEPL
'food': TPAOD
'and': SKP
'room,': RAOPL/KW-BG
'and': SKP
'treat': TRAOET
'them': THEPL
'as': AS
'I': EU
'tell': TEL
'you,': U/KW-BG
'I': EU
'will': HR
'pay': PAEU
'you': U
'whatever': WHAF
'you': U
'ask.'': SK/TP-PL/AE
''With': A*E/KPA*/W
'all': AUL
'my': PHEU
'heart,'': HART/KW-BG/AE
'said': SED
'the': -T
'miller;': HRO*ER/PHEUL/HRER/STPH*FPLT
''but': A*E/PWUT
'how': HOU
'shall': SHAL
'I': EU
'treat': TRAOET
'them?'': THEPL/H-F/AE
'Then': KPA/THEPB
'the': -T
'huntsman': HUPBTS/PHA*PB
'said,': SED/KW-BG
''Give': A*E/KPA*/TKPWEUF
'the': -T
'old': OLD
'one': WUPB
'stripes': STRAOEUPS
'three': THRAOE
'times': TAOEUPLS
'a': AEU
'day': TKAEU
'and': SKP
'hay': HA*EU
'once;': WUPBS/STPH*FPLT
'give': TKPWEUF
'the': -T
'next': TPHEGT
'(who': PREPB/WHO
'was': WAS
'the': -T
'servant-maid)': SEFRB/APBT/H-PB/PHAEUD/PR*EPB
'stripes': STRAOEUPS
'once': WUPBS
'a': AEU
'day': TKAEU
'and': SKP
'hay': HA*EU
'three': THRAOE
'times;': TAOEUPLS/STPH*FPLT
'and': SKP
'give': TKPWEUF
'the': -T
'youngest': KWRUPBG/EFT
'(who': PREPB/WHO
'was': WAS
'the': -T
'beautiful': PWAOUFL
'lady)': HRA*ED/PR*EPB
'hay': HA*EU
'three': THRAOE
'times': TAOEUPLS
'a': AEU
'day': TKAEU
'and': SKP
'no': TPHO
'stripes':': STRAOEUPS/AE/STPH-FPLT
'for': TPOR
'he': HE
'could': KO
'not': TPHOT
'find': TPAOEUPBD
'it': T
'in': TPH
'his': HEUS
'heart': HART
'to': TO
'have': SR
'her': HER
'beaten.': PWAET/*EPB/TP-PL
'After': KPA/AF
'this': TH
'he': HE
'went': WEPBT
'back': PWABG
'to': TO
'the': -T
'castle,': KAFL/KW-BG
'where': W-R
'he': HE
'found': TPOUPBD
'everything': EFRG
'he': HE
'wanted.': WAPBTD/TP-PL
'Some': KPA/SOPL
'days': TKAEUS
'after,': AF/KW-BG
'the': -T
'miller': HRO*ER/PHEUL/HRER
'came': KAEUPL
'to': TO
'him': HEUPL
'and': SKP
'told': TOLD
'him': HEUPL
'that': THA
'the': -T
'old': OLD
'ass': A*S
'was': WAS
'dead;': TKED/STPH*FPLT
''The': A*E/KPA*/-T
'other': OER
'two,'': TWO/KW-BG/AE
'said': SED
'he,': HE/KW-BG
''are': A*E/R
'alive': A/HRAOEUF
'and': SKP
'eat,': AOET/KW-BG
'but': PWUT
'are': R
'so': SO
'sorrowful': SOR/ROEFL
'that': THA
'they': THE
'cannot': SK-PBT
'last': HRAFT
'long.'': HROPBG/TP-PL/AE
'Then': KPA/THEPB
'the': -T
'huntsman': HUPBTS/PHA*PB
'pitied': PEUT/EUD
'them,': THEPL/KW-BG
'and': SKP
'told': TOLD
'the': -T
'miller': HRO*ER/PHEUL/HRER
'to': TO
'drive': TKRAOEUF
'them': THEPL
'back': PWABG
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'when': WHEPB
'they': THE
'came,': KAEUPL/KW-BG
'he': HE
'gave': TKPWAEUF
'them': THEPL
'some': SOPL
'of': -F
'the': -T
'good': TKPWAOD
'salad': SALD
'to': TO
'eat.': AOET/TP-PL
'And': AFPBD
'the': -T
'beautiful': PWAOUFL
'young': KWRUPBG
'lady': HRA*ED
'fell': TPEL
'upon': POPB
'her': HER
'knees': TPHAOEZ
'before': PW-FR
'him,': HEUPL/KW-BG
'and': SKP
'said,': SED/KW-BG
''O': A*E/O*P
'dearest': TKAER/EFT
'huntsman!': HUPBTS/PHA*PB/SKHRAPL
'forgive': TPAURG
'me': PHE
'all': AUL
'the': -T
'ill': EUL
'I': EU
'have': SR
'done': TKOPB
'you;': U/STPH*FPLT
'my': PHEU
'mother': PHOER
'forced': TPOFRD
'me': PHE
'to': TO
'it,': T/KW-BG
'it': T
'was': WAS
'against': TKPWEPBS
'my': PHEU
'will,': HR-RBGS
'for': TPOR
'I': EU
'always': AULS
'loved': HROFD
'you': U
'very': SRE
'much.': PHUFP/TP-PL
'Your': KPA/KWROUR
'wishing-cloak': WEURBG/H-PB/KHROEBG
'hangs': HAPBGS
'up': UP
'in': TPH
'the': -T
'closet,': KHROFT/KW-BG
'and': SKP
'as': AS
'for': TPOR
'the': -T
'bird's': PWEURD/AES
'heart,': HART/KW-BG
'I': EU
'will': HR
'give': TKPWEUF
'it': T
'you': U
'too.'': TAO/TP-PL/AE
'But': KPA/PWUT
'he': HE
'said,': SED/KW-BG
''Keep': A*E/KPA*/KAOEP
'it,': T/KW-BG
'it': T
'will': HR
'be': -B
'just': SKWRUFT
'the': -T
'same': SAEUPL
'thing,': THEUPBG/KW-BG
'for': TPOR
'I': EU
'mean': PHAOEPB
'to': TO
'make': PHAEUBG
'you': U
'my': PHEU
'wife.'': WAOEUF/TP-PL/AE
'So': KPA/SO
'they': THE
'were': WR
'married,': PHAERD/KW-BG
'and': SKP
'lived': HREUFD
'together': TOGT
'very': SRE
'happily': HAP/HREU
'till': TEUL
'they': THE
'died.': TKAOEUD/TP-PL
