An Unwritten Novel

'eyes': AO*EUS
'had': H
'once': WUPBS
'more': PHOR
'crept': KREPT
'over': OEFR
'the': -T
'paper's': PAEUP/AES
'rim.': REUPL/TP-PL
'She': KPA/SHE
'shuddered,': SHUD/ERD/KW-BG
'twitched': TWEUFP/-D
'her': HER
'arm': ARPL
'queerly': KWAOER/HREU
'to': TO
'the': -T
'middle': PH*EULD
'of': -F
'her': HER
'back': PWABG
'and': SKP
'shook': SHAOBG
'her': HER
'head.': HED/TP-PL
'Again': KPA/TKPWEPB
'I': EU
'dipped': TKEUPD
'into': TPHAO
'my': PHEU
'great': TKPWRAET
'reservoir': RES/SROEUR
'of': -F
'life.': HRAOEUF/TP-PL
'"Take': KW-GS/KPA*/TAEUBG
'what': WHA
'you': U
'like,"': SKWRAURBGS/HRAO*EUBG/KR-GS
'I': EU
'continued,': T-PBD/KW-BG
'"births,': KW-GS/PW*EURT/-S/KW-BG
'deaths,': TK*T/-S/KW-BG
'marriages,': PHAEURPBLGS/KW-BG
'Court': KO*RT
'Circular,': KPA/SEURBG/HRAR/KW-BG
'the': -T
'habits': HABTS
'of': -F
'birds,': PWEURDZ/KW-BG
'Leonardo': HROEU/TPHAR/TKO
'da': TKA
'Vinci,': SR*P/*EU/TPH*/KR*/SKWREU/KW-BG
'the': -T
'Sandhills': KPA/SAPBD/HEUL/-S
'murder,': PHURD/KW-BG
'high': HAOEU
'wages': WAEUPBLGS
'and': SKP
'the': -T
'cost': KOFT
'of': -F
'living—oh,': HREUFG/EPL/TKA*RB/OERBGS
'take': TAEUBG
'what': WHA
'you': U
'like,"': SKWRAURBGS/HRAO*EUBG/KR-GS
'I': EU
'repeated,': RE/PAOETD/KW-BG
'"it's': KW-GS/T-S
'all': AUL
'in': TPH
'the': -T
'Times!"': TAO*EUPLS/SKHRAPL/KR-GS
'Again': KPA/TKPWEPB
'with': W
'infinite': TPH-FPBT
'weariness': WAOER/REU/-PBS
'she': SHE
'moved': PHOFD
'her': HER
'head': HED
'from': TPR
'side': SAOEUD
'to': TO
'side': SAOEUD
'until,': TPH-L/KW-BG
'like': HRAOEUBG
'a': AEU
'top': TOP
'exhausted': KPAUFTD
'with': W
'spinning,': SPEUPBG/KW-BG
'it': T
'settled': SELTD
'on': OPB
'her': HER
'neck.': TPHEBG/TP-PL
'The': KPA/-T
'Times': TAO*EUPLS
'was': WAS
'no': TPHO
'protection': PREBGS
'against': TKPWEPBS
'such': SUFP
'sorrow': SROE
'as': AS
'hers.': HERS/TP-PL
'But': KPA/PWUT
'other': OER
'human': HAOUPL
'beings': -BGZ
'forbade': TPOR/PWAEUD
'intercourse.': SPWROURS/TP-PL
'The': KPA/-T
'best': PWEFT
'thing': THEUPBG
'to': TO
'do': TKO
'against': TKPWEPBS
'life': HRAOEUF
'was': WAS
'to': TO
'fold': TPOELD
'the': -T
'paper': PAEUP
'so': SO
'that': THA
'it': T
'made': PHAED
'a': AEU
'perfect': P-F
'square,': SKWAEUR/KW-BG
'crisp,': KREUFP/KW-BG
'thick,': THEUBG/KW-BG
'impervious': EUPL/PEFR/KWRUS
'even': AOEPB
'to': TO
'life.': HRAOEUF/TP-PL
'This': KPA/TH
'done,': TKOPB/KW-BG
'I': EU
'glanced': TKPWHRAPBS/-D
'up': UP
'quickly,': KWEULG/KW-BG
'armed': ARPLD
'with': W
'a': AEU
'shield': SHAOELD
'of': -F
'my': PHEU
'own.': OEPB/TP-PL
'She': KPA/SHE
'pierced': PAOERS/-D
'through': THRU
'my': PHEU
'shield;': SHAOELD/STPH*FPLT
'she': SHE
'gazed': TKPWAEZ/-D
'into': TPHAO
'my': PHEU
'eyes': AO*EUS
'as': AS
'if': TP
'searching': SEFRPBG
'any': TPHEU
'sediment': SED/*PLT
'of': -F
'courage': KORPBLG
'at': AT
'the': -T
'depths': TK*EPTS
'of': -F
'them': THEPL
'and': SKP
'damping': TKAFRP/-G
'it': T
'to': TO
'clay.': KHRAEU/TP-PL
'Her': KPA/HER
'twitch': TWEUFP
'alone': A/HROEPB
'denied': TKAOEPBD
'all': AUL
'hope,': HOEP/KW-BG
'discounted': SKOUPBT/-D
'all': AUL
'illusion.': EUL/HRAOUGS/TP-PL
'So': KPA/SO
'we': WE
'rattled': RA*LTD
'through': THRU
'Surrey': S*P/*U/R*/R*/KWRAOE
'and': SKP
'across': KRAOS
'the': -T
'border': PWRORD
'into': TPHAO
'Sussex.': SUS/SEBGS/TP-PL
'But': KPA/PWUT
'with': W
'my': PHEU
'eyes': AO*EUS
'upon': POPB
'life': HRAOEUF
'I': EU
'did': TK
'not': TPHOT
'see': SAOE
'that': THA
'the': -T
'other': OER
'travellers': TRA*FL/ERS/A*U
'had': H
'left,': HREFT/KW-BG
'one': WUPB
'by': PWEU
'one,': WUPB/KW-BG
'till,': TEUL/KW-BG
'save': SAF
'for': TPOR
'the': -T
'man': PHAPB
'who': WHO
'read,': RAED/KW-BG
'we': WE
'were': WR
'alone': A/HROEPB
'together.': TOGT/TP-PL
'Here': KPA/HAOER
'was': WAS
'Three': KPA/THRAOE
'Bridges': KPA/PWREUPBLGS
'station.': STAEUGS/TP-PL
'We': KPA/WE
'drew': TKRAOU
'slowly': SHROEL
'down': TKOUPB
'the': -T
'platform': PHRORPL
'and': SKP
'stopped.': STOPD/TP-PL
'Was': KPA/WAS
'he': HE
'going': TKPW-G
'to': TO
'leave': HREF
'us?': US/H-F
'I': EU
'prayed': PRAEUD
'both': PWO*T
'ways—I': WAEUS/EPL/TKA*RB/EU
'prayed': PRAEUD
'last': HRAFT
'that': THA
'he': HE
'might': PHAOEUT
'stay.': STAEU/TP-PL
'At': KPA/AT
'that': THA
'instant': STPHAPBT
'he': HE
'roused': ROUZ/-D
'himself,': HEUPLS/KW-BG
'crumpled': KRUFRP/-LD
'his': HEUS
'paper': PAEUP
'contemptuously,': KAUPB/TEPLT/WOUS/HREU/KW-BG
'like': HRAOEUBG
'a': AEU
'thing': THEUPBG
'done': TKOPB
'with,': W/KW-BG
'burst': PWUFRT
'open': OEP
'the': -T
'door,': TKAORBGS
'and': SKP
'left': HREFT
'us': US
'alone.': A/HROEPB/TP-PL
'The': KPA/-T
'unhappy': UPB/HAEP
'woman,': WOPL/KW-BG
'leaning': HRAOEPBG
'a': AEU
'little': HREUL
'forward,': TPAORD/KW-BG
'palely': PAEL/HREU
'and': SKP
'colourlessly': KHROUR/-LS/HREU
'addressed': A/TKREFD
