Blue Beard
'hand,': HAPBD/KW-BG
'cried': KRAOEUD
'out': OUT
'as': AS
'loud': HROUD
'as': AS
'he': HE
'could': KO
'bawl': PWA*UL
'to': TO
'his': HEUS
'wife:': WAOEUF/STPH-FPLT
'"Come': KW-GS/KPA*/KOPL
'down': TKOUPB
'instantly,': EUPB/STAPBT/HREU/KW-BG
'or': OR
'I': EU
'shall': SHAL
'come': KOPL
'up': UP
'to': TO
'you."': U/TP-PL/KR-GS
'"One': KW-GS/KPA*/WUPB
'moment': PHOEPLT
'longer,': HRORPBG/KW-BG
'if': TP
'you': U
'please,"': PHRES/KW-BG/KR-GS
'said': SED
'his': HEUS
'wife,': WAOEUF/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'cried': KRAOEUD
'out': OUT
'very': SRE
'softly:': SOFT/HREU/STPH-FPLT
'"Anne,': KW-GS/A*EPB/KW-BG
'sister': ST-R
'Anne,': A*EPB/KW-BG
'dost': TK*/O*/S*/T*
'thou': THO*U
'see': SAOE
'any': TPHEU
'body': PWO*ED
'coming?"': KO*G/H-F/KR-GS
'And': AFPBD
'sister': ST-R
'Anne': A*EPB
'answered:': AEPBS/-D/STPH-FPLT
'"I': KW-GS/EU
'see': SAOE
'nothing': TPHOG
'but': PWUT
'the': -T
'sun,': SUPB/KW-BG
'which': WEU
'makes': PHAEUBGS
'a': AEU
'dust,': TKUFT/KW-BG
'and': SKP
'the': -T
'grass': TKPWRAS
'growing': TKPWROEG
'green."': TKPWRAOEPB/TP-PL/KR-GS
'"Come': KW-GS/KPA*/KOPL
'down': TKOUPB
'quickly,"': KWEULG/KW-BG/KR-GS
'cried': KRAOEUD
'Blue': KPA/PWHRU
'Beard,': KPA/PWAERD/KW-BG
'"or': KW-GS/OR
'I': EU
'will': HR
'come': KOPL
'up': UP
'to': TO
'you."': U/TP-PL/KR-GS
'"I': KW-GS/EU
'am': APL
'coming,"': KO*G/KW-BG/KR-GS
'answered': AEPBS/-D
'his': HEUS
'wife;': WAOEUF/STPH*FPLT
'and': SKP
'then': THEPB
'she': SHE
'cried:': KRAOEUD/STPH-FPLT
'"Anne,': KW-GS/A*EPB/KW-BG
'sister': ST-R
'Anne,': A*EPB/KW-BG
'dost': TK*/O*/S*/T*
'thou': THO*U
'see': SAOE
'any': TPHEU
'one': WUPB
'coming?"': KO*G/H-F/KR-GS
'"I': KW-GS/EU
'see,"': SAOERBGS/KR-GS
'replied': RE/PHRAOEUD
'sister': ST-R
'Anne,': A*EPB/KW-BG
'"a': KW-GS/AEU
'great': TKPWRAET
'dust': TKUFT
'that': THA
'comes': KOPLS
'this': TH
'way."': WAEU/TP-PL/KR-GS
'"Are': KW-GS/KPA*/R
'they': THE
'my': PHEU
'brothers?"': PWROERS/H-F/KR-GS
'"Alas!': KW-GS/KPA*/A/HRAS/SKHRAPL
'no,': TPHORBGS
'my': PHEU
'dear': TKAER
'sister,': ST-RBGS
'I': EU
'see': SAOE
'a': AEU
'flock': TPHROBG
'of': -F
'sheep."': SHAOEP/TP-PL/KR-GS
'"Will': KW-GS/W*EUL
'you': U
'not': TPHOT
'come': KOPL
'down?"': TKOUPB/H-F/KR-GS
'cried': KRAOEUD
'Blue': KPA/PWHRU
'Beard.': KPA/PWAERD/TP-PL
'"One': KW-GS/KPA*/WUPB
'moment': PHOEPLT
'longer,"': HRORPBG/KW-BG/KR-GS
'said': SED
'his': HEUS
'wife,': WAOEUF/KW-BG
'and': SKP
'then': THEPB
'she': SHE
'cried': KRAOEUD
'out:': OUT/STPH-FPLT
'"Anne,': KW-GS/A*EPB/KW-BG
'sister': ST-R
'Anne,': A*EPB/KW-BG
'dost': TK*/O*/S*/T*
'thou': THO*U
'see': SAOE
'nobody': TPHOEB
'coming?"': KO*G/H-F/KR-GS
'"I': KW-GS/EU
'see,"': SAOERBGS/KR-GS
'said': SED
'she,': SHE/KW-BG
'"two': KW-GS/TWO
'horsemen': HORS/PH*EPB
'coming,': KO*G/KW-BG
'but': PWUT
'they': THE
'are': R
'yet': KWRET
'a': AEU
'great': TKPWRAET
'way': WAEU
'off."': OF/TP-PL/KR-GS
'"God': KW-GS/TKPWO*D
'be': -B
'praised,"': PRA*EUFD/KW-BG/KR-GS
'she': SHE
'cried': KRAOEUD
'presently,': PREPBLT/KW-BG
'"they': KW-GS/THE
'are': R
'my': PHEU
'brothers;': PWROERS/STPH*FPLT
'I': EU
'am': APL
'beckoning': PWEBG/KOPB/-G
'to': TO
'them,': THEPL/KW-BG
'as': AS
'well': WEL
'as': AS
'I': EU
'can,': K-RBGS
'for': TPOR
'them': THEPL
'to': TO
'make': PHAEUBG
'haste."': HAEUFT/TP-PL/KR-GS
'Then': KPA/THEPB
'Blue': KPA/PWHRU
'Beard': KPA/PWAERD
'bawled': PWA*UL/-D
'out': OUT
'so': SO
'loud,': HROUD/KW-BG
'that': THA
'he': HE
'made': PHAED
'the': -T
'whole': WHOEL
'house': HOUS
'tremble.': TREPL/-BL/TP-PL
'The': KPA/-T
'distressed': STKREFD
'wife': WAOEUF
'came': KAEUPL
'down,': TKOUPB/KW-BG
'and': SKP
'threw': THRAOU
'herself': H*ERS
'at': AT
'his': HEUS
'feet,': TPAOET/KW-BG
'all': AUL
'in': TPH
'tears,': TAERS/KW-BG
'with': W
'her': HER
'hair': HAEUR
'about': PW
'her': HER
'shoulders.': SHOURLDZ/TP-PL
'"Nought': KW-GS/KPA*/TPHAUT/A*U
'will': HR
'avail,"': A/SRAEUL/KW-BG/KR-GS
'said': SED
'Blue': KPA/PWHRU
'Beard,': KPA/PWAERD/KW-BG
'"you': KW-GS/U
'must': PHUFT
'die";': TKAOEU/KR-GS/STPH*FPLT
'then,': THEPB/KW-BG
'taking': TAEUG
'hold': HOLD
'of': -F
'her': HER
'hair': HAEUR
'with': W
'one': WUPB
'hand,': HAPBD/KW-BG
'and': SKP
'lifting': HREUFT/-G
'up': UP
'his': HEUS
'scimitar': S*/KR*/*EU/PH*/*EU/T*/A*R
'with': W
'the': -T
'other,': OER/KW-BG
'he': HE
'was': WAS
'going': TKPW-G
'to': TO
'take': TAEUBG
'off': OF
'her': HER
'head.': HED/TP-PL
'The': KPA/-T
'poor': PAOR
'lady': HRA*ED
'turning': TURPBG
'about': PW
'to': TO
'him,': HEUPL/KW-BG
'and': SKP
'looking': HRAOG
'at': AT
'him': HEUPL
'with': W
'dying': TKAOEUG
'eyes,': AO*EUS/KW-BG
'desired': STKAOEURD
'him': HEUPL
'to': TO
'afford': AFRD
'her': HER
'one': WUPB
'little': HREUL
'moment': PHOEPLT
'to': TO
'recollect': REBGT
'herself.': H*ERS/TP-PL
'"No,': KW-GS/KPA*/TPHO/KW-BG
'no,"': TPHORBGS/KR-GS
'said': SED
'he,': HE/KW-BG
'"recommend': KW-GS/REPL
'thyself': THAOEU/SEFL
'to': TO
'God,"': TKPWO*D/KW-BG/KR-GS
'and': SKP
'was': WAS
'just': SKWRUFT
'ready': R-D
'to': TO
'strike.': STRAOEUBG/TP-PL
'At': KPA/AT
'this': TH
'very': SRE
'instant': STPHAPBT
'there': THR
'was': WAS
'such': SUFP
'a': AEU
'loud': HROUD
'knocking': TPHOBG/-G
'at': AT
'the': -T
'gate,': TKPWAET/KW-BG
'that': THA
'Blue': KPA/PWHRU
'Beard': KPA/PWAERD
'made': PHAED
'a': AEU
'sudden': SUD
'stop.': STOP/TP-PL
'The': KPA/-T
'gate': TKPWAET
'was': WAS
'opened,': OEPD/KW-BG
'and': SKP
'presently': PREPBLT
'entered': SPWR-D
'two': TWO
'horsemen,': HORS/PH*EPB/KW-BG
'who': WHO
'drawing': TKRAUG
'their': THAEUR
'swords,': SOERDZ/KW-BG
'ran': RAPB
'directly': TKREL
'to': TO
'Blue': KPA/PWHRU
'Beard.': KPA/PWAERD/TP-PL
'He': KPA/HE
'knew': TPHAOU
'them': THEPL
'to': TO
'be': -B
'his': HEUS
'wife's': WAOEUF/AES
'brothers,': PWROERS/KW-BG
'one': WUPB
'a': AEU
'dragoon,': TKRAG/SKWRAO/*PB/KW-BG
'the': -T
'other': OER
'a': AEU
'musqueteer;': PH*/*U/S*/KW*/SKWRU/ET/SKWR*E/*ER/STPH*FPLT
'so': SO
'that': THA
'he': HE
'ran': RAPB
'away': WA*EU
'immediately': PHAOELD
'to': TO
'save': SAF
'himself;': HEUPLS/STPH*FPLT
'but': PWUT
'the': -T
'two': TWO
'brothers': PWROERS
'pursued': PUR/SAOUD
'so': SO
'close,': KHROES/KW-BG
'that': THA
'they': THE
'overtook': AUFR/TAOBG
'him': HEUPL
'before': PW-FR
'he': HE
'could': KO
'get': TKPWET
'to': TO
'the': -T
'steps': STEPS
'of': -F
'the': -T
'porch,': POFRPB/KW-BG
'when': WHEPB
'they': THE
'ran': RAPB
'their': THAEUR
'swords': SOERDZ
'thro'': T*/H*/R*/O*/-PBT
'his': HEUS
'body': PWO*ED
'and': SKP
'left': HREFT
'him': HEUPL
'dead.': TKED/TP-PL
'The': KPA/-T
'poor': PAOR
'wife': WAOEUF
'was': WAS
'almost': HR-PL
'as': AS
'dead': TKED
'as': AS
'her': HER
'husband,': HUS/KW-BG
'and': SKP
'had': H
'not': TPHOT
'strength': STREPBG
'enough': TPHUF
'to': TO
'rise': RAOEUZ
'and': SKP
'welcome': WELG
'her': HER
'brothers.': PWROERS/TP-PL
'Blue': KPA/PWHRU
'Beard': KPA/PWAERD
'had': H
'no': TPHO
'heirs,': A*EUR/-S/KW-BG
'and': SKP
'so': SO
'his': HEUS
'wife': WAOEUF
'became': PWAEUPL
'mistress': PHEUS/TRES
'of': -F
'all': AUL
'his': HEUS
'estate.': ES/TAEUT/TP-PL
'She': KPA/SHE
'made': PHAED
'use': AOUS
'of': -F
'one': WUPB
'part': PART
'of': -F
'it': T
'to': TO
'marry': PHAER
'her': HER
'sister': ST-R
'Anne': A*EPB
'to': TO
'a': AEU
'young': KWRUPBG
'gentleman': SKWRA*PL
'who': WHO
'had': H
'loved': HROFD
'her': HER
'a': AEU
'long': HROPBG
'while;': WHAOEUL/STPH*FPLT
'another': TPHOER
'part': PART
'to': TO
'buy': PWAOEU
'captains'': KAPT/-S/AE
'commissions': KPHEUGS/-S
'for': TPOR
'her': HER
'brothers;': PWROERS/STPH*FPLT
'and': SKP
'the': -T
'rest': REFT
'to': TO
'marry': PHAER
'herself': H*ERS
'to': TO
'a': AEU
'very': SRE
'worthy': WO*RT/KWREU
'gentleman,': SKWRA*PL/KW-BG
'who': WHO
'made': PHAED
'her': HER
'forget': TPORGT
'the': -T
'ill': EUL
'time': TAOEUPL
'she': SHE
'had': H
'passed': PAFD
'with': W
'Blue': KPA/PWHRU
'Beard.': KPA/PWAERD/TP-PL
